date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ADI,25.474047,26.169506,25.32558,25.520933,4992700,0.0,0
2011-09-09,ADI,25.247429,25.77879,24.958307,25.091146,6544500,0.0,0
2011-09-12,ADI,24.76296,25.653772,24.76296,25.653772,3765200,0.0,0
2011-09-13,ADI,25.73191,26.075731,25.536558,26.005404,3525900,0.0,0
2011-09-14,ADI,26.247643,27.161894,25.935078,26.880589,6232900,0.0,0
2011-09-15,ADI,27.083757,27.286924,26.646166,26.849335,4524900,0.0,0
2011-09-16,ADI,27.177515,27.451012,26.888393,27.036861,3966400,0.0,0
2011-09-19,ADI,26.989985,27.154081,26.474253,27.029055,3553800,0.0,0
2011-09-20,ADI,27.154085,27.224413,26.661795,26.700865,2810700,0.0,0
2011-09-21,ADI,26.82589,27.075941,25.95852,25.97415,4242200,0.0,0
2011-09-22,ADI,25.231808,25.497488,24.661375,25.06771,6891300,0.0,0
2011-09-23,ADI,25.01301,25.833496,24.872358,25.669397,4614800,0.0,0
2011-09-26,ADI,25.810055,25.825684,24.809849,25.497492,5029100,0.0,0
2011-09-27,ADI,25.880383,26.72431,25.810057,26.25546,4215900,0.0,0
2011-09-28,ADI,26.255451,26.380478,25.349012,25.434969,3203200,0.0,0
2011-09-29,ADI,25.802238,25.950706,24.786402,25.325577,5280400,0.0,0
2011-09-30,ADI,24.91142,25.216173,24.419132,24.419132,5667500,0.0,0
2011-10-03,ADI,24.833284,25.13022,24.23941,24.27848,6494200,0.0,0
2011-10-04,ADI,23.973728,25.24743,23.950285,25.24743,5500000,0.0,0
2011-10-05,ADI,25.263062,26.1695,24.95831,26.138243,3875700,0.0,0
2011-10-06,ADI,25.989782,26.544588,25.880384,26.51333,4405400,0.0,0
2011-10-07,ADI,26.614902,27.146263,26.357037,26.76337,4439500,0.0,0
2011-10-10,ADI,27.271297,27.443207,27.029058,27.325996,2406300,0.0,0
2011-10-11,ADI,27.107204,27.271303,26.919666,27.083763,2619100,0.0,0
2011-10-12,ADI,27.43539,27.685442,27.20878,27.26348,3563300,0.0,0
2011-10-13,ADI,27.091564,28.021446,27.036865,27.888605,5019100,0.0,0
2011-10-14,ADI,28.138649,28.138649,27.505707,27.990181,2458400,0.0,0
2011-10-17,ADI,27.779205,27.919859,27.060307,27.169704,3210700,0.0,0
2011-10-18,ADI,27.1619,27.982386,26.95092,27.8808,4063300,0.0,0
2011-10-19,ADI,27.794838,27.95112,27.13845,27.208778,3818000,0.0,0
2011-10-20,ADI,27.146273,27.240042,26.513329,26.669611,6011100,0.0,0
2011-10-21,ADI,27.177513,27.740131,27.005606,27.45101,4598100,0.0,0
2011-10-24,ADI,27.583857,28.521553,27.568228,28.185545,3151500,0.0,0
2011-10-25,ADI,27.880795,28.412155,27.622927,28.08396,4142400,0.0,0
2011-10-26,ADI,28.3262,28.544994,27.818281,28.271502,3788800,0.0,0
2011-10-27,ADI,28.982592,29.287342,28.677841,29.107618,3101000,0.0,0
2011-10-28,ADI,28.896624,29.498312,28.740341,29.459242,4155000,0.0,0
2011-10-31,ADI,29.076351,29.177937,28.568436,28.576248,3337200,0.0,0
2011-11-01,ADI,27.724516,28.060524,27.521349,27.685446,4180900,0.0,0
2011-11-02,ADI,28.052711,28.076153,27.52135,27.740145,2348100,0.0,0
2011-11-03,ADI,27.998013,28.638771,27.615118,28.591885,3243200,0.0,0
2011-11-04,ADI,28.37309,29.217016,28.341835,29.107618,2961200,0.0,0
2011-11-07,ADI,29.006021,29.131048,28.505919,28.709087,2755500,0.0,0
2011-11-08,ADI,28.841934,29.068544,28.498114,29.013845,2512300,0.0,0
