date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ALK,12.535704,12.616637,12.175999,12.299647,1089600,0.0,0.0
2011-09-09,ALK,12.131036,12.663849,11.935447,12.131036,1442000,0.0,0.0
2011-09-12,ALK,11.951186,12.220964,11.9152155,12.202979,910800,0.0,0.0
2011-09-13,ALK,12.290652,12.92688,12.077079,12.686328,1816800,0.0,0.0
2011-09-14,ALK,12.796488,13.612568,12.796488,13.385505,2651600,0.0,0.0
2011-09-15,ALK,13.628306,13.689007,13.322557,13.423724,1192400,0.0,0.0
2011-09-16,ALK,13.459693,13.614817,13.398993,13.461942,1847200,0.0,0.0
2011-09-19,ALK,13.268601,13.434964,13.158442,13.297828,855600,0.0,0.0
2011-09-20,ALK,13.354031,13.477679,13.021303,13.023552,1308800,0.0,0.0
2011-09-21,ALK,13.034793,13.133712,12.443528,12.452521,1144000,0.0,0.0
2011-09-22,ALK,12.054596,12.528956,12.054596,12.466008,2700400,0.0,0.0
2011-09-23,ALK,12.495236,13.138207,12.495236,13.129215,1975200,0.0,0.0
2011-09-26,ALK,13.275344,13.351781,12.958354,13.187666,1477200,0.0,0.0
2011-09-27,ALK,13.455197,13.477679,13.075259,13.192163,1309600,0.0,0.0
2011-09-28,ALK,13.198909,13.300076,12.8864155,12.904401,1601200,0.0,0.0
2011-09-29,ALK,13.122473,13.19891,12.713308,13.034795,1164000,0.0,0.0
2011-09-30,ALK,12.814476,13.014562,12.621135,12.654858,1638000,0.0,0.0
2011-10-03,ALK,12.5154705,12.711061,11.524035,11.537524,3052400,0.0,0.0
2011-10-04,ALK,11.492563,12.304147,11.488067,12.268176,2707200,0.0,0.0
2011-10-05,ALK,12.241194,12.607643,12.025372,12.535702,1717200,0.0,0.0
2011-10-06,ALK,12.3423605,13.057274,12.3423605,13.050529,2057200,0.0,0.0
2011-10-07,ALK,13.124718,13.443955,12.859436,12.933624,2062400,0.0,0.0
2011-10-10,ALK,13.273096,13.500159,13.084251,13.497911,1626800,0.0,0.0
2011-10-11,ALK,13.434963,13.92731,13.340542,13.886843,1541200,0.0,0.0
2011-10-12,ALK,13.927312,14.127398,13.864363,13.958786,1558400,0.0,0.0
2011-10-13,ALK,13.931806,14.556792,13.839632,14.444385,1734400,0.0,0.0
2011-10-14,ALK,14.496094,14.498341,14.104915,14.318488,1535600,0.0,0.0
2011-10-17,ALK,14.161119,14.439891,14.062201,14.217323,1658800,0.0,0.0
2011-10-18,ALK,14.287018,14.664709,14.14988,14.51633,2085600,0.0,0.0
2011-10-19,ALK,14.511831,14.511831,14.145382,14.217323,1529600,0.0,0.0
2011-10-20,ALK,14.496094,14.835564,14.084681,14.817579,2197200,0.0,0.0
2011-10-21,ALK,14.878277,14.918744,14.462369,14.831066,3230400,0.0,0.0
2011-10-24,ALK,14.956964,15.581949,14.885022,15.42458,1806000,0.0,0.0
2011-10-25,ALK,15.170543,15.181783,14.5523,14.81983,1804400,0.0,0.0
2011-10-26,ALK,14.880527,15.015415,14.536559,14.734396,2063600,0.0,0.0
2011-10-27,ALK,15.332408,15.474042,14.808589,15.4021015,1746800,0.0,0.0
2011-10-28,ALK,15.384117,15.41559,15.062631,15.1188345,1201200,0.0,0.0
2011-10-31,ALK,14.873784,15.199765,14.765872,14.9569645,1356800,0.0,0.0
2011-11-01,ALK,14.5230665,14.990683,14.475856,14.750131,2214800,0.0,0.0
2011-11-02,ALK,14.954716,15.055883,14.619741,14.702924,1483200,0.0,0.0
2011-11-03,ALK,14.90076,15.512259,14.76812,15.471791,1891200,0.0,0.0
2011-11-04,ALK,15.379618,15.656139,15.264961,15.467296,1929200,0.0,0.0
2011-11-07,ALK,15.377368,15.588694,15.246975,15.433572,1263600,0.0,0.0
2011-11-08,ALK,15.566211,15.577452,15.134565,15.548226,1299200,0.0,0.0
2011-11-09,ALK,15.1862755,15.4807825,14.997429,15.033401,2230800,0.0,0.0
2011-11-10,ALK,15.242479,15.3503895,14.615244,14.734396,2062400,0.0,0.0
2011-11-11,ALK,14.864792,15.395356,14.846807,15.287444,1283200,0.0,0.0
2011-11-14,ALK,15.339153,15.63591,15.028907,15.064878,1607600,0.0,0.0
2011-11-15,ALK,15.060375,15.352636,14.93448,15.181776,1442000,0.0,0.0
2011-11-16,ALK,14.983941,15.11883,14.844555,14.864789,1525200,0.0,0.0
2011-11-17,ALK,14.83781,14.965954,14.4578705,14.574776,1675600,0.0,0.0
2011-11-18,ALK,14.595014,14.792852,14.520824,14.619743,1134000,0.0,0.0
2011-11-21,ALK,14.385932,14.417405,14.093672,14.33872,1205600,0.0,0.0
2011-11-22,ALK,14.354458,14.397174,14.059951,14.086928,777200,0.0,0.0
2011-11-23,ALK,13.961034,14.048713,13.671022,13.7137375,1453600,0.0,0.0
2011-11-25,ALK,13.657533,14.005997,13.614819,13.776685,575200,0.0,0.0
2011-11-28,ALK,14.284763,14.493841,14.179099,14.329726,847200,0.0,0.0
2011-11-29,ALK,14.417407,14.860293,14.336473,14.680442,1376800,0.0,0.0
2011-11-30,ALK,14.756875,15.615669,14.756875,15.606676,2637200,0.0,0.0
2011-12-01,ALK,15.505513,16.186703,15.460548,15.777539,4703200,0.0,0.0
2011-12-02,ALK,15.725831,15.871962,15.476286,15.660636,1742000,0.0,0.0
2011-12-05,ALK,15.737073,16.179958,15.698854,15.979874,2025200,0.0,0.0
2011-12-06,ALK,15.898941,16.1912,15.85173,15.932664,2446000,0.0,0.0
2011-12-07,ALK,15.766302,15.8922,15.651648,15.750566,2429200,0.0,0.0
2011-12-08,ALK,15.653894,15.653894,15.091856,15.267214,2243600,0.0,0.0
2011-12-09,ALK,15.348143,15.793278,15.287443,15.685366,1478400,0.0,0.0
2011-12-12,ALK,15.523499,15.885451,15.474039,15.784284,1596800,0.0,0.0
2011-12-13,ALK,15.923669,16.024836,15.768546,15.813508,4234000,0.0,0.0
2011-12-14,ALK,15.748312,16.220423,15.611175,16.18895,2811600,0.0,0.0
2011-12-15,ALK,16.373304,16.636337,16.260897,16.528425,2678800,0.0,0.0
2011-12-16,ALK,16.564394,17.173643,16.564394,17.121937,4332000,0.0,0.0
2011-12-19,ALK,17.119692,17.200624,16.65657,16.703783,1658400,0.0,0.0
2011-12-20,ALK,16.915108,17.20512,16.793707,17.13093,2253200,0.0,0.0
2011-12-21,ALK,17.03876,17.299543,16.861155,17.200626,1161600,0.0,0.0
2011-12-22,ALK,17.243336,17.31078,17.000536,17.16465,1081200,0.0,0.0
2011-12-23,ALK,17.180387,17.180387,16.706028,17.090462,1752400,0.0,0.0
2011-12-27,ALK,17.07248,17.342257,16.86115,16.99604,1242800,0.0,0.0
2011-12-28,ALK,16.919601,17.061235,16.636333,16.827427,1070400,0.0,0.0
2011-12-29,ALK,16.800451,17.097208,16.798203,17.072477,785600,0.0,0.0
2011-12-30,ALK,17.074728,17.124187,16.845417,16.881386,1045200,0.0,0.0
2012-01-03,ALK,17.182636,17.234344,16.586876,16.625093,2173600,0.0,0.0
2012-01-04,ALK,16.604858,16.795952,16.339577,16.733004,1688000,0.0,0.0
2012-01-05,ALK,16.636335,16.969063,16.54416,16.915106,1483200,0.0,0.0
2012-01-06,ALK,16.85665,16.962313,16.584621,16.604856,1942800,0.0,0.0
2012-01-09,ALK,16.71277,16.9803,16.546408,16.807194,1644000,0.0,0.0
2012-01-10,ALK,16.604858,16.80944,16.465473,16.613852,1745600,0.0,0.0
2012-01-11,ALK,16.46098,16.638584,16.281128,16.377798,2420800,0.0,0.0
2012-01-12,ALK,16.45423,16.481205,15.968627,16.22267,2230800,0.0,0.0
2012-01-13,ALK,16.137249,16.337334,15.939412,16.301365,1800000,0.0,0.0
2012-01-17,ALK,16.465477,16.57114,16.231668,16.26764,1016400,0.0,0.0
2012-01-18,ALK,16.290123,16.63634,16.07655,16.503698,1113600,0.0,0.0
2012-01-19,ALK,16.512688,16.793707,16.409273,16.640833,1579200,0.0,0.0
2012-01-20,ALK,16.5599,16.782467,16.476719,16.528425,1000000,0.0,0.0
2012-01-23,ALK,16.541912,16.757734,16.344072,16.573385,1347200,0.0,0.0
2012-01-24,ALK,16.526176,16.802698,16.425009,16.694788,1202800,0.0,0.0
2012-01-25,ALK,16.802698,17.344503,16.78696,16.96007,1987200,0.0,0.0
2012-01-26,ALK,16.292362,16.78021,16.004599,16.346317,3015600,0.0,0.0
2012-01-27,ALK,16.344072,16.856653,16.186703,16.76223,1625600,0.0,0.0
2012-01-30,ALK,16.589125,16.937588,16.586876,16.759985,1359600,0.0,0.0
2012-01-31,ALK,16.818432,17.169146,16.481209,17.115189,2098800,0.0,0.0
2012-02-01,ALK,17.193874,17.508614,17.092707,17.463652,1704400,0.0,0.0
