date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ANSS,52.55,53.32,51.78,51.81,713300,0,0
2011-09-09,ANSS,51.3,51.79,50.04,50.49,561000,0,0
2011-09-12,ANSS,49.68,51.23,49.58,51.21,525400,0,0
2011-09-13,ANSS,51.41,51.82,50.74,51.48,386400,0,0
2011-09-14,ANSS,51.96,53.9,51.5,53.07,586200,0,0
2011-09-15,ANSS,53.54,54.02,52.65,53.97,423700,0,0
2011-09-16,ANSS,53.98,54.49,53.43,54.05,605500,0,0
2011-09-19,ANSS,52.94,54.14,52.3,53.73,457200,0,0
2011-09-20,ANSS,53.86,54.49,52.4,52.46,579500,0,0
2011-09-21,ANSS,52.48,53.63,50.96,51.05,490400,0,0
2011-09-22,ANSS,50.0,50.52,48.75,49.31,488000,0,0
2011-09-23,ANSS,49.08,50.03,48.64,49.82,438600,0,0
2011-09-26,ANSS,50.12,50.88,48.94,50.83,293400,0,0
2011-09-27,ANSS,51.95,52.75,51.19,52.19,434000,0,0
2011-09-28,ANSS,52.09,53.16,50.46,50.55,381000,0,0
2011-09-29,ANSS,51.39,51.68,49.63,50.95,287200,0,0
2011-09-30,ANSS,50.11,50.58,48.96,49.04,471800,0,0
2011-10-03,ANSS,48.92,49.12,46.14,46.52,695300,0,0
2011-10-04,ANSS,46.04,47.61,45.96,47.6,604800,0,0
2011-10-05,ANSS,47.77,49.05,47.29,48.65,441400,0,0
2011-10-06,ANSS,48.44,48.81,47.8,48.63,642900,0,0
2011-10-07,ANSS,48.8,48.98,47.84,47.98,963700,0,0
2011-10-10,ANSS,48.78,49.19,48.25,49.14,747000,0,0
2011-10-11,ANSS,48.88,49.93,48.42,49.78,584800,0,0
2011-10-12,ANSS,50.04,51.23,49.83,50.52,235000,0,0
2011-10-13,ANSS,50.25,50.96,50.07,50.87,193600,0,0
2011-10-14,ANSS,51.49,52.03,51.23,51.9,185800,0,0
2011-10-17,ANSS,51.48,51.82,50.4,50.56,317900,0,0
2011-10-18,ANSS,50.75,51.85,50.04,51.57,232800,0,0
2011-10-19,ANSS,51.45,51.84,50.39,50.51,183800,0,0
2011-10-20,ANSS,50.44,50.88,49.36,50.65,201700,0,0
2011-10-21,ANSS,51.2,51.37,50.35,50.96,207700,0,0
2011-10-24,ANSS,51.15,51.85,50.81,51.75,858800,0,0
2011-10-25,ANSS,51.47,51.84,50.92,51.33,238300,0,0
2011-10-26,ANSS,51.91,51.91,50.13,51.65,276800,0,0
2011-10-27,ANSS,53.26,55.18,53.05,55.06,443100,0,0
2011-10-28,ANSS,54.8,55.11,54.41,54.93,228600,0,0
2011-10-31,ANSS,54.14,55.09,53.47,54.36,423000,0,0
2011-11-01,ANSS,52.51,53.99,52.44,52.94,481300,0,0
2011-11-02,ANSS,53.73,54.8,53.15,54.31,671100,0,0
2011-11-03,ANSS,55.04,58.47,53.46,57.97,980000,0,0
2011-11-04,ANSS,57.26,58.25,56.66,57.94,321300,0,0
2011-11-07,ANSS,57.8,59.97,57.58,59.88,686100,0,0
2011-11-08,ANSS,59.99,60.83,58.74,59.6,506100,0,0
2011-11-09,ANSS,58.38,58.6,56.8,56.93,319800,0,0
2011-11-10,ANSS,57.63,57.92,56.71,57.7,286300,0,0
2011-11-11,ANSS,58.3,59.28,58.13,58.82,204200,0,0
2011-11-14,ANSS,58.43,59.33,58.35,58.67,183200,0,0
2011-11-15,ANSS,58.36,59.72,58.18,59.15,181300,0,0
2011-11-16,ANSS,58.48,60.17,57.73,58.94,345500,0,0
2011-11-17,ANSS,58.63,58.85,57.66,58.25,705400,0,0
2011-11-18,ANSS,58.57,58.86,57.58,58.71,494200,0,0
2011-11-21,ANSS,57.89,58.68,57.22,58.61,911400,0,0
2011-11-22,ANSS,58.59,58.7,57.38,57.85,605800,0,0
2011-11-23,ANSS,57.39,57.99,56.41,56.85,256500,0,0
2011-11-25,ANSS,56.5,57.43,56.1,56.93,232300,0,0
2011-11-28,ANSS,58.62,59.38,57.77,58.36,524300,0,0
2011-11-29,ANSS,58.44,59.16,58.11,58.89,522300,0,0
2011-11-30,ANSS,60.39,61.99,60.38,61.97,623000,0,0
2011-12-01,ANSS,61.64,62.3,61.17,61.46,409000,0,0
2011-12-02,ANSS,61.99,62.05,60.24,60.33,478200,0,0
2011-12-05,ANSS,61.14,62.06,60.98,61.41,344900,0,0
2011-12-06,ANSS,61.57,61.75,61.14,61.48,194700,0,0
2011-12-07,ANSS,61.05,61.54,59.74,61.29,301800,0,0
2011-12-08,ANSS,60.7,61.24,60.05,60.21,227200,0,0
2011-12-09,ANSS,60.36,62.08,60.12,61.98,246900,0,0
2011-12-12,ANSS,61.29,61.39,60.06,60.51,241900,0,0
2011-12-13,ANSS,60.66,61.01,59.18,59.4,308300,0,0
2011-12-14,ANSS,59.13,59.13,57.48,58.13,321600,0,0
2011-12-15,ANSS,58.89,59.05,57.94,58.9,325200,0,0
2011-12-16,ANSS,59.09,60.94,59.06,59.51,634800,0,0
2011-12-19,ANSS,59.92,60.1,57.87,58.01,248400,0,0
2011-12-20,ANSS,58.74,59.94,58.66,59.53,390000,0,0
2011-12-21,ANSS,59.5,59.5,56.55,57.39,310800,0,0
2011-12-22,ANSS,57.63,58.01,57.07,57.34,415800,0,0
2011-12-23,ANSS,57.44,58.01,56.95,57.95,148400,0,0
2011-12-27,ANSS,57.95,59.04,57.45,57.85,191600,0,0
2011-12-28,ANSS,57.91,57.91,56.47,56.61,254100,0,0
2011-12-29,ANSS,57.08,57.37,56.61,57.24,171900,0,0
2011-12-30,ANSS,56.97,57.56,56.87,57.28,475900,0,0
2012-01-03,ANSS,58.06,58.6,57.01,57.39,307700,0,0
2012-01-04,ANSS,57.15,57.22,56.34,56.4,241500,0,0
2012-01-05,ANSS,56.21,57.55,55.21,57.3,324800,0,0
2012-01-06,ANSS,57.25,57.57,56.72,56.94,283000,0,0
2012-01-09,ANSS,56.88,57.87,55.89,56.68,194700,0,0
2012-01-10,ANSS,57.14,57.23,56.58,56.73,200800,0,0
2012-01-11,ANSS,56.63,57.03,56.3,56.83,193600,0,0
2012-01-12,ANSS,56.88,57.56,56.7,57.44,509800,0,0
2012-01-13,ANSS,57.26,57.88,56.7,57.35,212700,0,0
2012-01-17,ANSS,57.08,57.87,56.97,57.23,236400,0,0
2012-01-18,ANSS,57.3,58.91,56.6,58.88,165400,0,0
2012-01-19,ANSS,59.04,60.91,59.04,60.56,291700,0,0
2012-01-20,ANSS,60.57,61.29,60.39,60.81,292300,0,0
2012-01-23,ANSS,60.65,61.4,60.27,60.57,213600,0,0
2012-01-24,ANSS,60.39,61.67,60.39,61.34,184000,0,0
2012-01-25,ANSS,61.22,61.38,60.48,61.26,171600,0,0
2012-01-26,ANSS,61.52,62.45,61.07,61.51,299600,0,0
2012-01-27,ANSS,61.37,61.88,61.15,61.46,162200,0,0
2012-01-30,ANSS,60.89,61.17,60.19,60.46,177500,0,0
2012-01-31,ANSS,59.77,61.0,59.61,60.49,357000,0,0
2012-02-01,ANSS,60.93,63.03,60.08,63.0,331900,0,0
2012-02-02,ANSS,63.17,63.73,62.63,62.88,171800,0,0
2012-02-03,ANSS,63.46,64.1,63.13,63.75,247000,0,0
2012-02-06,ANSS,63.53,63.95,63.23,63.48,177800,0,0
2012-02-07,ANSS,63.26,64.48,62.59,63.76,176100,0,0
2012-02-08,ANSS,63.75,64.46,62.64,63.61,211800,0,0
2012-02-09,ANSS,63.96,64.62,63.27,64.27,210300,0,0
2012-02-10,ANSS,63.69,64.39,63.0,63.65,186000,0,0
2012-02-13,ANSS,64.32,64.52,63.67,64.2,173700,0,0
2012-02-14,ANSS,64.01,64.67,63.76,64.31,176500,0,0
2012-02-15,ANSS,64.64,64.67,63.68,64.05,264600,0,0
2012-02-16,ANSS,64.0,65.26,63.93,65.1,261000,0,0
2012-02-17,ANSS,65.26,65.36,64.58,64.89,235400,0,0
2012-02-21,ANSS,64.93,65.16,64.35,64.99,319000,0,0
2012-02-22,ANSS,64.72,66.21,64.51,66.01,779400,0,0
2012-02-23,ANSS,64.0,64.64,62.68,63.08,1538200,0,0
2012-02-24,ANSS,63.16,64.38,62.18,63.83,504500,0,0
2012-02-27,ANSS,63.41,64.37,62.74,63.67,246300,0,0
2012-02-28,ANSS,63.65,64.65,63.26,63.98,305500,0,0
2012-02-29,ANSS,64.38,64.62,63.18,63.18,333900,0,0
2012-03-01,ANSS,63.38,64.04,63.28,63.62,295700,0,0
2012-03-02,ANSS,63.69,64.14,63.14,63.57,280600,0,0
2012-03-05,ANSS,63.57,63.68,62.93,63.28,200600,0,0
2012-03-06,ANSS,62.7,63.13,61.4,61.62,369000,0,0
2012-03-07,ANSS,61.87,62.59,61.64,62.34,118800,0,0
2012-03-08,ANSS,62.71,63.68,62.25,62.67,224900,0,0
2012-03-09,ANSS,62.8,63.53,62.8,63.42,314700,0,0
2012-03-12,ANSS,63.23,63.67,62.96,63.21,259100,0,0
2012-03-13,ANSS,63.61,64.77,63.22,64.77,302900,0,0
2012-03-14,ANSS,64.82,64.95,64.07,64.7,248800,0,0
2012-03-15,ANSS,64.9,65.73,64.45,65.52,350400,0,0
2012-03-16,ANSS,65.41,66.0,65.38,65.55,521900,0,0
2012-03-19,ANSS,65.2,65.87,64.42,65.41,300600,0,0
2012-03-20,ANSS,64.91,65.38,64.35,64.66,428900,0,0
2012-03-21,ANSS,64.67,65.54,64.43,65.14,317400,0,0
2012-03-22,ANSS,64.75,65.01,63.8,64.83,271200,0,0
2012-03-23,ANSS,64.97,64.97,64.08,64.83,165800,0,0
2012-03-26,ANSS,65.26,66.25,65.08,66.03,283200,0,0
2012-03-27,ANSS,65.91,66.56,65.44,66.13,238700,0,0
2012-03-28,ANSS,66.01,66.24,64.77,65.3,235800,0,0
2012-03-29,ANSS,64.92,65.41,64.57,65.21,345400,0,0
2012-03-30,ANSS,64.49,65.75,63.52,65.02,699800,0,0
2012-04-02,ANSS,64.95,66.49,64.01,65.75,564100,0,0
2012-04-03,ANSS,65.83,66.69,65.32,66.26,447500,0,0
2012-04-04,ANSS,65.75,65.84,64.19,64.41,287800,0,0
2012-04-05,ANSS,63.41,64.39,62.88,64.28,571800,0,0
2012-04-09,ANSS,63.43,63.85,62.81,63.57,314300,0,0
2012-04-10,ANSS,63.65,63.9,62.24,62.24,290100,0,0
