date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,AON,40.615494,40.96447,40.203884,40.284416,1820200,0.0,0
2011-09-09,AON,39.837013,39.8907,38.84377,39.004837,2696500,0.0,0
2011-09-12,AON,38.6648,38.933243,37.966846,38.834816,2811800,0.0,0
2011-09-13,AON,39.031677,39.076416,37.877373,38.333725,3220900,0.0,0
2011-09-14,AON,38.68271,38.754295,38.020554,38.387424,2980100,0.0,0
2011-09-15,AON,38.834824,39.35381,38.575325,39.1659,3082200,0.0,0
2011-09-16,AON,39.362766,39.47909,38.54849,39.38961,2571500,0.0,0
2011-09-19,AON,38.718483,39.139046,38.414246,38.897446,1842800,0.0,0
2011-09-20,AON,39.13011,39.398556,38.512695,38.53059,1650900,0.0,0
2011-09-21,AON,38.512684,38.655853,36.803593,36.803593,2909100,0.0,0
2011-09-22,AON,36.383034,36.696217,35.50612,36.177227,4355700,0.0,0
2011-09-23,AON,36.069855,36.48147,35.685085,35.79246,3106900,0.0,0
2011-09-26,AON,36.275642,36.499344,35.559795,36.454605,3455300,0.0,0
2011-09-27,AON,37.080986,37.761044,36.64253,36.87518,2942100,0.0,0
2011-09-28,AON,36.821487,36.90202,35.783504,35.837193,3034400,0.0,0
2011-09-29,AON,36.615673,37.841568,36.56199,37.841568,4576500,0.0,0
2011-09-30,AON,37.224148,38.020535,37.027294,37.56418,4631200,0.0,0
2011-10-03,AON,37.25101,37.95791,36.347248,36.347248,3994000,0.0,0
2011-10-04,AON,35.846146,37.85052,35.702976,37.7163,4500000,0.0,0
2011-10-05,AON,37.680508,38.852707,37.259945,38.718487,4956900,0.0,0
2011-10-06,AON,38.494797,39.380657,38.208454,39.353813,3354900,0.0,0
2011-10-07,AON,39.631207,39.667,38.57533,38.745342,3132500,0.0,0
2011-10-10,AON,39.496967,39.836998,39.273266,39.738567,3005700,0.0,0
2011-10-11,AON,39.326973,39.81017,39.103268,39.65805,1908300,0.0,0
2011-10-12,AON,39.899628,40.517044,39.720665,40.150173,2970400,0.0,0
2011-10-13,AON,40.00701,40.17703,39.622242,40.01596,1760400,0.0,0
2011-10-14,AON,40.400738,40.445477,39.935432,40.37389,1805600,0.0,0
2011-10-17,AON,40.212826,40.212826,39.70278,39.76542,2878600,0.0,0
2011-10-18,AON,39.8907,41.447674,39.774376,41.143436,2497500,0.0,0
2011-10-19,AON,40.982357,42.279835,40.830242,41.68926,3607200,0.0,0
2011-10-20,AON,41.635586,42.449863,41.358196,42.33354,4556200,0.0,0
2011-10-21,AON,42.763046,44.141056,42.763046,44.141056,4326700,0.0,0
2011-10-24,AON,44.096302,44.982166,44.096302,44.901634,2991000,0.0,0
2011-10-25,AON,43.81892,44.46318,43.19255,43.926296,3689400,0.0,0
2011-10-26,AON,44.498966,44.973217,43.818913,44.49002,3162500,0.0,0
2011-10-27,AON,45.313248,45.73381,44.570557,45.58169,3468800,0.0,0
2011-10-28,AON,44.23552,44.747066,41.13033,43.06883,7038100,0.15,0
2011-10-31,AON,42.28804,42.52138,41.78547,41.839314,5234000,0.0,0
2011-11-01,AON,40.627743,41.51622,40.60979,40.888004,5526500,0.0,0
2011-11-02,AON,41.632893,42.4406,41.534172,42.099567,4248700,0.0,0
2011-11-03,AON,42.458553,42.602146,41.650845,42.449577,2283400,0.0,0
2011-11-04,AON,41.982903,42.79061,41.947006,42.548298,2979900,0.0,0
2011-11-07,AON,42.4047,42.602142,41.973923,42.557266,2266800,0.0,0
2011-11-08,AON,42.943188,43.427814,42.566257,43.347042,2312500,0.0,0
2011-11-09,AON,42.38677,42.997036,42.314976,42.62908,3568900,0.0,0
2011-11-10,AON,43.09574,43.09574,42.261112,42.530346,2698100,0.0,0
2011-11-11,AON,43.059853,43.50858,42.961132,43.158573,1733100,0.0,0
2011-11-14,AON,42.99702,43.06882,42.413677,42.584194,1172500,0.0,0
2011-11-15,AON,42.539314,42.799576,42.377773,42.51239,1673600,0.0,0
2011-11-16,AON,42.108547,42.458557,41.695717,41.731617,1863400,0.0,0
2011-11-17,AON,41.731613,42.027775,41.46238,41.659817,2761800,0.0,0
2011-11-18,AON,41.58803,41.597004,41.04956,41.085457,2839700,0.0,0
2011-11-21,AON,40.51107,40.762356,39.91875,40.205936,2362600,0.0,0
2011-11-22,AON,40.02645,40.152096,39.443108,39.496952,2525400,0.0,0
2011-11-23,AON,39.263626,39.55081,38.994392,39.200806,2519600,0.0,0
2011-11-25,AON,38.967453,39.81106,38.92258,39.694393,1163700,0.0,0
2011-11-28,AON,40.349533,40.35851,39.784138,40.10722,1654100,0.0,0
2011-11-29,AON,40.098248,40.214916,39.820034,39.900806,1114300,0.0,0
2011-11-30,AON,40.05338,41.33674,40.0444,41.255966,3475400,0.0,0
2011-12-01,AON,41.06751,41.318798,40.90597,41.16623,1073900,0.0,0
2011-12-02,AON,41.561096,41.776485,41.264935,41.29186,1690600,0.0,0
2011-12-05,AON,41.830338,41.875206,41.24699,41.50725,2083600,0.0,0
2011-12-06,AON,41.50725,41.62392,41.32776,41.453403,1562200,0.0,0
2011-12-07,AON,41.686752,41.686752,41.130333,41.48931,1939300,0.0,0
2011-12-08,AON,41.13931,41.46239,41.031612,41.10341,3399300,0.0,0
2011-12-09,AON,41.417503,41.695713,41.139294,41.543148,2477700,0.0,0
2011-12-12,AON,41.13031,41.255955,40.45722,40.681583,1490700,0.0,0
2011-12-13,AON,40.78032,40.932888,39.81107,39.945686,3365300,0.0,0
2011-12-14,AON,39.927742,40.573906,39.900814,40.43929,3111600,0.0,0
2011-12-15,AON,40.825188,40.879032,40.448254,40.5739,1874000,0.0,0
2011-12-16,AON,40.76237,40.96879,40.12518,40.2598,2638600,0.0,0
2011-12-19,AON,40.25082,40.430313,39.882866,40.00851,1628300,0.0,0
2011-12-20,AON,40.591846,41.139294,40.5021,41.09442,2700800,0.0,0
