date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,BBY,18.071411,18.108488,17.797039,17.945349,4787800,0.0,0
2011-09-09,BBY,17.70064,18.301289,17.611652,18.16781,7660200,0.0,0
2011-09-12,BBY,18.019505,18.686893,17.84895,18.508923,8745900,0.0,0
2011-09-13,BBY,18.316122,18.316122,16.862698,17.315039,32901200,0.0,0
2011-09-14,BBY,17.107405,18.056581,16.981342,17.804457,13162600,0.0,0
2011-09-15,BBY,17.989841,19.065079,17.989841,19.042833,12546800,0.0,0
2011-09-16,BBY,19.213388,19.354282,18.72397,18.857449,10768100,0.0,0
2011-09-19,BBY,18.568249,18.738804,18.375448,18.612741,5405600,0.0,0
2011-09-20,BBY,18.716558,18.968683,18.368032,18.382864,5679200,0.0,0
2011-09-21,BBY,18.427353,18.620153,17.87861,17.886026,4358700,0.0,0
2011-09-22,BBY,17.322454,18.138151,17.292791,17.982428,9221900,0.0,0
2011-09-23,BBY,17.900854,18.071411,17.759962,17.930517,6440600,0.0,0
2011-09-26,BBY,18.012089,18.746216,17.871195,18.701723,4782800,0.0,0
2011-09-27,BBY,19.013176,19.057669,18.190063,18.30871,9193600,0.0,0
2011-09-28,BBY,18.390278,18.434772,18.108492,18.145569,8760700,0.0,0
2011-09-29,BBY,18.464434,18.575665,17.604244,18.07883,8157100,0.0,0
2011-09-30,BBY,17.825035,17.88475,17.384636,17.3921,5148400,0.16,0
2011-10-03,BBY,17.309994,17.548855,16.496372,16.511301,9517400,0.0,0
2011-10-04,BBY,16.302298,17.01888,16.264977,17.003954,9300000,0.0,0
2011-10-05,BBY,17.123386,17.429428,16.936775,17.287603,9137900,0.0,0
2011-10-06,BBY,17.309992,18.108685,17.295063,18.108685,5034400,0.0,0
2011-10-07,BBY,18.541618,19.011877,18.466974,18.489368,10051900,0.0,0
2011-10-10,BBY,18.81034,18.884983,18.511763,18.728231,4674300,0.0,0
2011-10-11,BBY,18.750624,19.310455,18.608799,19.25074,4940400,0.0,0
2011-10-12,BBY,19.362709,19.638893,19.079062,19.273136,4944000,0.0,0
2011-10-13,BBY,19.19849,19.437351,19.011879,19.071594,3860300,0.0,0
2011-10-14,BBY,19.340313,19.437351,18.982021,19.153702,3956100,0.0,0
2011-10-17,BBY,18.982027,19.220888,18.526697,18.56402,4028100,0.0,0
2011-10-18,BBY,18.616266,19.138775,18.310226,18.9447,4822600,0.0,0
2011-10-19,BBY,18.832735,18.982025,18.564016,18.690912,3940100,0.0,0
2011-10-20,BBY,18.66105,19.265669,18.399796,19.205954,5085300,0.0,0
2011-10-21,BBY,19.414967,19.698614,19.176104,19.467216,3580500,0.0,0
2011-10-24,BBY,19.49707,20.034508,19.48214,19.728466,4071400,0.0,0
2011-10-25,BBY,19.489607,19.840433,19.332853,19.444818,3768600,0.0,0
2011-10-26,BBY,19.735933,20.041973,19.317924,19.892685,6126800,0.0,0
2011-10-27,BBY,20.288294,20.601799,20.124075,20.191256,8961600,0.0,0
2011-10-28,BBY,20.33308,20.40026,19.594103,19.780714,6594300,0.0,0
2011-10-31,BBY,19.892677,20.124075,19.482136,19.579172,6598600,0.0,0
2011-11-01,BBY,19.049202,19.765787,18.907377,19.355244,5213100,0.0,0
2011-11-02,BBY,19.750858,20.153938,19.706072,19.847897,6004100,0.0,0
2011-11-03,BBY,20.019577,20.19126,19.392567,20.161402,5404100,0.0,0
2011-11-04,BBY,19.930008,20.54209,19.930008,20.385336,5305000,0.0,0
2011-11-07,BBY,20.295755,20.549547,19.586636,19.750853,6674400,0.0,0
2011-11-08,BBY,19.780718,20.064365,19.317923,20.034508,6642400,0.0,0
2011-11-09,BBY,19.877754,20.870522,19.87029,20.318155,10188900,0.0,0
2011-11-10,BBY,20.661518,20.967558,20.168865,20.377869,7661900,0.0,0
2011-11-11,BBY,20.616735,21.169104,20.601807,20.967564,5186200,0.0,0
2011-11-14,BBY,20.848131,20.99742,20.54209,20.631662,3804300,0.0,0
2011-11-15,BBY,20.474909,20.975025,20.474909,20.945168,7092900,0.0,0
2011-11-16,BBY,20.721235,21.154171,20.654055,20.945168,6530200,0.0,0
2011-11-17,BBY,20.967562,21.019812,20.34055,20.54209,6125900,0.0,0
2011-11-18,BBY,20.564476,20.668978,20.079288,20.198719,5412000,0.0,0
2011-11-21,BBY,19.870287,19.95986,19.265667,19.713533,6144900,0.0,0
2011-11-22,BBY,19.616499,19.728466,19.332851,19.541855,4582500,0.0,0
2011-11-23,BBY,19.385103,19.534393,19.131313,19.191029,3224000,0.0,0
2011-11-25,BBY,19.06413,19.691141,19.06413,19.13131,2795800,0.0,0
2011-11-28,BBY,20.116611,20.176327,19.571707,19.773247,5706700,0.0,0
2011-11-29,BBY,19.870296,20.885458,19.780724,20.795885,8963300,0.0,0
2011-11-30,BBY,21.079525,21.213884,20.116615,20.221117,9965300,0.0,0
2011-12-01,BBY,20.049438,20.422659,20.00465,20.20619,6444800,0.0,0
