date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,BIO,98.15,99.1,96.34,96.49,77800,0,0
2011-09-09,BIO,94.85,95.25,91.59,92.23,122500,0,0
2011-09-12,BIO,91.33,92.33,90.46,91.72,130800,0,0
2011-09-13,BIO,92.54,93.95,91.91,93.41,66200,0,0
2011-09-14,BIO,94.23,98.24,93.66,97.19,86800,0,0
2011-09-15,BIO,98.67,98.67,95.93,97.6,55300,0,0
2011-09-16,BIO,98.18,98.41,97.06,98.22,101600,0,0
2011-09-19,BIO,96.34,96.74,94.43,94.96,59100,0,0
2011-09-20,BIO,95.87,95.94,92.38,92.5,91000,0,0
2011-09-21,BIO,92.67,93.01,88.78,89.5,180200,0,0
2011-09-22,BIO,84.46,88.2,84.02,87.54,119300,0,0
2011-09-23,BIO,87.19,90.22,87.05,90.19,107800,0,0
2011-09-26,BIO,90.62,90.75,88.39,90.61,80300,0,0
2011-09-27,BIO,91.77,96.96,91.0,95.98,174300,0,0
2011-09-28,BIO,95.97,96.06,90.2,90.32,92500,0,0
2011-09-29,BIO,91.8,91.8,88.88,91.03,77600,0,0
2011-09-30,BIO,89.71,92.73,89.57,90.77,112800,0,0
2011-10-03,BIO,90.04,91.3,88.76,88.92,175700,0,0
2011-10-04,BIO,88.26,92.76,87.98,92.47,108900,0,0
2011-10-05,BIO,92.45,94.65,92.15,93.92,81900,0,0
2011-10-06,BIO,93.5,94.99,92.83,94.69,109000,0,0
2011-10-07,BIO,94.56,94.56,91.77,91.93,67500,0,0
2011-10-10,BIO,93.41,94.73,92.65,93.71,41600,0,0
2011-10-11,BIO,93.23,94.15,92.74,93.4,68600,0,0
2011-10-12,BIO,93.84,95.96,93.73,94.28,48500,0,0
2011-10-13,BIO,93.97,95.07,93.15,94.65,38500,0,0
2011-10-14,BIO,95.37,95.37,93.86,94.88,55700,0,0
2011-10-17,BIO,94.26,94.43,91.31,91.8,48400,0,0
2011-10-18,BIO,92.1,94.72,90.66,94.42,64900,0,0
2011-10-19,BIO,93.97,94.66,93.53,94.1,70500,0,0
2011-10-20,BIO,94.3,95.55,93.75,95.06,63200,0,0
2011-10-21,BIO,96.22,98.56,95.71,98.56,61100,0,0
2011-10-24,BIO,98.61,101.56,98.19,101.35,47300,0,0
2011-10-25,BIO,100.85,101.38,98.11,98.29,57300,0,0
2011-10-26,BIO,99.64,99.72,97.12,98.74,41400,0,0
2011-10-27,BIO,101.77,103.22,100.18,102.43,65300,0,0
2011-10-28,BIO,102.35,103.19,101.84,102.02,49100,0,0
2011-10-31,BIO,101.0,101.01,99.44,99.55,55600,0,0
2011-11-01,BIO,95.78,97.37,94.41,95.19,83000,0,0
2011-11-02,BIO,94.87,96.99,94.4,95.91,93800,0,0
2011-11-03,BIO,96.98,98.8,95.92,98.77,39900,0,0
2011-11-04,BIO,97.54,98.11,96.42,98.04,51700,0,0
2011-11-07,BIO,97.62,100.49,97.62,100.33,70800,0,0
2011-11-08,BIO,100.48,102.68,99.82,102.55,69300,0,0
2011-11-09,BIO,100.74,100.8,97.55,98.2,46000,0,0
2011-11-10,BIO,99.85,100.22,98.19,98.82,27100,0,0
2011-11-11,BIO,99.96,101.5,99.47,101.06,20100,0,0
2011-11-14,BIO,100.16,100.84,99.05,99.45,24500,0,0
2011-11-15,BIO,98.96,99.35,97.42,99.18,78500,0,0
2011-11-16,BIO,98.28,98.56,96.71,96.71,68300,0,0
2011-11-17,BIO,96.89,96.89,94.85,95.41,80900,0,0
2011-11-18,BIO,96.07,96.28,94.93,95.51,31400,0,0
2011-11-21,BIO,93.78,94.59,92.96,93.25,56500,0,0
2011-11-22,BIO,93.19,93.44,92.14,92.54,25200,0,0
2011-11-23,BIO,92.01,92.12,89.94,90.53,80500,0,0
2011-11-25,BIO,90.3,91.0,89.67,90.03,9100,0,0
2011-11-28,BIO,94.33,94.33,91.39,92.32,35900,0,0
2011-11-29,BIO,92.5,92.52,91.13,91.94,28700,0,0
2011-11-30,BIO,96.49,98.71,93.85,94.3,93800,0,0
2011-12-01,BIO,93.47,95.72,92.99,93.2,46600,0,0
2011-12-02,BIO,94.43,94.44,91.94,92.4,38200,0,0
2011-12-05,BIO,93.88,94.9,92.77,93.74,32800,0,0
2011-12-06,BIO,93.58,93.65,92.23,93.3,39300,0,0
2011-12-07,BIO,92.99,93.89,91.41,91.77,87800,0,0
2011-12-08,BIO,91.05,91.83,89.54,89.99,108000,0,0
2011-12-09,BIO,90.44,91.44,90.44,90.91,73400,0,0
2011-12-12,BIO,90.17,90.66,89.07,90.48,54000,0,0
2011-12-13,BIO,91.13,91.48,89.63,90.33,61600,0,0
2011-12-14,BIO,89.64,90.28,88.86,89.31,62100,0,0
2011-12-15,BIO,90.47,91.71,89.99,91.31,54600,0,0
2011-12-16,BIO,91.64,97.84,90.7,97.07,379700,0,0
2011-12-19,BIO,97.05,99.02,95.12,95.13,94100,0,0
2011-12-20,BIO,96.98,97.69,95.91,96.36,110400,0,0
2011-12-21,BIO,96.0,96.85,95.11,96.77,34700,0,0
2011-12-22,BIO,96.86,96.93,95.83,95.98,43600,0,0
2011-12-23,BIO,96.12,96.19,95.54,95.73,29400,0,0
2011-12-27,BIO,95.74,97.29,95.42,95.66,45100,0,0
2011-12-28,BIO,96.0,96.0,94.27,94.3,19300,0,0
2011-12-29,BIO,94.38,96.41,94.38,95.62,33800,0,0
2011-12-30,BIO,95.67,96.77,95.43,96.04,42300,0,0
2012-01-03,BIO,97.99,98.49,97.51,98.08,52300,0,0
2012-01-04,BIO,97.47,98.06,96.59,97.96,62100,0,0
2012-01-05,BIO,97.59,99.25,97.3,98.44,101600,0,0
2012-01-06,BIO,98.25,98.69,97.13,97.5,51000,0,0
2012-01-09,BIO,97.96,97.96,96.24,96.64,46600,0,0
2012-01-10,BIO,97.43,98.85,97.16,98.7,29600,0,0
2012-01-11,BIO,98.28,101.61,98.06,101.34,86100,0,0
2012-01-12,BIO,101.79,101.79,99.58,100.04,93600,0,0
2012-01-13,BIO,99.27,99.27,97.83,98.14,65500,0,0
2012-01-17,BIO,98.51,100.41,98.51,98.98,38000,0,0
2012-01-18,BIO,99.36,99.98,98.63,99.86,82700,0,0
2012-01-19,BIO,99.91,101.37,99.84,99.84,85900,0,0
