date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,BKNG,538.65,549.33,533.1,538.39,1483700,0,0
2011-09-09,BKNG,534.89,538.04,516.9,520.75,1613300,0,0
2011-09-12,BKNG,511.45,531.77,508.14,528.87,1197400,0,0
2011-09-13,BKNG,530.47,530.7,516.6,523.03,1001400,0,0
2011-09-14,BKNG,524.93,539.0,513.0,529.56,1473400,0,0
2011-09-15,BKNG,533.68,534.7,522.7,524.0,943500,0,0
2011-09-16,BKNG,528.62,531.17,523.13,525.47,1341200,0,0
2011-09-19,BKNG,518.34,536.45,510.54,531.45,1155500,0,0
2011-09-20,BKNG,533.09,554.0,528.0,537.24,1735000,0,0
2011-09-21,BKNG,538.0,549.96,531.0,531.27,1137400,0,0
2011-09-22,BKNG,516.39,521.49,499.25,505.57,1832300,0,0
2011-09-23,BKNG,503.0,517.61,500.7,514.61,1342800,0,0
2011-09-26,BKNG,514.7,515.99,492.0,513.59,1476800,0,0
2011-09-27,BKNG,523.49,523.58,504.07,511.12,1323700,0,0
2011-09-28,BKNG,512.74,518.0,495.34,498.09,1080100,0,0
2011-09-29,BKNG,506.03,506.78,463.15,478.02,2383200,0,0
2011-09-30,BKNG,469.12,472.27,449.33,449.46,2199700,0,0
2011-10-03,BKNG,454.35,467.0,445.29,445.75,1940000,0,0
2011-10-04,BKNG,440.7,447.97,411.26,444.0,2650500,0,0
2011-10-05,BKNG,441.17,449.5,424.12,445.67,1882400,0,0
2011-10-06,BKNG,447.78,472.83,444.28,469.56,1935400,0,0
2011-10-07,BKNG,474.12,474.84,457.8,467.73,1545000,0,0
2011-10-10,BKNG,475.75,483.95,474.0,483.85,960500,0,0
2011-10-11,BKNG,480.95,494.64,478.62,493.26,1049400,0,0
2011-10-12,BKNG,499.45,503.98,485.11,485.54,1427700,0,0
2011-10-13,BKNG,485.06,495.75,483.93,493.77,1105700,0,0
2011-10-14,BKNG,503.13,503.35,492.51,499.13,761700,0,0
2011-10-17,BKNG,495.29,506.87,491.47,492.85,710000,0,0
2011-10-18,BKNG,492.16,496.72,475.9,493.21,1121700,0,0
2011-10-19,BKNG,490.82,493.26,473.81,479.0,1166900,0,0
2011-10-20,BKNG,478.47,480.5,468.67,473.82,954000,0,0
2011-10-21,BKNG,479.72,495.79,478.32,495.46,1450500,0,0
2011-10-24,BKNG,494.0,521.24,491.85,519.82,1232300,0,0
2011-10-25,BKNG,517.02,522.99,503.67,505.06,1147300,0,0
2011-10-26,BKNG,510.11,513.61,480.32,495.63,1489300,0,0
2011-10-27,BKNG,512.38,524.42,510.69,520.55,1543000,0,0
