date,symbol,open,high,low,close,volume,dividends,stock_splits
2019-09-23,BRO,35.47998,35.8835,35.460297,35.706345,1303300,0.0,0
2019-09-24,BRO,35.74572,36.01145,35.23394,35.39141,1928500,0.0,0
2019-09-25,BRO,35.253624,35.765404,35.253624,35.558723,1811900,0.0,0
2019-09-26,BRO,35.588245,35.696507,35.25362,35.519352,796500,0.0,0
2019-09-27,BRO,35.794933,35.80478,35.027267,35.224106,1039200,0.0,0
2019-09-30,BRO,35.214256,35.529194,35.17489,35.48983,769900,0.0,0
2019-10-01,BRO,35.657146,35.853985,34.84027,34.85995,1074700,0.0,0
2019-10-02,BRO,34.741848,34.95837,34.426907,34.564693,1502400,0.0,0
2019-10-03,BRO,34.51548,35.10599,34.495796,35.05678,1602600,0.0,0
2019-10-04,BRO,35.23394,35.84414,35.224102,35.834297,1116300,0.0,0
2019-10-07,BRO,35.745716,35.81461,35.420937,35.60793,1202200,0.0,0
2019-10-08,BRO,35.38157,35.43078,34.741844,34.75169,1723100,0.0,0
2019-10-09,BRO,35.204414,35.204414,34.78121,35.02726,1484500,0.0,0
2019-10-10,BRO,34.987892,35.548878,34.92884,35.371723,1265000,0.0,0
2019-10-11,BRO,35.765408,35.883507,35.47015,35.47015,918200,0.0,0
2019-10-14,BRO,35.440617,35.785084,35.391407,35.529194,703600,0.0,0
2019-10-15,BRO,35.617767,35.765396,35.420933,35.460297,789600,0.0,0
2019-10-16,BRO,35.36188,35.598083,35.14536,35.50951,1389300,0.0,0
2019-10-17,BRO,35.588245,35.844135,35.48983,35.726032,1030700,0.0,0
2019-10-18,BRO,35.607933,35.89335,35.54888,35.74572,985100,0.0,0
2019-10-21,BRO,35.962242,36.12955,35.80477,36.040974,892400,0.0,0
2019-10-22,BRO,35.97208,36.20829,35.726036,35.80477,1202000,0.0,0
2019-10-23,BRO,35.74572,35.922874,35.42094,35.74572,1344100,0.0,0
2019-10-24,BRO,35.82445,36.326385,35.765396,36.257492,1349000,0.0,0
2019-10-25,BRO,36.306705,36.306705,35.194572,35.39141,1451400,0.0,0
2019-10-28,BRO,35.529198,35.883507,35.243786,35.292995,1958500,0.0,0
2019-10-29,BRO,35.184727,37.035004,35.184727,36.720062,2742500,0.0,0
2019-10-30,BRO,36.710228,37.182636,36.326393,37.09406,1930300,0.0,0
2019-10-31,BRO,36.887375,37.320415,36.749588,37.084213,2081200,0.0,0
2019-11-01,BRO,37.281055,37.369633,36.93659,37.035007,1740900,0.0,0
