date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,CBRE,15.06,15.39,14.53,14.68,7188800,0,0
2011-09-09,CBRE,14.46,14.52,13.83,14.05,9914100,0,0
2011-09-12,CBRE,13.77,14.13,13.46,14.12,6138400,0,0
2011-09-13,CBRE,14.21,14.36,13.84,14.23,4879700,0,0
2011-09-14,CBRE,14.32,15.05,14.15,14.82,5538700,0,0
2011-09-15,CBRE,15.08,15.27,14.8,15.27,5094900,0,0
2011-09-16,CBRE,15.24,15.49,14.84,15.14,11019100,0,0
2011-09-19,CBRE,14.79,14.8,14.1,14.35,5734900,0,0
2011-09-20,CBRE,14.43,14.6,14.02,14.04,4304800,0,0
2011-09-21,CBRE,14.12,14.12,13.16,13.22,9580200,0,0
2011-09-22,CBRE,12.61,13.04,12.3,12.78,10577700,0,0
2011-09-23,CBRE,12.67,13.7,12.58,13.37,6653800,0,0
2011-09-26,CBRE,13.55,13.86,13.1,13.82,4773200,0,0
2011-09-27,CBRE,14.22,14.78,13.8,13.94,7578200,0,0
2011-09-28,CBRE,14.03,14.15,13.83,13.93,7528900,0,0
2011-09-29,CBRE,14.31,14.41,13.99,14.41,6925100,0,0
2011-09-30,CBRE,14.12,14.12,13.45,13.46,6201400,0,0
2011-10-03,CBRE,13.34,13.79,12.94,13.09,6764100,0,0
2011-10-04,CBRE,12.81,13.54,12.51,13.51,7500700,0,0
2011-10-05,CBRE,13.55,14.0,13.24,13.84,3143800,0,0
2011-10-06,CBRE,13.77,14.54,13.62,14.39,4322800,0,0
2011-10-07,CBRE,14.51,14.55,13.44,13.51,4769300,0,0
2011-10-10,CBRE,13.82,14.28,13.82,14.15,4316100,0,0
2011-10-11,CBRE,14.06,14.7,13.86,13.95,5971800,0,0
2011-10-12,CBRE,14.18,15.36,14.16,15.17,8952200,0,0
2011-10-13,CBRE,15.04,15.26,14.51,15.0,4965600,0,0
2011-10-14,CBRE,15.26,15.35,14.84,15.22,2464100,0,0
2011-10-17,CBRE,15.12,15.17,14.27,14.33,3412700,0,0
2011-10-18,CBRE,14.28,15.48,14.15,15.32,5197400,0,0
2011-10-19,CBRE,15.28,15.32,14.28,14.4,6549700,0,0
2011-10-20,CBRE,14.39,14.63,14.12,14.59,5978700,0,0
2011-10-21,CBRE,14.83,15.33,14.8,15.29,5183800,0,0
2011-10-24,CBRE,15.3,17.07,15.19,16.74,8253100,0,0
2011-10-25,CBRE,16.63,16.65,16.03,16.09,4421600,0,0
2011-10-26,CBRE,16.32,16.37,15.84,15.94,5614900,0,0
2011-10-27,CBRE,16.9,17.39,16.33,17.12,6930200,0,0
2011-10-28,CBRE,17.66,19.61,17.51,18.98,9507300,0,0
2011-10-31,CBRE,18.67,18.67,17.76,17.78,6608300,0,0
2011-11-01,CBRE,17.28,17.69,16.92,17.05,7900700,0,0
2011-11-02,CBRE,17.44,17.8,17.16,17.46,6303800,0,0
2011-11-03,CBRE,17.74,17.98,17.02,17.4,9709000,0,0
2011-11-04,CBRE,17.17,17.36,16.53,16.67,7925200,0,0
2011-11-07,CBRE,16.79,17.02,16.45,16.83,5292300,0,0
2011-11-08,CBRE,16.98,17.01,16.35,16.93,4647300,0,0
2011-11-09,CBRE,16.35,16.5,15.79,15.84,6327800,0,0
2011-11-10,CBRE,16.36,16.47,15.8,15.94,4337100,0,0
2011-11-11,CBRE,16.28,16.48,16.1,16.32,3100700,0,0
2011-11-14,CBRE,16.09,16.21,15.73,15.84,3160300,0,0
2011-11-15,CBRE,15.77,16.38,15.61,16.19,3645100,0,0
2011-11-16,CBRE,15.96,16.26,15.7,15.74,3448900,0,0
2011-11-17,CBRE,15.68,15.88,15.1,15.26,5226700,0,0
2011-11-18,CBRE,15.46,15.46,15.0,15.11,5076700,0,0
2011-11-21,CBRE,14.65,14.93,14.32,14.71,5148300,0,0
2011-11-22,CBRE,14.71,14.95,14.49,14.8,3015200,0,0
2011-11-23,CBRE,14.55,14.64,14.4,14.48,4874200,0,0
2011-11-25,CBRE,14.49,14.99,14.46,14.62,1692200,0,0
2011-11-28,CBRE,15.12,15.39,14.95,15.34,3872600,0,0
2011-11-29,CBRE,15.44,15.56,15.11,15.13,4546800,0,0
2011-11-30,CBRE,15.83,16.85,15.69,16.81,6654400,0,0
2011-12-01,CBRE,16.79,17.12,16.42,16.5,4016500,0,0
2011-12-02,CBRE,16.67,17.15,16.41,16.51,2970100,0,0
2011-12-05,CBRE,16.86,17.71,16.69,17.09,6318200,0,0
2011-12-06,CBRE,17.07,17.14,16.56,16.58,3305100,0,0
2011-12-07,CBRE,16.45,16.46,16.0,16.04,5197300,0,0
2011-12-08,CBRE,15.92,16.0,15.0,15.06,9188600,0,0
2011-12-09,CBRE,15.19,15.77,15.19,15.48,7156500,0,0
2011-12-12,CBRE,15.17,15.28,14.81,15.22,5290200,0,0
2011-12-13,CBRE,15.32,15.36,14.63,14.76,5266900,0,0
2011-12-14,CBRE,14.59,14.68,14.18,14.54,7553300,0,0
2011-12-15,CBRE,14.82,15.21,14.79,15.1,6788600,0,0
