date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,CHTR,49.35,49.89,48.65,48.89,433900,0,0
2011-09-09,CHTR,48.46,48.9,46.41,46.71,321400,0,0
2011-09-12,CHTR,46.1,47.13,45.83,46.86,339200,0,0
2011-09-13,CHTR,47.04,48.18,46.64,47.64,224400,0,0
2011-09-14,CHTR,48.04,49.58,47.76,49.23,212800,0,0
2011-09-15,CHTR,49.65,50.0,49.07,49.43,261600,0,0
2011-09-16,CHTR,49.5,49.95,49.1,49.34,249300,0,0
2011-09-19,CHTR,48.62,49.35,47.62,49.11,184300,0,0
2011-09-20,CHTR,49.32,50.18,49.32,49.45,222700,0,0
2011-09-21,CHTR,49.38,50.11,48.16,48.16,160600,0,0
2011-09-22,CHTR,46.95,47.71,45.69,46.27,187600,0,0
2011-09-23,CHTR,46.1,47.68,46.1,47.58,218700,0,0
2011-09-26,CHTR,47.88,49.35,46.54,49.21,253300,0,0
2011-09-27,CHTR,50.12,51.23,49.56,50.05,252300,0,0
2011-09-28,CHTR,50.67,51.27,48.99,49.2,376200,0,0
2011-09-29,CHTR,49.93,50.8,47.16,48.12,331500,0,0
2011-09-30,CHTR,47.27,47.85,46.7,46.84,241600,0,0
2011-10-03,CHTR,46.58,47.34,43.66,43.67,519700,0,0
2011-10-04,CHTR,43.09,45.12,41.84,45.1,562700,0,0
2011-10-05,CHTR,45.28,46.78,44.82,46.59,389000,0,0
2011-10-06,CHTR,46.46,47.63,46.04,47.18,190600,0,0
2011-10-07,CHTR,47.47,47.93,46.52,46.63,110900,0,0
2011-10-10,CHTR,47.52,49.0,47.51,48.65,134200,0,0
2011-10-11,CHTR,48.17,48.93,48.06,48.44,187200,0,0
2011-10-12,CHTR,48.64,49.48,48.64,49.08,144400,0,0
2011-10-13,CHTR,48.61,49.01,48.12,48.57,134600,0,0
2011-10-14,CHTR,49.19,49.44,48.77,49.04,69800,0,0
2011-10-17,CHTR,48.6,49.29,48.54,49.0,112900,0,0
2011-10-18,CHTR,49.33,50.59,48.92,50.26,205600,0,0
2011-10-19,CHTR,50.15,50.48,48.66,48.78,281100,0,0
2011-10-20,CHTR,48.8,49.39,47.8,49.0,196900,0,0
2011-10-21,CHTR,49.64,50.1,48.91,49.75,172900,0,0
2011-10-24,CHTR,49.98,50.6,49.55,50.42,263900,0,0
2011-10-25,CHTR,50.46,50.69,49.13,49.64,283900,0,0
2011-10-26,CHTR,50.18,50.51,49.57,50.22,347300,0,0
2011-10-27,CHTR,50.95,51.98,49.27,49.58,505500,0,0
2011-10-28,CHTR,49.44,49.44,45.15,45.58,1241400,0,0
2011-10-31,CHTR,45.29,47.21,45.29,45.94,790700,0,0
2011-11-01,CHTR,45.24,47.8,43.98,46.85,865700,0,0
2011-11-02,CHTR,47.0,48.27,46.98,48.19,720700,0,0
2011-11-03,CHTR,48.7,50.8,48.34,50.66,672900,0,0
2011-11-04,CHTR,50.66,53.16,50.66,52.71,673300,0,0
2011-11-07,CHTR,52.36,52.92,51.47,52.85,422700,0,0
2011-11-08,CHTR,52.94,53.85,52.73,53.45,225600,0,0
2011-11-09,CHTR,52.27,53.37,51.0,51.23,217900,0,0
2011-11-10,CHTR,51.86,52.76,51.11,52.69,231600,0,0
2011-11-11,CHTR,53.35,54.07,52.97,53.61,302400,0,0
2011-11-14,CHTR,53.45,53.45,52.18,52.45,354100,0,0
2011-11-15,CHTR,52.31,53.38,52.31,53.18,442500,0,0
2011-11-16,CHTR,52.25,53.61,51.46,51.5,461300,0,0
2011-11-17,CHTR,51.49,52.65,51.49,52.2,380900,0,0
2011-11-18,CHTR,52.31,53.15,51.81,52.91,387900,0,0
2011-11-21,CHTR,52.23,52.84,51.68,52.07,354500,0,0
2011-11-22,CHTR,52.02,52.93,51.99,52.46,267900,0,0
2011-11-23,CHTR,52.16,52.39,50.77,50.98,295700,0,0
2011-11-25,CHTR,50.91,52.32,50.91,51.85,210100,0,0
2011-11-28,CHTR,53.09,53.09,52.54,52.75,473700,0,0
2011-11-29,CHTR,52.83,53.03,52.3,52.64,577500,0,0
2011-11-30,CHTR,54.12,54.35,52.85,52.87,1685600,0,0
2011-12-01,CHTR,52.79,53.39,52.36,52.81,391000,0,0
2011-12-02,CHTR,52.62,53.27,52.52,53.08,521400,0,0
2011-12-05,CHTR,53.26,53.58,51.72,52.04,389400,0,0
2011-12-06,CHTR,51.74,53.02,51.72,52.97,268900,0,0
2011-12-07,CHTR,53.08,53.31,52.57,52.94,323000,0,0
2011-12-08,CHTR,52.71,52.86,51.0,51.17,144000,0,0
2011-12-09,CHTR,51.21,53.0,51.21,52.94,310000,0,0
2011-12-12,CHTR,52.21,52.98,51.79,52.81,215100,0,0
2011-12-13,CHTR,53.4,53.97,52.47,52.67,190600,0,0
2011-12-14,CHTR,52.98,53.22,51.87,52.54,304700,0,0
2011-12-15,CHTR,53.18,53.65,52.67,53.1,355000,0,0
2011-12-16,CHTR,53.62,55.18,53.45,54.52,2165100,0,0
2011-12-19,CHTR,54.25,54.68,52.51,52.74,439900,0,0
2011-12-20,CHTR,55.75,56.21,54.59,55.42,1534400,0,0
2011-12-21,CHTR,55.3,55.9,54.89,55.6,439400,0,0
2011-12-22,CHTR,55.79,56.02,55.51,55.74,322300,0,0
2011-12-23,CHTR,55.74,56.6,55.65,56.3,833400,0,0
2011-12-27,CHTR,56.36,56.43,55.99,56.14,280600,0,0
2011-12-28,CHTR,56.23,56.23,55.03,55.96,232500,0,0
2011-12-29,CHTR,56.19,57.27,56.07,56.88,701000,0,0
2011-12-30,CHTR,57.03,57.47,56.55,56.94,222300,0,0
2012-01-03,CHTR,57.52,57.79,57.0,57.19,792200,0,0
2012-01-04,CHTR,57.0,57.64,56.7,56.81,379900,0,0
2012-01-05,CHTR,56.77,57.0,56.13,56.98,571700,0,0
2012-01-06,CHTR,56.99,56.99,56.25,56.62,274100,0,0
2012-01-09,CHTR,56.75,56.92,56.32,56.75,341700,0,0
2012-01-10,CHTR,57.0,57.38,56.49,56.66,434700,0,0
2012-01-11,CHTR,56.54,57.12,56.12,56.15,362200,0,0
2012-01-12,CHTR,56.71,57.64,56.23,57.46,1292200,0,0
2012-01-13,CHTR,57.45,57.65,56.86,56.96,350100,0,0
2012-01-17,CHTR,57.37,58.38,56.78,56.97,454000,0,0
2012-01-18,CHTR,56.91,56.98,56.2,56.44,153100,0,0
2012-01-19,CHTR,56.43,57.47,56.43,56.97,425500,0,0
2012-01-20,CHTR,56.94,57.22,56.5,57.01,286900,0,0
2012-01-23,CHTR,57.01,57.29,56.05,57.0,539500,0,0
2012-01-24,CHTR,56.47,57.37,56.38,56.64,510300,0,0
2012-01-25,CHTR,56.53,57.75,56.53,57.71,594800,0,0
2012-01-26,CHTR,58.17,59.11,57.98,58.49,658500,0,0
2012-01-27,CHTR,58.09,58.47,57.47,57.61,559600,0,0
2012-01-30,CHTR,57.18,57.24,56.6,56.83,344100,0,0
2012-01-31,CHTR,57.11,57.69,56.92,57.64,193500,0,0
2012-02-01,CHTR,57.96,58.69,57.96,58.28,312800,0,0
2012-02-02,CHTR,58.48,58.69,57.56,57.8,154400,0,0
2012-02-03,CHTR,58.1,58.52,58.0,58.17,321600,0,0
2012-02-06,CHTR,57.95,58.61,57.78,58.31,94900,0,0
2012-02-07,CHTR,58.26,58.26,57.62,57.84,199000,0,0
2012-02-08,CHTR,57.91,58.16,57.84,58.12,391400,0,0
2012-02-09,CHTR,58.26,58.88,58.05,58.79,570700,0,0
2012-02-10,CHTR,58.44,58.76,58.18,58.59,431700,0,0
2012-02-13,CHTR,59.04,60.15,58.64,59.97,677400,0,0
2012-02-14,CHTR,59.93,60.44,59.37,60.02,277300,0,0
2012-02-15,CHTR,60.44,62.31,60.25,62.22,911600,0,0
2012-02-16,CHTR,62.31,62.51,61.9,62.51,454000,0,0
2012-02-17,CHTR,62.4,63.01,62.11,62.85,247900,0,0
2012-02-21,CHTR,62.92,63.02,62.42,62.7,177300,0,0
2012-02-22,CHTR,62.92,63.27,62.16,62.72,195900,0,0
2012-02-23,CHTR,62.58,63.6,62.56,63.5,205200,0,0
2012-02-24,CHTR,63.59,63.85,62.87,63.43,257800,0,0
2012-02-27,CHTR,63.01,64.39,61.44,63.57,462000,0,0
2012-02-28,CHTR,63.7,63.89,63.0,63.56,416700,0,0
2012-02-29,CHTR,63.25,63.82,62.89,63.41,359100,0,0
2012-03-01,CHTR,63.3,63.79,62.86,63.24,236500,0,0
2012-03-02,CHTR,62.9,63.41,62.31,62.56,192000,0,0
2012-03-05,CHTR,62.55,63.01,62.0,62.35,179200,0,0
2012-03-06,CHTR,61.91,62.19,60.45,60.9,293600,0,0
2012-03-07,CHTR,61.01,61.34,60.48,60.54,284300,0,0
2012-03-08,CHTR,61.08,61.6,60.75,61.04,317700,0,0
2012-03-09,CHTR,61.36,61.39,60.73,61.09,461700,0,0
2012-03-12,CHTR,61.21,62.5,61.0,62.47,273700,0,0
2012-03-13,CHTR,62.62,63.49,62.62,62.89,272000,0,0
2012-03-14,CHTR,62.76,63.59,62.76,63.11,236100,0,0
2012-03-15,CHTR,63.19,63.84,62.75,63.49,214900,0,0
2012-03-16,CHTR,63.6,64.07,63.19,63.99,375300,0,0
2012-03-19,CHTR,63.74,64.08,63.43,63.97,220500,0,0
2012-03-20,CHTR,63.55,63.61,63.1,63.23,285000,0,0
2012-03-21,CHTR,63.04,64.17,62.91,64.01,235500,0,0
2012-03-22,CHTR,63.68,64.76,63.58,64.63,316100,0,0
2012-03-23,CHTR,64.99,65.32,64.68,64.91,531000,0,0
2012-03-26,CHTR,65.17,65.32,64.28,64.37,287300,0,0
2012-03-27,CHTR,64.53,64.88,63.83,63.98,145300,0,0
2012-03-28,CHTR,64.07,64.07,63.02,63.25,138400,0,0
2012-03-29,CHTR,62.84,63.59,62.79,63.11,337000,0,0
2012-03-30,CHTR,63.22,63.63,62.7,63.45,433100,0,0
2012-04-02,CHTR,63.5,64.77,63.11,64.37,223100,0,0
2012-04-03,CHTR,64.14,64.21,62.95,63.01,282100,0,0
2012-04-04,CHTR,62.5,62.56,61.39,61.78,376000,0,0
2012-04-05,CHTR,61.52,62.97,61.52,62.76,245200,0,0
2012-04-09,CHTR,62.2,62.34,61.4,61.66,219600,0,0
2012-04-10,CHTR,61.75,62.21,59.04,59.41,449000,0,0
2012-04-11,CHTR,59.96,60.9,59.48,60.56,415200,0,0
2012-04-12,CHTR,60.76,61.13,60.21,61.06,310100,0,0
2012-04-13,CHTR,61.1,61.22,60.69,60.97,243300,0,0
2012-04-16,CHTR,61.18,61.18,60.16,60.34,155500,0,0
2012-04-17,CHTR,60.78,61.54,60.71,61.31,357600,0,0
2012-04-18,CHTR,61.11,61.26,60.73,61.16,194000,0,0
2012-04-19,CHTR,61.1,61.49,60.8,61.45,275200,0,0
2012-04-20,CHTR,61.65,62.28,61.54,61.96,231300,0,0
2012-04-23,CHTR,61.85,61.87,60.12,60.2,486900,0,0
2012-04-24,CHTR,60.13,60.77,59.83,60.17,244200,0,0
2012-04-25,CHTR,60.73,60.93,60.35,60.63,368600,0,0
2012-04-26,CHTR,60.61,61.14,60.42,60.95,293900,0,0
2012-04-27,CHTR,61.02,61.38,60.35,60.42,313400,0,0
2012-04-30,CHTR,60.47,60.74,60.18,60.47,209100,0,0
2012-05-01,CHTR,60.39,61.4,60.28,61.02,644400,0,0
2012-05-02,CHTR,60.93,62.56,60.93,62.24,350900,0,0
2012-05-03,CHTR,62.32,62.73,62.2,62.35,330700,0,0
2012-05-04,CHTR,62.25,62.73,60.93,61.57,247200,0,0
2012-05-07,CHTR,61.27,61.88,60.77,61.82,347800,0,0
2012-05-08,CHTR,61.1,66.18,59.95,64.97,1673600,0,0
2012-05-09,CHTR,64.3,67.83,62.96,67.14,1286600,0,0
2012-05-10,CHTR,67.23,68.62,67.15,67.7,491000,0,0
2012-05-11,CHTR,67.36,67.95,66.73,67.49,519900,0,0
2012-05-14,CHTR,66.76,67.35,65.91,66.23,426200,0,0
2012-05-15,CHTR,66.52,66.52,65.31,65.49,384500,0,0
2012-05-16,CHTR,66.15,67.22,65.22,65.3,728200,0,0
2012-05-17,CHTR,65.1,65.66,63.29,63.34,429400,0,0
2012-05-18,CHTR,63.9,63.9,61.34,61.68,575000,0,0
2012-05-21,CHTR,62.26,63.73,61.49,63.63,447500,0,0
2012-05-22,CHTR,64.07,65.11,64.0,64.65,1162100,0,0
2012-05-23,CHTR,63.95,64.64,62.76,64.61,398000,0,0
2012-05-24,CHTR,64.66,65.04,63.36,64.21,437200,0,0
2012-05-25,CHTR,64.35,64.5,63.6,64.27,386400,0,0
2012-05-29,CHTR,64.88,65.39,63.74,64.63,1029000,0,0
2012-05-30,CHTR,63.92,64.43,63.0,63.19,415000,0,0
2012-05-31,CHTR,63.86,63.86,61.66,62.7,2103800,0,0
2012-06-01,CHTR,62.4,62.55,61.0,61.31,290600,0,0
2012-06-04,CHTR,61.51,61.79,60.46,61.28,262000,0,0
2012-06-05,CHTR,61.4,63.54,61.14,63.51,787600,0,0
2012-06-06,CHTR,63.65,64.06,63.13,63.75,450700,0,0
2012-06-07,CHTR,64.57,65.6,63.68,63.81,676100,0,0
2012-06-08,CHTR,63.88,64.16,62.96,64.12,181000,0,0
2012-06-11,CHTR,64.41,64.8,63.36,63.39,261400,0,0
2012-06-12,CHTR,63.46,64.79,63.46,64.73,596800,0,0
2012-06-13,CHTR,64.65,65.29,64.04,64.93,1072700,0,0
2012-06-14,CHTR,64.85,66.0,64.63,65.89,414500,0,0
2012-06-15,CHTR,65.81,67.06,65.66,66.89,439600,0,0
2012-06-18,CHTR,66.51,67.69,66.39,67.63,362900,0,0
2012-06-19,CHTR,67.98,69.29,67.35,68.98,656300,0,0
2012-06-20,CHTR,68.95,69.97,68.82,69.4,637200,0,0
2012-06-21,CHTR,69.55,69.97,67.29,67.44,253700,0,0
2012-06-22,CHTR,67.51,68.31,66.86,67.91,982700,0,0
2012-06-25,CHTR,67.24,67.78,66.36,66.61,522800,0,0
2012-06-26,CHTR,66.99,67.86,66.51,67.7,345800,0,0
2012-06-27,CHTR,67.96,70.28,67.88,69.65,544800,0,0
2012-06-28,CHTR,69.56,70.0,69.16,70.0,263000,0,0
2012-06-29,CHTR,70.95,71.86,70.3,70.87,693500,0,0
2012-07-02,CHTR,71.12,72.12,70.7,72.05,710800,0,0
