date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,CL,36.21754,36.53123,35.89591,35.91973,7282000,0.0,0.0
2011-09-09,CL,35.729134,35.792664,35.193077,35.324112,5230600,0.0,0.0
2011-09-12,CL,35.14543,35.22087,34.24803,34.831738,7486400,0.0,0.0
2011-09-13,CL,34.92306,35.649715,34.585545,35.52265,5570200,0.0,0.0
2011-09-14,CL,35.542503,36.618584,35.522648,36.28901,8185000,0.0,0.0
2011-09-15,CL,36.527267,36.658306,36.106365,36.646393,5005400,0.0,0.0
2011-09-16,CL,36.4399,37.218178,36.4399,37.182438,8423800,0.0,0.0
2011-09-19,CL,36.741684,37.146706,36.64639,37.055378,5026000,0.0,0.0
2011-09-20,CL,37.099052,37.678787,37.067287,37.309505,4885400,0.0,0.0
2011-09-21,CL,37.281715,37.30157,35.72914,35.73311,8199000,0.0,0.0
2011-09-22,CL,35.27249,35.43529,34.04155,34.70864,12041200,0.0,0.0
2011-09-23,CL,34.69276,35.439266,34.54584,35.30823,6220600,0.0,0.0
2011-09-26,CL,35.574272,36.26122,35.55839,36.090477,6402400,0.0,0.0
2011-09-27,CL,36.555058,36.87272,36.038857,36.16195,5937400,0.0,0.0
2011-09-28,CL,35.83237,36.13415,35.193073,35.232784,7382200,0.0,0.0
2011-09-29,CL,35.578247,35.852234,35.02234,35.554424,5136800,0.0,0.0
2011-09-30,CL,35.3519,35.733093,35.193066,35.21292,5520800,0.0,0.0
2011-10-03,CL,35.085865,35.673542,35.03425,35.062042,5884400,0.0,0.0
2011-10-04,CL,34.72056,35.169254,34.303623,35.10969,6600000,0.0,0.0
2011-10-05,CL,35.097775,35.590153,34.77217,35.538532,6267800,0.0,0.0
2011-10-06,CL,35.613987,35.820465,35.355885,35.812527,5129000,0.0,0.0
2011-10-07,CL,35.991207,36.233425,35.7609,35.89988,3892200,0.0,0.0
2011-10-10,CL,36.217552,36.49551,35.935627,36.428005,3497000,0.0,0.0
2011-10-11,CL,36.36842,36.37636,35.796627,35.87604,4008000,0.0,0.0
2011-10-12,CL,35.93164,36.562996,35.93164,36.221508,3683000,0.0,0.0
2011-10-13,CL,36.213554,36.404152,35.999134,36.17782,3413400,0.0,0.0
2011-10-14,CL,36.475647,36.713894,36.38432,36.666245,2951400,0.0,0.0
2011-10-17,CL,36.491512,36.761524,36.06664,36.110317,3115600,0.0,0.0
2011-10-18,CL,35.975327,36.856842,35.884003,36.666245,4034200,0.0,0.0
2011-10-19,CL,36.555042,36.880646,36.511364,36.60269,3479600,0.0,0.0
2011-10-20,CL,36.6027,36.92433,36.30092,36.380337,3796400,0.0,0.0
2011-10-21,CL,36.70402,37.53121,36.64808,37.53121,6095600,0.29,0.0
2011-10-24,CL,37.415318,37.415318,36.33238,36.460255,7195200,0.0,0.0
2011-10-25,CL,36.464268,36.484253,35.864857,35.956768,6079600,0.0,0.0
2011-10-26,CL,36.284443,36.472256,35.461246,36.180542,7540800,0.0,0.0
2011-10-27,CL,36.580147,36.68005,34.534153,36.49623,10546400,0.0,0.0
2011-10-28,CL,36.128586,36.66006,35.9088,36.452267,4726800,0.0,0.0
2011-10-31,CL,36.27644,36.60012,36.104607,36.112602,5125200,0.0,0.0
2011-11-01,CL,35.53717,35.9128,35.16553,35.201496,7302600,0.0,0.0
2011-11-02,CL,35.56513,35.605087,35.025658,35.141544,4431200,0.0,0.0
2011-11-03,CL,35.253452,35.477234,35.013687,35.373333,6782200,0.0,0.0
2011-11-04,CL,35.173527,35.25345,34.825867,35.18951,5767400,0.0,0.0
2011-11-07,CL,35.349354,35.653057,34.773914,35.345356,4856800,0.0,0.0
2011-11-08,CL,35.53316,35.804893,35.365326,35.74096,5662200,0.0,0.0
