date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,CMG,307.38,315.85,306.34,311.34,761600,0,0
2011-09-09,CMG,308.05,309.6,300.53,305.17,923600,0,0
2011-09-12,CMG,301.81,309.44,300.82,307.75,697200,0,0
2011-09-13,CMG,306.31,312.18,306.31,311.41,592300,0,0
2011-09-14,CMG,312.98,319.66,308.9,315.91,956000,0,0
2011-09-15,CMG,318.0,319.0,312.25,316.15,667800,0,0
2011-09-16,CMG,316.57,318.19,314.02,318.06,567100,0,0
2011-09-19,CMG,315.5,338.32,314.2,336.14,1572400,0,0
2011-09-20,CMG,337.03,346.78,332.0,333.19,2035500,0,0
2011-09-21,CMG,331.03,343.48,329.34,333.25,2014000,0,0
2011-09-22,CMG,325.03,334.74,320.75,325.94,1762400,0,0
2011-09-23,CMG,322.79,323.83,313.58,320.5,1244500,0,0
2011-09-26,CMG,324.74,329.97,310.0,329.44,1047300,0,0
2011-09-27,CMG,334.48,334.48,319.53,320.61,941500,0,0
2011-09-28,CMG,322.47,328.35,318.0,319.06,782900,0,0
2011-09-29,CMG,323.82,324.65,303.34,313.14,1190800,0,0
2011-09-30,CMG,308.09,312.94,301.8,302.95,858200,0,0
2011-10-03,CMG,300.81,306.6,291.48,292.7,969500,0,0
2011-10-04,CMG,290.0,302.96,285.39,301.09,1400000,0,0
2011-10-05,CMG,300.92,302.36,292.0,300.79,1039000,0,0
2011-10-06,CMG,292.75,301.22,289.08,298.99,1549800,0,0
2011-10-07,CMG,296.98,298.56,290.54,294.59,995000,0,0
2011-10-10,CMG,298.77,311.84,298.5,307.85,741600,0,0
2011-10-11,CMG,305.02,315.0,305.01,309.95,682700,0,0
2011-10-12,CMG,313.47,318.05,311.0,314.0,828600,0,0
2011-10-13,CMG,311.36,318.98,311.36,317.31,688400,0,0
2011-10-14,CMG,320.0,321.66,314.72,320.8,699000,0,0
2011-10-17,CMG,319.6,324.33,317.09,319.79,613900,0,0
2011-10-18,CMG,320.5,321.06,310.28,319.85,584800,0,0
2011-10-19,CMG,319.47,319.99,309.17,310.27,758300,0,0
2011-10-20,CMG,308.97,312.29,306.06,307.91,1232800,0,0
2011-10-21,CMG,320.07,333.5,318.41,333.49,2661100,0,0
2011-10-24,CMG,334.0,342.98,332.4,342.49,1117300,0,0
2011-10-25,CMG,339.59,343.0,334.03,334.18,878800,0,0
2011-10-26,CMG,338.96,339.5,330.02,332.85,747000,0,0
2011-10-27,CMG,341.25,345.92,335.02,343.52,747600,0,0
2011-10-28,CMG,341.32,344.98,338.33,341.4,496900,0,0
2011-10-31,CMG,338.98,347.94,336.05,336.12,1015000,0,0
2011-11-01,CMG,326.64,334.27,324.0,328.18,882600,0,0
2011-11-02,CMG,332.99,332.99,324.93,329.62,562300,0,0
