date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,CPRT,10.54,10.62,10.3525,10.3525,1364000,0,0.0
2011-09-09,CPRT,10.295,10.435,10.125,10.2175,1200000,0,0.0
2011-09-12,CPRT,10.12,10.24,9.9875,10.23,679600,0,0.0
2011-09-13,CPRT,10.2725,10.4225,10.2375,10.345,1521600,0,0.0
2011-09-14,CPRT,10.3975,10.67,10.285,10.5575,1599600,0,0.0
2011-09-15,CPRT,10.415,10.475,10.295,10.3075,2866800,0,0.0
2011-09-16,CPRT,10.31,10.4575,10.2375,10.33,3783600,0,0.0
2011-09-19,CPRT,10.1925,10.5425,10.045,10.125,1573200,0,0.0
2011-09-20,CPRT,10.175,10.295,9.9475,9.9575,2385600,0,0.0
2011-09-21,CPRT,9.7975,9.8175,9.3375,9.4125,5322800,0,0.0
2011-09-22,CPRT,9.2,9.3125,8.9375,9.2575,2119600,0,0.0
2011-09-23,CPRT,9.275,9.45,9.265,9.3725,2299600,0,0.0
2011-09-26,CPRT,9.465,9.705,9.3675,9.69,1737200,0,0.0
2011-09-27,CPRT,9.8975,10.02,9.76,9.8025,935600,0,0.0
2011-09-28,CPRT,9.8425,9.935,9.625,9.6475,1295600,0,0.0
2011-09-29,CPRT,9.81,9.925,9.7,9.925,1586400,0,0.0
2011-09-30,CPRT,9.77,9.935,9.6475,9.78,2908800,0,0.0
2011-10-03,CPRT,9.695,9.91,9.4325,9.4825,2262800,0,0.0
2011-10-04,CPRT,9.38,9.8625,9.32,9.8425,2115200,0,0.0
2011-10-05,CPRT,9.8575,10.11,9.67,10.075,2579200,0,0.0
2011-10-06,CPRT,10.08,10.3,9.985,10.235,2630000,0,0.0
2011-10-07,CPRT,10.275,10.4,10.1025,10.1225,2235600,0,0.0
2011-10-10,CPRT,10.25,10.525,10.1925,10.52,1912800,0,0.0
2011-10-11,CPRT,10.475,10.56,10.4025,10.5125,1524800,0,0.0
2011-10-12,CPRT,10.57,10.795,10.4675,10.69,2214800,0,0.0
2011-10-13,CPRT,10.635,10.8375,10.475,10.705,1699600,0,0.0
2011-10-14,CPRT,10.79,10.795,10.6825,10.7475,914400,0,0.0
2011-10-17,CPRT,10.71,10.7225,10.4175,10.4525,1183600,0,0.0
2011-10-18,CPRT,10.45,10.695,10.2925,10.63,1306800,0,0.0
2011-10-19,CPRT,10.62,10.74,10.4475,10.5225,865600,0,0.0
2011-10-20,CPRT,10.5325,10.7075,10.3725,10.605,1147200,0,0.0
2011-10-21,CPRT,10.755,10.9275,10.74,10.845,988000,0,0.0
2011-10-24,CPRT,10.8875,11.05,10.8675,11.02,1089200,0,0.0
2011-10-25,CPRT,10.9475,10.9725,10.77,10.79,996400,0,0.0
2011-10-26,CPRT,10.925,10.95,10.64,10.8875,914800,0,0.0
2011-10-27,CPRT,11.1975,11.2725,11.0325,11.1925,830400,0,0.0
2011-10-28,CPRT,11.0,11.16,10.9675,11.075,984000,0,0.0
2011-10-31,CPRT,10.965,11.0875,10.8625,10.8875,777200,0,0.0
2011-11-01,CPRT,10.5925,10.73,10.415,10.5625,1320800,0,0.0
2011-11-02,CPRT,10.7325,10.8225,10.565,10.8,636000,0,0.0
2011-11-03,CPRT,10.9125,11.065,10.755,11.0625,1168800,0,0.0
2011-11-04,CPRT,10.95,11.0975,10.8675,11.095,879600,0,0.0
2011-11-07,CPRT,11.045,11.085,10.7525,10.9575,778400,0,0.0
2011-11-08,CPRT,11.0025,11.135,10.755,11.105,1055600,0,0.0
2011-11-09,CPRT,10.8525,10.91,10.615,10.6625,635600,0,0.0
2011-11-10,CPRT,10.75,10.7925,10.595,10.785,936400,0,0.0
2011-11-11,CPRT,10.9075,11.0525,10.8225,11.0025,560000,0,0.0
2011-11-14,CPRT,10.94,10.9775,10.81,10.885,391200,0,0.0
2011-11-15,CPRT,10.8175,11.1275,10.8175,11.055,613200,0,0.0
2011-11-16,CPRT,10.9475,11.09,10.8625,10.88,627200,0,0.0
2011-11-17,CPRT,10.88,11.025,10.7975,10.89,711200,0,0.0
2011-11-18,CPRT,10.9325,11.0225,10.9025,10.925,758800,0,0.0
2011-11-21,CPRT,10.785,10.8175,10.67,10.7175,1088000,0,0.0
2011-11-22,CPRT,10.7,10.75,10.5775,10.655,1388400,0,0.0
2011-11-23,CPRT,10.585,10.6275,10.41,10.525,892400,0,0.0
2011-11-25,CPRT,10.4775,10.625,10.4775,10.5775,1006000,0,0.0
2011-11-28,CPRT,10.8575,10.94,10.6075,10.7,2138400,0,0.0
2011-11-29,CPRT,10.845,11.1175,10.7375,10.8575,2764000,0,0.0
2011-11-30,CPRT,11.15,11.2975,11.0,11.2325,3707600,0,0.0
2011-12-01,CPRT,11.225,11.4325,11.225,11.2625,2020400,0,0.0
2011-12-02,CPRT,11.3275,11.4325,11.25,11.305,1016000,0,0.0
2011-12-05,CPRT,11.425,11.525,11.395,11.4325,1135600,0,0.0
2011-12-06,CPRT,11.42,11.4475,11.275,11.36,1170000,0,0.0
2011-12-07,CPRT,11.2775,11.4625,11.165,11.4,1539600,0,0.0
2011-12-08,CPRT,11.31,11.435,11.2275,11.2525,938000,0,0.0
2011-12-09,CPRT,11.275,11.46,11.27,11.42,1232800,0,0.0
2011-12-12,CPRT,11.3275,11.42,11.175,11.42,870400,0,0.0
2011-12-13,CPRT,11.4525,11.625,11.2775,11.32,2405200,0,0.0
2011-12-14,CPRT,11.2775,11.345,11.1875,11.295,1096400,0,0.0
2011-12-15,CPRT,11.3975,11.52,11.3325,11.4125,1518400,0,0.0
2011-12-16,CPRT,11.4625,11.59,11.435,11.5375,2030800,0,0.0
2011-12-19,CPRT,11.525,11.615,11.3225,11.49,1346000,0,0.0
2011-12-20,CPRT,11.635,11.85,11.55,11.7225,1034000,0,0.0
2011-12-21,CPRT,11.6675,11.7875,11.625,11.765,598000,0,0.0
2011-12-22,CPRT,11.765,11.855,11.665,11.8325,724000,0,0.0
2011-12-23,CPRT,11.79,11.9775,11.75,11.9525,662800,0,0.0
2011-12-27,CPRT,11.9025,12.0175,11.885,11.9575,784800,0,0.0
2011-12-28,CPRT,11.96,11.995,11.8925,11.925,529200,0,0.0
2011-12-29,CPRT,11.95,12.015,11.925,11.99,473200,0,0.0
2011-12-30,CPRT,11.995,12.03,11.8825,11.9725,1049600,0,0.0
2012-01-03,CPRT,12.125,12.15,11.745,11.7575,1686400,0,0.0
2012-01-04,CPRT,11.7025,11.745,11.555,11.5775,2122000,0,0.0
2012-01-05,CPRT,11.515,11.64,11.4,11.6125,1589600,0,0.0
2012-01-06,CPRT,11.57,11.755,11.5475,11.6475,1097200,0,0.0
