date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,CRM,31.12,31.835,30.9725,31.2225,8763200,0,0.0
2011-09-09,CRM,30.8375,31.3325,30.5275,30.8075,12544800,0,0.0
2011-09-12,CRM,30.3225,30.9975,29.9325,30.935,9336800,0,0.0
2011-09-13,CRM,30.9425,31.75,30.5925,31.645,8593600,0,0.0
2011-09-14,CRM,31.735,33.0475,31.1925,32.59,10766000,0,0.0
2011-09-15,CRM,32.59,33.445,32.295,33.055,12299200,0,0.0
2011-09-16,CRM,33.115,34.1575,33.1,34.14,22376400,0,0.0
2011-09-19,CRM,33.42,34.2475,33.0225,34.02,10086000,0,0.0
2011-09-20,CRM,33.8575,33.9775,31.995,32.1025,14564000,0,0.0
2011-09-21,CRM,32.4,33.0625,31.3825,31.6675,13832800,0,0.0
2011-09-22,CRM,30.13,30.13,28.695,29.335,19255200,0,0.0
2011-09-23,CRM,29.3675,30.2075,29.29,30.075,10136000,0,0.0
2011-09-26,CRM,30.1325,30.385,28.625,30.295,13437600,0,0.0
2011-09-27,CRM,31.155,31.815,31.0025,31.1875,11302400,0,0.0
2011-09-28,CRM,31.18,31.46,30.095,30.2025,9180400,0,0.0
2011-09-29,CRM,30.97,31.125,29.0075,29.8875,9748400,0,0.0
2011-09-30,CRM,28.9925,29.5825,28.265,28.57,12290400,0,0.0
2011-10-03,CRM,28.245,28.875,27.875,27.9775,10690400,0,0.0
2011-10-04,CRM,27.455,29.49,27.32,29.4,13187200,0,0.0
2011-10-05,CRM,28.735,29.5,28.25,29.3125,12980800,0,0.0
2011-10-06,CRM,29.4175,30.6725,28.95,30.5,13020400,0,0.0
2011-10-07,CRM,30.6275,30.8475,29.9925,30.24,8627200,0,0.0
2011-10-10,CRM,30.7275,31.5725,30.69,31.4325,8018800,0,0.0
2011-10-11,CRM,30.9475,32.5,30.8775,31.8975,9520800,0,0.0
2011-10-12,CRM,32.08,32.8075,31.775,31.815,8664800,0,0.0
2011-10-13,CRM,31.63,32.49,31.5125,32.3875,6344000,0,0.0
2011-10-14,CRM,32.95,33.12,32.2825,32.95,7864000,0,0.0
2011-10-17,CRM,32.4375,32.905,31.5725,31.68,7901600,0,0.0
2011-10-18,CRM,31.535,32.71,30.75,32.385,9135200,0,0.0
2011-10-19,CRM,32.1425,32.905,31.6775,31.8425,7756000,0,0.0
2011-10-20,CRM,31.7025,32.365,31.14,31.92,6074800,0,0.0
2011-10-21,CRM,32.2725,32.455,31.6775,32.3225,6832400,0,0.0
2011-10-24,CRM,31.7275,33.2375,31.7275,33.1325,8055200,0,0.0
2011-10-25,CRM,32.645,32.9625,32.15,32.39,8303200,0,0.0
2011-10-26,CRM,32.46,32.53,30.06,30.89,21834400,0,0.0
2011-10-27,CRM,31.995,33.735,31.7625,33.34,21904800,0,0.0
2011-10-28,CRM,32.9475,34.9375,32.765,34.785,15308400,0,0.0
2011-10-31,CRM,33.735,34.23,33.2925,33.2925,7856800,0,0.0
2011-11-01,CRM,32.35,32.945,31.685,32.5875,12992400,0,0.0
2011-11-02,CRM,33.14,33.15,31.935,32.46,10990800,0,0.0
2011-11-03,CRM,32.94,33.3525,32.1125,33.2625,8057600,0,0.0
2011-11-04,CRM,33.01,33.2325,32.5025,32.8325,4981600,0,0.0
2011-11-07,CRM,32.695,33.6725,32.525,33.335,7201200,0,0.0
2011-11-08,CRM,33.7225,33.8175,33.0375,33.5325,6369600,0,0.0
2011-11-09,CRM,32.7375,33.34,32.0675,32.1875,8173200,0,0.0
2011-11-10,CRM,32.66,32.7325,31.2625,31.9525,7618400,0,0.0
2011-11-11,CRM,32.5025,32.875,32.2,32.4675,7108400,0,0.0
2011-11-14,CRM,33.435,34.0525,33.0125,33.38,12706800,0,0.0
2011-11-15,CRM,33.7625,34.3425,33.25,34.15,10642800,0,0.0
2011-11-16,CRM,33.86,34.09,32.7025,32.94,10648000,0,0.0
2011-11-17,CRM,33.41,33.41,31.0675,31.5225,26553600,0,0.0
2011-11-18,CRM,29.8625,30.0,27.77,28.3575,48698000,0,0.0
2011-11-21,CRM,27.9875,28.6075,26.265,27.995,28432800,0,0.0
2011-11-22,CRM,27.7925,28.1525,26.7475,27.0625,16068800,0,0.0
2011-11-23,CRM,26.7175,26.93,26.0,26.4475,16027600,0,0.0
2011-11-25,CRM,25.87,26.7225,25.845,26.2325,7435200,0,0.0
2011-11-28,CRM,27.2825,28.355,27.2825,27.795,17562400,0,0.0
2011-11-29,CRM,27.8225,28.2125,27.5275,27.6475,12251200,0,0.0
2011-11-30,CRM,28.745,29.62,28.4925,29.605,17102400,0,0.0
2011-12-01,CRM,29.0125,29.84,28.88,29.595,12666800,0,0.0
2011-12-02,CRM,29.745,30.1625,29.5125,29.91,9842800,0,0.0
2011-12-05,CRM,30.7325,32.1125,30.5625,31.2525,20778400,0,0.0
2011-12-06,CRM,31.2125,31.5,30.7275,30.83,12810000,0,0.0
2011-12-07,CRM,30.65,30.815,30.1725,30.6475,7630400,0,0.0
2011-12-08,CRM,30.3725,31.0,30.0825,30.1575,7983600,0,0.0
2011-12-09,CRM,30.2325,31.055,30.0,30.97,8000000,0,0.0
2011-12-12,CRM,29.6925,30.0,28.56,29.0175,15026800,0,0.0
2011-12-13,CRM,29.4325,29.655,28.1425,28.3325,11335200,0,0.0
2011-12-14,CRM,28.04,28.04,26.825,27.0925,15540800,0,0.0
2011-12-15,CRM,27.5475,27.62,26.23,26.6775,13297600,0,0.0
2011-12-16,CRM,26.9475,27.3275,26.6525,26.765,12270000,0,0.0
2011-12-19,CRM,26.7675,26.92,25.74,25.8675,9168400,0,0.0
2011-12-20,CRM,26.51,26.51,25.59,26.08,14539600,0,0.0
2011-12-21,CRM,24.9125,24.9975,23.5225,24.7575,39458400,0,0.0
2011-12-22,CRM,24.87,25.235,24.0125,25.085,18088800,0,0.0
2011-12-23,CRM,25.0475,25.2625,24.345,24.505,9992800,0,0.0
2011-12-27,CRM,24.49,25.4475,24.49,25.0725,15964400,0,0.0
2011-12-28,CRM,25.0,25.2375,24.685,25.0325,8098000,0,0.0
2011-12-29,CRM,25.0275,25.61,24.88,25.5475,8962800,0,0.0
2011-12-30,CRM,25.515,25.775,25.325,25.365,8144400,0,0.0
2012-01-03,CRM,26.045,26.51,25.225,25.3,12983600,0,0.0
2012-01-04,CRM,24.7475,24.875,24.07,24.37,19788400,0,0.0
2012-01-05,CRM,24.235,24.9875,23.79,24.6925,14988800,0,0.0
