date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,DXCM,2.99,3.08,2.98,3.0,1670400,0.0,0.0
2011-09-09,DXCM,2.955,3.0,2.8825,2.91,1862800,0.0,0.0
2011-09-12,DXCM,2.8525,2.945,2.8275,2.895,898800,0.0,0.0
2011-09-13,DXCM,2.9125,3.0225,2.8325,3.0125,1027200,0.0,0.0
2011-09-14,DXCM,3.035,3.15,3.0025,3.09,1889200,0.0,0.0
2011-09-15,DXCM,3.125,3.2,3.0525,3.1775,2399200,0.0,0.0
2011-09-16,DXCM,3.1875,3.1975,3.135,3.1975,1911200,0.0,0.0
2011-09-19,DXCM,3.13,3.2375,3.125,3.1925,1697200,0.0,0.0
2011-09-20,DXCM,3.26,3.4225,3.17,3.2725,3109200,0.0,0.0
2011-09-21,DXCM,3.2775,3.3375,3.14,3.15,2465200,0.0,0.0
2011-09-22,DXCM,3.0375,3.1625,2.9125,2.9725,3543600,0.0,0.0
2011-09-23,DXCM,2.9725,3.075,2.9025,2.9725,2714400,0.0,0.0
2011-09-26,DXCM,3.0,3.105,2.8875,3.0,2306800,0.0,0.0
2011-09-27,DXCM,3.0875,3.26,3.0125,3.2125,2761600,0.0,0.0
2011-09-28,DXCM,3.2025,3.2575,3.0525,3.055,1395600,0.0,0.0
2011-09-29,DXCM,3.1525,3.185,3.045,3.1375,1200000,0.0,0.0
2011-09-30,DXCM,3.075,3.13,2.995,3.0,2040400,0.0,0.0
2011-10-03,DXCM,2.955,3.03,2.8025,2.84,2537600,0.0,0.0
2011-10-04,DXCM,2.8225,3.06,2.805,3.05,2581600,0.0,0.0
2011-10-05,DXCM,3.065,3.1075,3.0125,3.055,1202000,0.0,0.0
2011-10-06,DXCM,3.055,3.0725,2.9825,3.0225,1793600,0.0,0.0
2011-10-07,DXCM,3.0275,3.0725,2.7675,2.775,3094400,0.0,0.0
2011-10-10,DXCM,2.845,2.885,2.7975,2.8725,1918800,0.0,0.0
2011-10-11,DXCM,2.845,2.92,2.835,2.8675,1064000,0.0,0.0
2011-10-12,DXCM,2.895,2.9475,2.805,2.8225,1997200,0.0,0.0
2011-10-13,DXCM,2.7975,2.8275,2.775,2.8125,1555600,0.0,0.0
2011-10-14,DXCM,2.8625,2.8725,2.7575,2.8075,1343200,0.0,0.0
2011-10-17,DXCM,2.7625,2.8975,2.6425,2.655,1315600,0.0,0.0
2011-10-18,DXCM,2.6625,2.7125,2.6125,2.685,1940800,0.0,0.0
2011-10-19,DXCM,2.6875,2.7275,2.565,2.58,2266000,0.0,0.0
2011-10-20,DXCM,2.595,2.67,2.475,2.565,2076800,0.0,0.0
2011-10-21,DXCM,2.63,2.66,2.53,2.565,3402000,0.0,0.0
2011-10-24,DXCM,2.5825,2.7625,2.58,2.7575,3291200,0.0,0.0
2011-10-25,DXCM,2.7375,2.755,2.61,2.62,1355600,0.0,0.0
2011-10-26,DXCM,2.67,2.67,2.5325,2.545,4762000,0.0,0.0
2011-10-27,DXCM,2.6525,2.6525,2.2825,2.35,7643200,0.0,0.0
2011-10-28,DXCM,2.2825,2.53,2.2825,2.51,4322800,0.0,0.0
2011-10-31,DXCM,2.45,2.495,2.425,2.4475,3221600,0.0,0.0
2011-11-01,DXCM,2.355,2.4025,2.335,2.35,4474800,0.0,0.0
2011-11-02,DXCM,2.35,2.525,2.2875,2.45,4170800,0.0,0.0
2011-11-03,DXCM,1.8625,2.1425,1.8325,1.9675,15636400,0.0,0.0
2011-11-04,DXCM,1.965,2.0,1.885,1.9075,8940400,0.0,0.0
2011-11-07,DXCM,1.9025,1.93,1.8325,1.8525,4841200,0.0,0.0
2011-11-08,DXCM,1.86,1.8625,1.7775,1.845,3946800,0.0,0.0
2011-11-09,DXCM,1.7825,1.83,1.7675,1.7775,2482400,0.0,0.0
2011-11-10,DXCM,1.8025,1.8375,1.755,1.77,1697200,0.0,0.0
2011-11-11,DXCM,1.795,1.84,1.77,1.835,3087200,0.0,0.0
2011-11-14,DXCM,1.825,1.825,1.745,1.75,3017200,0.0,0.0
2011-11-15,DXCM,1.7475,1.81,1.725,1.8025,2899200,0.0,0.0
2011-11-16,DXCM,1.78,1.8025,1.7575,1.76,1713200,0.0,0.0
2011-11-17,DXCM,1.755,1.775,1.7375,1.75,1367600,0.0,0.0
2011-11-18,DXCM,1.8125,1.8375,1.765,1.775,5681600,0.0,0.0
2011-11-21,DXCM,1.7425,1.75,1.7175,1.735,2323600,0.0,0.0
2011-11-22,DXCM,1.74,1.7575,1.715,1.7275,1236400,0.0,0.0
2011-11-23,DXCM,1.7125,1.7525,1.6875,1.7375,3419600,0.0,0.0
2011-11-25,DXCM,1.7275,1.75,1.71,1.7325,1361600,0.0,0.0
2011-11-28,DXCM,1.785,1.8525,1.7725,1.8525,2902800,0.0,0.0
2011-11-29,DXCM,1.85,1.8925,1.85,1.8775,2221600,0.0,0.0
2011-11-30,DXCM,1.945,2.0075,1.945,2.005,4283200,0.0,0.0
2011-12-01,DXCM,2.0025,2.02,1.975,2.0,2294000,0.0,0.0
2011-12-02,DXCM,2.0275,2.085,2.005,2.06,3550000,0.0,0.0
2011-12-05,DXCM,2.095,2.12,2.0625,2.09,1956400,0.0,0.0
2011-12-06,DXCM,2.0875,2.14,2.0425,2.1075,2110800,0.0,0.0
2011-12-07,DXCM,2.095,2.14,2.0175,2.0425,1160000,0.0,0.0
2011-12-08,DXCM,2.025,2.035,1.99,2.0,2366400,0.0,0.0
2011-12-09,DXCM,2.0125,2.0975,1.99,2.0775,1820800,0.0,0.0
2011-12-12,DXCM,2.0475,2.1625,2.0,2.02,2106000,0.0,0.0
2011-12-13,DXCM,2.035,2.0875,2.0,2.01,1775200,0.0,0.0
2011-12-14,DXCM,1.995,2.025,1.995,2.01,2425200,0.0,0.0
2011-12-15,DXCM,2.045,2.0825,2.025,2.0525,1778400,0.0,0.0
2011-12-16,DXCM,2.0825,2.1325,2.0525,2.07,3145200,0.0,0.0
2011-12-19,DXCM,2.08,2.1125,2.0225,2.0275,2111600,0.0,0.0
2011-12-20,DXCM,2.0725,2.1575,2.0675,2.1525,3388400,0.0,0.0
2011-12-21,DXCM,2.16,2.1875,2.1025,2.1775,1526800,0.0,0.0
2011-12-22,DXCM,2.18,2.225,2.15,2.1825,1810800,0.0,0.0
2011-12-23,DXCM,2.185,2.19,2.1425,2.145,1182800,0.0,0.0
2011-12-27,DXCM,2.135,2.175,2.12,2.1625,1030800,0.0,0.0
2011-12-28,DXCM,2.1875,2.1875,2.125,2.135,1202400,0.0,0.0
2011-12-29,DXCM,2.1725,2.3725,2.15,2.35,2505200,0.0,0.0
2011-12-30,DXCM,2.34,2.3925,2.305,2.3275,1869600,0.0,0.0
2012-01-03,DXCM,2.38,2.405,2.3425,2.36,1594000,0.0,0.0
2012-01-04,DXCM,2.3375,2.3575,2.2775,2.3,1340400,0.0,0.0
2012-01-05,DXCM,2.2875,2.2925,2.225,2.23,4016400,0.0,0.0
2012-01-06,DXCM,2.2275,2.26,2.19,2.2075,2395200,0.0,0.0
2012-01-09,DXCM,2.2125,2.2475,2.16,2.21,1332400,0.0,0.0
2012-01-10,DXCM,2.245,2.2575,2.205,2.215,1317200,0.0,0.0
2012-01-11,DXCM,2.2125,2.5425,2.16,2.5325,6370800,0.0,0.0
2012-01-12,DXCM,2.53,2.5775,2.47,2.5675,2719600,0.0,0.0
2012-01-13,DXCM,2.5325,2.5575,2.475,2.5025,1623200,0.0,0.0
2012-01-17,DXCM,2.4525,2.56,2.4425,2.54,3452400,0.0,0.0
2012-01-18,DXCM,2.5425,2.6725,2.535,2.6675,1943200,0.0,0.0
2012-01-19,DXCM,2.6675,2.73,2.66,2.705,2190400,0.0,0.0
2012-01-20,DXCM,2.6975,2.7175,2.66,2.68,2460800,0.0,0.0
2012-01-23,DXCM,2.6875,2.725,2.6225,2.6425,2266800,0.0,0.0
2012-01-24,DXCM,2.6275,2.705,2.6125,2.685,1495200,0.0,0.0
2012-01-25,DXCM,2.6875,2.7575,2.615,2.7325,2793200,0.0,0.0
2012-01-26,DXCM,2.745,2.765,2.6575,2.7475,1736000,0.0,0.0
2012-01-27,DXCM,2.7475,2.8075,2.7,2.7625,3485200,0.0,0.0
2012-01-30,DXCM,2.745,2.7625,2.6775,2.75,1471600,0.0,0.0
2012-01-31,DXCM,2.775,2.7825,2.72,2.7425,1287200,0.0,0.0
2012-02-01,DXCM,2.765,2.8525,2.76,2.8225,2224000,0.0,0.0
2012-02-02,DXCM,2.84,2.9125,2.8125,2.8825,2182800,0.0,0.0
2012-02-03,DXCM,2.9375,2.97,2.9025,2.925,1996800,0.0,0.0
2012-02-06,DXCM,2.895,2.955,2.85,2.94,1955600,0.0,0.0
2012-02-07,DXCM,2.9225,2.9525,2.87,2.9275,1090000,0.0,0.0
2012-02-08,DXCM,2.93,2.955,2.8275,2.8425,1454000,0.0,0.0
2012-02-09,DXCM,2.8525,2.895,2.765,2.8425,1005200,0.0,0.0
2012-02-10,DXCM,2.81,2.8375,2.755,2.78,979200,0.0,0.0
2012-02-13,DXCM,2.8075,2.8175,2.7825,2.8,1387600,0.0,0.0
2012-02-14,DXCM,2.7775,2.8725,2.75,2.795,787200,0.0,0.0
2012-02-15,DXCM,2.8,2.8,2.725,2.735,1342400,0.0,0.0
2012-02-16,DXCM,2.74,2.9625,2.74,2.95,1943600,0.0,0.0
2012-02-17,DXCM,2.9725,2.975,2.8875,2.9,1331200,0.0,0.0
2012-02-21,DXCM,2.8975,2.9375,2.835,2.8625,1502800,0.0,0.0
2012-02-22,DXCM,2.865,2.8775,2.77,2.7975,975200,0.0,0.0
2012-02-23,DXCM,2.8125,2.9075,2.755,2.7975,2611600,0.0,0.0
2012-02-24,DXCM,2.805,2.8375,2.6625,2.7,3582400,0.0,0.0
2012-02-27,DXCM,2.685,2.6925,2.565,2.6775,2340000,0.0,0.0
2012-02-28,DXCM,2.68,2.7775,2.67,2.7725,1881600,0.0,0.0
2012-02-29,DXCM,2.7825,2.8,2.6925,2.6975,1655600,0.0,0.0
2012-03-01,DXCM,2.71,2.8,2.6775,2.6825,1539600,0.0,0.0
2012-03-02,DXCM,2.6775,2.7,2.555,2.5925,1392400,0.0,0.0
2012-03-05,DXCM,2.5775,2.63,2.5625,2.5875,807600,0.0,0.0
2012-03-06,DXCM,2.5525,2.59,2.52,2.525,2125600,0.0,0.0
2012-03-07,DXCM,2.5375,2.5875,2.535,2.56,1476000,0.0,0.0
2012-03-08,DXCM,2.5775,2.595,2.5375,2.5875,1185200,0.0,0.0
