date,symbol,open,high,low,close,volume,dividends,stock_splits
2012-03-30,ENPH,7.5,8.24,7.06,7.34,5048600,0,0
2012-04-02,ENPH,7.65,8.2,7.4,7.81,495500,0,0
2012-04-03,ENPH,7.75,7.8,7.5,7.64,316600,0,0
2012-04-04,ENPH,7.77,7.77,7.31,7.45,165100,0,0
2012-04-05,ENPH,7.48,7.55,7.37,7.43,104300,0,0
2012-04-09,ENPH,7.89,7.89,6.62,6.98,123300,0,0
2012-04-10,ENPH,7.09,7.23,6.97,7.07,247300,0,0
2012-04-11,ENPH,7.25,7.53,7.0,7.13,161900,0,0
2012-04-12,ENPH,7.56,7.56,7.08,7.3,41700,0,0
2012-04-13,ENPH,7.69,7.69,7.0,7.1,92200,0,0
2012-04-16,ENPH,7.15,7.16,6.73,7.16,70200,0,0
2012-04-17,ENPH,7.15,7.15,6.8,7.0,108600,0,0
2012-04-18,ENPH,6.96,7.3,6.82,7.29,54300,0,0
2012-04-19,ENPH,7.21,7.29,7.0,7.04,23100,0,0
2012-04-20,ENPH,7.05,7.19,7.02,7.02,32500,0,0
2012-04-23,ENPH,7.0,7.2,6.85,6.98,15600,0,0
2012-04-24,ENPH,7.09,7.12,6.84,6.91,86000,0,0
2012-04-25,ENPH,6.94,6.96,6.84,6.88,21400,0,0
2012-04-26,ENPH,6.9,6.9,6.8,6.86,15000,0,0
2012-04-27,ENPH,6.84,6.85,6.75,6.75,24000,0,0
2012-04-30,ENPH,7.2,7.45,7.09,7.28,259800,0,0
2012-05-01,ENPH,7.5,8.1,7.18,7.92,362400,0,0
2012-05-02,ENPH,8.0,8.0,7.75,8.0,66000,0,0
2012-05-03,ENPH,8.09,9.57,7.95,8.82,278900,0,0
2012-05-04,ENPH,8.79,9.45,7.57,8.36,171100,0,0
2012-05-07,ENPH,8.37,8.4,7.73,8.34,87500,0,0
2012-05-08,ENPH,8.3,8.71,8.04,8.48,87300,0,0
2012-05-09,ENPH,8.61,8.89,8.22,8.65,116900,0,0
