date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ETR,41.054684,41.61619,40.91269,41.170856,1186000,0.0,0
2011-09-09,ETR,40.912697,40.925606,40.028484,40.209198,1359100,0.0,0
2011-09-12,ETR,39.912304,40.64162,39.770313,40.596443,1179200,0.0,0
2011-09-13,ETR,40.635166,41.067593,40.35764,41.009506,1515900,0.0,0
2011-09-14,ETR,41.054684,41.35157,40.67389,41.028866,1729700,0.0,0
2011-09-15,ETR,41.21603,41.900166,41.06113,41.68073,1315400,0.0,0
2011-09-16,ETR,41.822723,42.59076,41.79045,42.33905,1957500,0.0,0
2011-09-19,ETR,41.835632,42.293873,41.73882,42.126064,1086500,0.0,0
2011-09-20,ETR,42.27452,43.687977,42.248703,42.894115,1827400,0.0,0
2011-09-21,ETR,42.810215,43.081287,42.016354,42.06799,1422500,0.0,0
2011-09-22,ETR,41.29994,41.622643,40.86751,41.454838,1839400,0.0,0
2011-09-23,ETR,41.435474,42.526222,41.319298,42.126064,1841800,0.0,0
2011-09-26,ETR,42.60367,42.990917,42.15188,42.93928,1388100,0.0,0
2011-09-27,ETR,43.56534,43.823505,42.93283,43.120003,1973500,0.0,0
2011-09-28,ETR,43.165173,43.481426,42.51331,42.59721,1498300,0.0,0
2011-09-29,ETR,43.268456,43.42335,42.758575,43.255543,3001900,0.0,0
2011-09-30,ETR,42.99738,43.43626,42.74567,42.784393,1548400,0.0,0
2011-10-03,ETR,42.635933,43.139355,41.635548,41.667816,1414500,0.0,0
2011-10-04,ETR,41.390297,41.564564,40.441544,41.55165,1390800,0.0,0
2011-10-05,ETR,41.680737,41.758183,41.022415,41.57747,1149100,0.0,0
2011-10-06,ETR,41.551655,41.7711,41.274128,41.751736,1180400,0.0,0
2011-10-07,ETR,41.919533,42.513317,41.693638,42.19706,1539200,0.0,0
2011-10-10,ETR,42.674664,43.055454,42.64239,43.055454,1027000,0.0,0
2011-10-11,ETR,43.010292,43.010292,42.358425,42.416515,1425000,0.0,0
2011-10-12,ETR,42.558495,42.75857,42.326145,42.584312,1715200,0.0,0
2011-10-13,ETR,42.37132,42.797287,42.274506,42.74566,1346900,0.0,0
2011-10-14,ETR,43.016727,43.11354,42.72629,43.042545,1128100,0.0,0
2011-10-17,ETR,43.029648,43.14582,42.6424,42.661762,821100,0.0,0
2011-10-18,ETR,42.73921,43.345898,42.384228,43.11355,1405600,0.0,0
2011-10-19,ETR,43.171635,43.84932,43.171635,43.236176,1120700,0.0,0
2011-10-20,ETR,43.307167,43.726685,43.15227,43.57824,1244700,0.0,0
2011-10-21,ETR,43.926773,44.210754,43.855778,44.19785,1017800,0.0,0
2011-10-24,ETR,44.204292,44.430187,43.920315,44.430187,1205500,0.0,0
2011-10-25,ETR,43.881584,44.41082,43.881584,44.062298,1263600,0.0,0
2011-10-26,ETR,44.507637,44.66899,44.133297,44.47537,1273300,0.0,0
2011-10-27,ETR,45.13369,45.282135,44.798077,44.972336,1876300,0.0,0
2011-10-28,ETR,45.030422,45.030422,44.462463,44.539913,1537300,0.0,0
2011-10-31,ETR,44.223648,44.96587,44.223648,44.643166,1973900,0.0,0
2011-11-01,ETR,44.01713,45.17888,43.66216,43.829967,2136800,0.0,0
2011-11-02,ETR,44.430187,44.830345,44.236565,44.39792,1339000,0.0,0
2011-11-03,ETR,44.617363,44.959435,44.294655,44.89489,4634600,0.0,0
2011-11-04,ETR,44.6109,44.89488,44.372097,44.830338,4617700,0.0,0
2011-11-07,ETR,44.468918,44.80453,44.15912,44.80453,2097900,0.0,0
2011-11-08,ETR,44.615086,45.000484,44.438713,45.000484,1710200,0.83,0
2011-11-09,ETR,44.373413,44.8372,44.229702,44.42567,1817200,0.0,0
2011-11-10,ETR,44.837196,45.29445,44.53018,45.08542,1955600,0.0,0
2011-11-11,ETR,45.27486,45.817036,45.27486,45.69292,1612900,0.0,0
2011-11-14,ETR,45.62759,45.751705,45.046223,45.072353,3218000,0.0,0
2011-11-15,ETR,45.052765,45.764774,45.052765,45.69292,2138800,0.0,0
2011-11-16,ETR,45.31404,45.810486,45.131134,45.31404,1738200,0.0,0
2011-11-17,ETR,45.346703,45.346703,44.295017,44.660824,1648000,0.0,0
2011-11-18,ETR,44.954754,45.137657,44.66081,44.922092,1519300,0.0,0
2011-11-21,ETR,44.693462,44.817574,44.13822,44.615078,1348700,0.0,0
2011-11-22,ETR,44.575897,44.693478,43.968403,44.001064,1108400,0.0,0
2011-11-23,ETR,43.837765,43.916153,43.24333,43.308655,808700,0.0,0
2011-11-25,ETR,43.43276,43.903076,43.37397,43.46542,414200,0.0,0
2011-11-28,ETR,44.432194,44.58897,43.680992,43.883488,1002500,0.0,0
2011-11-29,ETR,44.10557,44.602024,44.040253,44.38646,718500,0.0,0
2011-11-30,ETR,45.23565,45.97379,45.098473,45.960728,1929200,0.0,0
2011-12-01,ETR,45.934597,46.32,45.725567,46.071774,1428000,0.0,0
2011-12-02,ETR,46.378796,46.378796,45.42509,45.490414,1548900,0.0,0
2011-12-05,ETR,47.528465,48.33846,46.888306,47.28677,4283700,0.0,0
2011-12-06,ETR,47.46967,47.60032,46.646614,46.99282,2019600,0.0,0
2011-12-07,ETR,46.894836,47.391285,46.7054,47.11693,1264300,0.0,0
2011-12-08,ETR,47.01896,47.025486,46.02606,46.124043,1392900,0.0,0
2011-12-09,ETR,46.28735,46.646626,46.25469,46.55517,987100,0.0,0
2011-12-12,ETR,46.39186,46.751137,45.928074,46.26122,996100,0.0,0
2011-12-13,ETR,46.424522,47.012424,46.24162,46.38533,1290100,0.0,0
2011-12-14,ETR,46.398407,46.502922,46.01301,46.11752,1040600,0.0,0
2011-12-15,ETR,46.437584,46.94057,46.346134,46.757668,1208600,0.0,0
2011-12-16,ETR,46.93404,47.03856,46.542107,46.796864,2065500,0.0,0
2011-12-19,ETR,46.783794,47.032017,46.22855,46.37226,985400,0.0,0
2011-12-20,ETR,46.875244,47.227985,46.796856,47.018955,1191900,0.0,0
2011-12-21,ETR,46.907925,47.626472,46.907925,47.52849,1406400,0.0,0
2011-12-22,ETR,47.606842,47.76362,47.45007,47.606842,938400,0.0,0
2011-12-23,ETR,47.783222,48.096764,47.541527,47.776688,603700,0.0,0
2011-12-27,ETR,47.685246,48.175163,47.685246,48.070644,587400,0.0,0
2011-12-28,ETR,48.02491,48.17515,47.711365,47.776688,542100,0.0,0
2011-12-29,ETR,47.946533,48.207825,47.79629,48.10984,482700,0.0,0
