date,symbol,open,high,low,close,volume,dividends,stock_splits
2015-04-16,ETSY,31.0,35.74,28.22,30.0,19763300,0,0
2015-04-17,ETSY,29.77,30.3,26.51,27.58,3965500,0,0
2015-04-20,ETSY,28.77,28.9,24.87,24.9,3076200,0,0
2015-04-21,ETSY,24.97,26.04,24.56,25.75,2184700,0,0
2015-04-22,ETSY,26.0,26.24,24.95,25.12,1442500,0,0
2015-04-23,ETSY,24.93,25.74,24.08,25.62,1298100,0,0
2015-04-24,ETSY,25.55,25.7,25.0,25.58,532800,0,0
2015-04-27,ETSY,25.7,26.47,25.21,25.9,731300,0,0
2015-04-28,ETSY,25.75,25.9,24.18,24.49,954100,0,0
2015-04-29,ETSY,24.49,24.969,22.32,22.42,1674500,0,0
2015-04-30,ETSY,22.66,23.18,21.82,22.24,1221500,0,0
2015-05-01,ETSY,22.25,23.0,21.27,21.75,687300,0,0
2015-05-04,ETSY,21.75,23.285,21.75,23.24,648600,0,0
2015-05-05,ETSY,23.22,24.32,21.9,24.15,1064700,0,0
2015-05-06,ETSY,24.15,25.42,23.032,23.4,1290700,0,0
2015-05-07,ETSY,23.4,24.42,22.715,23.69,616600,0,0
2015-05-08,ETSY,23.93,24.1,22.5,22.71,784000,0,0
2015-05-11,ETSY,20.71,21.49,20.02,20.85,2115100,0,0
2015-05-12,ETSY,21.23,21.45,20.36,20.57,1140300,0,0
2015-05-13,ETSY,20.5,20.78,19.5,19.83,1536000,0,0
2015-05-14,ETSY,19.83,20.75,19.615,20.6,1043600,0,0
2015-05-15,ETSY,20.56,20.82,19.51,20.05,1177100,0,0
2015-05-18,ETSY,19.51,20.75,19.15,20.56,1211100,0,0
2015-05-19,ETSY,20.56,21.31,19.66,21.0,2015100,0,0
2015-05-20,ETSY,16.9,17.32,15.7,17.2,11105200,0,0
2015-05-21,ETSY,17.37,17.69,16.91,17.51,2318100,0,0
2015-05-22,ETSY,17.82,18.15,17.0,17.17,2012100,0,0
2015-05-26,ETSY,16.59,17.3,16.18,17.09,1797400,0,0
2015-05-27,ETSY,17.02,17.63,16.85,17.06,878600,0,0
2015-05-28,ETSY,16.95,17.1,16.72,17.04,489100,0,0
2015-05-29,ETSY,17.0,17.1,16.5,16.76,940400,0,0
2015-06-01,ETSY,16.76,16.77,16.0,16.05,858400,0,0
2015-06-02,ETSY,15.98,16.1,15.73,15.86,763000,0,0
2015-06-03,ETSY,15.7,15.875,14.96,15.32,1432900,0,0
2015-06-04,ETSY,15.25,15.63,15.0,15.07,808000,0,0
2015-06-05,ETSY,15.15,15.28,14.64,15.03,712400,0,0
2015-06-08,ETSY,14.95,15.13,14.68,14.86,500400,0,0
2015-06-09,ETSY,15.11,16.25,15.01,15.99,2273800,0,0
2015-06-10,ETSY,16.05,18.42,16.01,16.78,3384300,0,0
2015-06-11,ETSY,17.08,17.683,16.75,16.86,1418000,0,0
2015-06-12,ETSY,16.75,17.14,16.32,16.64,747300,0,0
2015-06-15,ETSY,16.2,17.1,16.14,16.32,1088400,0,0
2015-06-16,ETSY,16.51,16.89,16.2,16.29,767500,0,0
2015-06-17,ETSY,16.3,16.49,15.65,15.77,1427400,0,0
2015-06-18,ETSY,15.77,15.87,14.9,15.33,1386600,0,0
2015-06-19,ETSY,15.26,15.39,14.3,14.31,2590300,0,0
2015-06-22,ETSY,14.38,14.72,13.78,14.42,1536400,0,0
2015-06-23,ETSY,14.45,14.8,14.13,14.34,916600,0,0
2015-06-24,ETSY,14.33,14.59,14.17,14.39,841800,0,0
2015-06-25,ETSY,14.43,14.96,14.2,14.9,873800,0,0
2015-06-26,ETSY,14.28,14.57,13.95,14.25,4215900,0,0
2015-06-29,ETSY,14.0,14.31,13.91,14.23,1251400,0,0
2015-06-30,ETSY,14.3,14.424,13.95,14.05,1508100,0,0
2015-07-01,ETSY,14.13,14.48,13.96,14.01,1764900,0,0
2015-07-02,ETSY,14.0,14.24,12.81,13.27,1977500,0,0
2015-07-06,ETSY,13.46,13.46,12.8,13.4,1435000,0,0
2015-07-07,ETSY,13.51,13.53,13.0,13.32,1030700,0,0
2015-07-08,ETSY,13.17,14.56,13.1,14.55,961000,0,0
2015-07-09,ETSY,14.61,16.25,14.6,16.2,1936500,0,0
2015-07-10,ETSY,16.25,17.29,15.82,16.53,1260300,0,0
2015-07-13,ETSY,16.65,16.9,15.62,16.03,715300,0,0
2015-07-14,ETSY,16.1,17.02,16.0,16.51,519800,0,0
2015-07-15,ETSY,16.58,17.15,16.41,16.82,1070600,0,0
2015-07-16,ETSY,16.9,17.3,16.32,16.83,988000,0,0
2015-07-17,ETSY,16.94,23.44,16.57,21.98,11961100,0,0
2015-07-20,ETSY,20.44,20.97,18.92,19.56,3561300,0,0
2015-07-21,ETSY,19.55,20.38,18.61,18.98,1733600,0,0
2015-07-22,ETSY,18.82,19.46,18.02,18.45,869300,0,0
2015-07-23,ETSY,18.37,19.14,17.77,18.44,1156300,0,0
2015-07-24,ETSY,18.31,19.89,18.16,19.31,1292100,0,0
2015-07-27,ETSY,19.28,19.47,18.161,18.3,645500,0,0
2015-07-28,ETSY,18.47,19.15,18.31,18.65,955000,0,0
2015-07-29,ETSY,18.7,19.45,18.25,18.98,874700,0,0
2015-07-30,ETSY,18.96,21.658,18.902,21.2,2323700,0,0
2015-07-31,ETSY,21.3,21.9,20.41,20.84,1922600,0,0
2015-08-03,ETSY,21.0,21.48,19.85,20.5,1829700,0,0
2015-08-04,ETSY,20.36,20.59,18.81,19.23,3028600,0,0
2015-08-05,ETSY,15.62,16.28,13.63,13.78,4141900,0,0
2015-08-06,ETSY,13.82,13.91,13.06,13.59,2053600,0,0
2015-08-07,ETSY,13.54,13.77,13.21,13.44,1105000,0,0
2015-08-10,ETSY,13.52,14.34,13.3,14.29,679500,0,0
2015-08-11,ETSY,14.19,16.1,13.86,16.01,1200900,0,0
2015-08-12,ETSY,16.0,18.57,15.56,16.88,2096400,0,0
2015-08-13,ETSY,16.99,17.73,16.45,16.99,1288500,0,0
2015-08-14,ETSY,17.07,17.65,16.65,17.08,1143200,0,0
2015-08-17,ETSY,17.54,17.64,16.5,17.35,1132300,0,0
2015-08-18,ETSY,17.16,17.47,15.78,15.86,793400,0,0
2015-08-19,ETSY,15.68,16.034,14.93,14.98,844600,0,0
2015-08-20,ETSY,14.61,14.965,13.8,14.25,853900,0,0
2015-08-21,ETSY,13.91,14.11,13.25,13.46,1223600,0,0
2015-08-24,ETSY,12.58,13.68,11.85,12.93,1002000,0,0
2015-08-25,ETSY,13.9,14.0,12.84,12.87,638500,0,0
2015-08-26,ETSY,13.2,13.3,12.63,13.04,580900,0,0
2015-08-27,ETSY,13.25,14.31,13.19,14.29,838200,0,0
2015-08-28,ETSY,14.22,15.19,14.12,14.82,661500,0,0
2015-08-31,ETSY,14.61,14.88,13.88,14.33,782900,0,0
2015-09-01,ETSY,13.84,14.45,13.805,14.06,440700,0,0
2015-09-02,ETSY,14.23,14.565,13.88,14.35,431400,0,0
2015-09-03,ETSY,14.26,14.79,13.94,14.02,398400,0,0
2015-09-04,ETSY,13.9,14.3,13.71,14.21,297800,0,0
2015-09-08,ETSY,14.57,14.65,14.08,14.36,252400,0,0
2015-09-09,ETSY,14.54,14.6,13.9,13.99,516800,0,0
2015-09-10,ETSY,13.89,14.3,13.87,14.23,336400,0,0
2015-09-11,ETSY,14.08,14.38,13.96,14.31,270300,0,0
2015-09-14,ETSY,14.17,14.5,13.98,14.38,209400,0,0
2015-09-15,ETSY,14.48,14.76,14.38,14.6,190000,0,0
2015-09-16,ETSY,14.53,14.66,14.14,14.39,207300,0,0
2015-09-17,ETSY,14.32,15.66,14.32,15.61,643500,0,0
2015-09-18,ETSY,15.28,15.7,14.9,15.4,617200,0,0
2015-09-21,ETSY,15.44,16.73,15.17,15.9,896700,0,0
2015-09-22,ETSY,15.5,15.99,15.1,15.18,393400,0,0
2015-09-23,ETSY,15.16,15.34,14.34,14.61,341400,0,0
2015-09-24,ETSY,14.39,14.99,14.16,14.98,243800,0,0
2015-09-25,ETSY,15.13,15.29,14.0,14.11,425100,0,0
2015-09-28,ETSY,14.12,14.37,13.86,13.88,591600,0,0
2015-09-29,ETSY,13.94,14.2,13.52,13.82,539600,0,0
2015-09-30,ETSY,14.0,14.19,13.31,13.69,500800,0,0
2015-10-01,ETSY,13.91,14.35,13.43,14.15,315900,0,0
2015-10-02,ETSY,14.08,14.57,13.89,14.32,394200,0,0
2015-10-05,ETSY,14.38,15.11,14.05,14.66,261400,0,0
2015-10-06,ETSY,14.74,14.88,13.64,14.07,383900,0,0
2015-10-07,ETSY,14.1,14.7,13.96,14.18,298700,0,0
2015-10-08,ETSY,13.27,13.95,13.2,13.57,902400,0,0
2015-10-09,ETSY,13.63,14.07,13.15,13.86,289500,0,0
2015-10-12,ETSY,13.67,13.67,12.205,12.31,612700,0,0
2015-10-13,ETSY,12.25,13.19,11.515,11.6,1466500,0,0
2015-10-14,ETSY,11.84,11.88,10.825,10.99,1091100,0,0
2015-10-15,ETSY,10.57,11.25,10.29,11.03,2086600,0,0
2015-10-16,ETSY,11.0,11.14,10.65,10.99,1187100,0,0
2015-10-19,ETSY,10.89,11.04,10.53,10.94,1050300,0,0
2015-10-20,ETSY,11.19,12.26,11.19,11.34,2070000,0,0
2015-10-21,ETSY,11.31,11.63,10.62,10.68,1023300,0,0
