date,symbol,open,high,low,close,volume,dividends,stock_splits
2013-08-14,EVHC,39.48,40.16,39.48,39.84,129259,0,0
2013-08-15,EVHC,39.41,39.9,38.79,38.8,102699,0,0
2013-08-16,EVHC,38.6,39.05,38.35,38.958,85095,0,0
2013-08-19,EVHC,38.99,39.27,38.71,38.91,63231,0,0
2013-08-20,EVHC,38.85,39.25,38.77,39.22,73250,0,0
2013-08-21,EVHC,39.01,39.47,38.84,39.13,55996,0,0
2013-08-22,EVHC,39.2,39.79,39.09,39.51,96897,0,0
2013-08-23,EVHC,39.62,39.85,39.42,39.46,94563,0,0
2013-08-26,EVHC,39.56,39.88,39.33,39.51,42002,0,0
2013-08-27,EVHC,38.97,39.07,38.19,38.24,75627,0,0
2013-08-28,EVHC,38.15,38.24,37.92,37.94,52434,0,0
2013-08-29,EVHC,38.13,38.66,37.92,38.1,71835,0,0
2013-08-30,EVHC,37.95,38.02,37.19,37.29,111400,0,0
2013-09-03,EVHC,37.85,38.489,37.36,37.74,105092,0,0
2013-09-04,EVHC,37.82,38.21,37.8,38.12,65549,0,0
2013-09-05,EVHC,38.04,38.28,37.73,37.75,70174,0,0
2013-09-06,EVHC,38.0,38.0,36.546,37.56,44985,0,0
2013-09-09,EVHC,37.69,37.87,37.21,37.77,62684,0,0
2013-09-10,EVHC,38.07,38.21,37.644,38.13,62877,0,0
2013-09-11,EVHC,37.93,39.06,37.93,38.59,68916,0,0
2013-09-12,EVHC,38.66,39.08,37.99,38.02,47204,0,0
2013-09-13,EVHC,38.22,38.7297,37.84,38.58,55408,0,0
2013-09-16,EVHC,39.14,39.14,38.59,38.91,42565,0,0
2013-09-17,EVHC,38.99,39.57,38.501,39.57,80521,0,0
2013-09-18,EVHC,39.68,40.0,39.215,39.75,60144,0,0
2013-09-19,EVHC,39.96,39.97,39.56,39.89,51763,0,0
2013-09-20,EVHC,39.91,40.01,39.44,39.56,145192,0,0
2013-09-23,EVHC,39.62,39.9,38.69,39.7,63607,0,0
2013-09-24,EVHC,39.77,40.22,39.21,39.53,49150,0,0
2013-09-25,EVHC,39.52,39.7,39.015,39.14,83855,0,0
2013-09-26,EVHC,38.65,39.4,38.236,39.39,76097,0,0
2013-09-27,EVHC,39.06,39.17,38.63,39.08,37624,0,0
2013-09-30,EVHC,38.66,39.76,38.66,39.7,152078,0,0
2013-10-01,EVHC,39.72,40.94,39.72,40.94,91371,0,0
2013-10-02,EVHC,40.75,40.98,40.1554,40.43,87735,0,0
2013-10-03,EVHC,40.24,40.551,39.31,39.72,73085,0,0
2013-10-04,EVHC,39.62,40.19,39.44,40.01,52533,0,0
2013-10-07,EVHC,39.7,40.6,39.68,39.95,87659,0,0
2013-10-08,EVHC,40.07,40.72,40.07,40.49,104294,0,0
2013-10-09,EVHC,40.53,41.0,40.24,40.49,147500,0,0
2013-10-10,EVHC,41.0,41.7875,40.608,41.34,122525,0,0
2013-10-11,EVHC,41.13,42.45,41.01,41.826,115849,0,0
2013-10-14,EVHC,41.76,42.03,41.35,41.84,115520,0,0
2013-10-15,EVHC,41.82,41.82,41.36,41.49,100323,0,0
2013-10-16,EVHC,41.84,42.2,41.5701,42.15,94944,0,0
2013-10-17,EVHC,42.05,42.4764,41.87,42.4,118970,0,0
2013-10-18,EVHC,42.86,42.97,42.266,42.885,185418,0,0
2013-10-21,EVHC,42.82,43.07,42.38,42.63,118057,0,0
2013-10-22,EVHC,42.72,42.92,42.45,42.55,96922,0,0
2013-10-23,EVHC,42.58,43.84,40.1501,43.52,222944,0,0
2013-10-24,EVHC,43.69,43.7,43.17,43.5,131787,0,0
2013-10-25,EVHC,43.6,43.6,42.78,42.95,131817,0,0
2013-10-28,EVHC,42.84,43.39,42.55,43.08,111303,0,0
2013-10-29,EVHC,43.09,43.42,42.11,43.39,104601,0,0
2013-10-30,EVHC,43.29,43.67,42.83,43.26,166144,0,0
2013-10-31,EVHC,43.41,43.47,42.84,42.89,108466,0,0
2013-11-01,EVHC,42.8,43.06,42.0,42.35,170427,0,0
2013-11-04,EVHC,42.62,43.43,42.265,43.37,153237,0,0
2013-11-05,EVHC,43.27,43.29,42.66,43.06,70676,0,0
2013-11-06,EVHC,43.41,43.58,42.78,43.33,112224,0,0
2013-11-07,EVHC,43.46,43.851,42.65,42.68,176751,0,0
2013-11-08,EVHC,42.65,43.62,42.63,43.48,143332,0,0
2013-11-11,EVHC,43.31,43.47,42.95,43.3,98228,0,0
2013-11-12,EVHC,43.14,43.78,42.682,43.74,73307,0,0
2013-11-13,EVHC,43.59,43.95,43.13,43.3,340331,0,0
2013-11-14,EVHC,43.4,44.58,43.25,44.36,137111,0,0
2013-11-15,EVHC,44.34,44.92,44.11,44.81,94736,0,0
2013-11-18,EVHC,45.0,45.44,44.79,44.94,70684,0,0
2013-11-19,EVHC,45.05,45.22,44.37,44.83,99316,0,0
2013-11-20,EVHC,45.15,45.54,45.03,45.41,97734,0,0
2013-11-21,EVHC,45.71,47.34,45.66,47.18,189328,0,0
2013-11-22,EVHC,47.28,47.774,46.679,47.55,122671,0,0
2013-11-25,EVHC,47.55,47.72,46.39,46.75,183107,0,0
2013-11-26,EVHC,46.75,47.88,46.75,47.14,174891,0,0
2013-11-27,EVHC,47.08,47.98,46.716,47.73,151548,0,0
2013-11-29,EVHC,48.06,48.71,47.59,48.32,76335,0,0
2013-12-02,EVHC,48.29,48.29,46.59,46.86,167310,0,0
2013-12-03,EVHC,46.67,47.3193,46.52,46.96,157110,0,0
2013-12-04,EVHC,46.67,47.01,45.7,46.17,106400,0,0
2013-12-05,EVHC,46.18,46.299,45.558,45.82,129944,0,0
2013-12-06,EVHC,46.36,46.74,45.94,46.06,282065,0,0
2013-12-09,EVHC,46.24,46.72,45.82,46.16,162072,0,0
2013-12-10,EVHC,46.15,46.61,46.03,46.29,196425,0,0
