date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,EW,12.37,12.488333,12.171667,12.18,4536000,0,0.0
2011-09-09,EW,12.068333,12.095,11.735,11.74,6750600,0,0.0
2011-09-12,EW,11.561667,11.886667,11.523333,11.865,6727200,0,0.0
2011-09-13,EW,11.9,12.29,11.9,12.243333,8580000,0,0.0
2011-09-14,EW,12.353333,12.566667,12.151667,12.438333,6337200,0,0.0
2011-09-15,EW,12.5,12.8,12.398333,12.72,6222000,0,0.0
2011-09-16,EW,12.803333,12.913333,12.621667,12.86,6308400,0,0.0
2011-09-19,EW,12.685,12.93,12.55,12.875,5442000,0,0.0
2011-09-20,EW,12.916667,13.316667,12.841667,13.083333,6442200,0,0.0
2011-09-21,EW,13.098333,13.123333,12.736667,12.746667,5184600,0,0.0
2011-09-22,EW,12.395,12.506667,12.261667,12.445,7396200,0,0.0
2011-09-23,EW,12.318333,12.493333,12.03,12.423333,5598000,0,0.0
2011-09-26,EW,12.525,12.79,12.365,12.77,4030200,0,0.0
2011-09-27,EW,13.04,13.285,12.896667,12.97,4519800,0,0.0
2011-09-28,EW,12.971667,13.088333,12.633333,12.645,4980000,0,0.0
2011-09-29,EW,12.066667,12.083333,11.25,11.813333,34267200,0,0.0
2011-09-30,EW,11.526667,12.221667,11.526667,11.88,10588800,0,0.0
2011-10-03,EW,11.815,11.815,11.333333,11.403333,7672200,0,0.0
2011-10-04,EW,11.203333,11.665,10.803333,11.645,12000000,0,0.0
2011-10-05,EW,11.666667,11.708333,11.465,11.516667,7791000,0,0.0
2011-10-06,EW,11.533333,11.733333,11.506667,11.723333,7294200,0,0.0
2011-10-07,EW,11.821667,12.17,11.786667,12.005,6391200,0,0.0
2011-10-10,EW,12.173333,12.235,11.98,12.031667,5349000,0,0.0
2011-10-11,EW,12.001667,12.2,11.921667,11.946667,4815600,0,0.0
2011-10-12,EW,12.0,12.051667,11.803333,11.815,6435600,0,0.0
2011-10-13,EW,11.715,11.931667,11.69,11.871667,4216200,0,0.0
2011-10-14,EW,11.978333,12.043333,11.856667,12.0,4003800,0,0.0
2011-10-17,EW,11.75,11.841667,11.401667,11.421667,8657400,0,0.0
2011-10-18,EW,11.353333,11.788333,11.353333,11.693333,5014800,0,0.0
2011-10-19,EW,11.72,11.916667,11.281667,11.298333,10606800,0,0.0
2011-10-20,EW,11.666667,12.04,11.383333,12.0,12934200,0,0.0
2011-10-21,EW,12.12,12.291667,12.058333,12.23,6295800,0,0.0
2011-10-24,EW,12.211667,12.66,12.211667,12.583333,7356000,0,0.0
2011-10-25,EW,12.506667,12.666667,12.136667,12.156667,5230800,0,0.0
2011-10-26,EW,12.33,12.385,12.085,12.258333,3448800,0,0.0
2011-10-27,EW,12.583333,12.715,12.368333,12.576667,4891800,0,0.0
2011-10-28,EW,12.606667,12.728333,12.568333,12.676667,4360200,0,0.0
2011-10-31,EW,12.48,12.761667,12.388333,12.57,5862600,0,0.0
2011-11-01,EW,12.258333,12.45,12.15,12.251667,5498400,0,0.0
2011-11-02,EW,12.451667,12.615,12.02,12.395,7273200,0,0.0
2011-11-03,EW,12.9,12.9,12.506667,12.8,6610200,0,0.0
2011-11-04,EW,12.735,12.838333,12.666667,12.74,4431600,0,0.0
2011-11-07,EW,12.708333,12.83,12.543333,12.701667,2613000,0,0.0
2011-11-08,EW,12.7,12.861667,12.571667,12.713333,4437600,0,0.0
2011-11-09,EW,12.416667,12.488333,11.931667,11.95,8099400,0,0.0
2011-11-10,EW,12.056667,12.201667,11.363333,11.503333,21659400,0,0.0
2011-11-11,EW,11.575,11.92,11.385,11.761667,11892600,0,0.0
2011-11-14,EW,11.733333,11.951667,11.641667,11.72,6700800,0,0.0
2011-11-15,EW,11.678333,11.775,11.461667,11.461667,7759800,0,0.0
2011-11-16,EW,11.381667,11.396667,10.865,10.891667,18659400,0,0.0
2011-11-17,EW,10.856667,10.873333,10.521667,10.613333,8560200,0,0.0
2011-11-18,EW,10.665,10.763333,10.483333,10.503333,8812200,0,0.0
2011-11-21,EW,10.343333,10.87,10.333333,10.686667,11222400,0,0.0
2011-11-22,EW,10.643333,10.803333,10.411667,10.51,5418000,0,0.0
2011-11-23,EW,10.401667,10.561667,10.265,10.491667,5981400,0,0.0
2011-11-25,EW,10.435,10.57,10.38,10.416667,2130600,0,0.0
2011-11-28,EW,10.661667,10.76,10.556667,10.643333,4366800,0,0.0
2011-11-29,EW,10.651667,10.715,10.588333,10.588333,2849400,0,0.0
2011-11-30,EW,10.87,11.005,10.841667,11.005,6060000,0,0.0
2011-12-01,EW,10.955,11.235,10.905,11.138333,4112400,0,0.0
2011-12-02,EW,11.198333,11.198333,10.755,10.831667,6245400,0,0.0
2011-12-05,EW,10.995,11.063333,10.826667,10.873333,5565000,0,0.0
2011-12-06,EW,10.898333,10.928333,10.765,10.863333,3333000,0,0.0
2011-12-07,EW,10.82,10.87,10.69,10.801667,3405000,0,0.0
2011-12-08,EW,10.708333,10.718333,10.626667,10.636667,5364600,0,0.0
2011-12-09,EW,10.763333,10.921667,10.448333,10.755,9744600,0,0.0
2011-12-12,EW,10.855,11.398333,10.673333,11.308333,14998200,0,0.0
2011-12-13,EW,11.308333,11.436667,11.105,11.188333,9940200,0,0.0
2011-12-14,EW,11.138333,11.15,10.926667,10.98,6245400,0,0.0
2011-12-15,EW,11.018333,11.085,10.871667,11.05,5717400,0,0.0
2011-12-16,EW,11.138333,11.285,11.09,11.231667,8354400,0,0.0
2011-12-19,EW,11.236667,11.33,11.165,11.266667,5623800,0,0.0
2011-12-20,EW,11.4,11.766667,11.383333,11.743333,7495200,0,0.0
2011-12-21,EW,11.698333,11.718333,11.496667,11.671667,3663600,0,0.0
2011-12-22,EW,11.755,11.97,11.695,11.735,4027800,0,0.0
2011-12-23,EW,11.736667,11.836667,11.693333,11.83,1972200,0,0.0
2011-12-27,EW,11.768333,11.845,11.728333,11.785,1385400,0,0.0
2011-12-28,EW,11.811667,11.83,11.633333,11.686667,2309400,0,0.0
2011-12-29,EW,11.723333,11.931667,11.635,11.903333,2251800,0,0.0
2011-12-30,EW,11.86,11.95,11.783333,11.783333,2632200,0,0.0
2012-01-03,EW,12.013333,12.181667,11.975,12.0,5939400,0,0.0
2012-01-04,EW,11.965,12.06,11.795,11.806667,4015200,0,0.0
2012-01-05,EW,11.696667,12.021667,11.673333,11.991667,4635000,0,0.0
2012-01-06,EW,11.926667,12.161667,11.92,12.146667,4887600,0,0.0
2012-01-09,EW,12.135,12.151667,11.98,12.105,3301800,0,0.0
2012-01-10,EW,12.185,12.398333,12.173333,12.398333,5918400,0,0.0
2012-01-11,EW,12.416667,12.436667,12.328333,12.381667,6427200,0,0.0
2012-01-12,EW,12.408333,12.428333,12.231667,12.358333,2715000,0,0.0
2012-01-13,EW,12.286667,12.383333,12.128333,12.201667,3072600,0,0.0
2012-01-17,EW,12.31,12.393333,12.021667,12.041667,5877600,0,0.0
2012-01-18,EW,12.185,13.015,12.031667,12.946667,17151000,0,0.0
2012-01-19,EW,12.968333,13.166667,12.885,12.981667,9214200,0,0.0
2012-01-20,EW,12.981667,13.161667,12.735,12.853333,6047400,0,0.0
2012-01-23,EW,12.876667,13.23,12.751667,13.218333,9090000,0,0.0
2012-01-24,EW,13.11,13.333333,13.03,13.09,5153400,0,0.0
2012-01-25,EW,13.13,13.205,12.926667,13.166667,4895400,0,0.0
2012-01-26,EW,13.166667,13.181667,13.0,13.045,4631400,0,0.0
2012-01-27,EW,13.048333,13.25,13.0,13.196667,4877400,0,0.0
2012-01-30,EW,13.063333,13.153333,12.963333,13.045,4593600,0,0.0
2012-01-31,EW,13.34,13.993333,13.34,13.778333,17877600,0,0.0
2012-02-01,EW,13.745,13.895,13.588333,13.615,12187800,0,0.0
2012-02-02,EW,13.513333,13.558333,13.328333,13.445,7403400,0,0.0
2012-02-03,EW,12.045,12.5,11.833333,11.923333,40098600,0,0.0
2012-02-06,EW,11.888333,12.165,11.696667,12.086667,11296800,0,0.0
2012-02-07,EW,12.088333,12.328333,12.001667,12.271667,7602000,0,0.0
2012-02-08,EW,12.326667,12.373333,12.225,12.333333,5935800,0,0.0
2012-02-09,EW,12.281667,12.351667,12.191667,12.218333,5848200,0,0.0
2012-02-10,EW,12.146667,12.336667,12.09,12.311667,6327000,0,0.0
2012-02-13,EW,12.355,12.411667,12.275,12.355,4983000,0,0.0
2012-02-14,EW,12.31,12.483333,12.266667,12.321667,6606000,0,0.0
2012-02-15,EW,12.421667,12.673333,12.313333,12.641667,13630800,0,0.0
