date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,EXPE,40.746227,41.31084,40.15473,40.32949,1677100,0.0,0.0
2011-09-09,EXPE,40.114403,40.611797,38.891075,39.159935,2429600,0.0,0.0
2011-09-12,EXPE,38.487778,39.885868,38.27269,39.84554,2094600,0.0,0.0
2011-09-13,EXPE,39.96652,40.329487,39.65733,40.033737,1690850,0.0,0.0
2011-09-14,EXPE,39.76486,40.316025,38.649075,39.939617,2675900,0.0,0.0
2011-09-15,EXPE,40.32949,40.36982,39.59012,39.711105,1920200,0.0,0.0
2011-09-16,EXPE,39.845528,40.262268,39.455677,39.791756,2410000,0.0,0.0
2011-09-19,EXPE,39.294365,39.455685,38.434006,38.70287,2939600,0.0,0.0
2011-09-20,EXPE,38.87762,39.4019,38.044144,38.810406,3096050,0.0,0.0
2011-09-21,EXPE,38.675976,39.455677,37.869385,37.9366,2991700,0.0,0.0
2011-09-22,EXPE,37.439205,37.439205,35.059765,35.731922,4270900,0.0,0.0
2011-09-23,EXPE,35.516827,36.76704,35.288292,36.525063,2528900,0.0,0.0
2011-09-26,EXPE,37.96348,38.38022,36.498177,38.232346,3120650,0.0,0.0
2011-09-27,EXPE,39.32125,39.69766,38.29957,38.86418,2844600,0.0,0.0
2011-09-28,EXPE,39.012047,39.67076,38.218903,38.39366,2362250,0.0,0.0
2011-09-29,EXPE,38.86418,38.99861,35.44962,36.43097,3614650,0.0,0.0
2011-09-30,EXPE,35.96046,35.973907,34.602703,34.616146,3270700,0.0,0.0
2011-10-03,EXPE,34.414497,34.72369,32.613113,32.68033,4393150,0.0,0.0
2011-10-04,EXPE,32.613117,33.94399,32.061947,33.876774,4669950,0.0,0.0
2011-10-05,EXPE,33.90366,35.04633,33.097073,34.858128,3281550,0.0,0.0
2011-10-06,EXPE,34.925335,36.578842,34.454823,36.498184,2641750,0.0,0.0
2011-10-07,EXPE,36.632607,36.780483,35.82602,36.26964,1567350,0.0,0.0
2011-10-10,EXPE,36.820812,37.963478,36.793926,37.58707,1673600,0.0,0.0
2011-10-11,EXPE,37.45264,38.366776,36.914913,37.950035,1563050,0.0,0.0
2011-10-12,EXPE,38.2189,38.447433,37.6274,37.950035,2782650,0.0,0.0
2011-10-13,EXPE,37.681183,38.111362,37.17034,37.9366,1900100,0.0,0.0
2011-10-14,EXPE,38.39367,38.622204,37.17034,37.654297,2047700,0.0,0.0
2011-10-17,EXPE,37.304783,37.85595,36.847713,37.34511,1875050,0.0,0.0
2011-10-18,EXPE,37.371994,37.802177,36.565407,37.640858,1657500,0.0,0.0
2011-10-19,EXPE,37.627407,37.869385,36.5654,36.78049,1311550,0.0,0.0
2011-10-20,EXPE,36.84772,37.116585,35.866367,36.565414,1940600,0.0,0.0
2011-10-21,EXPE,36.888042,37.573643,36.780495,37.39888,1573350,0.0,0.0
2011-10-24,EXPE,37.398872,38.985165,37.398872,38.796963,2007400,0.0,0.0
2011-10-25,EXPE,38.433994,38.514652,37.291325,37.61396,3180100,0.0,0.0
2011-10-26,EXPE,37.73496,38.124813,36.76705,37.869392,1827100,0.0,0.0
2011-10-27,EXPE,38.299557,39.522884,38.259228,39.106148,2920750,0.0,0.0
2011-10-28,EXPE,37.721508,38.931393,36.041115,36.672943,5362650,0.0,0.0
2011-10-31,EXPE,36.296535,36.471294,34.99255,35.301743,3150500,0.0,0.0
2011-11-01,EXPE,34.441383,36.995583,34.199406,36.807377,3791550,0.0,0.0
2011-11-02,EXPE,36.79393,37.70806,36.7536,37.116566,2381950,0.0,0.0
2011-11-03,EXPE,37.331665,37.976936,36.80738,37.82906,1516300,0.0,0.0
2011-11-04,EXPE,37.42576,38.205463,37.00902,38.13825,1217500,0.0,0.0
2011-11-07,EXPE,37.78872,38.904503,37.560184,38.77007,2138650,0.0,0.0
2011-11-08,EXPE,38.00382,38.595314,37.38543,37.9366,2136050,0.0,0.0
2011-11-09,EXPE,37.304768,37.345097,35.906677,36.323418,2321250,0.0,0.0
2011-11-10,EXPE,36.72671,37.27788,36.29653,36.92836,1831100,0.0,0.0
2011-11-11,EXPE,37.331654,37.829052,36.71327,37.61396,1081600,0.0,0.0
2011-11-14,EXPE,37.398872,37.627407,37.076237,37.331657,751550,0.0,0.0
2011-11-15,EXPE,37.143456,38.044147,36.88804,37.88283,1526150,0.0,0.0
2011-11-16,EXPE,37.545914,38.610565,37.222473,37.545914,1421350,0.14,0.0
2011-11-17,EXPE,37.599823,37.599823,35.874813,36.400402,1734900,0.0,0.0
2011-11-18,EXPE,36.562115,37.599815,36.373444,37.006844,2494550,0.0,0.0
2011-11-21,EXPE,36.52169,36.656456,35.632233,36.252155,2634650,0.0,0.0
2011-11-22,EXPE,35.84785,36.184765,34.62148,36.117382,3075400,0.0,0.0
2011-11-23,EXPE,35.76699,35.76699,34.634953,34.8371,2151450,0.0,0.0
2011-11-25,EXPE,34.70235,35.645718,34.621494,35.18751,857400,0.0,0.0
2011-11-28,EXPE,36.076954,36.48125,35.2414,36.306057,1852450,0.0,0.0
2011-11-29,EXPE,36.413876,37.289856,36.076958,36.899033,1655600,0.0,0.0
2011-11-30,EXPE,37.775013,37.99064,37.182037,37.492,2016750,0.0,0.0
2011-12-01,EXPE,37.707626,38.408413,37.411144,37.775013,1729500,0.0,0.0
2011-12-02,EXPE,37.990646,38.920536,37.80197,37.869358,2091500,0.0,0.0
2011-12-05,EXPE,38.44885,39.52698,38.058025,38.974438,1730250,0.0,0.0
2011-12-06,EXPE,39.08225,39.095726,38.570137,38.82619,1661700,0.0,0.0
2011-12-07,EXPE,38.63752,39.80999,38.058025,39.365257,2015050,0.0,0.0
2011-12-08,EXPE,38.15236,38.94748,37.343758,37.78849,2647000,0.0,0.0
2011-12-09,EXPE,37.842403,38.85315,37.77502,38.40842,1738550,0.0,0.0
2011-12-12,EXPE,38.13889,38.354515,37.882835,38.314087,2077150,0.0,0.0
2011-12-13,EXPE,38.59709,38.839672,37.49201,37.64025,1662050,0.0,0.0
2011-12-14,EXPE,37.62677,37.62677,36.225197,36.885555,2130800,0.0,0.0
2011-12-15,EXPE,37.289856,37.478527,36.804695,37.18204,2302450,0.0,0.0
2011-12-16,EXPE,37.38419,38.044544,37.18204,37.70763,2547350,0.0,0.0
2011-12-19,EXPE,37.963696,38.07151,37.020332,37.155098,1708500,0.0,0.0
2011-12-20,EXPE,37.640247,38.650993,37.640247,38.475796,932400,0.0,0.0
2011-12-21,EXPE,25.097496,25.940802,25.005835,25.564981,5279100,15.125,0.5
2011-12-22,EXPE,25.66581,26.875769,25.601645,26.71994,5029000,0.0,0.0
2011-12-23,EXPE,26.985773,27.57242,26.774946,27.535755,3769100,0.0,0.0
2011-12-27,EXPE,27.471579,27.884066,26.930763,27.563242,2759000,0.0,0.0
