date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,FE,27.742636,28.39646,27.729815,28.184929,2297400,0.0,0
2011-09-09,FE,27.90931,27.90931,27.236256,27.377275,2996300,0.0,0
2011-09-12,FE,27.075985,27.704168,27.069574,27.704168,2366900,0.0,0
2011-09-13,FE,27.768276,27.960577,27.434954,27.909298,1835000,0.0,0
2011-09-14,FE,27.934942,28.511845,27.717001,28.274673,2067100,0.0,0
2011-09-15,FE,28.473377,28.81311,28.345179,28.716959,1518000,0.0,0
2011-09-16,FE,28.883621,29.152842,28.68491,29.120792,2887700,0.0,0
2011-09-19,FE,28.704145,28.890038,28.499023,28.800297,1814700,0.0,0
2011-09-20,FE,28.902851,29.813076,28.77465,29.498985,2731200,0.0,0
2011-09-21,FE,29.422071,29.697702,29.037466,29.050287,2504900,0.0,0
2011-09-22,FE,28.415686,28.620808,28.114414,28.511835,3570700,0.0,0
2011-09-23,FE,28.152876,29.095152,28.152876,28.922081,2840200,0.0,0
2011-09-26,FE,29.114384,29.165665,28.716963,29.063105,2223000,0.0,0
2011-09-27,FE,29.319506,29.454117,28.774652,28.909262,2857400,0.0,0
2011-09-28,FE,28.95413,29.204123,28.62081,28.716959,2447000,0.0,0
2011-09-29,FE,29.191315,29.197723,28.75543,29.107983,5052800,0.0,0
2011-09-30,FE,28.95414,29.204132,28.78107,28.78748,2783200,0.0,0
2011-10-03,FE,28.569532,29.043877,27.845198,27.95417,3039500,0.0,0
2011-10-04,FE,27.75546,28.005451,27.082407,27.96058,3303900,0.0,0
2011-10-05,FE,28.120821,28.210562,27.434948,27.819551,3242800,0.0,0
2011-10-06,FE,27.749054,28.018274,27.51188,28.005453,3252400,0.0,0
2011-10-07,FE,28.146473,28.646454,28.082373,28.390055,2666600,0.0,0
2011-10-10,FE,28.77465,29.069511,28.67209,29.056694,1578500,0.0,0
2011-10-11,FE,28.98618,28.998999,28.595167,28.774647,2153400,0.0,0
2011-10-12,FE,28.838755,29.120794,28.627222,28.870804,1632100,0.0,0
2011-10-13,FE,28.659267,28.66568,27.415722,28.050314,6971000,0.0,0
2011-10-14,FE,28.249033,28.518255,28.095194,28.396463,2316800,0.0,0
2011-10-17,FE,28.383638,28.56953,28.178518,28.25544,1907500,0.0,0
2011-10-18,FE,28.300308,28.524658,27.973394,28.402868,2079400,0.0,0
2011-10-19,FE,28.383646,29.043882,28.377237,28.88363,3480900,0.0,0
2011-10-20,FE,28.928501,29.10798,28.67851,28.88363,9336700,0.0,0
2011-10-21,FE,29.037458,29.422062,29.011818,29.396421,10210500,0.0,0
2011-10-24,FE,29.332323,29.460524,29.101562,29.216944,9958400,0.0,0
2011-10-25,FE,29.08233,29.197712,28.76824,28.793879,2240900,0.0,0
2011-10-26,FE,29.107979,29.210539,28.556715,28.620817,3203900,0.0,0
2011-10-27,FE,29.210535,29.460526,29.069513,29.242584,3153900,0.0,0
2011-10-28,FE,29.191315,29.191315,28.665691,29.107983,3273700,0.0,0
2011-10-31,FE,28.78748,29.313103,28.761839,28.819529,2976400,0.0,0
2011-11-01,FE,28.460567,29.10157,28.204165,28.82594,3663900,0.0,0
2011-11-02,FE,29.191309,29.55027,29.114388,29.33874,3891600,0.0,0
2011-11-03,FE,29.24141,29.805866,29.163555,29.689081,2984000,0.55,0
2011-11-04,FE,29.572304,29.663136,29.007847,29.526886,2314500,0.0,0
2011-11-07,FE,29.546354,29.650164,29.247908,29.630697,1404700,0.0,0
2011-11-08,FE,29.604746,29.8448,29.306295,29.8448,2032900,0.0,0
2011-11-09,FE,29.48147,29.494446,28.949453,29.027311,2242400,0.0,0
2011-11-10,FE,29.468496,29.468496,28.955946,29.033802,2472100,0.0,0
2011-11-11,FE,29.2025,29.533388,29.2025,29.487972,1684100,0.0,0
2011-11-14,FE,29.345222,29.371176,28.988382,29.014336,4722100,0.0,0
2011-11-15,FE,29.014336,29.604744,29.007847,29.526886,2193200,0.0,0
2011-11-16,FE,29.15707,29.390638,29.007845,29.040285,2563800,0.0,0
2011-11-17,FE,29.040289,29.072731,28.339586,28.462858,3583200,0.0,0
2011-11-18,FE,28.676956,28.917011,28.586124,28.728859,2162600,0.0,0
2011-11-21,FE,28.501774,28.501774,28.138445,28.248743,2448500,0.0,0
2011-11-22,FE,28.229282,28.261724,27.677805,27.697268,2623900,0.0,0
2011-11-23,FE,27.541555,27.541555,26.957636,27.158764,2612500,0.0,0
2011-11-25,FE,27.14579,27.379358,27.119837,27.210669,897100,0.0,0
2011-11-28,FE,27.788105,27.989231,27.580486,27.7362,2717600,0.0,0
2011-11-29,FE,27.788103,28.099527,27.781614,28.054111,2247600,0.0,0
2011-11-30,FE,28.87808,29.066233,28.547194,28.85213,3581300,0.0,0
2011-12-01,FE,28.871595,29.118141,28.657492,28.994867,2046200,0.0,0
