date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,FISV,13.525,13.5325,13.2725,13.3025,3824400,0,0.0
2011-09-09,FISV,13.155,13.19,12.7925,12.8675,4206800,0,0.0
2011-09-12,FISV,12.685,12.9675,12.6825,12.965,5404800,0,0.0
2011-09-13,FISV,12.975,13.0725,12.83,13.045,4196000,0,0.0
2011-09-14,FISV,13.1,13.4475,12.9225,13.3125,3588400,0,0.0
2011-09-15,FISV,13.4725,13.5275,13.285,13.5275,3293200,0,0.0
2011-09-16,FISV,13.565,13.69,13.4675,13.6225,5260000,0,0.0
2011-09-19,FISV,13.405,13.5375,13.3425,13.4625,3081600,0,0.0
2011-09-20,FISV,13.5125,13.6375,13.37,13.3825,2991200,0,0.0
2011-09-21,FISV,13.395,13.4925,12.87,12.875,4492000,0,0.0
2011-09-22,FISV,12.5975,12.62,12.1875,12.375,8006400,0,0.0
2011-09-23,FISV,12.285,12.5025,12.2025,12.4125,4643200,0,0.0
2011-09-26,FISV,12.455,12.785,12.345,12.6675,4383200,0,0.0
2011-09-27,FISV,12.8975,13.235,12.8125,12.975,5269200,0,0.0
2011-09-28,FISV,13.05,13.125,12.675,12.6925,3464000,0,0.0
2011-09-29,FISV,12.9325,12.985,12.4525,12.7125,3994800,0,0.0
2011-09-30,FISV,12.57,12.775,12.4425,12.6925,7606400,0,0.0
2011-10-03,FISV,12.645,12.98,12.5475,12.5525,9079600,0,0.0
2011-10-04,FISV,12.3775,13.135,12.3375,13.13,10237600,0,0.0
2011-10-05,FISV,13.135,13.2425,12.9425,13.2275,5296000,0,0.0
2011-10-06,FISV,13.1925,13.39,13.095,13.39,4542800,0,0.0
2011-10-07,FISV,13.4,13.545,13.33,13.345,4782800,0,0.0
2011-10-10,FISV,13.5625,13.685,13.4925,13.6825,3688400,0,0.0
2011-10-11,FISV,13.655,13.8975,13.6225,13.745,3327200,0,0.0
2011-10-12,FISV,13.945,14.16,13.8225,14.0775,5814800,0,0.0
2011-10-13,FISV,14.0075,14.095,13.8575,14.0725,3746000,0,0.0
2011-10-14,FISV,14.205,14.3625,13.965,14.3625,3713200,0,0.0
2011-10-17,FISV,14.2625,14.3975,14.23,14.27,5592400,0,0.0
2011-10-18,FISV,14.2825,14.5675,14.1625,14.48,5001600,0,0.0
2011-10-19,FISV,14.415,14.46,14.205,14.25,3622000,0,0.0
2011-10-20,FISV,14.5925,14.6,14.24,14.4225,5911600,0,0.0
2011-10-21,FISV,14.6,14.665,14.4475,14.6175,3842400,0,0.0
2011-10-24,FISV,14.6125,14.8075,14.575,14.7325,3260800,0,0.0
