date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,HAL,35.955894,36.567043,35.081615,35.319283,12096300,0.0,0
2011-09-09,HAL,34.84396,34.89489,33.341553,33.664104,15517900,0.0,0
2011-09-12,HAL,32.81528,33.978157,32.61156,33.579216,16142600,0.0,0
2011-09-13,HAL,33.630135,34.275238,32.645508,33.51979,18453600,0.0,0
2011-09-14,HAL,33.282124,33.95269,31.830647,33.409447,31794800,0.0,0
2011-09-15,HAL,33.96967,34.35164,33.613167,34.113968,12433300,0.0,0
2011-09-16,HAL,34.360138,34.461994,33.392487,33.85085,12946500,0.0,0
2011-09-19,HAL,33.027477,33.05294,32.263542,32.475746,13013500,0.0,0
2011-09-20,HAL,32.704926,32.840736,32.017384,32.238075,18060800,0.0,0
2011-09-21,HAL,32.2211,32.611553,29.683138,29.784994,30144900,0.0,0
2011-09-22,HAL,28.09585,28.75793,27.22157,27.773302,26657500,0.0,0
2011-09-23,HAL,27.552605,27.892134,26.74623,26.88204,23053200,0.0,0
2011-09-26,HAL,27.153664,28.715488,26.38124,28.639095,20778600,0.0,0
2011-09-27,HAL,29.980228,30.472544,28.961647,29.250244,21997800,0.0,0
2011-09-28,HAL,29.241756,29.71709,27.484705,27.561098,15910100,0.0,0
2011-09-29,HAL,28.4184,28.690022,26.780182,27.374355,15820500,0.0,0
2011-09-30,HAL,26.551008,26.695307,25.871954,25.905907,19502100,0.0,0
2011-10-03,HAL,25.515446,25.72765,24.310125,24.344078,21950500,0.0,0
2011-10-04,HAL,23.7584,25.914398,23.096323,25.89742,27500000,0.0,0
2011-10-05,HAL,26.406708,27.679934,25.464521,27.484707,21522000,0.0,0
2011-10-06,HAL,27.49319,29.564306,27.49319,29.241755,27384400,0.0,0
2011-10-07,HAL,29.513378,29.572796,27.87516,28.282593,17213800,0.0,0
2011-10-10,HAL,29.309662,30.226385,28.95316,29.572796,17669900,0.0,0
2011-10-11,HAL,29.216286,30.430096,29.216286,30.116034,20337600,0.0,0
2011-10-12,HAL,30.625334,31.117645,29.674656,29.768026,20478000,0.0,0
2011-10-13,HAL,29.768023,30.05662,29.055016,29.725582,15289900,0.0,0
2011-10-14,HAL,30.829046,31.779722,30.421616,31.771235,17633200,0.0,0
2011-10-17,HAL,31.092176,31.26194,29.224777,29.267218,31387400,0.0,0
2011-10-18,HAL,29.318146,30.166962,28.146776,29.954758,34623700,0.0,0
2011-10-19,HAL,29.929296,29.929296,28.554213,28.75793,26035700,0.0,0
2011-10-20,HAL,28.944666,29.377563,28.206196,29.25873,21020500,0.0,0
2011-10-21,HAL,29.623734,30.039654,28.019466,28.435389,33369500,0.0,0
2011-10-24,HAL,29.029549,30.18394,28.706997,29.980223,20482900,0.0,0
2011-10-25,HAL,30.17546,30.447083,29.309666,29.810469,20346900,0.0,0
2011-10-26,HAL,30.387653,30.667765,29.258728,30.447071,16359000,0.0,0
2011-10-27,HAL,32.02589,33.630154,32.02589,33.061447,27042800,0.0,0
2011-10-28,HAL,32.5861,33.468876,32.543663,33.21423,14910400,0.0,0
2011-10-31,HAL,32.416325,32.62853,31.677855,31.711807,17488000,0.0,0
2011-11-01,HAL,29.470932,30.92241,28.791876,29.920805,28787900,0.0,0
2011-11-02,HAL,31.278917,31.380777,30.192432,31.04974,13904600,0.0,0
2011-11-03,HAL,31.69484,32.289013,30.85451,32.127735,18785300,0.0,0
2011-11-04,HAL,31.847626,32.407845,31.2195,31.542051,12655100,0.0,0
2011-11-07,HAL,31.60147,32.339943,31.185553,32.272038,13921400,0.0,0
2011-11-08,HAL,32.849236,33.05295,31.966465,32.959583,17955200,0.0,0
2011-11-09,HAL,31.839134,31.881577,30.812065,30.922413,17607300,0.0,0
2011-11-10,HAL,31.822163,32.11076,30.803581,31.6524,14051700,0.0,0
2011-11-11,HAL,32.2296,32.81528,31.915533,32.755863,14729800,0.0,0
2011-11-14,HAL,32.63702,32.891666,32.255054,32.704926,12627000,0.0,0
2011-11-15,HAL,32.518192,33.36701,32.034367,33.02748,14983800,0.0,0
2011-11-16,HAL,32.866222,34.3177,32.747387,33.10389,21006100,0.0,0
2011-11-17,HAL,33.129337,33.17178,31.049736,31.440191,22417900,0.0,0
2011-11-18,HAL,31.78821,31.78821,30.200922,30.52347,20485200,0.0,0
2011-11-21,HAL,29.60676,29.793497,28.808868,29.589783,14968100,0.0,0
2011-11-22,HAL,29.479425,29.521866,28.520262,28.605145,18828700,0.0,0
2011-11-23,HAL,28.163761,28.257132,27.119717,27.33192,17435500,0.0,0
2011-11-25,HAL,27.21308,27.86667,26.992386,26.992386,6717600,0.0,0
2011-11-28,HAL,28.206203,28.528755,27.416803,27.815748,17709100,0.0,0
2011-11-29,HAL,27.993992,28.944666,27.67144,28.545725,16560300,0.0,0
2011-11-30,HAL,29.79683,31.362844,29.77981,31.32029,23339200,0.09,0
2011-12-01,HAL,31.07348,31.550095,30.647934,30.988373,15813000,0.0,0
2011-12-02,HAL,31.626694,31.822445,31.056461,31.13306,14961600,0.0,0
2011-12-05,HAL,31.677763,32.256508,31.22668,31.507544,15271600,0.0,0
2011-12-06,HAL,31.12455,31.260725,29.669178,30.273455,35182600,0.0,0
2011-12-07,HAL,30.24792,30.24792,28.315933,28.426577,34931100,0.0,0
2011-12-08,HAL,28.92872,29.243624,28.086134,28.196777,27849100,0.0,0
2011-12-09,HAL,28.503168,29.16702,28.324436,29.005314,16391400,0.0,0
2011-12-12,HAL,28.366995,28.366995,27.252058,27.71165,16651100,0.0,0
2011-12-13,HAL,28.018051,28.596796,26.766943,27.115892,19276100,0.0,0
2011-12-14,HAL,26.605227,26.698847,25.805197,26.383942,29702500,0.0,0
2011-12-15,HAL,27.039293,27.226534,26.38395,26.605234,24418400,0.0,0
2011-12-16,HAL,26.894598,27.362701,26.486073,27.030773,18208200,0.0,0
2011-12-19,HAL,27.25206,27.25206,26.09457,26.213722,15791600,0.0,0
2011-12-20,HAL,27.013746,28.486141,26.937147,28.264854,24754300,0.0,0
2011-12-21,HAL,28.324434,28.82658,27.762712,28.707428,15956900,0.0,0
2011-12-22,HAL,28.852121,28.979784,28.256355,28.545727,16201300,0.0,0
2011-12-23,HAL,28.715952,28.792551,28.349981,28.767015,6072600,0.0,0
2011-12-27,HAL,28.715946,29.27767,28.681902,29.056383,7549500,0.0,0
2011-12-28,HAL,29.201067,29.328728,28.213797,28.298904,8919700,0.0,0
2011-12-29,HAL,28.324448,28.911707,28.324448,28.758509,7899000,0.0,0
2011-12-30,HAL,28.690407,29.669168,28.681898,29.371283,9549200,0.0,0
2012-01-03,HAL,28.835102,29.55853,28.690414,29.064898,27019400,0.0,0
2012-01-04,HAL,28.860638,30.01813,28.741486,29.890463,17823400,0.0,0
2012-01-05,HAL,29.652153,29.660662,29.047876,29.413847,16640100,0.0,0
2012-01-06,HAL,29.618107,29.890457,29.184052,29.771305,12320400,0.0,0
2012-01-09,HAL,29.907478,30.418137,29.805347,30.111742,12481000,0.0,0
2012-01-10,HAL,30.784101,31.243694,30.681973,30.92028,14349100,0.0,0
2012-01-11,HAL,30.74155,30.886238,29.788324,30.111742,13083700,0.0,0
2012-01-12,HAL,30.273449,30.520267,29.362778,29.558529,18584000,0.0,0
2012-01-13,HAL,29.141504,29.345766,28.630846,28.886173,15105700,0.0,0
2012-01-17,HAL,29.422356,29.677683,28.630836,28.818079,18438600,0.0,0
2012-01-18,HAL,28.860638,29.813862,28.758507,29.779821,14434600,0.0,0
2012-01-19,HAL,30.02664,31.269241,30.001108,30.852203,23745800,0.0,0
2012-01-20,HAL,31.277742,31.490517,30.298983,30.80964,23373700,0.0,0
2012-01-23,HAL,30.111742,30.213873,29.447886,30.162806,33438300,0.0,0
2012-01-24,HAL,29.915993,31.226675,29.635128,30.945816,24949000,0.0,0
2012-01-25,HAL,30.80113,31.064972,30.043657,30.988373,22340000,0.0,0
2012-01-26,HAL,31.362844,31.805414,30.639416,30.77559,19137000,0.0,0
2012-01-27,HAL,31.822432,32.120316,31.464973,31.575613,24529000,0.0,0
2012-01-30,HAL,31.18412,31.320295,30.63942,31.209652,13561900,0.0,0
2012-01-31,HAL,31.618177,32.299053,30.886236,31.30327,23083300,0.0,0
2012-02-01,HAL,31.720312,31.805422,31.15859,31.184122,14331900,0.0,0
2012-02-02,HAL,31.328806,31.413916,30.741549,31.09901,12029200,0.0,0
2012-02-03,HAL,31.677763,31.677763,31.116041,31.345837,13009400,0.0,0
2012-02-06,HAL,31.269232,31.830954,30.979858,31.830954,12754100,0.0,0
2012-02-07,HAL,31.873505,31.916058,30.996874,31.49051,16805600,0.0,0
2012-02-08,HAL,31.720318,31.916069,31.167105,31.507544,12601300,0.0,0
2012-02-09,HAL,31.686268,31.686268,31.073479,31.294765,13626500,0.0,0
2012-02-10,HAL,30.979858,31.064968,30.486223,30.690487,12867900,0.0,0
2012-02-13,HAL,31.175611,31.218166,30.452179,30.758574,11508600,0.0,0
2012-02-14,HAL,30.70751,30.809639,30.060675,30.384092,9812400,0.0,0
2012-02-15,HAL,30.38409,30.775595,29.898968,29.984076,16821700,0.0,0
2012-02-16,HAL,29.958542,30.469198,29.643639,30.333023,15364000,0.0,0
2012-02-17,HAL,30.73304,31.056458,30.205362,30.886238,13097600,0.0,0
2012-02-21,HAL,31.175617,32.00118,30.945822,31.516054,18143900,0.0,0
2012-02-22,HAL,31.60116,32.67354,31.541584,32.545876,16790200,0.0,0
2012-02-23,HAL,32.962914,33.02249,32.290546,32.520344,13727600,0.0,0
2012-02-24,HAL,32.90333,33.35441,32.61396,32.775665,11639200,0.0,0
2012-02-27,HAL,32.605457,32.64801,31.771383,32.12884,12344500,0.0,0
2012-02-28,HAL,32.32458,32.32458,31.805412,32.069252,10164200,0.0,0
2012-02-29,HAL,32.23948,32.307564,31.00539,31.141565,16792600,0.0,0
2012-03-01,HAL,31.396885,31.499016,31.005383,31.064959,13967000,0.0,0
2012-03-02,HAL,31.15007,31.260714,30.367065,30.681969,14188800,0.0,0
2012-03-05,HAL,30.809961,30.835556,29.820219,29.922606,17336100,0.09,0
2012-03-06,HAL,29.359472,29.385069,28.84754,29.120571,16576100,0.0,0
2012-03-07,HAL,29.333874,29.47039,28.958452,29.188824,10796800,0.0,0
2012-03-08,HAL,29.470402,30.016466,29.368013,29.675175,11491700,0.0,0
2012-03-09,HAL,29.845808,30.11031,29.598372,29.760487,8917000,0.0,0
2012-03-12,HAL,29.666634,29.76049,29.231487,29.606909,11049200,0.0,0
2012-03-13,HAL,29.845816,30.229767,29.4448,30.152977,16924700,0.0,0
2012-03-14,HAL,30.076185,30.084717,29.06938,29.163235,18799100,0.0,0
2012-03-15,HAL,29.30828,29.359476,28.753687,28.932863,18789900,0.0,0
2012-03-16,HAL,29.103502,29.675161,28.8646,29.470388,18628800,0.0,0
2012-03-19,HAL,29.589844,30.118841,29.35094,29.862875,13140300,0.0,0
2012-03-20,HAL,29.547184,29.72636,29.231487,29.6581,14828500,0.0,0
2012-03-21,HAL,29.086441,29.393602,28.881666,29.120571,20965700,0.0,0
2012-03-22,HAL,28.719555,28.813412,27.815136,28.139362,23983200,0.0,0
2012-03-23,HAL,28.233215,28.813408,28.130829,28.514778,19162400,0.0,0
2012-03-26,HAL,28.813414,28.941395,28.42946,28.711027,14824100,0.0,0
2012-03-27,HAL,28.813414,28.847544,27.849268,28.011383,18698500,0.0,0
2012-03-28,HAL,27.832203,27.985783,27.320269,27.712751,14683600,0.0,0
2012-03-29,HAL,27.439722,28.00285,27.362932,27.96019,11588600,0.0,0
2012-03-30,HAL,27.985785,28.583044,27.900463,28.318542,14056500,0.0,0
2012-04-02,HAL,28.156431,28.821945,28.122301,28.540382,13420700,0.0,0
2012-04-03,HAL,28.446524,28.719557,28.130833,28.668362,12403300,0.0,0
2012-04-04,HAL,28.199087,28.600105,28.05404,28.156427,10084600,0.0,0
2012-04-05,HAL,28.054045,28.327076,27.729818,27.96019,13234700,0.0,0
2012-04-09,HAL,27.550642,28.07111,27.422657,27.627432,11822600,0.0,0
2012-04-10,HAL,27.635958,27.653023,26.978975,27.294668,16565600,0.0,0
2012-04-11,HAL,27.729818,27.96872,27.3544,27.414125,13399700,0.0,0
2012-04-12,HAL,27.533579,28.386803,27.439722,28.310013,14202600,0.0,0
2012-04-13,HAL,28.199091,28.27588,27.618896,27.653027,12993900,0.0,0
2012-04-16,HAL,27.721287,27.943125,27.158157,27.3544,16348700,0.0,0
2012-04-17,HAL,27.738348,28.028444,27.50798,27.866333,13413200,0.0,0
2012-04-18,HAL,28.284416,29.265623,28.284416,29.154703,29550800,0.0,0
2012-04-19,HAL,29.402138,29.922606,28.762218,28.99259,22451600,0.0,0
2012-04-20,HAL,29.231487,29.589844,28.344137,28.403862,17008800,0.0,0
2012-04-23,HAL,27.89193,28.3868,27.687157,28.11377,11339300,0.0,0
2012-04-24,HAL,28.327076,28.856075,27.968721,28.480658,14507200,0.0,0
2012-04-25,HAL,28.83901,28.99259,28.301477,28.617172,13809000,0.0,0
2012-04-26,HAL,28.403866,28.787819,28.327076,28.540382,12491400,0.0,0
2012-04-27,HAL,28.608635,28.617168,28.036976,28.361202,12722300,0.0,0
2012-04-30,HAL,28.241743,29.205889,28.241743,29.197357,14076800,0.0,0
2012-05-01,HAL,29.231491,30.135912,29.077913,29.888475,19187800,0.0,0
2012-05-02,HAL,29.530132,29.86289,29.240036,29.427746,11637300,0.0,0
2012-05-03,HAL,29.52159,29.63251,28.88167,29.06085,12065100,0.0,0
2012-05-04,HAL,28.736624,28.796349,27.712753,27.755413,18077600,0.0,0
2012-05-07,HAL,27.721287,27.934593,27.277607,27.661558,11078300,0.0,0
2012-05-08,HAL,27.354399,27.934591,26.95338,27.891928,14580100,0.0,0
2012-05-09,HAL,27.3544,27.917528,27.106964,27.661558,13769400,0.0,0
2012-05-10,HAL,28.019913,28.15643,27.490915,27.567705,12140500,0.0,0
2012-05-11,HAL,27.337336,27.781013,27.13256,27.158157,11797900,0.0,0
2012-05-14,HAL,26.919256,27.23495,26.629158,26.944853,12202500,0.0,0
2012-05-15,HAL,26.868055,26.893654,25.903912,26.091621,15827200,0.0,0
2012-05-16,HAL,26.12576,26.62063,25.724743,25.767405,12857700,0.0,0
2012-05-17,HAL,25.78446,26.100153,25.528492,25.59675,14768900,0.0,0
2012-05-18,HAL,25.733267,25.989233,25.434637,25.537025,13135200,0.0,0
2012-05-21,HAL,25.733265,26.654747,25.63941,26.595022,11214200,0.0,0
2012-05-22,HAL,26.637686,27.081364,26.066025,26.262268,12558500,0.0,0
2012-05-23,HAL,25.912449,26.757141,25.656479,26.723011,15157200,0.0,0
2012-05-24,HAL,26.782734,26.927782,26.373186,26.799799,14521500,0.0,0
2012-05-25,HAL,26.808334,27.13256,26.67182,26.765675,7217000,0.0,0
2012-05-29,HAL,27.106962,27.644495,26.98751,27.311735,10241900,0.0,0
2012-05-30,HAL,26.910727,26.910727,25.793001,25.903921,16281200,0.0,0
2012-05-31,HAL,25.989239,26.023369,24.828854,25.64795,18197900,0.0,0
2012-06-01,HAL,25.101883,25.920979,24.888577,25.571156,16646100,0.0,0
2012-06-04,HAL,25.622505,25.793663,24.501411,25.263071,19115700,0.09,0
2012-06-05,HAL,25.066236,25.399996,24.646896,24.920752,17569000,0.0,0
2012-06-06,HAL,25.220287,25.673859,23.594276,24.047848,48214300,0.0,0
2012-06-07,HAL,24.278908,24.646898,23.799662,24.073515,31124500,0.0,0
