date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,IDXX,37.79,38.86,37.79,38.305,580800,0,0.0
2011-09-09,IDXX,38.0,38.105,36.17,36.495,1208000,0,0.0
2011-09-12,IDXX,36.04,36.915,36.04,36.79,586800,0,0.0
2011-09-13,IDXX,36.935,37.34,36.65,37.09,416200,0,0.0
2011-09-14,IDXX,37.125,38.025,36.75,37.55,617000,0,0.0
2011-09-15,IDXX,37.79,37.855,36.925,37.395,680000,0,0.0
2011-09-16,IDXX,37.415,37.755,37.085,37.38,837000,0,0.0
2011-09-19,IDXX,36.77,37.22,36.465,36.86,528400,0,0.0
2011-09-20,IDXX,37.035,37.67,36.755,37.24,851000,0,0.0
2011-09-21,IDXX,37.16,37.38,36.605,36.62,1052000,0,0.0
2011-09-22,IDXX,35.51,36.295,34.575,36.115,1539000,0,0.0
2011-09-23,IDXX,35.775,36.555,35.735,36.275,1274800,0,0.0
2011-09-26,IDXX,36.605,36.605,35.905,36.115,780200,0,0.0
2011-09-27,IDXX,36.895,37.85,36.66,36.955,660000,0,0.0
2011-09-28,IDXX,37.14,37.545,35.51,35.565,386800,0,0.0
2011-09-29,IDXX,36.155,36.25,34.895,35.635,536600,0,0.0
2011-09-30,IDXX,35.14,35.6,34.455,34.485,828400,0,0.0
2011-10-03,IDXX,34.305,35.045,33.03,33.065,843600,0,0.0
2011-10-04,IDXX,32.68,33.58,31.915,33.48,1349800,0,0.0
2011-10-05,IDXX,33.52,34.375,32.82,34.22,856000,0,0.0
2011-10-06,IDXX,34.215,34.985,33.965,34.915,474200,0,0.0
2011-10-07,IDXX,35.015,35.335,34.63,34.805,553400,0,0.0
2011-10-10,IDXX,35.29,36.02,35.01,35.765,542600,0,0.0
2011-10-11,IDXX,35.555,36.07,35.48,35.705,292600,0,0.0
2011-10-12,IDXX,35.865,36.555,35.795,35.86,482200,0,0.0
2011-10-13,IDXX,35.615,36.07,35.51,36.015,566200,0,0.0
2011-10-14,IDXX,36.335,36.425,35.92,36.03,362200,0,0.0
2011-10-17,IDXX,35.875,35.875,34.69,34.82,529200,0,0.0
2011-10-18,IDXX,34.945,35.54,34.5,35.215,618000,0,0.0
2011-10-19,IDXX,35.25,35.98,35.145,35.535,682200,0,0.0
2011-10-20,IDXX,35.65,36.495,35.315,36.435,1332600,0,0.0
2011-10-21,IDXX,36.76,38.225,35.1,36.855,2141600,0,0.0
2011-10-24,IDXX,37.15,37.735,36.705,37.59,706600,0,0.0
2011-10-25,IDXX,37.39,37.68,36.27,36.34,908800,0,0.0
2011-10-26,IDXX,36.96,37.225,35.855,35.92,810400,0,0.0
2011-10-27,IDXX,36.645,37.4,36.395,37.02,1011200,0,0.0
2011-10-28,IDXX,36.955,37.42,36.765,37.005,718000,0,0.0
2011-10-31,IDXX,36.69,36.69,35.975,35.995,787800,0,0.0
2011-11-01,IDXX,35.28,35.42,34.475,34.785,570400,0,0.0
