date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ILMN,50.65,51.96,49.76,50.22,2005600,0,0
2011-09-09,ILMN,50.13,50.33,48.28,48.54,1976500,0,0
2011-09-12,ILMN,47.55,48.64,47.0,48.3,1658500,0,0
2011-09-13,ILMN,48.49,50.5,48.08,50.16,1890100,0,0
2011-09-14,ILMN,50.55,52.34,49.9,51.59,2063100,0,0
2011-09-15,ILMN,51.0,51.32,49.13,49.29,3380800,0,0
2011-09-16,ILMN,49.38,49.99,47.67,47.88,3294200,0,0
2011-09-19,ILMN,47.17,47.87,46.5,47.43,2036600,0,0
2011-09-20,ILMN,47.58,47.95,43.75,44.98,4850500,0,0
2011-09-21,ILMN,45.6,45.96,40.06,41.67,6255000,0,0
2011-09-22,ILMN,40.39,42.81,39.82,42.44,3621400,0,0
2011-09-23,ILMN,42.2,42.27,40.9,41.67,3278500,0,0
2011-09-26,ILMN,41.65,41.95,40.07,41.64,2225800,0,0
2011-09-27,ILMN,42.43,43.68,42.28,42.7,2078200,0,0
2011-09-28,ILMN,42.91,42.92,41.31,41.32,1023800,0,0
2011-09-29,ILMN,42.02,42.56,40.59,41.54,1644000,0,0
2011-09-30,ILMN,40.86,41.84,40.26,40.92,1284300,0,0
2011-10-03,ILMN,40.43,40.43,38.11,38.19,2921800,0,0
2011-10-04,ILMN,37.6,39.28,37.12,39.22,3089400,0,0
2011-10-05,ILMN,39.21,40.53,38.77,40.01,2536000,0,0
2011-10-06,ILMN,39.46,40.33,38.92,39.93,3795500,0,0
2011-10-07,ILMN,25.74,28.18,25.71,27.18,30852600,0,0
2011-10-10,ILMN,27.51,28.2,26.11,26.49,6603500,0,0
2011-10-11,ILMN,26.27,26.92,25.74,26.21,4048900,0,0
2011-10-12,ILMN,26.34,26.78,26.01,26.04,2627000,0,0
2011-10-13,ILMN,26.15,27.46,25.57,27.15,5361900,0,0
2011-10-14,ILMN,27.26,27.43,26.58,26.91,2151100,0,0
2011-10-17,ILMN,26.62,26.99,26.19,26.97,2107200,0,0
2011-10-18,ILMN,26.94,27.11,26.16,26.63,1642800,0,0
2011-10-19,ILMN,26.53,26.78,26.15,26.21,1321900,0,0
