date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,INTU,43.197166,43.305996,42.535107,42.580452,4307900,0.0,0
2011-09-09,INTU,42.145123,42.653,41.573753,41.936527,3886000,0.0,0
2011-09-12,INTU,41.22004,42.45347,40.99331,42.444397,3326400,0.0,0
2011-09-13,INTU,42.19046,42.662064,41.972797,42.163254,4925700,0.0,0
2011-09-14,INTU,42.39905,43.532715,41.990932,43.070183,5955200,0.0,0
2011-09-15,INTU,43.532738,44.067825,42.98858,43.922718,2956400,0.0,0
2011-09-16,INTU,44.05875,44.947544,43.79574,44.72081,10276800,0.0,0
2011-09-19,INTU,44.40338,44.911263,43.86829,44.766155,3622800,0.0,0
2011-09-20,INTU,44.78429,45.255898,44.348965,44.38524,2433500,0.0,0
2011-09-21,INTU,44.67545,44.88405,43.23343,43.251568,3013200,0.0,0
2011-09-22,INTU,42.24488,43.115532,41.700718,42.35371,5364800,0.0,0
2011-09-23,INTU,42.145134,42.97044,41.537487,42.870678,3346200,0.0,0
2011-09-26,INTU,43.11554,43.641556,42.36278,43.559933,3204900,0.0,0
2011-09-27,INTU,44.122234,44.893124,44.013397,44.231064,2975200,0.0,0
2011-09-28,INTU,44.53035,44.729877,43.514587,43.832016,2892700,0.0,0
2011-09-29,INTU,44.466873,44.856853,42.997643,43.93178,3206100,0.0,0
2011-09-30,INTU,43.469234,44.675453,42.99763,43.024837,4172100,0.0,0
2011-10-03,INTU,42.861584,43.28784,41.537464,41.573742,2957100,0.0,0
2011-10-04,INTU,41.056805,42.56231,40.64868,42.535103,2914000,0.0,0
2011-10-05,INTU,42.635178,43.31756,42.216652,42.98092,3311000,0.15,0
2011-10-06,INTU,42.935425,44.382072,42.935425,44.372974,2300500,0.0,0
2011-10-07,INTU,44.336582,44.864292,43.908955,44.154613,1580300,0.0,0
2011-10-10,INTU,44.809704,45.74684,44.054535,45.737743,1766300,0.0,0
2011-10-11,INTU,45.492092,46.774967,45.492092,46.565704,2936700,0.0,0
2011-10-12,INTU,46.85685,47.584724,46.693077,47.31177,2439100,0.0,0
2011-10-13,INTU,47.047913,47.439144,46.77496,47.30267,2069800,0.0,0
2011-10-14,INTU,47.75761,48.230724,47.56654,48.230724,1592000,0.0,0
2011-10-17,INTU,47.966854,48.38538,47.22988,47.56652,1820200,0.0,0
2011-10-18,INTU,47.530144,47.99416,46.920547,47.7667,3055400,0.0,0
2011-10-19,INTU,47.593822,48.085136,47.1571,47.25718,1654300,0.0,0
2011-10-20,INTU,47.41185,47.84857,46.76586,47.56652,1802700,0.0,0
2011-10-21,INTU,48.066936,48.67653,47.821278,48.67653,2378400,0.0,0
2011-10-24,INTU,48.640125,49.395294,48.521847,49.13144,2166800,0.0,0
2011-10-25,INTU,50.032196,50.032196,48.439976,48.51276,1577000,0.0,0
2011-10-26,INTU,48.97678,48.97678,47.102505,48.194317,2648200,0.0,0
2011-10-27,INTU,49.28613,50.43253,49.13146,50.232365,2503900,0.0,0
2011-10-28,INTU,49.04047,50.0322,48.903996,49.68646,2401400,0.0,0
