date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,IPGP,56.96,58.14,55.74,55.93,264100,0,0
2011-09-09,IPGP,55.33,56.67,52.37,53.21,280000,0,0
2011-09-12,IPGP,52.41,54.22,52.06,53.81,269900,0,0
2011-09-13,IPGP,53.89,57.11,53.89,56.68,234800,0,0
2011-09-14,IPGP,57.49,60.0,55.46,59.12,368100,0,0
2011-09-15,IPGP,60.0,60.0,58.05,59.43,243800,0,0
2011-09-16,IPGP,59.51,59.77,58.08,59.64,307500,0,0
2011-09-19,IPGP,58.33,63.23,57.75,62.9,514600,0,0
2011-09-20,IPGP,63.51,64.45,61.3,61.87,438800,0,0
2011-09-21,IPGP,61.87,62.79,60.81,60.84,284800,0,0
2011-09-22,IPGP,57.02,58.68,55.59,56.76,471500,0,0
2011-09-23,IPGP,56.39,57.27,53.84,55.66,363000,0,0
2011-09-26,IPGP,55.75,56.38,52.31,54.46,264500,0,0
2011-09-27,IPGP,55.65,57.0,54.9,55.52,268900,0,0
2011-09-28,IPGP,55.95,55.95,51.5,52.07,284200,0,0
2011-09-29,IPGP,53.2,53.5,45.08,46.59,886000,0,0
2011-09-30,IPGP,45.44,45.75,42.66,43.44,595600,0,0
2011-10-03,IPGP,43.07,44.87,41.3,41.42,617900,0,0
2011-10-04,IPGP,41.08,45.24,40.5,45.16,499000,0,0
2011-10-05,IPGP,45.52,46.13,43.25,45.04,625900,0,0
2011-10-06,IPGP,45.06,48.0,44.78,47.76,377100,0,0
2011-10-07,IPGP,52.99,58.16,51.5,55.02,1360400,0,0
2011-10-10,IPGP,55.95,56.95,52.26,53.53,494500,0,0
2011-10-11,IPGP,53.39,54.5,52.33,53.98,282300,0,0
2011-10-12,IPGP,54.36,58.0,53.33,56.11,593300,0,0
2011-10-13,IPGP,56.19,56.19,53.95,55.8,247400,0,0
2011-10-14,IPGP,56.94,57.31,54.88,56.19,244100,0,0
2011-10-17,IPGP,55.71,56.15,52.02,53.01,469000,0,0
2011-10-18,IPGP,53.02,53.91,51.0,52.69,486400,0,0
2011-10-19,IPGP,52.68,53.21,48.67,49.04,498600,0,0
2011-10-20,IPGP,49.17,49.99,45.73,47.0,1010600,0,0
2011-10-21,IPGP,47.81,49.07,47.28,48.82,559900,0,0
2011-10-24,IPGP,48.81,51.63,48.66,51.0,325400,0,0
2011-10-25,IPGP,50.74,50.86,47.88,48.04,250400,0,0
2011-10-26,IPGP,47.91,49.08,46.71,48.48,328000,0,0
2011-10-27,IPGP,50.87,52.4,49.77,51.45,727400,0,0
2011-10-28,IPGP,52.15,55.02,51.8,54.91,624100,0,0
2011-10-31,IPGP,55.72,55.72,52.75,52.86,525300,0,0
2011-11-01,IPGP,51.28,51.48,47.5,49.85,1357600,0,0
2011-11-02,IPGP,51.56,54.7,49.61,50.72,989400,0,0
2011-11-03,IPGP,51.71,52.27,49.34,52.03,648300,0,0
2011-11-04,IPGP,51.8,53.0,50.38,51.96,374100,0,0
2011-11-07,IPGP,52.07,52.27,50.41,51.4,445000,0,0
2011-11-08,IPGP,51.75,52.13,50.01,50.78,542500,0,0
2011-11-09,IPGP,49.83,50.0,47.41,47.75,672400,0,0
2011-11-10,IPGP,48.5,49.0,46.0,46.73,556200,0,0
2011-11-11,IPGP,47.49,48.62,46.66,46.96,504900,0,0
2011-11-14,IPGP,46.96,47.47,46.05,46.07,401200,0,0
2011-11-15,IPGP,45.97,46.94,45.23,46.51,654500,0,0
2011-11-16,IPGP,46.12,47.2,45.76,46.54,293300,0,0
2011-11-17,IPGP,46.3,46.54,43.37,43.63,451400,0,0
2011-11-18,IPGP,44.01,44.2,42.81,43.06,366200,0,0
2011-11-21,IPGP,42.21,42.21,40.95,41.45,563700,0,0
2011-11-22,IPGP,41.26,41.7,40.84,40.91,266100,0,0
2011-11-23,IPGP,40.5,40.51,38.76,39.24,301100,0,0
2011-11-25,IPGP,39.23,39.42,38.44,38.97,168100,0,0
2011-11-28,IPGP,40.24,41.2,39.62,40.02,376700,0,0
2011-11-29,IPGP,39.92,40.33,37.55,38.05,840500,0,0
2011-11-30,IPGP,39.28,39.49,37.43,38.33,1256300,0,0
2011-12-01,IPGP,38.03,41.35,38.03,40.57,703600,0,0
2011-12-02,IPGP,41.12,42.16,40.45,40.68,603900,0,0
2011-12-05,IPGP,41.61,41.9,40.61,40.75,352700,0,0
2011-12-06,IPGP,40.68,40.73,39.48,39.75,754000,0,0
2011-12-07,IPGP,41.22,41.22,37.67,37.95,1172600,0,0
2011-12-08,IPGP,37.5,37.5,34.75,35.4,1888700,0,0
2011-12-09,IPGP,35.8,38.1,35.52,37.86,757600,0,0
2011-12-12,IPGP,37.46,37.82,36.46,37.75,690300,0,0
2011-12-13,IPGP,37.91,38.41,36.42,36.77,608400,0,0
2011-12-14,IPGP,36.36,36.69,34.86,35.0,475000,0,0
2011-12-15,IPGP,35.26,35.97,35.04,35.17,464500,0,0
2011-12-16,IPGP,35.71,36.55,35.01,35.44,480100,0,0
2011-12-19,IPGP,35.62,35.71,34.09,34.17,254300,0,0
2011-12-20,IPGP,34.52,35.75,34.5,35.6,278200,0,0
2011-12-21,IPGP,35.25,35.31,33.33,33.9,408100,0,0
2011-12-22,IPGP,34.43,36.18,33.9,35.56,478500,0,0
2011-12-23,IPGP,35.88,35.91,34.88,35.61,148400,0,0
2011-12-27,IPGP,35.57,35.83,34.2,35.35,362800,0,0
2011-12-28,IPGP,35.45,35.59,33.83,34.33,325800,0,0
2011-12-29,IPGP,34.33,35.0,33.7,34.63,539100,0,0
2011-12-30,IPGP,34.63,35.09,33.76,33.87,255700,0,0
2012-01-03,IPGP,34.95,36.47,34.67,35.33,435800,0,0
2012-01-04,IPGP,35.15,36.1,34.77,35.93,428300,0,0
2012-01-05,IPGP,35.63,38.26,35.55,37.97,684500,0,0
2012-01-06,IPGP,38.01,39.31,37.7,38.76,628000,0,0
2012-01-09,IPGP,38.77,40.26,38.68,39.42,583200,0,0
2012-01-10,IPGP,39.56,47.96,39.46,47.43,3048400,0,0
2012-01-11,IPGP,47.11,47.24,45.1,46.82,1004800,0,0
2012-01-12,IPGP,47.03,47.5,46.48,47.39,729400,0,0
2012-01-13,IPGP,46.27,49.95,46.27,49.57,1261300,0,0
2012-01-17,IPGP,50.12,51.7,49.84,50.7,1203300,0,0
2012-01-18,IPGP,50.84,52.33,50.4,52.0,610900,0,0
2012-01-19,IPGP,52.07,55.15,51.95,53.59,850400,0,0
2012-01-20,IPGP,53.41,54.16,52.57,53.13,435500,0,0
2012-01-23,IPGP,53.74,53.77,50.5,51.99,586700,0,0
2012-01-24,IPGP,51.68,53.66,50.65,53.59,465400,0,0
2012-01-25,IPGP,53.3,53.67,51.5,52.21,505800,0,0
2012-01-26,IPGP,52.79,54.67,52.79,53.25,422300,0,0
2012-01-27,IPGP,53.25,53.69,52.63,52.96,198000,0,0
2012-01-30,IPGP,52.41,52.5,50.72,51.55,396500,0,0
2012-01-31,IPGP,52.26,53.02,51.82,52.79,318000,0,0
2012-02-01,IPGP,53.13,54.65,52.47,53.86,468400,0,0
2012-02-02,IPGP,53.7,54.9,53.33,53.52,450000,0,0
2012-02-03,IPGP,54.31,54.52,53.68,54.25,418700,0,0
2012-02-06,IPGP,54.06,56.58,52.98,54.77,882800,0,0
2012-02-07,IPGP,54.57,54.85,53.39,54.25,324000,0,0
2012-02-08,IPGP,54.42,55.67,54.42,54.67,442200,0,0
2012-02-09,IPGP,54.56,54.91,52.97,53.6,956700,0,0
2012-02-10,IPGP,55.88,58.48,53.52,55.44,2336300,0,0
2012-02-13,IPGP,56.17,60.59,55.72,59.46,1542600,0,0
2012-02-14,IPGP,59.28,59.45,57.71,58.65,663500,0,0
2012-02-15,IPGP,59.45,59.74,57.51,58.01,556500,0,0
2012-02-16,IPGP,58.31,60.5,58.0,60.43,502600,0,0
2012-02-17,IPGP,60.81,61.18,58.56,58.74,657900,0,0
2012-02-21,IPGP,58.89,59.17,56.58,56.99,612500,0,0
2012-02-22,IPGP,56.77,57.88,56.32,56.88,334500,0,0
2012-02-23,IPGP,57.12,57.14,55.59,56.06,834200,0,0
2012-02-24,IPGP,56.13,56.89,55.41,56.5,432400,0,0
2012-02-27,IPGP,55.97,58.05,55.1,57.18,412800,0,0
2012-02-28,IPGP,55.85,56.0,52.19,53.04,1294200,0,0
2012-02-29,IPGP,53.01,55.5,52.45,52.63,646500,0,0
2012-03-01,IPGP,52.32,54.86,51.64,54.8,957600,0,0
2012-03-02,IPGP,55.21,57.05,53.65,54.24,2747200,0,0
2012-03-05,IPGP,53.96,54.47,52.44,52.69,871200,0,0
2012-03-06,IPGP,51.81,51.81,49.69,50.85,1143300,0,0
2012-03-07,IPGP,50.89,51.84,50.85,51.57,454200,0,0
2012-03-08,IPGP,51.73,53.55,51.29,53.49,511600,0,0
2012-03-09,IPGP,53.46,54.24,52.22,52.72,474500,0,0
2012-03-12,IPGP,52.87,54.93,52.54,53.86,811500,0,0
2012-03-13,IPGP,54.07,55.24,53.6,55.0,496100,0,0
2012-03-14,IPGP,54.82,55.25,54.23,54.56,295900,0,0
2012-03-15,IPGP,54.76,56.09,54.25,55.85,439900,0,0
2012-03-16,IPGP,55.85,56.0,54.96,55.47,480100,0,0
2012-03-19,IPGP,55.22,55.69,54.28,54.39,348700,0,0
2012-03-20,IPGP,54.06,54.5,53.45,54.25,270800,0,0
2012-03-21,IPGP,54.48,54.72,53.23,53.78,290200,0,0
2012-03-22,IPGP,53.41,53.75,52.0,52.81,401400,0,0
2012-03-23,IPGP,52.83,52.93,51.89,52.76,225700,0,0
2012-03-26,IPGP,53.15,56.5,53.15,54.9,378800,0,0
2012-03-27,IPGP,55.0,55.28,53.83,53.94,199800,0,0
2012-03-28,IPGP,53.87,53.99,51.57,52.0,372900,0,0
2012-03-29,IPGP,51.61,52.2,51.31,51.86,249500,0,0
2012-03-30,IPGP,52.12,52.54,51.5,52.05,297700,0,0
2012-04-02,IPGP,51.95,53.92,51.92,53.77,329300,0,0
2012-04-03,IPGP,53.46,55.0,53.27,53.82,423500,0,0
2012-04-04,IPGP,53.04,53.34,51.15,51.77,392400,0,0
2012-04-05,IPGP,51.47,52.32,51.07,52.22,224000,0,0
2012-04-09,IPGP,50.78,50.84,47.54,49.42,833600,0,0
2012-04-10,IPGP,49.15,49.35,45.55,46.27,1021300,0,0
2012-04-11,IPGP,46.96,49.06,46.72,49.05,902700,0,0
2012-04-12,IPGP,49.44,50.44,49.13,49.71,230000,0,0
2012-04-13,IPGP,49.4,49.4,48.07,48.47,191700,0,0
2012-04-16,IPGP,48.67,49.0,47.54,47.81,470800,0,0
2012-04-17,IPGP,48.26,49.89,48.26,49.38,286600,0,0
