date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,IT,35.22,35.92,35.0,35.16,318100,0,0
2011-09-09,IT,34.76,35.44,34.15,34.43,382900,0,0
2011-09-12,IT,33.92,34.43,32.93,33.69,743800,0,0
2011-09-13,IT,33.7,34.95,33.51,34.81,466400,0,0
2011-09-14,IT,34.93,35.28,34.06,34.12,1010000,0,0
2011-09-15,IT,34.31,34.6,33.78,34.55,872000,0,0
2011-09-16,IT,34.83,36.71,34.81,36.68,2280500,0,0
2011-09-19,IT,35.92,37.72,35.75,37.6,803800,0,0
2011-09-20,IT,37.75,38.23,36.89,36.89,699700,0,0
2011-09-21,IT,36.88,37.44,35.89,36.0,540000,0,0
2011-09-22,IT,35.27,36.03,34.6,35.25,602700,0,0
2011-09-23,IT,34.91,35.59,34.42,35.57,662400,0,0
2011-09-26,IT,35.83,36.51,34.97,36.42,499600,0,0
2011-09-27,IT,36.66,37.32,36.24,36.45,394000,0,0
2011-09-28,IT,36.46,36.88,35.53,35.66,622000,0,0
2011-09-29,IT,36.21,36.4,35.01,35.81,472500,0,0
2011-09-30,IT,35.33,35.91,34.79,34.87,785400,0,0
2011-10-03,IT,34.62,35.0,32.84,32.86,626200,0,0
2011-10-04,IT,32.5,34.36,32.24,34.28,575400,0,0
2011-10-05,IT,34.34,34.98,33.66,34.69,377200,0,0
2011-10-06,IT,34.65,35.47,34.5,35.35,272000,0,0
2011-10-07,IT,35.53,35.98,34.7,34.87,520700,0,0
2011-10-10,IT,35.28,36.08,35.27,36.04,154400,0,0
2011-10-11,IT,35.88,36.53,35.66,36.3,287000,0,0
2011-10-12,IT,36.68,37.79,36.6,37.51,732300,0,0
2011-10-13,IT,37.36,37.82,37.14,37.56,539400,0,0
2011-10-14,IT,38.01,38.06,37.62,37.9,286500,0,0
2011-10-17,IT,37.78,37.85,36.68,36.8,391900,0,0
2011-10-18,IT,36.99,37.79,36.52,37.69,549000,0,0
2011-10-19,IT,37.87,38.25,37.1,37.2,507400,0,0
2011-10-20,IT,37.17,37.44,36.53,37.19,247500,0,0
2011-10-21,IT,37.53,38.13,37.37,38.08,465000,0,0
2011-10-24,IT,38.22,39.51,38.1,39.28,478200,0,0
2011-10-25,IT,39.22,39.22,38.41,38.45,252100,0,0
2011-10-26,IT,39.02,39.18,37.79,38.99,234500,0,0
2011-10-27,IT,40.34,41.0,39.76,40.65,502700,0,0
2011-10-28,IT,40.99,41.09,40.03,40.19,321700,0,0
2011-10-31,IT,39.74,39.77,38.45,38.52,923400,0,0
