date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,LKQ,12.615,12.805,12.48,12.58,856000,0.0,0.0
2011-09-09,LKQ,12.485,12.665,12.225,12.4,1289000,0.0,0.0
2011-09-12,LKQ,12.245,12.59,12.135,12.56,1197400,0.0,0.0
2011-09-13,LKQ,12.64,12.83,12.5,12.69,1089000,0.0,0.0
2011-09-14,LKQ,12.81,13.43,12.67,13.24,2036400,0.0,0.0
2011-09-15,LKQ,13.195,13.53,13.15,13.475,1346600,0.0,0.0
2011-09-16,LKQ,13.45,13.5,13.155,13.195,2425600,0.0,0.0
2011-09-19,LKQ,12.975,13.21,12.86,13.03,1456800,0.0,0.0
2011-09-20,LKQ,13.15,13.15,12.745,12.755,1575800,0.0,0.0
2011-09-21,LKQ,12.74,12.85,12.215,12.235,1133000,0.0,0.0
2011-09-22,LKQ,11.84,12.12,11.545,11.76,1123400,0.0,0.0
2011-09-23,LKQ,11.71,12.025,11.62,12.015,1094400,0.0,0.0
2011-09-26,LKQ,12.1,12.225,11.825,12.195,828800,0.0,0.0
2011-09-27,LKQ,12.505,12.865,12.405,12.47,1300400,0.0,0.0
2011-09-28,LKQ,12.465,12.645,12.155,12.175,1030400,0.0,0.0
2011-09-29,LKQ,12.42,12.575,12.155,12.51,1135800,0.0,0.0
2011-09-30,LKQ,12.3,12.605,12.075,12.08,1714200,0.0,0.0
2011-10-03,LKQ,12.025,12.17,11.27,11.415,1872800,0.0,0.0
2011-10-04,LKQ,11.32,12.12,11.125,12.09,2626400,0.0,0.0
2011-10-05,LKQ,12.18,13.09,12.09,12.99,2351600,0.0,0.0
2011-10-06,LKQ,12.99,13.65,12.85,13.505,2513400,0.0,0.0
2011-10-07,LKQ,13.59,14.07,13.29,13.395,4010600,0.0,0.0
2011-10-10,LKQ,13.62,13.935,13.425,13.925,1930000,0.0,0.0
2011-10-11,LKQ,13.83,14.12,13.735,14.025,1578800,0.0,0.0
2011-10-12,LKQ,14.105,14.3,14.05,14.195,1673400,0.0,0.0
2011-10-13,LKQ,14.15,14.245,13.95,14.17,797400,0.0,0.0
2011-10-14,LKQ,14.36,14.36,13.94,14.095,1182000,0.0,0.0
2011-10-17,LKQ,14.22,14.28,13.72,13.77,1689600,0.0,0.0
2011-10-18,LKQ,13.795,14.28,13.73,14.2,1684800,0.0,0.0
