date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,LYV,8.81,8.95,8.53,8.56,706900,0,0
2011-09-09,LYV,8.43,8.56,8.03,8.12,1740800,0,0
2011-09-12,LYV,7.97,8.19,7.9,8.18,859700,0,0
2011-09-13,LYV,8.22,8.39,8.17,8.34,978400,0,0
2011-09-14,LYV,8.45,8.55,8.17,8.39,1229500,0,0
2011-09-15,LYV,8.49,8.64,8.34,8.59,692000,0,0
2011-09-16,LYV,8.68,8.95,8.5,8.52,2230400,0,0
2011-09-19,LYV,8.32,8.44,8.14,8.35,1010900,0,0
2011-09-20,LYV,8.4,8.51,8.09,8.09,848700,0,0
2011-09-21,LYV,8.1,8.19,7.84,8.0,1631300,0,0
2011-09-22,LYV,7.72,8.32,7.66,8.17,2788800,0,0
2011-09-23,LYV,8.1,8.46,8.03,8.33,1181300,0,0
2011-09-26,LYV,8.41,8.44,8.01,8.43,2172900,0,0
2011-09-27,LYV,8.71,8.85,8.45,8.52,1894700,0,0
2011-09-28,LYV,8.55,8.68,8.23,8.25,1077200,0,0
2011-09-29,LYV,8.49,8.55,8.06,8.21,1235200,0,0
2011-09-30,LYV,8.07,8.16,7.98,8.01,1551500,0,0
2011-10-03,LYV,7.95,8.11,7.32,7.33,2756100,0,0
2011-10-04,LYV,7.24,7.71,7.14,7.68,2998600,0,0
2011-10-05,LYV,7.68,7.92,7.57,7.82,1045400,0,0
2011-10-06,LYV,7.76,8.23,7.65,8.2,1009400,0,0
2011-10-07,LYV,8.19,8.46,7.91,8.05,1261200,0,0
2011-10-10,LYV,8.25,8.64,8.17,8.51,978800,0,0
2011-10-11,LYV,8.44,8.82,8.42,8.63,767000,0,0
2011-10-12,LYV,8.73,9.11,8.7,8.85,1199800,0,0
2011-10-13,LYV,8.78,9.01,8.71,8.99,642300,0,0
2011-10-14,LYV,9.06,9.34,8.9,9.09,946800,0,0
2011-10-17,LYV,8.98,8.98,8.58,8.64,887700,0,0
2011-10-18,LYV,8.66,9.11,8.45,8.99,1207200,0,0
2011-10-19,LYV,8.91,9.1,8.54,8.56,1047200,0,0
2011-10-20,LYV,8.59,8.65,8.18,8.59,698800,0,0
2011-10-21,LYV,8.79,8.98,8.66,8.84,724200,0,0
2011-10-24,LYV,8.89,9.35,8.89,9.24,666200,0,0
2011-10-25,LYV,9.13,9.2,8.8,8.85,788300,0,0
2011-10-26,LYV,9.04,9.04,8.58,9.0,808500,0,0
2011-10-27,LYV,9.34,9.58,9.16,9.56,1396500,0,0
2011-10-28,LYV,9.56,9.88,9.45,9.82,1340800,0,0
2011-10-31,LYV,9.71,9.86,9.32,9.39,1196800,0,0
2011-11-01,LYV,8.93,9.3,8.89,9.06,1455500,0,0
2011-11-02,LYV,9.25,9.46,9.03,9.37,848600,0,0
2011-11-03,LYV,9.5,9.75,9.18,9.57,1284600,0,0
2011-11-04,LYV,9.37,9.37,8.01,8.89,4763700,0,0
2011-11-07,LYV,8.86,8.91,8.51,8.71,1783000,0,0
2011-11-08,LYV,8.75,8.77,8.47,8.71,1123700,0,0
2011-11-09,LYV,8.4,8.46,8.1,8.11,2114500,0,0
2011-11-10,LYV,8.29,8.3,8.01,8.17,1370600,0,0
2011-11-11,LYV,8.29,8.54,8.14,8.36,1026600,0,0
2011-11-14,LYV,8.36,8.68,8.34,8.44,1824900,0,0
2011-11-15,LYV,8.39,8.49,8.1,8.17,1871600,0,0
2011-11-16,LYV,8.08,8.37,8.0,8.04,1189900,0,0
2011-11-17,LYV,8.13,8.89,8.13,8.58,3183800,0,0
2011-11-18,LYV,8.58,9.25,8.48,9.18,2158600,0,0
2011-11-21,LYV,8.74,8.91,8.64,8.81,1294100,0,0
2011-11-22,LYV,8.77,8.79,8.54,8.55,1056600,0,0
2011-11-23,LYV,8.46,8.54,8.25,8.25,1056600,0,0
2011-11-25,LYV,8.19,8.37,8.06,8.08,596300,0,0
2011-11-28,LYV,8.36,8.6,8.33,8.52,910700,0,0
2011-11-29,LYV,8.56,8.68,8.28,8.3,769700,0,0
2011-11-30,LYV,8.72,8.97,8.61,8.64,1996200,0,0
2011-12-01,LYV,8.64,8.88,8.62,8.66,1137500,0,0
2011-12-02,LYV,8.81,9.07,8.77,8.82,741000,0,0
2011-12-05,LYV,8.99,9.29,8.8,8.86,1622200,0,0
2011-12-06,LYV,8.9,8.97,8.66,8.69,975500,0,0
2011-12-07,LYV,8.68,8.75,8.41,8.7,1201200,0,0
2011-12-08,LYV,8.61,8.74,8.3,8.32,914500,0,0
2011-12-09,LYV,8.36,8.65,8.33,8.57,710100,0,0
2011-12-12,LYV,8.5,8.57,8.26,8.49,1148900,0,0
2011-12-13,LYV,8.56,8.57,8.34,8.37,1292800,0,0
2011-12-14,LYV,8.26,8.3,8.05,8.1,1562700,0,0
2011-12-15,LYV,8.2,8.3,8.1,8.23,731900,0,0
2011-12-16,LYV,8.3,8.32,8.14,8.3,1522900,0,0
2011-12-19,LYV,8.33,8.4,8.1,8.11,867800,0,0
2011-12-20,LYV,8.3,8.33,8.13,8.24,1396300,0,0
2011-12-21,LYV,8.21,8.31,8.15,8.3,797900,0,0
2011-12-22,LYV,8.3,8.38,8.26,8.31,752800,0,0
2011-12-23,LYV,8.36,8.67,8.36,8.65,759300,0,0
2011-12-27,LYV,8.64,8.7,8.42,8.65,685800,0,0
2011-12-28,LYV,8.64,8.67,8.36,8.4,671600,0,0
2011-12-29,LYV,8.42,8.46,8.32,8.38,691900,0,0
2011-12-30,LYV,8.36,8.39,8.25,8.31,669800,0,0
