date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,MAA,48.02275,48.59486,47.685,47.960716,338900,0.0,0
2011-09-09,MAA,47.485092,47.71256,46.140984,46.340878,449800,0.0,0
2011-09-12,MAA,45.796352,46.699318,45.437916,46.671745,555400,0.0,0
2011-09-13,MAA,46.85096,47.498894,46.265068,47.326572,484700,0.0,0
2011-09-14,MAA,47.691895,47.884895,46.816498,47.34725,525800,0.0,0
2011-09-15,MAA,47.712578,47.974506,47.257645,47.519577,464400,0.0,0
2011-09-16,MAA,47.560925,47.905567,46.96124,47.636745,538200,0.0,0
2011-09-19,MAA,46.71997,47.112865,46.00311,46.00311,446300,0.0,0
2011-09-20,MAA,46.141003,46.444286,45.355213,45.389675,407400,0.0,0
2011-09-21,MAA,45.41034,45.50684,42.79794,42.859974,481100,0.0,0
2011-09-22,MAA,41.681286,42.708324,41.378,41.970787,501800,0.0,0
2011-09-23,MAA,41.894962,42.729004,41.736427,42.67386,295400,0.0,0
2011-09-26,MAA,42.935802,43.156376,42.33612,42.963375,349600,0.0,0
2011-09-27,MAA,43.64576,44.059334,43.204617,43.459652,385100,0.0,0
2011-09-28,MAA,43.411407,43.563053,41.53654,41.5779,811700,0.0,0
2011-09-29,MAA,42.30165,42.577366,41.74333,42.405045,564500,0.0,0
2011-09-30,MAA,41.977684,42.591152,41.41936,41.50897,558800,0.0,0
2011-10-03,MAA,41.288372,41.577873,38.979256,38.993042,650300,0.0,0
2011-10-04,MAA,38.53814,40.9989,37.979813,40.861042,863700,0.0,0
2011-10-05,MAA,40.923073,40.92997,38.42785,40.089035,487600,0.0,0
2011-10-06,MAA,39.94429,41.45383,39.87536,41.384903,465900,0.0,0
2011-10-07,MAA,41.58479,41.626144,39.85467,39.909817,394400,0.0,0
2011-10-10,MAA,40.798992,42.156895,40.550854,42.136215,312700,0.0,0
2011-10-11,MAA,41.660606,42.019035,40.364746,40.68871,449900,0.0,0
2011-10-12,MAA,40.79182,41.669662,40.652477,40.847557,627700,0.628,0
2011-10-13,MAA,40.64551,41.0705,39.87914,40.687313,507800,0.0,0
2011-10-14,MAA,41.251648,41.80901,40.966003,41.613934,265800,0.0,0
2011-10-17,MAA,41.202877,41.237713,40.366837,40.527077,537200,0.0,0
2011-10-18,MAA,40.680347,41.7254,40.359867,41.46762,464400,0.0,0
2011-10-19,MAA,41.35616,41.711475,40.65249,40.812733,417600,0.0,0
2011-10-20,MAA,40.903297,41.188946,40.053326,40.722157,484400,0.0,0
2011-10-21,MAA,41.2168,41.307373,40.66641,41.168034,750900,0.0,0
2011-10-24,MAA,41.168045,42.289734,40.910267,41.885647,601900,0.0,0
2011-10-25,MAA,41.62089,41.690563,41.154102,41.384014,488400,0.0,0
2011-10-26,MAA,41.829906,42.171288,41.181976,41.93441,584900,0.0,0
2011-10-27,MAA,43.571674,44.08723,42.7217,43.676178,578100,0.0,0
2011-10-28,MAA,43.550762,43.920017,43.153645,43.501995,362100,0.0,0
2011-10-31,MAA,42.909794,43.836403,42.65898,43.47412,377300,0.0,0
2011-11-01,MAA,42.1713,43.286022,41.72541,41.990158,595300,0.0,0
2011-11-02,MAA,42.589325,43.411434,42.345478,42.937675,597700,0.0,0
2011-11-03,MAA,43.195442,43.425358,42.164326,43.230278,426600,0.0,0
2011-11-04,MAA,42.63808,43.209373,42.33153,42.81922,274700,0.0,0
2011-11-07,MAA,42.77742,43.195442,42.254898,42.65898,346200,0.0,0
2011-11-08,MAA,42.854057,43.070034,41.80204,42.888893,659200,0.0,0
2011-11-09,MAA,42.09466,42.74259,41.161083,41.286488,513800,0.0,0
2011-11-10,MAA,41.864742,41.96228,41.370087,41.809006,593900,0.0,0
2011-11-11,MAA,42.24793,42.812256,41.93441,42.65898,596100,0.0,0
2011-11-14,MAA,42.408173,42.470875,41.6627,41.85081,374300,0.0,0
2011-11-15,MAA,41.66271,42.136467,41.418865,41.829918,371100,0.0,0
2011-11-16,MAA,41.439774,42.073772,41.230762,41.53731,332600,0.0,0
2011-11-17,MAA,41.411884,41.49549,40.408634,40.617645,268100,0.0,0
2011-11-18,MAA,40.617645,40.819687,40.227493,40.659447,407400,0.0,0
2011-11-21,MAA,39.92095,40.171764,39.266056,39.60047,397300,0.0,0
2011-11-22,MAA,39.586533,40.241432,39.46113,39.89308,470300,0.0,0
2011-11-23,MAA,39.572613,39.614414,38.632065,38.6669,320600,0.0,0
2011-11-25,MAA,38.63902,39.440228,38.40214,38.56238,157500,0.0,0
2011-11-28,MAA,39.558674,39.66318,38.841072,39.112785,361300,0.0,0
2011-11-29,MAA,39.300896,39.300896,38.632065,38.882877,353100,0.0,0
2011-11-30,MAA,39.739807,40.01152,39.46113,39.934883,931700,0.0,0
2011-12-01,MAA,39.900047,39.997585,39.38449,39.78161,312600,0.0,0
2011-12-02,MAA,40.847557,40.910263,39.94185,40.28323,397300,0.0,0
2011-12-05,MAA,40.833633,41.014774,40.269302,40.457413,370800,0.0,0
2011-12-06,MAA,40.401676,40.520115,39.962757,40.011524,196100,0.0,0
2011-12-07,MAA,39.96972,40.819695,39.64924,40.66642,450500,0.0,0
2011-12-08,MAA,40.36684,40.596752,39.335724,39.426296,221300,0.0,0
2011-12-09,MAA,39.48203,40.122993,39.300888,39.89308,448400,0.0,0
2011-12-12,MAA,39.46113,39.5308,39.022205,39.40539,220600,0.0,0
