date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,MHK,48.11,48.11,44.16,45.33,1789600,0,0
2011-09-09,MHK,44.63,44.72,42.45,43.21,1454100,0,0
2011-09-12,MHK,42.37,43.69,42.36,43.66,741800,0,0
2011-09-13,MHK,43.96,44.96,43.4,44.04,608900,0,0
2011-09-14,MHK,44.35,46.63,44.06,45.83,574200,0,0
2011-09-15,MHK,46.01,46.65,44.76,45.37,797800,0,0
2011-09-16,MHK,45.49,45.97,45.18,45.51,551900,0,0
2011-09-19,MHK,44.61,45.38,44.09,44.65,603600,0,0
2011-09-20,MHK,44.8,45.14,43.11,43.12,630700,0,0
2011-09-21,MHK,43.13,43.38,42.22,42.23,1048500,0,0
2011-09-22,MHK,40.86,41.13,39.93,40.95,1175100,0,0
2011-09-23,MHK,40.76,41.71,40.44,41.26,753700,0,0
2011-09-26,MHK,41.7,43.21,40.84,43.09,392900,0,0
2011-09-27,MHK,44.21,45.97,44.06,44.65,831900,0,0
2011-09-28,MHK,45.03,45.54,43.83,43.95,824800,0,0
2011-09-29,MHK,44.91,45.49,43.77,45.0,790100,0,0
2011-09-30,MHK,44.21,44.22,42.88,42.91,708900,0,0
2011-10-03,MHK,42.43,43.09,40.69,40.75,695500,0,0
2011-10-04,MHK,40.29,44.29,40.19,44.25,875800,0,0
2011-10-05,MHK,44.26,46.31,44.03,46.31,992600,0,0
2011-10-06,MHK,46.19,47.91,45.8,47.88,444200,0,0
2011-10-07,MHK,48.07,48.24,46.09,46.69,730300,0,0
2011-10-10,MHK,47.85,49.94,47.79,49.91,831400,0,0
2011-10-11,MHK,49.48,49.99,49.04,49.73,503200,0,0
2011-10-12,MHK,50.22,50.76,48.77,48.85,798500,0,0
2011-10-13,MHK,48.57,49.35,47.89,49.13,732700,0,0
2011-10-14,MHK,49.91,50.1,48.15,50.0,458100,0,0
2011-10-17,MHK,49.77,50.25,48.21,48.37,462800,0,0
2011-10-18,MHK,48.29,51.4,47.33,50.84,811100,0,0
2011-10-19,MHK,50.59,52.1,50.35,50.91,676600,0,0
2011-10-20,MHK,50.99,52.31,50.54,51.95,594300,0,0
2011-10-21,MHK,52.72,54.38,52.2,53.81,634000,0,0
2011-10-24,MHK,53.92,56.06,53.8,54.99,736900,0,0
2011-10-25,MHK,54.41,55.1,54.07,54.38,883400,0,0
2011-10-26,MHK,55.45,55.52,53.58,54.63,886400,0,0
2011-10-27,MHK,56.3,57.06,55.33,55.82,769600,0,0
2011-10-28,MHK,55.07,55.5,53.77,54.15,904500,0,0
2011-10-31,MHK,53.3,53.81,52.64,52.65,797300,0,0
2011-11-01,MHK,51.01,51.92,49.4,50.28,1163200,0,0
2011-11-02,MHK,51.17,52.67,50.81,51.9,544600,0,0
2011-11-03,MHK,52.98,53.11,50.72,52.38,825000,0,0
2011-11-04,MHK,49.87,54.03,49.87,53.29,1311600,0,0
2011-11-07,MHK,53.36,53.8,51.85,52.75,743200,0,0
2011-11-08,MHK,53.3,54.49,51.88,54.32,594400,0,0
2011-11-09,MHK,52.94,53.07,51.4,51.98,588800,0,0
2011-11-10,MHK,52.36,52.87,51.59,52.21,498700,0,0
2011-11-11,MHK,52.72,55.31,52.26,54.52,875400,0,0
2011-11-14,MHK,54.35,54.97,53.56,54.0,356900,0,0
2011-11-15,MHK,53.82,54.09,52.79,53.61,374300,0,0
2011-11-16,MHK,52.98,54.26,52.35,52.46,304500,0,0
2011-11-17,MHK,52.5,53.39,51.64,52.05,384200,0,0
2011-11-18,MHK,52.56,53.29,52.45,52.63,411500,0,0
2011-11-21,MHK,51.81,51.88,50.25,50.76,428500,0,0
2011-11-22,MHK,50.78,51.58,50.02,50.77,270200,0,0
2011-11-23,MHK,50.1,50.44,49.02,49.41,378900,0,0
2011-11-25,MHK,49.26,50.5,49.02,49.77,212200,0,0
2011-11-28,MHK,51.47,51.87,50.5,51.01,354900,0,0
2011-11-29,MHK,51.1,51.95,50.21,51.49,274600,0,0
2011-11-30,MHK,53.44,54.76,53.1,54.56,612700,0,0
2011-12-01,MHK,54.69,55.93,54.18,54.79,465600,0,0
2011-12-02,MHK,55.58,56.06,54.72,54.89,372800,0,0
2011-12-05,MHK,56.0,57.5,55.56,56.19,623700,0,0
2011-12-06,MHK,56.18,56.71,55.33,56.25,355500,0,0
2011-12-07,MHK,55.81,57.87,54.88,57.53,769000,0,0
2011-12-08,MHK,56.86,57.06,55.25,55.62,600500,0,0
2011-12-09,MHK,55.86,57.65,55.47,57.01,551300,0,0
2011-12-12,MHK,56.15,56.51,55.23,55.41,635800,0,0
2011-12-13,MHK,56.06,56.4,53.0,53.52,541000,0,0
2011-12-14,MHK,53.22,53.45,52.01,52.17,477500,0,0
2011-12-15,MHK,52.97,53.8,52.63,53.43,371300,0,0
2011-12-16,MHK,53.8,55.28,53.57,54.39,1253200,0,0
2011-12-19,MHK,55.18,55.72,53.42,53.57,364000,0,0
2011-12-20,MHK,54.7,56.64,54.7,56.4,404900,0,0
2011-12-21,MHK,56.2,57.41,55.57,57.4,490500,0,0
2011-12-22,MHK,57.35,60.62,57.16,60.17,881300,0,0
2011-12-23,MHK,60.25,60.49,59.38,60.45,402900,0,0
2011-12-27,MHK,60.16,61.3,60.01,60.8,312700,0,0
2011-12-28,MHK,60.69,61.17,60.15,60.5,408500,0,0
2011-12-29,MHK,60.67,61.1,59.74,60.67,566800,0,0
2011-12-30,MHK,60.76,60.93,59.83,59.85,384100,0,0
2012-01-03,MHK,61.37,61.44,59.85,60.16,644300,0,0
2012-01-04,MHK,59.99,60.0,59.3,59.48,721800,0,0
2012-01-05,MHK,59.26,60.1,57.62,59.97,1562600,0,0
2012-01-06,MHK,59.99,60.14,59.02,59.5,524700,0,0
2012-01-09,MHK,59.96,59.97,58.68,59.39,577900,0,0
2012-01-10,MHK,60.18,60.62,59.73,60.31,537900,0,0
2012-01-11,MHK,59.92,63.41,59.92,63.14,812300,0,0
2012-01-12,MHK,63.14,63.47,61.75,62.97,329300,0,0
2012-01-13,MHK,62.21,62.81,61.03,62.52,364700,0,0
2012-01-17,MHK,63.99,66.07,63.62,64.29,753800,0,0
2012-01-18,MHK,63.57,66.0,63.02,65.31,1039600,0,0
2012-01-19,MHK,65.14,65.5,64.03,65.18,608600,0,0
2012-01-20,MHK,64.94,65.11,63.23,63.3,625900,0,0
2012-01-23,MHK,63.44,64.29,62.27,63.0,547300,0,0
2012-01-24,MHK,62.55,64.06,62.53,63.11,854000,0,0
2012-01-25,MHK,63.2,64.0,62.65,63.74,643000,0,0
2012-01-26,MHK,63.91,64.24,62.6,63.36,455900,0,0
2012-01-27,MHK,63.03,63.72,62.54,63.45,357200,0,0
2012-01-30,MHK,62.62,62.81,61.56,62.11,548500,0,0
2012-01-31,MHK,62.55,62.84,60.7,61.16,468000,0,0
2012-02-01,MHK,61.77,63.93,61.6,63.35,655900,0,0
