date,symbol,open,high,low,close,volume,dividends,stock_splits
2017-04-10,MOH,46.29,47.19,46.29,47.07,501300,0,0
2017-04-11,MOH,46.96,47.86,46.76,47.85,1335500,0,0
2017-04-12,MOH,47.8,47.8,46.45,47.26,603200,0,0
2017-04-13,MOH,47.32,47.78,46.82,47.67,789000,0,0
2017-04-17,MOH,47.45,47.88,47.45,47.83,490500,0,0
2017-04-18,MOH,47.98,47.98,47.07,47.64,721000,0,0
2017-04-19,MOH,47.96,48.46,47.68,48.05,531400,0,0
2017-04-20,MOH,48.14,48.38,47.28,47.86,983000,0,0
2017-04-21,MOH,47.9,48.31,47.61,47.81,616100,0,0
2017-04-24,MOH,48.41,48.83,48.18,48.46,1154700,0,0
2017-04-25,MOH,48.76,49.92,48.73,49.18,1023000,0,0
2017-04-26,MOH,49.61,50.16,48.25,48.57,1800800,0,0
2017-04-27,MOH,48.87,48.97,48.45,48.63,629800,0,0
2017-04-28,MOH,48.63,50.02,48.44,49.79,1148200,0,0
2017-05-01,MOH,49.7,50.92,49.66,50.8,938400,0,0
2017-05-02,MOH,51.03,60.98,50.98,59.75,10884200,0,0
2017-05-03,MOH,60.6,68.67,59.76,64.15,12607600,0,0
2017-05-04,MOH,62.63,65.45,61.6,64.93,3950700,0,0
2017-05-05,MOH,64.79,66.44,64.21,66.43,1810200,0,0
2017-05-08,MOH,66.65,67.91,66.48,67.44,2142600,0,0
2017-05-09,MOH,67.65,68.32,66.62,67.11,1808600,0,0
2017-05-10,MOH,67.08,68.67,66.74,68.16,1534600,0,0
2017-05-11,MOH,68.15,68.15,66.0,66.54,1881600,0,0
2017-05-12,MOH,66.5,67.83,66.33,67.13,1790200,0,0
2017-05-15,MOH,67.18,68.09,66.63,67.56,1605800,0,0
2017-05-16,MOH,67.67,68.18,67.19,67.87,1210100,0,0
2017-05-17,MOH,67.87,67.87,66.47,66.52,1551300,0,0
2017-05-18,MOH,66.7,67.64,66.22,67.0,960700,0,0
2017-05-19,MOH,67.42,68.37,66.85,67.38,1098900,0,0
2017-05-22,MOH,67.7,67.7,65.64,66.84,1366600,0,0
2017-05-23,MOH,67.23,67.63,65.75,66.6,1091700,0,0
2017-05-24,MOH,66.86,67.09,65.91,66.59,596600,0,0
2017-05-25,MOH,66.94,67.9,66.47,67.08,970800,0,0
2017-05-26,MOH,66.9,67.48,66.31,66.87,973800,0,0
2017-05-30,MOH,66.85,66.91,65.86,66.3,532400,0,0
2017-05-31,MOH,65.6,65.88,62.7,64.57,1859900,0,0
2017-06-01,MOH,64.64,66.84,64.64,66.68,987200,0,0
2017-06-02,MOH,66.54,66.8,65.87,66.22,684500,0,0
2017-06-05,MOH,66.35,66.69,65.5,66.63,582500,0,0
2017-06-06,MOH,66.81,68.51,65.97,68.02,1166300,0,0
2017-06-07,MOH,67.71,68.25,66.79,67.58,859600,0,0
2017-06-08,MOH,67.71,68.9,67.07,68.33,666700,0,0
2017-06-09,MOH,68.24,69.36,67.66,68.22,696600,0,0
2017-06-12,MOH,67.79,67.87,65.08,67.34,980100,0,0
2017-06-13,MOH,67.47,68.2,67.08,68.06,447200,0,0
2017-06-14,MOH,68.51,70.08,68.51,69.22,1078000,0,0
2017-06-15,MOH,68.55,69.0,67.36,68.4,670100,0,0
2017-06-16,MOH,68.16,69.35,68.15,68.79,873400,0,0
2017-06-19,MOH,68.85,70.14,68.62,69.64,913700,0,0
2017-06-20,MOH,69.53,70.28,68.72,69.68,573500,0,0
2017-06-21,MOH,69.66,70.87,69.38,69.73,666300,0,0
2017-06-22,MOH,69.77,72.15,69.37,71.31,1833300,0,0
2017-06-23,MOH,71.45,71.91,70.83,71.33,1211700,0,0
2017-06-26,MOH,71.25,71.71,70.48,71.1,834200,0,0
2017-06-27,MOH,71.01,71.5,69.91,70.29,1518000,0,0
2017-06-28,MOH,70.65,71.25,70.2,70.44,545900,0,0
2017-06-29,MOH,70.5,70.7,68.66,69.58,859300,0,0
2017-06-30,MOH,69.77,70.07,69.04,69.18,577300,0,0
2017-07-03,MOH,69.24,69.45,68.05,68.69,421600,0,0
2017-07-05,MOH,68.55,69.59,67.45,69.25,848000,0,0
2017-07-06,MOH,68.72,69.24,67.92,69.14,686600,0,0
2017-07-07,MOH,69.31,70.43,68.98,69.94,436900,0,0
2017-07-10,MOH,69.67,70.59,68.7,69.91,526800,0,0
2017-07-11,MOH,70.21,70.93,69.48,70.12,422700,0,0
2017-07-12,MOH,70.38,71.56,70.05,71.15,869200,0,0
2017-07-13,MOH,71.17,71.33,70.22,71.15,471200,0,0
2017-07-14,MOH,71.07,71.07,70.16,70.2,625300,0,0
2017-07-17,MOH,70.18,70.54,69.0,70.26,602700,0,0
2017-07-18,MOH,70.63,70.84,70.16,70.55,567000,0,0
2017-07-19,MOH,71.03,71.82,70.43,71.09,1501300,0,0
2017-07-20,MOH,71.03,72.5,70.75,72.05,942400,0,0
2017-07-21,MOH,72.71,72.79,70.6,71.15,474100,0,0
2017-07-24,MOH,71.27,71.65,69.83,70.6,701200,0,0
2017-07-25,MOH,70.47,70.47,68.25,69.68,1519000,0,0
2017-07-26,MOH,69.33,70.46,69.13,69.71,1052200,0,0
2017-07-27,MOH,69.41,69.61,68.24,68.71,658600,0,0
2017-07-28,MOH,68.47,70.5,68.47,70.0,498400,0,0
2017-07-31,MOH,69.9,69.93,66.69,66.8,1365100,0,0
2017-08-01,MOH,67.25,67.86,66.26,66.9,922300,0,0
2017-08-02,MOH,66.91,67.75,66.02,66.24,1236100,0,0
2017-08-03,MOH,61.71,62.78,59.41,62.32,5801800,0,0
2017-08-04,MOH,62.18,62.85,58.72,59.8,2857500,0,0
2017-08-07,MOH,59.8,59.8,57.75,58.59,2536300,0,0
2017-08-08,MOH,58.63,58.86,57.96,58.6,1502400,0,0
2017-08-09,MOH,58.5,59.06,58.08,58.27,1247600,0,0
2017-08-10,MOH,58.0,58.47,57.52,57.53,981000,0,0
2017-08-11,MOH,57.36,58.27,57.1,58.05,1541200,0,0
2017-08-14,MOH,58.04,58.33,57.39,57.56,1322400,0,0
2017-08-15,MOH,58.15,58.15,56.89,57.03,584800,0,0
2017-08-16,MOH,57.26,57.95,56.68,56.78,983500,0,0
2017-08-17,MOH,58.73,60.13,58.48,59.51,1973200,0,0
2017-08-18,MOH,59.41,59.92,58.88,59.63,1077000,0,0
2017-08-21,MOH,59.76,60.34,59.59,59.98,849100,0,0
2017-08-22,MOH,59.86,60.71,59.66,60.54,795300,0,0
2017-08-23,MOH,60.39,60.69,59.77,60.51,846200,0,0
2017-08-24,MOH,60.92,62.02,60.73,61.3,817400,0,0
2017-08-25,MOH,61.32,62.33,61.01,62.03,804500,0,0
2017-08-28,MOH,62.08,63.23,61.58,63.18,1030700,0,0
2017-08-29,MOH,62.78,64.34,62.58,63.5,956200,0,0
2017-08-30,MOH,63.35,63.35,62.65,62.91,571300,0,0
2017-08-31,MOH,63.26,64.26,62.92,64.0,574700,0,0
2017-09-01,MOH,63.83,64.37,63.42,64.25,678200,0,0
2017-09-05,MOH,64.05,65.46,63.73,65.42,947500,0,0
2017-09-06,MOH,65.51,65.85,64.11,64.65,1123800,0,0
2017-09-07,MOH,64.64,65.47,64.39,64.97,564700,0,0
2017-09-08,MOH,64.76,65.39,64.76,65.04,705300,0,0
2017-09-11,MOH,65.39,66.44,65.1,65.88,445700,0,0
2017-09-12,MOH,65.88,66.4,65.5,65.74,502700,0,0
2017-09-13,MOH,65.9,66.61,65.5,66.07,623500,0,0
2017-09-14,MOH,66.24,66.4,65.28,66.14,737100,0,0
2017-09-15,MOH,66.16,66.89,65.43,66.62,849900,0,0
2017-09-18,MOH,66.73,66.75,65.47,66.0,376700,0,0
2017-09-19,MOH,66.02,66.02,61.18,62.12,2020300,0,0
2017-09-20,MOH,62.05,62.75,61.87,62.58,811800,0,0
2017-09-21,MOH,62.5,62.9,61.61,62.51,745700,0,0
2017-09-22,MOH,62.52,66.35,61.53,65.32,2362000,0,0
2017-09-25,MOH,65.04,66.41,64.19,64.54,1541100,0,0
2017-09-26,MOH,65.26,66.49,65.03,65.59,811100,0,0
2017-09-27,MOH,65.85,66.89,65.23,66.54,993800,0,0
2017-09-28,MOH,66.39,68.02,65.86,67.59,590700,0,0
2017-09-29,MOH,67.61,68.81,66.99,68.76,748600,0,0
2017-10-02,MOH,69.0,69.1,67.95,68.51,1348000,0,0
2017-10-03,MOH,68.54,68.91,66.94,67.4,873300,0,0
2017-10-04,MOH,67.65,67.8,66.5,67.02,713100,0,0
2017-10-05,MOH,67.12,67.55,65.9,67.37,747200,0,0
2017-10-06,MOH,67.55,68.18,67.46,67.86,1068400,0,0
2017-10-09,MOH,67.67,67.83,66.62,66.66,738700,0,0
2017-10-10,MOH,66.32,66.61,64.39,65.16,927400,0,0
2017-10-11,MOH,64.04,64.88,62.93,63.58,1978200,0,0
2017-10-12,MOH,63.3,63.73,62.3,63.42,882500,0,0
2017-10-13,MOH,59.5,61.97,58.66,61.28,3307100,0,0
2017-10-16,MOH,60.96,61.14,59.85,59.86,1170200,0,0
2017-10-17,MOH,60.49,62.38,60.3,61.54,1583300,0,0
2017-10-18,MOH,61.97,63.14,61.75,63.09,1470700,0,0
2017-10-19,MOH,63.0,63.69,62.08,63.64,1090800,0,0
2017-10-20,MOH,64.07,64.96,64.07,64.4,1136000,0,0
2017-10-23,MOH,65.4,66.72,64.9,66.25,1403400,0,0
2017-10-24,MOH,66.19,66.62,64.81,66.24,1259600,0,0
2017-10-25,MOH,66.18,66.72,65.22,66.63,1149200,0,0
2017-10-26,MOH,66.61,66.78,64.53,65.53,1059900,0,0
2017-10-27,MOH,65.8,67.19,64.83,67.14,1127100,0,0
2017-10-30,MOH,67.04,67.04,65.83,66.66,642100,0,0
2017-10-31,MOH,67.07,68.22,66.39,67.83,933500,0,0
2017-11-01,MOH,67.83,68.94,67.56,68.18,1511200,0,0
2017-11-02,MOH,68.69,69.18,67.56,69.0,1310000,0,0
2017-11-03,MOH,75.89,79.9,75.0,79.18,6461300,0,0
2017-11-06,MOH,79.57,80.65,78.28,78.98,1537800,0,0
2017-11-07,MOH,78.79,79.44,75.99,77.53,1612400,0,0
