date,symbol,open,high,low,close,volume,dividends,stock_splits
2019-09-23,MTCH,78.62,78.9,77.84,78.16,926700,0,0.0
2019-09-24,MTCH,78.62,79.05,71.97,72.83,3326500,0,0.0
2019-09-25,MTCH,72.25,74.54,66.57,71.44,8097200,0,0.0
2019-09-26,MTCH,70.27,72.15,69.535,71.44,1905600,0,0.0
2019-09-27,MTCH,73.73,74.15,71.02,72.41,1896000,0,0.0
2019-09-30,MTCH,71.96,72.87,70.08,71.44,1919000,0,0.0
2019-10-01,MTCH,71.29,73.66,71.1,72.96,1911000,0,0.0
2019-10-02,MTCH,71.69,72.66,69.93,72.37,1274000,0,0.0
2019-10-03,MTCH,71.88,75.21,71.88,75.0,2725700,0,0.0
2019-10-04,MTCH,74.7,75.74,73.714,74.43,1409500,0,0.0
2019-10-07,MTCH,77.01,78.31,75.71,77.97,3952400,0,0.0
2019-10-08,MTCH,76.82,77.5,75.06,75.54,1744000,0,0.0
2019-10-09,MTCH,75.6,77.06,75.06,75.96,1185700,0,0.0
2019-10-10,MTCH,77.31,78.2,75.32,76.02,1706600,0,0.0
2019-10-11,MTCH,75.2,75.92,72.781,74.1,4789700,0,0.0
2019-10-14,MTCH,74.06,74.63,72.395,74.0,1924800,0,0.0
2019-10-15,MTCH,74.0,75.55,73.0,75.25,1607500,0,0.0
2019-10-16,MTCH,75.16,76.63,74.03,76.62,1285400,0,0.0
2019-10-17,MTCH,76.53,77.11,75.64,75.8,1139800,0,0.0
2019-10-18,MTCH,75.83,76.2,71.52,71.55,1802900,0,0.0
2019-10-21,MTCH,72.3,73.81,71.16,72.97,1405800,0,0.0
2019-10-22,MTCH,72.89,73.165,71.01,71.28,1151300,0,0.0
2019-10-23,MTCH,71.49,73.57,71.28,73.46,2061600,0,0.0
2019-10-24,MTCH,73.58,74.78,72.55,73.86,1332700,0,0.0
2019-10-25,MTCH,73.66,74.47,73.051,73.94,1025200,0,0.0
2019-10-28,MTCH,74.04,74.573,72.81,73.85,1086000,0,0.0
2019-10-29,MTCH,74.0,75.43,72.71,72.79,1874800,0,0.0
2019-10-30,MTCH,72.8,74.04,71.96,73.73,1161200,0,0.0
2019-10-31,MTCH,73.78,74.92,72.88,72.99,1515200,0,0.0
2019-11-01,MTCH,73.11,74.76,72.06,73.0,2258400,0,0.0
2019-11-04,MTCH,73.18,73.42,71.04,71.21,2773300,0,0.0
2019-11-05,MTCH,71.22,72.14,68.77,68.77,5164500,0,0.0
2019-11-06,MTCH,62.25,67.22,61.5,67.04,10380600,0,0.0
2019-11-07,MTCH,68.31,71.3,68.31,69.7,5077700,0,0.0
2019-11-08,MTCH,70.02,70.06,67.42,69.08,3704700,0,0.0
2019-11-11,MTCH,68.79,69.25,68.28,68.69,1655700,0,0.0
2019-11-12,MTCH,68.54,68.99,67.22,68.41,1797300,0,0.0
2019-11-13,MTCH,67.99,69.14,67.85,68.7,977100,0,0.0
2019-11-14,MTCH,68.05,69.5,67.71,69.38,1065300,0,0.0
2019-11-15,MTCH,69.55,70.7,69.07,70.08,956200,0,0.0
2019-11-18,MTCH,70.43,71.56,69.915,71.09,1050200,0,0.0
2019-11-19,MTCH,70.92,71.87,70.859,71.86,1003600,0,0.0
2019-11-20,MTCH,71.62,72.38,69.49,70.47,2121700,0,0.0
2019-11-21,MTCH,70.38,72.5,70.03,70.04,1365100,0,0.0
2019-11-22,MTCH,70.26,70.29,69.4,69.87,1169500,0,0.0
2019-11-25,MTCH,70.1,70.46,68.8,69.28,1553500,0,0.0
2019-11-26,MTCH,69.4,70.88,69.4,70.37,4038800,0,0.0
2019-11-27,MTCH,70.37,70.54,69.69,70.15,1121300,0,0.0
2019-11-29,MTCH,70.08,70.73,69.77,70.48,496400,0,0.0
2019-12-02,MTCH,70.39,70.73,67.57,68.42,1723400,0,0.0
2019-12-03,MTCH,66.98,68.38,66.66,68.26,1455600,0,0.0
2019-12-04,MTCH,68.28,69.47,67.845,67.98,1481600,0,0.0
2019-12-05,MTCH,67.94,68.72,67.65,68.13,896600,0,0.0
2019-12-06,MTCH,68.16,68.42,66.94,67.87,1921300,0,0.0
2019-12-09,MTCH,67.69,68.32,67.22,67.81,1702500,0,0.0
2019-12-10,MTCH,67.96,69.05,67.77,68.25,1237900,0,0.0
2019-12-11,MTCH,68.05,68.9,67.54,68.62,1332000,0,0.0
2019-12-12,MTCH,68.53,69.51,68.21,69.09,2950900,0,0.0
2019-12-13,MTCH,68.98,71.93,68.98,71.91,1954200,0,0.0
2019-12-16,MTCH,72.17,73.039,71.36,72.31,2454600,0,0.0
2019-12-17,MTCH,72.57,72.99,69.08,71.04,2878700,0,0.0
2019-12-18,MTCH,71.24,72.276,70.91,71.24,2361600,0,0.0
2019-12-19,MTCH,72.51,77.97,72.5,77.35,5882900,0,0.0
2019-12-20,MTCH,77.79,81.28,76.65,79.86,4821900,0,0.0
2019-12-23,MTCH,80.34,80.7,79.27,80.18,1771800,0,0.0
2019-12-24,MTCH,80.21,81.731,80.21,80.94,565700,0,0.0
2019-12-26,MTCH,80.95,82.55,80.35,82.51,1142900,0,0.0
2019-12-27,MTCH,82.83,84.21,82.16,84.03,2299700,0,0.0
2019-12-30,MTCH,83.92,83.92,81.58,82.98,1234100,0,0.0
2019-12-31,MTCH,82.94,83.325,81.98,82.11,1176000,0,0.0
2020-01-02,MTCH,82.77,84.79,82.71,84.19,1711400,0,0.0
2020-01-03,MTCH,83.0,84.3,83.0,84.1,850900,0,0.0
2020-01-06,MTCH,83.38,84.33,82.77,84.32,1568900,0,0.0
2020-01-07,MTCH,84.16,84.62,83.25,83.82,1135500,0,0.0
2020-01-08,MTCH,83.7,85.94,83.655,85.05,1853000,0,0.0
2020-01-09,MTCH,85.93,87.08,85.365,85.75,1631200,0,0.0
2020-01-10,MTCH,86.51,87.5,85.13,87.13,2000100,0,0.0
2020-01-13,MTCH,87.99,91.38,87.61,89.58,3028400,0,0.0
2020-01-14,MTCH,89.87,90.37,88.9,89.72,1547800,0,0.0
2020-01-15,MTCH,89.97,91.9,89.75,91.1,1360700,0,0.0
2020-01-16,MTCH,91.67,92.51,91.31,92.45,1334200,0,0.0
2020-01-17,MTCH,91.98,92.36,90.22,91.11,2506700,0,0.0
2020-01-21,MTCH,90.25,91.51,89.54,89.75,2426200,0,0.0
2020-01-22,MTCH,90.25,91.32,89.31,89.56,1179500,0,0.0
2020-01-23,MTCH,89.88,90.65,88.47,88.47,1718700,0,0.0
2020-01-24,MTCH,88.79,89.485,85.47,85.57,1513600,0,0.0
2020-01-27,MTCH,82.44,84.76,81.46,84.35,2481300,0,0.0
2020-01-28,MTCH,84.92,85.29,83.92,83.96,1124400,0,0.0
2020-01-29,MTCH,83.19,83.77,80.94,81.03,2181800,0,0.0
2020-01-30,MTCH,80.57,81.09,79.92,81.05,1211500,0,0.0
2020-01-31,MTCH,80.26,81.06,78.01,78.22,2034800,0,0.0
2020-02-03,MTCH,78.27,80.72,78.24,80.72,2110700,0,0.0
2020-02-04,MTCH,82.0,83.01,80.52,82.93,3134200,0,0.0
2020-02-05,MTCH,80.05,81.37,75.24,76.0,7092200,0,0.0
2020-02-06,MTCH,76.25,82.26,76.25,79.51,7927200,0,0.0
2020-02-07,MTCH,79.33,80.2,77.4,77.75,4869900,0,0.0
2020-02-10,MTCH,77.28,78.1,75.68,75.81,1637100,0,0.0
2020-02-11,MTCH,76.02,76.4,74.53,74.58,1786400,0,0.0
2020-02-12,MTCH,74.54,75.71,73.01,75.5,2515600,0,0.0
2020-02-13,MTCH,74.91,75.96,73.78,75.21,1652500,0,0.0
2020-02-14,MTCH,75.31,77.09,75.09,76.5,2240600,0,0.0
2020-02-18,MTCH,76.5,77.23,75.315,76.7,1822800,0,0.0
2020-02-19,MTCH,77.3,77.64,75.884,75.92,1498900,0,0.0
2020-02-20,MTCH,75.85,76.79,73.6,75.15,1640400,0,0.0
2020-02-21,MTCH,74.89,74.98,72.8,73.5,1300100,0,0.0
2020-02-24,MTCH,69.59,71.06,68.6,70.15,3283300,0,0.0
2020-02-25,MTCH,70.39,70.92,67.23,67.75,2899400,0,0.0
2020-02-26,MTCH,67.98,68.81,65.52,66.04,3753300,0,0.0
2020-02-27,MTCH,63.83,66.91,63.13,64.8,3190200,0,0.0
2020-02-28,MTCH,62.41,65.5,62.23,65.0,3133300,0,0.0
2020-03-02,MTCH,65.0,68.21,63.53,68.14,3845400,0,0.0
2020-03-03,MTCH,68.14,68.56,64.38,65.8,4149100,0,0.0
2020-03-04,MTCH,67.05,68.8,65.365,68.06,2746600,0,0.0
2020-03-05,MTCH,66.32,67.98,65.58,66.61,2368900,0,0.0
2020-03-06,MTCH,64.53,65.59,62.98,65.56,2250500,0,0.0
2020-03-09,MTCH,60.0,65.76,53.25,64.04,3394200,0,0.0
2020-03-10,MTCH,65.24,66.38,63.05,65.82,2054000,0,0.0
2020-03-11,MTCH,64.3,65.03,61.69,63.02,2559500,0,0.0
2020-03-12,MTCH,57.49,60.965,55.8,57.57,4206700,0,0.0
2020-03-13,MTCH,59.6,60.8,55.62,60.47,3621800,0,0.0
2020-03-16,MTCH,53.7,56.54,52.59,54.39,6139000,0,0.0
2020-03-17,MTCH,55.01,58.1,51.79,57.02,4437600,0,0.0
2020-03-18,MTCH,53.11,55.91,47.27,52.0,3658800,0,0.0
2020-03-19,MTCH,50.38,53.16,48.92,50.76,4080500,0,0.0
2020-03-20,MTCH,51.68,52.94,47.31,47.35,4844400,0,0.0
2020-03-23,MTCH,46.9,50.13,44.74,48.71,3854200,0,0.0
2020-03-24,MTCH,50.7,58.33,50.7,57.86,4694200,0,0.0
2020-03-25,MTCH,59.0,68.5,58.5,65.6,6023600,0,0.0
2020-03-26,MTCH,65.52,73.25,61.98,63.58,4024200,0,0.0
2020-03-27,MTCH,60.39,64.35,60.16,62.48,1972700,0,0.0
2020-03-30,MTCH,62.23,67.7,62.23,66.67,2532000,0,0.0
2020-03-31,MTCH,65.7,68.79,65.7,66.04,2132200,0,0.0
2020-04-01,MTCH,64.13,64.97,60.42,61.61,2482200,0,0.0
2020-04-02,MTCH,60.75,64.15,60.17,62.19,1281500,0,0.0
2020-04-03,MTCH,62.53,64.76,62.21,63.7,1376600,0,0.0
2020-04-06,MTCH,66.98,68.93,64.33,68.41,2098200,0,0.0
2020-04-07,MTCH,70.65,71.96,67.77,70.18,3322000,0,0.0
2020-04-08,MTCH,71.06,72.585,68.91,69.21,2119500,0,0.0
2020-04-09,MTCH,70.31,71.0,66.66,68.11,2457700,0,0.0
2020-04-13,MTCH,67.25,69.37,65.99,68.48,1897200,0,0.0
2020-04-14,MTCH,69.58,74.13,69.58,73.26,2603700,0,0.0
2020-04-15,MTCH,72.08,76.13,69.86,74.49,2884700,0,0.0
2020-04-16,MTCH,75.7,80.405,75.09,78.87,3355600,0,0.0
2020-04-17,MTCH,80.0,81.32,78.81,80.0,3055500,0,0.0
2020-04-20,MTCH,79.23,83.59,78.95,80.03,2238900,0,0.0
2020-04-21,MTCH,79.33,80.17,75.78,76.9,1337700,0,0.0
2020-04-22,MTCH,78.12,80.81,77.51,80.03,1389600,0,0.0
2020-04-23,MTCH,80.31,82.355,79.04,80.38,1355800,0,0.0
2020-04-24,MTCH,80.99,81.82,79.67,81.23,1005300,0,0.0
2020-04-27,MTCH,82.2,82.81,77.97,78.38,1912400,0,0.0
2020-04-28,MTCH,79.31,79.79,75.15,75.24,1865200,0,0.0
2020-04-29,MTCH,76.61,80.61,76.25,79.59,1441200,0,0.0
2020-04-30,MTCH,78.0,79.99,76.63,76.96,1624100,0,0.0
2020-05-01,MTCH,75.62,77.05,74.39,74.64,1118800,0,0.0
2020-05-04,MTCH,74.52,77.36,74.058,77.18,1879900,0,0.0
2020-05-05,MTCH,78.5,81.04,78.02,80.1,1838900,0,0.0
2020-05-06,MTCH,83.41,87.38,82.84,87.35,3125600,0,0.0
2020-05-07,MTCH,88.5,90.0,82.37,82.63,3697400,0,0.0
2020-05-08,MTCH,83.3,83.98,79.63,79.99,3118900,0,0.0
2020-05-11,MTCH,79.31,81.3,79.037,79.94,3125600,0,0.0
2020-05-12,MTCH,80.36,81.0,77.3,77.82,2485800,0,0.0
2020-05-13,MTCH,77.71,78.45,72.28,74.75,2903000,0,0.0
2020-05-14,MTCH,73.2,77.6,73.085,77.37,1896500,0,0.0
2020-05-15,MTCH,76.98,78.56,76.5,78.17,1760400,0,0.0
2020-05-18,MTCH,80.0,84.18,79.27,83.6,2415400,0,0.0
2020-05-19,MTCH,83.72,87.885,83.07,85.72,1602900,0,0.0
2020-05-20,MTCH,86.31,87.49,83.44,84.64,1704800,0,0.0
2020-05-21,MTCH,84.86,85.61,82.48,84.0,860800,0,0.0
2020-05-22,MTCH,84.6,86.75,83.1,84.93,787400,0,0.0
2020-05-26,MTCH,86.5,86.74,84.32,85.49,759000,0,0.0
2020-05-27,MTCH,85.49,86.12,83.1,85.97,865200,0,0.0
2020-05-28,MTCH,84.72,91.772,84.492,88.93,3033100,0,0.0
2020-05-29,MTCH,89.88,90.25,87.72,89.04,1455500,0,0.0
2020-06-01,MTCH,89.12,92.68,89.11,91.73,2150000,0,0.0
2020-06-02,MTCH,93.78,94.57,90.76,94.36,2081400,0,0.0
2020-06-03,MTCH,94.38,95.575,91.82,94.01,1956600,0,0.0
2020-06-04,MTCH,92.9,94.07,89.64,91.38,1865800,0,0.0
2020-06-05,MTCH,91.54,92.6,89.42,90.09,1846100,0,0.0
2020-06-08,MTCH,90.47,92.85,89.34,89.51,1797100,0,0.0
2020-06-09,MTCH,90.35,90.49,87.51,89.69,2603400,0,0.0
2020-06-10,MTCH,90.13,90.68,87.65,88.45,1993900,0,0.0
2020-06-11,MTCH,84.97,86.7,82.57,85.68,2946400,0,0.0
2020-06-12,MTCH,88.15,88.34,84.37,87.25,2381900,0,0.0
2020-06-15,MTCH,86.0,88.57,85.49,88.34,2237700,0,0.0
2020-06-16,MTCH,89.99,93.16,89.69,92.22,3362100,0,0.0
2020-06-17,MTCH,92.93,94.8,91.621,94.47,2475600,0,0.0
2020-06-18,MTCH,94.65,98.965,94.06,98.2,3093600,0,0.0
2020-06-19,MTCH,99.18,99.43,95.21,95.73,3088100,0,0.0
2020-06-22,MTCH,96.39,96.56,93.58,95.21,2031900,0,0.0
2020-06-23,MTCH,96.07,99.72,94.65,98.61,2735300,0,0.0
2020-06-24,MTCH,98.51,99.82,95.2,98.02,2307700,0,0.0
2020-06-25,MTCH,97.62,100.25,97.33,98.95,1208500,0,0.0
2020-06-26,MTCH,99.62,101.97,97.85,101.18,2957900,0,0.0
2020-06-29,MTCH,101.0,106.44,100.66,106.0,4389500,0,0.0
2020-06-30,MTCH,106.18,107.95,105.01,107.05,3499900,0,0.0
2020-07-01,MTCH,106.0,107.43,94.01,105.67,12164800,0,3.502
2020-07-02,MTCH,105.1,108.45,96.12,98.92,7160800,0,0.0
2020-07-06,MTCH,100.0,100.53,93.24,94.7,13035100,0,0.0
2020-07-07,MTCH,93.34,94.76,91.56,92.0,8123400,0,0.0
2020-07-08,MTCH,92.0,95.87,91.51,94.2,4442200,0,0.0
2020-07-09,MTCH,95.0,97.9,94.5,96.32,4778100,0,0.0
2020-07-10,MTCH,96.87,102.15,96.4,100.39,4694000,0,0.0
2020-07-13,MTCH,100.72,101.47,96.24,96.92,4708400,0,0.0
2020-07-14,MTCH,95.38,99.175,94.4,97.93,6046800,0,0.0
2020-07-15,MTCH,98.35,99.0,95.75,96.43,2853800,0,0.0
2020-07-16,MTCH,95.54,95.81,93.5,94.46,2535600,0,0.0
2020-07-17,MTCH,95.1,95.87,90.95,91.75,4195200,0,0.0
2020-07-20,MTCH,91.71,98.98,91.46,97.17,6021600,0,0.0
2020-07-21,MTCH,98.41,98.41,92.62,93.93,3217500,0,0.0
2020-07-22,MTCH,94.0,96.02,92.92,93.37,2725400,0,0.0
2020-07-23,MTCH,93.01,94.44,90.59,91.15,1632800,0,0.0
2020-07-24,MTCH,89.99,91.8,87.56,90.36,2607300,0,0.0
2020-07-27,MTCH,91.69,93.78,91.0,91.77,4018100,0,0.0
2020-07-28,MTCH,91.51,101.9,91.51,98.44,7953500,0,0.0
2020-07-29,MTCH,100.0,103.5,99.0,102.79,4459400,0,0.0
2020-07-30,MTCH,101.99,104.33,100.58,102.35,3173300,0,0.0
2020-07-31,MTCH,103.63,103.97,101.547,102.7,3006600,0,0.0
2020-08-03,MTCH,103.78,110.86,103.065,110.405,4924600,0,0.0
2020-08-04,MTCH,110.2,110.47,105.99,107.57,3174800,0,0.0
2020-08-05,MTCH,119.0,123.0,115.31,120.71,6655200,0,0.0
2020-08-06,MTCH,117.73,118.005,113.88,113.97,4489600,0,0.0
2020-08-07,MTCH,114.44,116.25,113.03,115.88,2266800,0,0.0
2020-08-10,MTCH,117.01,119.49,112.69,115.65,4572400,0,0.0
2020-08-11,MTCH,115.38,118.39,114.87,115.5,2575300,0,0.0
2020-08-12,MTCH,115.85,118.0,115.42,115.92,2197700,0,0.0
2020-08-13,MTCH,118.25,118.25,116.69,117.44,2065400,0,0.0
2020-08-14,MTCH,118.0,121.44,117.65,118.8,2219700,0,0.0
2020-08-17,MTCH,118.8,119.79,113.56,114.105,4508000,0,0.0
2020-08-18,MTCH,114.54,116.46,114.1,115.21,4318500,0,0.0
2020-08-19,MTCH,114.82,118.465,113.94,114.15,4237500,0,0.0
2020-08-20,MTCH,113.99,115.53,112.16,113.08,1695100,0,0.0
2020-08-21,MTCH,113.54,114.7,112.405,112.55,2096400,0,0.0
2020-08-24,MTCH,113.64,114.963,111.01,111.9,1650400,0,0.0
2020-08-25,MTCH,110.78,112.52,109.56,112.28,1808400,0,0.0
2020-08-26,MTCH,113.2,114.08,110.95,112.53,1651600,0,0.0
2020-08-27,MTCH,112.45,113.27,111.34,111.53,2005900,0,0.0
2020-08-28,MTCH,112.18,113.56,109.87,111.5,1343300,0,0.0
2020-08-31,MTCH,111.49,112.25,110.44,111.68,2619500,0,0.0
2020-09-01,MTCH,110.87,115.25,110.87,113.41,2799800,0,0.0
2020-09-02,MTCH,114.7,117.62,112.88,117.49,3026700,0,0.0
2020-09-03,MTCH,114.23,114.82,108.81,110.54,2414800,0,0.0
2020-09-04,MTCH,108.51,110.95,102.08,105.94,3004000,0,0.0
2020-09-08,MTCH,102.005,105.545,100.25,102.06,3918400,0,0.0
2020-09-09,MTCH,104.49,106.671,102.13,105.56,2711100,0,0.0
2020-09-10,MTCH,106.29,108.37,104.17,105.46,2005400,0,0.0
2020-09-11,MTCH,106.86,106.86,101.65,103.65,2302400,0,0.0
2020-09-14,MTCH,105.74,109.27,105.74,108.26,3473700,0,0.0
2020-09-15,MTCH,109.95,111.66,108.71,110.98,2459900,0,0.0
2020-09-16,MTCH,110.75,111.395,107.79,108.3,4088500,0,0.0
2020-09-17,MTCH,107.95,108.459,105.65,107.56,2669000,0,0.0
2020-09-18,MTCH,107.74,109.77,105.36,108.41,6138400,0,0.0
2020-09-21,MTCH,106.08,107.25,104.205,106.85,2832300,0,0.0
2020-09-22,MTCH,108.38,108.79,105.46,106.51,2665700,0,0.0
2020-09-23,MTCH,106.94,107.255,102.41,102.89,2350200,0,0.0
2020-09-24,MTCH,101.02,105.13,100.61,103.43,1661600,0,0.0
2020-09-25,MTCH,103.58,107.522,102.77,105.75,1851700,0,0.0
2020-09-28,MTCH,107.15,109.84,106.775,108.59,2435300,0,0.0
2020-09-29,MTCH,108.22,109.38,106.63,109.12,3348000,0,0.0
2020-09-30,MTCH,108.43,111.79,108.43,110.65,2413600,0,0.0
2020-10-01,MTCH,112.23,116.58,111.13,116.21,2833600,0,0.0
2020-10-02,MTCH,113.13,115.9,111.63,111.94,1664000,0,0.0
2020-10-05,MTCH,112.99,115.15,111.68,114.05,1721600,0,0.0
2020-10-06,MTCH,113.94,115.82,112.79,114.21,1685900,0,0.0
2020-10-07,MTCH,114.59,115.49,112.125,114.5,2253900,0,0.0
2020-10-08,MTCH,115.95,117.49,113.1,113.45,2589800,0,0.0
