date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,MTD,157.85,159.59,156.71,157.52,154800,0,0
2011-09-09,MTD,155.66,157.44,147.45,147.93,477200,0,0
2011-09-12,MTD,146.05,148.45,144.18,147.04,389000,0,0
2011-09-13,MTD,147.81,150.65,146.88,150.15,300000,0,0
2011-09-14,MTD,150.89,155.95,147.99,154.48,361600,0,0
2011-09-15,MTD,156.02,157.65,153.77,156.09,217700,0,0
2011-09-16,MTD,155.61,158.78,152.56,153.25,352300,0,0
2011-09-19,MTD,149.96,153.07,147.22,152.23,224400,0,0
2011-09-20,MTD,152.13,156.81,152.13,152.23,358800,0,0
2011-09-21,MTD,152.28,152.38,144.04,144.04,293800,0,0
2011-09-22,MTD,139.07,139.72,135.5,137.03,380500,0,0
2011-09-23,MTD,136.45,140.74,135.22,139.96,342900,0,0
2011-09-26,MTD,140.46,143.87,137.56,143.37,300500,0,0
2011-09-27,MTD,146.34,152.74,146.34,147.65,256200,0,0
2011-09-28,MTD,148.72,149.11,141.85,141.99,168100,0,0
2011-09-29,MTD,144.91,146.07,139.64,143.58,282800,0,0
2011-09-30,MTD,140.82,144.57,138.58,139.96,333700,0,0
2011-10-03,MTD,137.88,142.23,130.03,130.12,629800,0,0
2011-10-04,MTD,127.7,135.67,126.1,135.29,512600,0,0
2011-10-05,MTD,135.54,139.66,133.51,138.76,392200,0,0
2011-10-06,MTD,138.02,142.92,136.34,142.72,216000,0,0
2011-10-07,MTD,140.55,140.55,130.61,131.39,824000,0,0
2011-10-10,MTD,135.09,138.64,134.98,137.74,429300,0,0
2011-10-11,MTD,136.85,140.96,135.67,139.97,447700,0,0
2011-10-12,MTD,141.4,146.34,140.79,141.73,318200,0,0
2011-10-13,MTD,140.23,142.63,137.57,140.33,141400,0,0
2011-10-14,MTD,143.14,143.72,142.12,142.71,124600,0,0
2011-10-17,MTD,142.31,142.61,137.26,137.81,217000,0,0
2011-10-18,MTD,138.12,141.73,134.53,140.98,336500,0,0
