date,symbol,open,high,low,close,volume,dividends,stock_splits
2013-01-18,NCLH,25.1,25.49,24.16,24.79,17761800,0,0
2013-01-22,NCLH,25.0,27.36,24.85,26.95,2072000,0,0
2013-01-23,NCLH,28.0,28.86,26.49,27.49,1572200,0,0
2013-01-24,NCLH,27.17,27.9,26.64,27.35,508700,0,0
2013-01-25,NCLH,27.5,27.9,26.28,27.35,870700,0,0
2013-01-28,NCLH,27.88,27.88,26.94,27.76,172200,0,0
2013-01-29,NCLH,27.9,27.96,27.0,27.11,437400,0,0
2013-01-30,NCLH,26.69,27.23,26.17,26.29,816400,0,0
2013-01-31,NCLH,26.02,26.92,25.75,26.37,970400,0,0
2013-02-01,NCLH,26.47,27.8,26.18,27.65,1099300,0,0
2013-02-04,NCLH,27.71,29.08,27.6,28.41,952100,0,0
2013-02-05,NCLH,28.96,28.96,27.97,28.54,447200,0,0
2013-02-06,NCLH,28.1,28.74,27.8,27.98,377200,0,0
2013-02-07,NCLH,27.93,28.09,27.43,27.55,276300,0,0
2013-02-08,NCLH,27.6,28.31,27.32,27.91,380200,0,0
2013-02-11,NCLH,27.78,27.84,27.43,27.68,576900,0,0
2013-02-12,NCLH,28.91,29.5,28.24,28.32,1876800,0,0
2013-02-13,NCLH,28.81,29.54,28.29,28.92,772500,0,0
2013-02-14,NCLH,28.82,29.4,28.6,29.25,431900,0,0
2013-02-15,NCLH,29.48,30.41,29.48,30.27,1418700,0,0
2013-02-19,NCLH,30.47,31.33,30.45,31.19,497800,0,0
2013-02-20,NCLH,31.19,31.91,30.56,30.8,612700,0,0
2013-02-21,NCLH,30.54,31.0,29.76,30.47,481400,0,0
2013-02-22,NCLH,30.95,31.31,29.46,29.99,571200,0,0
2013-02-25,NCLH,31.34,31.41,30.18,30.78,471700,0,0
2013-02-26,NCLH,30.81,31.08,29.79,30.21,418300,0,0
2013-02-27,NCLH,30.56,30.7,29.83,30.26,294400,0,0
2013-02-28,NCLH,30.55,31.08,30.03,30.98,234900,0,0
2013-03-01,NCLH,30.5,31.68,30.26,30.99,688200,0,0
2013-03-04,NCLH,30.55,31.25,30.26,30.45,274400,0,0
2013-03-05,NCLH,30.12,30.74,29.85,30.03,366000,0,0
2013-03-06,NCLH,30.19,30.4,29.85,30.02,153100,0,0
2013-03-07,NCLH,29.85,30.42,29.85,30.29,306800,0,0
2013-03-08,NCLH,30.98,30.98,29.12,30.3,679300,0,0
2013-03-11,NCLH,30.5,30.69,29.99,30.66,316000,0,0
2013-03-12,NCLH,30.33,31.0,30.33,30.85,770700,0,0
2013-03-13,NCLH,30.93,31.0,30.48,30.78,321600,0,0
2013-03-14,NCLH,30.73,30.96,29.89,30.0,785500,0,0
2013-03-15,NCLH,29.6,30.09,29.55,29.82,798700,0,0
2013-03-18,NCLH,29.8,30.62,29.62,30.29,389600,0,0
2013-03-19,NCLH,30.29,30.69,29.78,30.26,133500,0,0
2013-03-20,NCLH,30.27,30.99,30.25,30.5,162900,0,0
2013-03-21,NCLH,30.39,30.75,29.93,30.03,96900,0,0
2013-03-22,NCLH,30.03,30.26,29.91,30.18,112800,0,0
2013-03-25,NCLH,30.14,30.16,29.31,29.48,563200,0,0
2013-03-26,NCLH,29.93,30.0,29.02,29.54,410900,0,0
2013-03-27,NCLH,29.41,30.33,29.26,30.15,215400,0,0
2013-03-28,NCLH,30.01,30.44,29.43,29.65,2345700,0,0
2013-04-01,NCLH,29.79,29.95,29.34,29.93,640100,0,0
2013-04-02,NCLH,29.98,30.54,29.18,29.92,639000,0,0
2013-04-03,NCLH,29.82,30.39,28.57,29.19,1083700,0,0
2013-04-04,NCLH,29.1,29.36,28.51,29.27,442000,0,0
2013-04-05,NCLH,29.02,29.39,28.59,29.3,334700,0,0
2013-04-08,NCLH,29.41,30.16,29.12,29.99,246200,0,0
2013-04-09,NCLH,30.15,30.37,29.45,30.34,250200,0,0
2013-04-10,NCLH,30.46,30.95,29.8,30.53,265800,0,0
2013-04-11,NCLH,30.33,30.87,30.06,30.64,112700,0,0
2013-04-12,NCLH,30.51,30.85,29.76,30.5,115100,0,0
2013-04-15,NCLH,30.41,30.52,29.94,30.07,144300,0,0
2013-04-16,NCLH,30.18,30.48,29.0,30.0,452000,0,0
2013-04-17,NCLH,29.95,29.95,29.21,29.55,224300,0,0
2013-04-18,NCLH,29.65,29.85,29.33,29.34,175900,0,0
2013-04-19,NCLH,29.52,29.52,28.86,29.43,118400,0,0
2013-04-22,NCLH,29.42,29.71,29.01,29.38,210800,0,0
2013-04-23,NCLH,29.51,29.79,29.15,29.34,137100,0,0
2013-04-24,NCLH,29.4,29.4,28.75,28.9,197100,0,0
2013-04-25,NCLH,29.59,30.37,29.1,30.06,1192700,0,0
2013-04-26,NCLH,30.45,30.45,29.58,30.39,209200,0,0
2013-04-29,NCLH,30.5,30.52,30.16,30.36,381700,0,0
2013-04-30,NCLH,30.33,31.07,29.51,31.01,429700,0,0
2013-05-01,NCLH,31.36,31.37,30.46,31.09,408700,0,0
2013-05-02,NCLH,31.15,31.8,30.6,31.36,214900,0,0
2013-05-03,NCLH,31.39,32.0,31.3,31.53,150700,0,0
2013-05-06,NCLH,31.66,32.31,30.48,31.82,866000,0,0
2013-05-07,NCLH,31.9,32.93,31.01,31.66,833200,0,0
2013-05-08,NCLH,31.82,32.07,31.38,31.9,325300,0,0
2013-05-09,NCLH,31.54,32.08,31.01,31.71,252300,0,0
2013-05-10,NCLH,31.68,31.84,30.86,31.01,274200,0,0
2013-05-13,NCLH,31.06,31.06,29.91,30.46,289000,0,0
2013-05-14,NCLH,30.6,30.79,30.21,30.76,491700,0,0
2013-05-15,NCLH,30.63,31.45,30.55,31.36,274600,0,0
2013-05-16,NCLH,31.4,31.73,31.31,31.42,339400,0,0
2013-05-17,NCLH,31.19,31.84,31.1,31.56,841300,0,0
2013-05-20,NCLH,31.61,32.44,31.35,32.03,286400,0,0
