date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,NRG,19.876806,20.350466,19.800682,19.91064,2227800,0.0,0
2011-09-09,NRG,19.71611,19.834526,19.140951,19.208616,3181100,0.0,0
2011-09-12,NRG,19.047903,19.420063,18.954863,19.403149,1972800,0.0,0
2011-09-13,NRG,19.53848,19.63152,19.217068,19.606146,2071200,0.0,0
2011-09-14,NRG,19.631523,19.868355,19.242447,19.614609,2993100,0.0,0
2011-09-15,NRG,19.749935,20.19822,19.665352,20.122097,2736900,0.0,0
2011-09-16,NRG,20.189764,20.40122,19.766853,19.826061,4309600,0.0,0
2011-09-19,NRG,19.453901,19.521566,19.233988,19.428526,3018300,0.0,0
2011-09-20,NRG,19.555395,19.978306,19.174774,19.453896,2778100,0.0,0
2011-09-21,NRG,19.453903,19.538485,18.89566,18.921036,4712800,0.0,0
2011-09-22,NRG,18.413536,18.506575,18.125956,18.354328,4878600,0.0,0
2011-09-23,NRG,18.210545,18.861826,18.193626,18.405083,3628200,0.0,0
2011-09-26,NRG,18.531954,18.709578,18.125961,18.540413,2450300,0.0,0
2011-09-27,NRG,18.929485,18.96332,18.286663,18.354328,3685200,0.0,0
2011-09-28,NRG,18.447374,18.582706,17.922966,17.956799,3859200,0.0,0
2011-09-29,NRG,18.261288,18.421993,18.032915,18.303577,2843900,0.0,0
2011-09-30,NRG,18.075212,18.27821,17.838383,17.93988,2856800,0.0,0
2011-10-03,NRG,17.762257,17.88067,16.831852,16.857227,3661600,0.0,0
2011-10-04,NRG,16.510445,16.586569,15.774578,16.552734,5400000,0.0,0
2011-10-05,NRG,16.561188,17.381634,16.434315,17.347801,5305700,0.0,0
2011-10-06,NRG,17.237843,17.855293,17.077139,17.618464,3024300,0.0,0
2011-10-07,NRG,17.694592,17.694592,17.043308,17.254765,3148500,0.0,0
2011-10-10,NRG,17.53388,17.694588,17.457756,17.669212,1863600,0.0,0
2011-10-11,NRG,17.483131,17.796085,17.407007,17.576172,2575700,0.0,0
2011-10-12,NRG,17.762259,17.956797,17.500053,17.7538,4147200,0.0,0
2011-10-13,NRG,17.626923,17.719965,17.313969,17.68613,2477900,0.0,0
2011-10-14,NRG,17.906048,17.973713,17.736883,17.880672,1505100,0.0,0
2011-10-17,NRG,17.787628,17.897583,17.313967,17.356258,2066400,0.0,0
2011-10-18,NRG,17.407015,17.8553,17.204018,17.787636,2876400,0.0,0
2011-10-19,NRG,17.770712,18.10904,17.584631,17.669212,2788900,0.0,0
2011-10-20,NRG,17.669212,17.753796,17.297052,17.694588,2390500,0.0,0
2011-10-21,NRG,17.897587,18.295122,17.829922,18.12596,2043800,0.0,0
2011-10-24,NRG,18.1175,18.328957,17.939877,18.16825,2257700,0.0,0
2011-10-25,NRG,18.100582,18.100582,17.660753,17.694588,1699000,0.0,0
2011-10-26,NRG,17.93142,17.990625,17.415466,17.601547,2337000,0.0,0
2011-10-27,NRG,18.016003,18.74341,17.98217,18.540413,3638700,0.0,0
2011-10-28,NRG,18.515038,18.540413,18.244375,18.36279,2878800,0.0,0
2011-10-31,NRG,18.125965,18.320503,17.914509,18.117506,1975800,0.0,0
2011-11-01,NRG,17.559258,17.779171,17.271677,17.347801,2520500,0.0,0
2011-11-02,NRG,17.567715,17.855293,17.550797,17.762253,2356700,0.0,0
2011-11-03,NRG,17.838383,18.997158,17.51697,18.345877,3774400,0.0,0
2011-11-04,NRG,18.185171,18.312044,18.024464,18.202087,3326000,0.0,0
2011-11-07,NRG,18.142872,18.692656,18.066748,18.57424,3328500,0.0,0
2011-11-08,NRG,18.658829,19.124033,18.557331,19.090199,2384100,0.0,0
2011-11-09,NRG,18.531954,18.641912,18.235916,18.286667,2704100,0.0,0
2011-11-10,NRG,18.63345,18.718029,18.151329,18.303577,2535800,0.0,0
2011-11-11,NRG,18.591164,18.667288,18.413542,18.531956,1573500,0.0,0
2011-11-14,NRG,18.54887,18.641912,18.202084,18.261292,1690900,0.0,0
2011-11-15,NRG,18.210539,18.30358,18.06675,18.06675,2017000,0.0,0
2011-11-16,NRG,17.922966,17.99909,17.610012,17.652304,2783000,0.0,0
2011-11-17,NRG,17.63538,17.813002,17.322426,17.54234,2452500,0.0,0
2011-11-18,NRG,17.643837,17.77071,17.356258,17.356258,3235400,0.0,0
2011-11-21,NRG,17.161716,17.204008,16.874138,17.05176,3165400,0.0,0
2011-11-22,NRG,17.068684,17.068684,16.730356,16.798021,1714000,0.0,0
2011-11-23,NRG,16.637314,16.65423,15.867616,15.876074,3887700,0.0,0
2011-11-25,NRG,15.9099045,16.07907,15.825322,15.825322,1996800,0.0,0
2011-11-28,NRG,16.248234,16.45969,15.892991,16.079071,2168400,0.0,0
2011-11-29,NRG,16.189028,16.214403,15.952198,16.079071,2216900,0.0,0
2011-11-30,NRG,16.493525,16.66269,16.307444,16.645773,3915300,0.0,0
2011-12-01,NRG,16.654232,16.789564,16.578108,16.637316,2719500,0.0,0
2011-12-02,NRG,16.76419,16.76419,16.349737,16.383572,2961200,0.0,0
2011-12-05,NRG,16.586557,16.671139,16.341269,16.392017,2841300,0.0,0
2011-12-06,NRG,16.392029,16.468153,16.358196,16.383572,2945000,0.0,0
2011-12-07,NRG,16.256697,16.654234,16.18903,16.518902,2900900,0.0,0
