date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,PENN,8.586932,8.693195,8.430929,8.442234,2366305,0,0.0
2011-09-09,PENN,8.33371,8.381189,7.996835,8.130228,4756052,0,0.0
2011-09-12,PENN,7.969704,8.238752,7.969704,8.157359,3700724,0,0.0
2011-09-13,PENN,8.198056,8.30884,8.116663,8.20936,3227463,0,0.0
2011-09-14,PENN,8.274927,8.442234,8.152837,8.317884,1904102,0,0.0
2011-09-15,PENN,8.424147,8.467104,8.18449,8.218404,4204062,0,0.0
2011-09-16,PENN,8.274927,8.410581,8.186751,8.250057,2486168,0,0.0
2011-09-19,PENN,8.103097,8.35858,7.947095,8.311101,3904182,0,0.0
2011-09-20,PENN,8.372146,8.435451,8.055618,8.057879,1938159,0,0.0
2011-09-21,PENN,8.13475,8.243274,7.951617,7.962921,3270366,0,0.0
2011-09-22,PENN,7.802397,7.865702,7.494913,7.610219,2376478,0,0.0
2011-09-23,PENN,7.585349,7.922225,7.585349,7.834049,2825412,0,0.0
2011-09-26,PENN,7.88605,8.03527,7.641872,8.017183,2011138,0,0.0
2011-09-27,PENN,8.137011,8.317884,8.046575,8.10988,3625533,0,0.0
2011-09-28,PENN,8.057879,8.130228,7.66222,7.757178,5551750,0,0.0
2011-09-29,PENN,7.890572,7.919964,7.607958,7.879267,4022276,0,0.0
2011-09-30,PENN,7.707438,7.802397,7.508478,7.526566,3248694,0,0.0
2011-10-03,PENN,7.451956,7.700656,7.295953,7.304997,3750704,0,0.0
2011-10-04,PENN,7.262039,7.732308,7.162559,7.714221,4234138,0,0.0
2011-10-05,PENN,7.707438,8.069184,7.698395,8.026227,5665421,0,0.0
2011-10-06,PENN,8.048836,8.261361,7.976487,8.231969,3047447,0,0.0
2011-10-07,PENN,8.306579,8.35858,8.143794,8.220665,3296904,0,0.0
2011-10-10,PENN,8.331449,8.659281,8.331449,8.609541,3324769,0,0.0
2011-10-11,PENN,8.523626,8.663803,8.417364,8.575627,2780740,0,0.0
2011-10-12,PENN,8.709021,8.871806,8.620846,8.686412,2882469,0,0.0
2011-10-13,PENN,8.666064,8.670586,8.471626,8.645716,2204866,0,0.0
2011-10-14,PENN,8.797196,8.824327,8.503278,8.695456,2396824,0,0.0
2011-10-17,PENN,8.659281,8.871806,8.629889,8.858241,3018698,0,0.0
2011-10-18,PENN,8.840154,9.323988,8.736152,9.213204,7548734,0,0.0
2011-10-19,PENN,9.192856,9.226769,8.860502,8.898937,3678609,0,0.0
2011-10-20,PENN,9.267466,9.380511,7.999096,8.394755,14867472,0,0.0
2011-10-21,PENN,8.417364,8.523626,8.0104,8.279448,7757500,0,0.0
2011-10-24,PENN,8.277187,8.636672,8.277187,8.521366,4733052,0,0.0
2011-10-25,PENN,8.487452,8.487452,8.218404,8.241013,2904584,0,0.0
2011-10-26,PENN,8.347276,8.406059,8.132489,8.288492,4379655,0,0.0
2011-10-27,PENN,8.55754,8.589193,8.306579,8.38345,4238119,0,0.0
2011-10-28,PENN,8.342754,8.462582,8.202577,8.349537,3106715,0,0.0
