date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,PNR,18.268742,18.52394,18.019093,18.080118,1857676,0.0,0.0
2011-09-09,PNR,17.93588,17.974712,17.297888,17.370008,1678550,0.0,0.0
2011-09-12,PNR,17.137007,17.619661,17.087078,17.564184,1252100,0.0,0.0
2011-09-13,PNR,17.680685,18.152243,17.625206,18.008001,1170354,0.0,0.0
2011-09-14,PNR,18.218819,18.73476,17.741713,18.485111,1389535,0.0,0.0
2011-09-15,PNR,18.701468,19.001047,18.4962,18.94557,1556750,0.0,0.0
2011-09-16,PNR,19.15084,19.211864,18.695923,18.845713,1642516,0.0,0.0
2011-09-19,PNR,18.462914,18.94002,18.263193,18.834612,1235870,0.0,0.0
2011-09-20,PNR,18.890095,19.089813,18.629349,18.645992,1309278,0.0,0.0
2011-09-21,PNR,18.618256,18.62935,18.174435,18.179983,1705947,0.0,0.0
2011-09-22,PNR,17.514252,17.874857,17.320082,17.5198,2051246,0.0,0.0
2011-09-23,PNR,17.408848,17.880405,17.308987,17.564184,1374943,0.0,0.0
2011-09-26,PNR,17.741709,18.091215,17.231314,18.05793,1227234,0.0,0.0
2011-09-27,PNR,18.62935,19.07872,18.351965,18.474014,1247633,0.0,0.0
2011-09-28,PNR,18.612705,18.912285,17.824924,17.919237,1232743,0.0,0.0
2011-09-29,PNR,18.296478,18.523937,17.791634,18.069021,2147287,0.0,0.0
2011-09-30,PNR,17.719515,18.185526,17.603014,17.758348,1602760,0.0,0.0
2011-10-03,PNR,17.591917,18.063478,17.12036,17.181385,1614969,0.0,0.0
2011-10-04,PNR,16.95948,18.16889,16.85407,18.152246,1392066,0.0,0.0
2011-10-05,PNR,18.307579,18.69592,18.030191,18.6238,899356,0.0,0.0
2011-10-06,PNR,18.623796,19.156382,18.462914,19.128643,824013,0.0,0.0
2011-10-07,PNR,19.256245,19.372746,18.851257,18.94557,753583,0.0,0.0
2011-10-10,PNR,19.322819,19.644588,19.222958,19.444868,780683,0.0,0.0
2011-10-11,PNR,19.317274,19.777737,19.311724,19.59466,962787,0.0,0.0
