date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,SBAC,37.109104,37.32577,36.774258,36.892437,1204200.0,0.0,0
2011-09-09,SBAC,36.784103,36.784103,35.95683,36.08486,822300.0,0.0,0
2011-09-12,SBAC,35.68107,35.946976,35.1394,35.52349,1120800.0,0.0,0
2011-09-13,SBAC,35.68108,36.173504,35.375774,36.035625,776400.0,0.0,0
2011-09-14,SBAC,36.18335,36.88259,35.64168,36.449257,1523600.0,0.0,0
2011-09-15,SBAC,36.803802,37.158348,36.587135,37.059864,1253700.0,0.0,0
2011-09-16,SBAC,37.237144,37.237144,36.567444,36.764416,1140000.0,0.0,0
2011-09-19,SBAC,36.46895,37.60153,36.252285,37.44395,1350700.0,0.0,0
2011-09-20,SBAC,37.68032,38.113655,37.069714,37.128807,962500.0,0.0,0
2011-09-21,SBAC,37.059864,37.80835,36.813652,36.813652,1439900.0,0.0,0
2011-09-22,SBAC,36.20305,36.784107,35.306835,35.75987,1171100.0,0.0,0
2011-09-23,SBAC,35.553043,36.18335,34.94244,34.981834,1943100.0,0.0,0
2011-09-26,SBAC,35.159107,35.395466,34.489407,35.13941,795300.0,0.0,0
2011-09-27,SBAC,35.82881,36.40002,35.464413,35.62199,958200.0,0.0,0
2011-09-28,SBAC,35.80911,35.848503,34.715927,34.8932,1395400.0,0.0,0
2011-09-29,SBAC,35.257587,35.602287,34.193954,34.696224,1197000.0,0.0,0
2011-09-30,SBAC,34.400772,34.65683,33.74092,33.95759,1585300.0,0.0,0
2011-10-03,SBAC,33.809864,34.479557,32.844707,32.874256,1981800.0,0.0,0
2011-10-04,SBAC,32.874256,33.02198,31.869709,32.95304,2446900.0,0.0,0
2011-10-05,SBAC,32.893955,34.184105,32.46062,33.96744,1759600.0,0.0,0
2011-10-06,SBAC,33.829563,34.725777,33.435627,34.666687,922600.0,0.0,0
2011-10-07,SBAC,34.706074,35.08031,34.40077,34.469707,1786700.0,0.0,0
2011-10-10,SBAC,34.912884,35.100002,34.459854,34.775005,835400.0,0.0,0
2011-10-11,SBAC,34.637135,34.765167,34.361378,34.597744,830100.0,0.0,0
2011-10-12,SBAC,34.94244,36.48865,34.893196,35.582592,2885000.0,0.0,0
2011-10-13,SBAC,35.36592,35.986378,35.257587,35.927284,910800.0,0.0,0
2011-10-14,SBAC,36.1735,36.784103,36.09471,36.744713,1213300.0,0.0,0
2011-10-17,SBAC,36.61668,36.902287,36.390167,36.675774,1394600.0,0.0,0
2011-10-18,SBAC,36.675774,36.921986,36.36062,36.823498,1097900.0,0.0,0
2011-10-19,SBAC,36.803806,37.27653,36.488655,37.089413,1506300.0,0.0,0
2011-10-20,SBAC,37.03031,37.680313,36.931828,37.266678,1389300.0,0.0,0
2011-10-21,SBAC,37.4735,38.1038,37.187893,38.093956,1452800.0,0.0,0
