date,symbol,open,high,low,close,volume,dividends,stock_splits
2016-12-12,SBNY,145.14648,146.44228,141.41463,142.65858,494489,0.0,0
2016-12-13,SBNY,143.56325,144.05328,140.77379,142.05544,544809,0.0,0
2016-12-14,SBNY,140.6701,141.50883,138.27644,138.90784,1053444,0.0,0
2016-12-15,SBNY,140.05759,141.0094,138.21992,140.38742,948454,0.0,0
2016-12-16,SBNY,140.25551,141.33925,136.87234,137.30583,1153701,0.0,0
2016-12-19,SBNY,136.61787,138.4084,135.798,138.21992,405327,0.0,0
2016-12-20,SBNY,138.93611,141.4994,137.76756,141.44287,385647,0.0,0
2016-12-21,SBNY,141.63136,141.63136,139.80313,139.82198,337236,0.0,0
2016-12-22,SBNY,139.6995,141.64081,138.76472,141.61253,567622,0.0,0
2016-12-23,SBNY,141.73503,142.0366,140.70784,141.68793,520418,0.0,0
2016-12-27,SBNY,142.35698,142.90358,140.75021,142.61143,169656,0.0,0
2016-12-28,SBNY,142.6209,143.21461,140.25551,140.98116,229039,0.0,0
2016-12-29,SBNY,141.16016,141.79628,139.5306,140.75494,295008,0.0,0
2016-12-30,SBNY,141.15076,142.4701,141.03767,141.54655,361087,0.0,0
2017-01-03,SBNY,143.48784,145.46686,139.59108,140.29315,422976,0.0,0
2017-01-04,SBNY,140.75493,143.91193,140.52875,143.55382,349548,0.0,0
2017-01-05,SBNY,143.54442,144.26062,140.04814,141.31094,424103,0.0,0
2017-01-06,SBNY,142.49835,143.60095,141.53711,141.82925,407755,0.0,0
2017-01-09,SBNY,141.17902,142.046,139.54869,141.3675,332556,0.0,0
2017-01-10,SBNY,141.38635,143.54442,141.18846,142.47952,375908,0.0,0
2017-01-11,SBNY,142.46066,145.46687,141.39577,144.78836,518248,0.0,0
2017-01-12,SBNY,144.10983,145.68834,140.96227,142.13083,579378,0.0,0
2017-01-13,SBNY,143.12036,146.86163,143.12036,143.91197,313637,0.0,0
2017-01-17,SBNY,141.82925,142.30986,138.54974,139.98216,521475,0.0,0
2017-01-18,SBNY,140.45338,143.28139,139.36964,141.74446,570005,0.0,0
2017-01-19,SBNY,143.36537,143.73761,139.88797,142.2722,438736,0.0,0
2017-01-20,SBNY,143.224,146.75795,143.224,145.5517,527329,0.0,0
2017-01-23,SBNY,144.54337,145.74019,143.04497,145.0334,375152,0.0,0
