date,symbol,open,high,low,close,volume,dividends,stock_splits
2016-12-12,SEDG,13.75,13.9,13.3,13.4,382727,0,0
2016-12-13,SEDG,13.5,13.65,12.85,13.25,435134,0,0
2016-12-14,SEDG,13.3,13.45,12.75,12.95,434957,0,0
2016-12-15,SEDG,12.85,13.025,12.6,12.8,465077,0,0
2016-12-16,SEDG,12.75,13.5,12.6,13.4,755971,0,0
2016-12-19,SEDG,13.5,13.95,13.26,13.9,554904,0,0
2016-12-20,SEDG,14.0,14.04,13.45,13.5,459337,0,0
2016-12-21,SEDG,13.45,13.475,12.65,12.65,521535,0,0
2016-12-22,SEDG,12.75,12.95,12.405,12.65,490702,0,0
2016-12-23,SEDG,12.7,12.8,12.5,12.65,411253,0,0
2016-12-27,SEDG,12.6,13.45,12.6,13.3,567168,0,0
2016-12-28,SEDG,13.3,13.35,12.6,12.7,482748,0,0
2016-12-29,SEDG,12.7,12.825,12.225,12.25,539663,0,0
2016-12-30,SEDG,12.25,12.55,12.15,12.4,657350,0,0
2017-01-03,SEDG,12.55,13.2,12.55,13.2,1123554,0,0
2017-01-04,SEDG,13.3,14.45,13.3,14.4,1363301,0,0
2017-01-05,SEDG,14.3,14.575,13.775,13.8,647740,0,0
2017-01-06,SEDG,13.9,14.0,13.6,13.75,537964,0,0
2017-01-09,SEDG,13.7,13.7,13.15,13.5,733402,0,0
2017-01-10,SEDG,13.6,13.775,13.4,13.55,521233,0,0
2017-01-11,SEDG,13.6,13.7,13.35,13.5,383769,0,0
2017-01-12,SEDG,13.55,13.6,13.125,13.5,749960,0,0
2017-01-13,SEDG,13.6,13.8,13.3,13.5,371377,0,0
2017-01-17,SEDG,13.55,14.2,13.5,13.95,770107,0,0
2017-01-18,SEDG,13.9,14.05,13.15,13.3,589782,0,0
2017-01-19,SEDG,13.25,13.7,13.0,13.2,612641,0,0
2017-01-20,SEDG,13.35,13.55,13.25,13.45,189907,0,0
2017-01-23,SEDG,13.45,13.55,13.2,13.3,253906,0,0
2017-01-24,SEDG,13.4,13.55,12.9,12.95,453974,0,0
2017-01-25,SEDG,13.1,13.7,13.0,13.55,900279,0,0
2017-01-26,SEDG,13.6,13.8,13.1,13.2,280604,0,0
