date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,SNA,41.86501,42.618004,41.635834,41.75042,478100,0.0,0
2011-09-09,SNA,41.15295,41.95506,40.195335,40.228077,957400,0.0,0
2011-09-12,SNA,39.548737,40.129852,38.73026,39.859756,529700,0.0,0
2011-09-13,SNA,40.03163,40.71915,39.851566,40.47361,676500,0.0,0
2011-09-14,SNA,40.743694,42.192394,39.85974,41.56217,435600,0.0,0
2011-09-15,SNA,42.06963,42.511604,41.529434,42.356094,342400,0.0,0
2011-09-16,SNA,42.708046,43.0027,41.979607,42.397026,411500,0.0,0
2011-09-19,SNA,41.562176,41.848644,41.079277,41.537624,366200,0.0,0
2011-09-20,SNA,41.734066,42.077824,40.79282,40.858295,252400,0.0,0
2011-09-21,SNA,40.702785,40.76008,38.763,38.78755,311700,0.0,0
2011-09-22,SNA,37.649876,37.76446,36.381237,36.64315,694300,0.0,0
2011-09-23,SNA,36.40579,37.322483,36.299385,36.83958,909400,0.0,0
2011-09-26,SNA,36.806828,37.45342,36.10294,37.428867,611700,0.0,0
2011-09-27,SNA,38.271908,39.524178,38.157322,38.730255,448200,0.0,0
2011-09-28,SNA,38.82029,39.03309,37.543465,37.715347,487500,0.0,0
2011-09-29,SNA,38.648403,38.959423,36.675877,37.62531,561700,0.0,0
2011-09-30,SNA,36.954163,37.175148,36.258457,36.340305,628000,0.0,0
2011-10-03,SNA,35.922886,36.454895,34.71154,34.74428,889100,0.0,0
2011-10-04,SNA,34.285934,36.201168,34.163166,36.160244,664200,0.0,0
2011-10-05,SNA,36.160244,37.134228,36.094765,36.798653,565100,0.0,0
2011-10-06,SNA,36.790474,37.95271,36.536747,37.80538,410800,0.0,0
2011-10-07,SNA,38.124588,38.124588,36.937798,37.273373,324700,0.0,0
2011-10-10,SNA,38.042732,38.926685,37.91996,38.926685,293500,0.0,0
2011-10-11,SNA,38.63203,39.286808,38.55018,39.11493,256400,0.0,0
2011-10-12,SNA,39.327736,40.244427,39.25407,39.85156,207700,0.0,0
2011-10-13,SNA,39.46688,39.745163,38.934868,39.65513,189300,0.0,0
2011-10-14,SNA,40.19532,40.481785,39.704235,40.35083,190100,0.0,0
2011-10-17,SNA,40.17076,40.40812,39.22133,39.352287,250900,0.0,0
2011-10-18,SNA,39.475063,40.62093,38.93487,40.30991,441700,0.0,0
2011-10-19,SNA,40.170773,41.05472,40.031628,40.416313,440700,0.0,0
2011-10-20,SNA,40.43269,40.637306,39.25408,40.498165,524100,0.0,0
2011-10-21,SNA,41.275707,42.503418,40.088917,42.257877,738700,0.0,0
2011-10-24,SNA,42.44614,43.60837,42.44614,43.30554,500000,0.0,0
2011-10-25,SNA,42.839005,43.17458,42.29881,42.45432,476500,0.0,0
2011-10-26,SNA,42.454327,43.07637,42.192413,42.847195,566200,0.0,0
2011-10-27,SNA,44.263145,45.548153,43.87846,45.007957,525800,0.0,0
2011-10-28,SNA,44.983395,45.278046,44.500492,44.885178,249000,0.0,0
2011-10-31,SNA,44.230415,44.590546,43.870285,43.927578,446700,0.0,0
2011-11-01,SNA,41.86501,43.084534,41.56217,42.225136,392600,0.0,0
2011-11-02,SNA,43.08455,43.510155,42.56891,43.264614,274900,0.0,0
2011-11-03,SNA,43.796616,45.490864,43.616554,45.21258,559200,0.0,0
2011-11-04,SNA,44.84427,45.114365,44.148563,44.98341,271500,0.0,0
2011-11-07,SNA,45.155277,45.204388,44.230404,44.975216,257400,0.0,0
2011-11-08,SNA,45.212578,46.014683,44.590534,45.883728,317300,0.0,0
2011-11-09,SNA,44.615086,45.01614,43.58381,43.984863,390700,0.0,0
2011-11-10,SNA,44.606907,44.72968,44.017605,44.312256,216300,0.0,0
2011-11-11,SNA,45.04071,45.91648,44.93431,45.31081,267600,0.0,0
2011-11-14,SNA,45.310795,46.0065,45.188023,45.744587,420600,0.0,0
2011-11-15,SNA,45.4745,45.981953,45.245323,45.65456,464000,0.0,0
2011-11-16,SNA,45.143986,45.728664,44.674595,44.76518,312900,0.34,0
2011-11-17,SNA,44.666363,44.666363,43.142895,43.439354,533500,0.0,0
2011-11-18,SNA,43.54642,43.66171,42.541756,42.94527,626800,0.0,0
2011-11-21,SNA,42.179417,42.40176,41.166515,41.61944,541800,0.0,0
2011-11-22,SNA,41.55355,41.644135,40.968872,41.1171,426100,0.0,0
2011-11-23,SNA,40.63947,40.738293,39.733627,39.87362,532500,0.0,0
2011-11-25,SNA,39.725395,40.145374,39.45364,39.568928,164800,0.0,0
2011-11-28,SNA,40.77947,40.91946,40.211258,40.590065,604400,0.0,0
2011-11-29,SNA,40.845345,41.075924,40.400658,40.80417,503500,0.0,0
2011-11-30,SNA,41.99824,42.2947,41.882954,42.24529,839700,0.0,0
2011-12-01,SNA,42.03942,42.764095,42.014717,42.451168,410300,0.0,0
2011-12-02,SNA,43.03584,43.348766,42.36881,42.475864,393100,0.0,0
2011-12-05,SNA,43.167595,43.25818,42.49233,42.73938,325900,0.0,0
2011-12-06,SNA,42.862915,42.98644,42.451168,42.813507,247500,0.0,0
2011-12-07,SNA,42.451168,42.764095,41.957073,42.615868,356200,0.0,0
2011-12-08,SNA,42.302925,42.467625,41.24062,41.34767,326400,0.0,0
2011-12-09,SNA,41.561787,42.459393,41.413555,42.33587,335600,0.0,0
2011-12-12,SNA,41.88296,41.88296,41.273575,41.81708,325300,0.0,0
2011-12-13,SNA,42.19587,42.44292,41.18297,41.388844,612000,0.0,0
2011-12-14,SNA,41.15004,41.174744,40.343014,40.38419,503400,0.0,0
2011-12-15,SNA,40.54065,41.034748,40.23596,40.37595,451100,0.0,0
2011-12-16,SNA,40.762997,41.462967,40.565357,40.837112,480300,0.0,0
2011-12-19,SNA,40.99356,41.38884,40.26065,40.367706,341700,0.0,0
2011-12-20,SNA,41.117077,42.39349,41.05943,42.138206,332300,0.0,0
2011-12-21,SNA,42.16294,42.813503,41.454735,42.72292,598600,0.0,0
2011-12-22,SNA,42.780556,43.678165,42.739384,42.879375,380700,0.0,0
2011-12-23,SNA,42.87114,42.96996,42.49233,42.73938,392500,0.0,0
2011-12-27,SNA,42.50058,42.764095,42.35235,42.451168,297800,0.0,0
2011-12-28,SNA,42.442924,42.665268,41.53708,41.6359,269600,0.0,0
2011-12-29,SNA,41.78413,42.080585,41.70178,42.03941,406200,0.0,0
2011-12-30,SNA,42.13824,42.146477,41.578266,41.685318,198500,0.0,0
2012-01-03,SNA,42.60763,42.72292,42.146473,42.195885,440800,0.0,0
2012-01-04,SNA,42.138233,42.3194,41.940594,42.097057,531800,0.0,0
2012-01-05,SNA,41.792362,42.75585,41.32297,42.657032,472400,0.0,0
2012-01-06,SNA,42.739384,43.060543,42.319397,42.829964,311600,0.0,0
2012-01-09,SNA,42.969963,43.225246,42.78879,43.142895,240200,0.0,0
2012-01-10,SNA,43.84288,44.073456,43.579357,43.958168,269900,0.0,0
2012-01-11,SNA,43.809925,44.345196,43.76875,44.081676,244300,0.0,0
2012-01-12,SNA,44.320503,44.63343,43.546417,44.485203,425600,0.0,0
2012-01-13,SNA,44.089905,44.196957,43.51346,43.66992,240700,0.0,0
2012-01-17,SNA,44.164043,44.39462,43.505245,43.735825,313000,0.0,0
2012-01-18,SNA,43.66171,44.369915,43.23349,44.22992,484200,0.0,0
2012-01-19,SNA,44.52638,44.913425,44.164043,44.70755,651600,0.0,0
2012-01-20,SNA,44.666367,44.946354,44.42755,44.80636,347400,0.0,0
2012-01-23,SNA,44.847523,45.275738,44.674587,44.85576,330800,0.0,0
2012-01-24,SNA,44.608723,45.333397,44.49343,45.242813,312600,0.0,0
2012-01-25,SNA,45.127518,46.321587,44.929882,46.263943,392600,0.0,0
2012-01-26,SNA,46.445114,46.445114,45.64632,46.263943,523300,0.0,0
2012-01-27,SNA,46.04159,46.856853,45.83572,46.74156,487500,0.0,0
2012-01-30,SNA,46.23924,46.280415,45.53927,46.280415,474200,0.0,0
2012-01-31,SNA,46.659218,46.758038,46.11571,46.535694,507000,0.0,0
2012-02-01,SNA,46.85686,47.532127,46.708633,46.98862,529100,0.0,0
2012-02-02,SNA,48.157974,48.29797,46.543922,47.91916,584300,0.0,0
2012-02-03,SNA,48.586205,49.384995,47.869766,49.072067,413100,0.0,0
2012-02-06,SNA,48.866184,49.40969,48.79207,49.24499,670500,0.0,0
2012-02-07,SNA,49.014404,49.549675,49.014404,49.277924,540400,0.0,0
2012-02-08,SNA,49.352055,49.566162,48.973248,49.4097,251800,0.0,0
2012-02-09,SNA,49.467335,50.249657,49.286163,50.01084,409900,0.0,0
2012-02-10,SNA,49.409695,50.233192,49.228527,50.21672,492300,0.0,0
2012-02-13,SNA,50.554356,51.402554,50.389656,51.204918,465300,0.0,0
2012-02-14,SNA,50.957867,51.16374,50.603764,51.1308,324000,0.0,0
2012-02-15,SNA,51.196667,51.237843,49.6485,49.804962,486400,0.0,0
2012-02-16,SNA,49.953197,51.064915,49.87908,51.048447,317800,0.0,0
2012-02-17,SNA,51.361374,51.550777,51.00727,51.188442,279900,0.0,0
2012-02-21,SNA,51.31196,51.41901,50.69434,50.974327,249900,0.0,0
2012-02-22,SNA,50.932926,51.090256,50.494064,50.56031,272200,0.34,0
2012-02-23,SNA,50.59343,51.024014,50.353302,50.767323,239800,0.0,0
2012-02-24,SNA,50.96605,50.96605,50.253933,50.287056,296300,0.0,0
2012-02-27,SNA,50.005524,50.817005,49.682587,50.568592,242000,0.0,0
2012-02-28,SNA,50.68452,51.06542,50.345024,50.759045,273800,0.0,0
2012-02-29,SNA,50.891533,51.38836,50.51891,50.61828,266200,0.0,0
2012-03-01,SNA,50.469223,51.36351,50.469223,50.676235,356700,0.0,0
2012-03-02,SNA,50.593437,50.593437,49.624626,49.955845,347600,0.0,0
2012-03-05,SNA,49.839916,50.022083,49.56666,49.931,326000,0.0,0
2012-03-06,SNA,49.218895,49.3431,48.39085,48.465374,303100,0.0,0
2012-03-07,SNA,48.581287,49.044994,48.498486,48.912506,204100,0.0,0
2012-03-08,SNA,49.268566,50.220818,48.97047,49.856476,343600,0.0,0
2012-03-09,SNA,50.01381,50.336746,49.558384,50.05521,228700,0.0,0
2012-03-12,SNA,50.204258,50.32846,49.773674,50.030365,163600,0.0,0
2012-03-13,SNA,50.361584,50.759045,50.212536,50.759045,393900,0.0,0
2012-03-14,SNA,50.6928,51.0737,50.49407,50.750763,183600,0.0,0
2012-03-15,SNA,50.800438,51.504276,50.543747,51.487717,293000,0.0,0
2012-03-16,SNA,51.537403,51.653328,50.91637,50.93293,424700,0.0,0
2012-03-19,SNA,50.949486,51.131657,50.146286,50.510624,392900,0.0,0
2012-03-20,SNA,50.17112,50.48578,49.599773,50.046913,228800,0.0,0
2012-03-21,SNA,50.08004,50.31189,49.541813,50.08832,309400,0.0,0
2012-03-22,SNA,49.608055,49.96411,49.34308,49.88131,433400,0.0,0
2012-03-23,SNA,49.947556,50.33674,49.44245,50.16285,222700,0.0,0
2012-03-26,SNA,50.7342,51.222744,50.643116,51.17306,290800,0.0,0
2012-03-27,SNA,51.272415,51.380062,51.065407,51.148212,289700,0.0,0
2012-03-28,SNA,51.247593,51.313835,49.964127,50.494072,202800,0.0,0
2012-03-29,SNA,50.253933,50.6928,49.848194,50.568592,245400,0.0,0
2012-03-30,SNA,50.932926,51.18962,50.3533,50.485786,284700,0.0,0
2012-04-02,SNA,50.33674,51.1151,50.022083,50.767323,373900,0.0,0
2012-04-03,SNA,50.535465,50.808723,49.82335,50.19597,374700,0.0,0
2012-04-04,SNA,49.674297,49.939274,49.434166,49.91443,272800,0.0,0
2012-04-05,SNA,49.699154,50.03037,49.235447,49.44246,340400,0.0,0
2012-04-09,SNA,48.506767,49.11952,48.03478,49.01187,303100,0.0,0
2012-04-10,SNA,48.96219,49.036713,47.579357,47.736687,221500,0.0,0
2012-04-11,SNA,48.44052,48.780018,48.250072,48.61441,260600,0.0,0
2012-04-12,SNA,48.67238,49.75712,48.63926,49.475582,245000,0.0,0
2012-04-13,SNA,49.24373,49.40106,48.730343,49.07812,220800,0.0,0
2012-04-16,SNA,49.367935,49.732277,48.862827,49.301693,295600,0.0,0
2012-04-17,SNA,49.773666,50.452663,49.641182,50.19597,360800,0.0,0
2012-04-18,SNA,49.84819,49.84819,49.2934,49.39277,500600,0.0,0
2012-04-19,SNA,49.500423,51.272434,49.086403,50.974342,1120200,0.0,0
2012-04-20,SNA,51.048862,51.322117,50.701084,51.048862,484400,0.0,0
2012-04-23,SNA,50.179405,50.593426,49.459007,50.229088,354600,0.0,0
2012-04-24,SNA,50.345005,51.587067,50.311882,51.24757,337600,0.0,0
2012-04-25,SNA,51.72785,51.992825,51.44632,51.537403,461100,0.0,0
2012-04-26,SNA,51.380077,52.04251,51.380077,51.81066,539200,0.0,0
2012-04-27,SNA,52.166718,52.80431,51.645046,52.62214,370700,0.0,0
2012-04-30,SNA,52.539326,52.57245,51.446312,51.78581,235000,0.0,0
2012-05-01,SNA,51.71128,52.71321,51.330383,51.86033,273600,0.0,0
2012-05-02,SNA,51.620205,52.025948,51.32211,52.009388,413000,0.0,0
2012-05-03,SNA,52.01766,52.26607,51.818928,51.992817,453200,0.0,0
2012-05-04,SNA,51.694744,51.727867,51.421486,51.628498,545400,0.0,0
2012-05-07,SNA,51.24758,51.918297,51.24758,51.736126,382400,0.0,0
2012-05-08,SNA,51.429752,51.562237,50.361576,51.288982,348700,0.0,0
2012-05-09,SNA,50.88325,51.173065,50.11317,50.692802,314400,0.0,0
2012-05-10,SNA,51.073696,51.297268,50.303616,50.485786,369500,0.0,0
2012-05-11,SNA,50.05521,51.02402,49.86476,50.78389,305000,0.0,0
2012-05-14,SNA,50.19596,50.460934,49.599773,50.046913,201000,0.0,0
2012-05-15,SNA,49.889595,50.295338,49.666023,49.94756,285000,0.0,0
2012-05-16,SNA,50.245647,50.68451,49.757103,49.823345,316700,0.0,0
2012-05-17,SNA,49.77339,50.11482,48.465977,48.48263,451800,0.34,0
2012-05-18,SNA,48.649166,49.215435,48.21614,48.382687,384000,0.0,0
2012-05-21,SNA,48.740784,49.73176,48.507618,49.581863,300100,0.0,0
2012-05-22,SNA,49.76506,50.16478,49.4736,49.981575,273000,0.0,0
2012-05-23,SNA,49.64846,50.60612,48.998917,50.531174,311000,0.0,0
2012-05-24,SNA,50.672752,50.797665,49.698437,50.48122,247100,0.0,0
2012-05-25,SNA,50.514534,50.672756,49.939938,50.06485,224200,0.0,0
2012-05-29,SNA,50.62279,51.313972,50.414604,50.772686,263800,0.0,0
2012-05-30,SNA,50.25637,50.52285,50.08982,50.173096,458000,0.0,0
2012-05-31,SNA,50.08151,50.722725,49.573532,50.389626,1948300,0.0,0
2012-06-01,SNA,50.647774,50.647774,48.757435,48.77409,740000,0.0,0
2012-06-04,SNA,48.61586,48.81572,47.366737,47.9913,447400,0.0,0
2012-06-05,SNA,47.70817,48.899002,47.51664,48.77409,458200,0.0,0
2012-06-06,SNA,49.34036,50.606136,49.157154,50.572826,310500,0.0,0
2012-06-07,SNA,50.797676,52.0468,50.772694,51.397255,477500,0.0,0
2012-06-08,SNA,51.1391,52.180035,50.847637,52.180035,326800,0.0,0
2012-06-11,SNA,52.688004,52.9295,51.00585,51.0808,195400,0.0,0
2012-06-12,SNA,51.42223,52.529785,51.214043,52.496475,344700,0.0,0
2012-06-13,SNA,52.171707,52.54644,51.455544,51.771984,253200,0.0,0
2012-06-14,SNA,51.788643,52.304947,51.547146,51.971848,250000,0.0,0
2012-06-15,SNA,52.121746,52.737984,51.98018,52.621395,318600,0.0,0
2012-06-18,SNA,52.554764,53.245945,52.288284,52.99612,214400,0.0,0
2012-06-19,SNA,53.270927,53.66232,53.19598,53.495766,223500,0.0,0
2012-06-20,SNA,53.47912,53.695637,52.24665,52.762955,308200,0.0,0
2012-06-21,SNA,52.921173,53.037758,51.322296,51.588776,319200,0.0,0
2012-06-22,SNA,51.855267,52.10509,51.638752,51.7137,366400,0.0,0
2012-06-25,SNA,51.488842,51.488842,50.173096,50.19808,437100,0.0,0
2012-06-26,SNA,50.589485,50.697742,49.64848,49.964924,756400,0.0,0
