date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,SRCL,84.07,84.35,83.3,83.7,351200,0,0
2011-09-09,SRCL,83.0,83.0,79.31,80.18,1118900,0,0
2011-09-12,SRCL,79.24,81.05,79.02,80.87,524100,0,0
2011-09-13,SRCL,81.18,81.94,80.25,81.61,423800,0,0
2011-09-14,SRCL,81.89,84.12,80.39,83.3,537800,0,0
2011-09-15,SRCL,84.14,84.3,82.73,83.82,339500,0,0
2011-09-16,SRCL,84.34,84.97,83.35,83.92,685000,0,0
2011-09-19,SRCL,83.06,83.65,81.58,83.09,389100,0,0
2011-09-20,SRCL,83.29,85.54,83.04,83.96,521100,0,0
2011-09-21,SRCL,83.88,84.5,81.32,81.34,355000,0,0
2011-09-22,SRCL,79.41,80.99,78.06,78.73,600800,0,0
2011-09-23,SRCL,78.0,80.76,77.85,80.35,570700,0,0
2011-09-26,SRCL,80.62,83.52,79.8,83.42,549600,0,0
2011-09-27,SRCL,83.69,85.19,83.19,83.93,467500,0,0
2011-09-28,SRCL,84.21,85.14,81.43,81.57,521100,0,0
2011-09-29,SRCL,82.86,83.09,79.37,81.21,325700,0,0
2011-09-30,SRCL,80.39,81.61,80.15,80.72,535600,0,0
2011-10-03,SRCL,79.92,81.24,77.99,78.7,531500,0,0
2011-10-04,SRCL,77.34,80.35,76.23,80.23,741000,0,0
2011-10-05,SRCL,80.5,80.6,79.1,80.32,424100,0,0
2011-10-06,SRCL,80.54,81.22,79.47,81.22,337100,0,0
2011-10-07,SRCL,81.6,81.88,79.96,80.56,368200,0,0
2011-10-10,SRCL,81.83,83.74,81.64,83.74,341800,0,0
2011-10-11,SRCL,83.61,83.8,82.81,83.26,215000,0,0
2011-10-12,SRCL,83.64,84.67,83.33,83.44,310900,0,0
2011-10-13,SRCL,83.31,83.66,82.8,83.57,239000,0,0
2011-10-14,SRCL,84.49,84.82,83.44,84.82,215900,0,0
2011-10-17,SRCL,84.5,85.1,83.03,83.43,329900,0,0
2011-10-18,SRCL,83.64,85.36,82.45,84.95,317500,0,0
2011-10-19,SRCL,84.98,85.18,82.67,83.02,288600,0,0
2011-10-20,SRCL,82.75,83.09,81.07,82.45,531200,0,0
2011-10-21,SRCL,83.54,84.08,82.6,84.04,424900,0,0
2011-10-24,SRCL,84.24,85.94,84.24,85.86,414400,0,0
2011-10-25,SRCL,85.68,86.0,84.0,84.2,514600,0,0
2011-10-26,SRCL,84.7,85.73,83.09,85.46,424200,0,0
2011-10-27,SRCL,87.56,89.48,86.79,88.41,759800,0,0
2011-10-28,SRCL,88.29,88.38,84.17,84.34,720700,0,0
2011-10-31,SRCL,83.28,85.34,83.28,83.58,515800,0,0
2011-11-01,SRCL,81.15,82.99,80.3,80.71,592700,0,0
2011-11-02,SRCL,81.69,82.05,80.7,81.07,545700,0,0
2011-11-03,SRCL,81.35,82.7,80.86,82.14,501200,0,0
2011-11-04,SRCL,81.56,81.83,80.7,81.09,373200,0,0
2011-11-07,SRCL,81.02,81.49,79.95,81.48,519000,0,0
2011-11-08,SRCL,81.96,82.54,80.72,81.4,449300,0,0
2011-11-09,SRCL,79.69,80.0,77.79,78.22,976900,0,0
2011-11-10,SRCL,79.03,79.46,77.25,77.85,1037200,0,0
2011-11-11,SRCL,78.9,79.89,78.54,79.74,794600,0,0
