date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,TDY,51.65,52.32,51.05,51.26,137400,0,0
2011-09-09,TDY,50.69,50.95,49.68,50.14,295100,0,0
2011-09-12,TDY,49.43,50.59,49.22,50.18,146100,0,0
2011-09-13,TDY,50.38,51.57,50.15,51.07,178100,0,0
2011-09-14,TDY,51.59,51.92,50.11,51.3,246800,0,0
2011-09-15,TDY,51.67,52.34,51.54,52.34,238700,0,0
2011-09-16,TDY,52.54,53.59,52.54,53.0,227100,0,0
2011-09-19,TDY,52.11,52.77,51.66,52.08,132900,0,0
2011-09-20,TDY,52.21,52.59,51.01,51.13,238600,0,0
2011-09-21,TDY,50.98,51.19,48.01,48.06,225600,0,0
2011-09-22,TDY,46.6,47.01,44.86,45.56,319600,0,0
2011-09-23,TDY,45.43,47.77,45.43,47.28,211500,0,0
2011-09-26,TDY,47.69,48.12,46.72,48.06,132300,0,0
2011-09-27,TDY,49.15,51.19,48.82,49.99,188800,0,0
2011-09-28,TDY,50.06,50.25,48.74,49.14,425900,0,0
2011-09-29,TDY,50.21,50.73,48.7,49.83,237600,0,0
2011-09-30,TDY,48.92,50.16,48.81,48.86,193600,0,0
2011-10-03,TDY,48.6,49.64,46.09,46.09,261300,0,0
2011-10-04,TDY,45.59,49.79,45.59,49.61,273000,0,0
2011-10-05,TDY,49.59,50.87,49.3,50.59,140600,0,0
2011-10-06,TDY,50.32,52.13,50.04,52.09,212000,0,0
2011-10-07,TDY,52.32,52.65,50.45,50.82,171300,0,0
2011-10-10,TDY,51.97,52.63,51.28,52.58,142300,0,0
2011-10-11,TDY,52.21,53.24,51.96,52.93,130300,0,0
2011-10-12,TDY,53.28,54.82,53.28,54.52,193500,0,0
2011-10-13,TDY,54.33,54.33,53.22,53.79,92900,0,0
2011-10-14,TDY,54.51,54.87,53.71,54.68,88100,0,0
2011-10-17,TDY,54.08,54.23,52.44,52.62,138200,0,0
2011-10-18,TDY,53.0,55.07,52.66,54.8,178100,0,0
2011-10-19,TDY,54.41,55.1,53.21,53.36,127500,0,0
