date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,TRMB,18.205,18.49,17.98,18.14,760000,0,0.0
2011-09-09,TRMB,17.94,18.155,17.34,17.53,1097800,0,0.0
2011-09-12,TRMB,17.35,17.785,17.25,17.78,870800,0,0.0
2011-09-13,TRMB,17.885,18.025,17.615,17.765,1329600,0,0.0
2011-09-14,TRMB,17.94,18.675,17.765,18.405,1564400,0,0.0
2011-09-15,TRMB,18.63,18.755,18.46,18.67,918000,0,0.0
2011-09-16,TRMB,18.75,18.75,17.915,18.195,1584600,0,0.0
2011-09-19,TRMB,17.825,18.135,17.555,17.97,731400,0,0.0
2011-09-20,TRMB,18.06,18.185,17.575,17.595,979600,0,0.0
2011-09-21,TRMB,17.61,17.795,17.35,17.375,1721200,0,0.0
2011-09-22,TRMB,16.875,17.145,16.43,16.88,2189000,0,0.0
2011-09-23,TRMB,16.825,17.075,16.6,17.05,711800,0,0.0
2011-09-26,TRMB,17.16,17.25,16.69,17.205,616400,0,0.0
2011-09-27,TRMB,17.575,18.595,17.48,18.165,1858000,0,0.0
2011-09-28,TRMB,18.3,18.375,17.225,17.25,1307800,0,0.0
2011-09-29,TRMB,17.575,17.78,16.84,17.315,576000,0,0.0
2011-09-30,TRMB,17.035,17.185,16.715,16.775,1695000,0,0.0
2011-10-03,TRMB,16.81,17.005,16.1,16.21,1935400,0,0.0
2011-10-04,TRMB,16.075,16.805,15.94,16.77,920800,0,0.0
2011-10-05,TRMB,16.835,17.61,16.545,17.59,736000,0,0.0
2011-10-06,TRMB,17.545,18.125,17.395,18.075,673800,0,0.0
2011-10-07,TRMB,18.15,18.28,17.9,17.98,1026600,0,0.0
2011-10-10,TRMB,18.345,18.815,18.19,18.745,539600,0,0.0
2011-10-11,TRMB,18.56,18.915,18.415,18.575,858600,0,0.0
2011-10-12,TRMB,18.73,19.22,18.7,18.99,538800,0,0.0
2011-10-13,TRMB,18.835,18.905,18.385,18.55,894000,0,0.0
2011-10-14,TRMB,18.85,19.085,18.59,19.025,526400,0,0.0
2011-10-17,TRMB,18.825,18.835,18.06,18.195,801600,0,0.0
2011-10-18,TRMB,18.265,18.89,17.95,18.74,667000,0,0.0
2011-10-19,TRMB,18.735,18.8,18.185,18.25,555000,0,0.0
2011-10-20,TRMB,18.26,18.42,17.715,18.23,593200,0,0.0
2011-10-21,TRMB,18.485,18.81,18.285,18.78,439000,0,0.0
2011-10-24,TRMB,18.915,20.02,18.655,20.01,1473000,0,0.0
2011-10-25,TRMB,19.815,20.095,19.385,19.485,1015800,0,0.0
2011-10-26,TRMB,19.66,19.68,18.87,19.29,1082200,0,0.0
2011-10-27,TRMB,19.905,21.075,19.895,20.605,1050000,0,0.0
2011-10-28,TRMB,20.49,20.755,20.17,20.64,652200,0,0.0
2011-10-31,TRMB,20.46,20.6,20.15,20.205,882600,0,0.0
2011-11-01,TRMB,19.515,20.195,18.9,19.29,973000,0,0.0
2011-11-02,TRMB,20.22,20.945,19.935,20.605,2375800,0,0.0
2011-11-03,TRMB,20.795,21.83,20.615,21.74,1753400,0,0.0
2011-11-04,TRMB,21.28,21.335,20.805,21.12,1381400,0,0.0
2011-11-07,TRMB,21.045,21.175,20.655,21.0,1195600,0,0.0
2011-11-08,TRMB,21.36,21.64,20.89,21.515,976200,0,0.0
2011-11-09,TRMB,20.875,21.12,20.615,20.695,985200,0,0.0
2011-11-10,TRMB,21.015,21.16,20.665,20.81,778600,0,0.0
2011-11-11,TRMB,21.13,21.645,21.01,21.21,724600,0,0.0
2011-11-14,TRMB,21.01,21.38,20.95,21.18,539000,0,0.0
2011-11-15,TRMB,21.115,21.69,20.85,21.515,598800,0,0.0
2011-11-16,TRMB,21.235,21.8,21.175,21.515,1322000,0,0.0
2011-11-17,TRMB,21.555,21.795,21.25,21.495,2498200,0,0.0
2011-11-18,TRMB,21.62,21.62,21.06,21.3,1174600,0,0.0
2011-11-21,TRMB,20.84,20.89,20.43,20.61,840000,0,0.0
2011-11-22,TRMB,20.51,20.53,19.95,20.22,1014400,0,0.0
2011-11-23,TRMB,20.115,20.34,19.445,19.495,893200,0,0.0
2011-11-25,TRMB,19.415,19.555,19.165,19.205,560800,0,0.0
2011-11-28,TRMB,19.84,20.12,19.715,20.0,766000,0,0.0
2011-11-29,TRMB,20.06,20.31,19.885,20.05,525000,0,0.0
2011-11-30,TRMB,20.825,21.55,20.805,21.54,1155600,0,0.0
2011-12-01,TRMB,21.5,21.7,21.29,21.365,1114800,0,0.0
2011-12-02,TRMB,21.68,22.085,21.45,21.73,1266400,0,0.0
2011-12-05,TRMB,22.115,22.5,21.84,22.08,993000,0,0.0
2011-12-06,TRMB,22.16,22.16,21.82,22.06,585200,0,0.0
2011-12-07,TRMB,21.89,22.495,21.65,22.43,1233000,0,0.0
2011-12-08,TRMB,22.23,22.36,21.665,21.72,1532000,0,0.0
2011-12-09,TRMB,21.775,22.44,21.695,22.345,671200,0,0.0
2011-12-12,TRMB,22.015,22.14,21.565,21.86,947000,0,0.0
2011-12-13,TRMB,22.095,22.22,21.525,21.775,1544600,0,0.0
2011-12-14,TRMB,21.635,22.075,21.105,21.355,679600,0,0.0
2011-12-15,TRMB,21.62,21.62,21.11,21.335,957600,0,0.0
2011-12-16,TRMB,21.525,21.62,21.115,21.36,3082200,0,0.0
2011-12-19,TRMB,21.52,21.88,21.36,21.375,1323400,0,0.0
2011-12-20,TRMB,21.79,22.5,21.71,22.465,910000,0,0.0
2011-12-21,TRMB,22.395,22.41,21.555,22.0,823000,0,0.0
2011-12-22,TRMB,22.015,22.52,21.99,22.36,855000,0,0.0
2011-12-23,TRMB,22.33,22.52,22.01,22.315,489000,0,0.0
2011-12-27,TRMB,22.24,22.5,22.03,22.3,373600,0,0.0
2011-12-28,TRMB,22.3,22.355,21.465,21.605,821600,0,0.0
2011-12-29,TRMB,21.635,22.0,21.605,21.86,465400,0,0.0
2011-12-30,TRMB,21.86,21.875,21.66,21.7,431800,0,0.0
2012-01-03,TRMB,21.415,21.5,20.645,20.815,3737200,0,0.0
2012-01-04,TRMB,20.71,20.775,20.005,20.105,2753400,0,0.0
2012-01-05,TRMB,20.06,20.495,19.905,20.385,1925000,0,0.0
2012-01-06,TRMB,20.395,20.465,19.955,20.075,1164800,0,0.0
2012-01-09,TRMB,20.23,20.91,20.05,20.87,1510600,0,0.0
2012-01-10,TRMB,21.04,21.53,21.035,21.505,1488200,0,0.0
2012-01-11,TRMB,21.38,21.62,21.375,21.535,952000,0,0.0
2012-01-12,TRMB,21.625,21.99,21.48,21.89,1159800,0,0.0
2012-01-13,TRMB,21.635,21.745,21.325,21.565,797200,0,0.0
2012-01-17,TRMB,21.61,21.995,21.325,21.42,804400,0,0.0
2012-01-18,TRMB,21.5,21.9,21.11,21.89,1188200,0,0.0
2012-01-19,TRMB,22.0,22.53,21.915,22.35,1176800,0,0.0
2012-01-20,TRMB,22.345,22.495,22.19,22.205,703800,0,0.0
2012-01-23,TRMB,22.23,22.3,21.835,22.13,537600,0,0.0
2012-01-24,TRMB,22.075,22.53,21.935,22.505,1249400,0,0.0
2012-01-25,TRMB,22.395,22.505,22.17,22.385,982600,0,0.0
2012-01-26,TRMB,22.49,22.99,22.225,22.775,1901400,0,0.0
2012-01-27,TRMB,22.75,23.34,22.645,23.235,2339600,0,0.0
2012-01-30,TRMB,22.93,23.37,22.89,23.295,1812800,0,0.0
2012-01-31,TRMB,23.475,23.74,23.05,23.415,2323600,0,0.0
2012-02-01,TRMB,23.51,23.85,23.395,23.795,1543800,0,0.0
2012-02-02,TRMB,23.83,24.115,23.765,24.07,2458200,0,0.0
2012-02-03,TRMB,26.0,26.25,25.11,25.415,3900200,0,0.0
2012-02-06,TRMB,25.115,25.65,25.115,25.53,1489600,0,0.0
2012-02-07,TRMB,25.1,25.825,25.1,25.535,1571600,0,0.0
2012-02-08,TRMB,25.27,25.585,25.26,25.535,1995400,0,0.0
2012-02-09,TRMB,25.62,25.8,25.47,25.79,1111200,0,0.0
2012-02-10,TRMB,25.49,25.7,25.27,25.675,1305200,0,0.0
2012-02-13,TRMB,25.8,25.95,25.535,25.82,687000,0,0.0
2012-02-14,TRMB,25.42,25.96,25.41,25.87,1106800,0,0.0
2012-02-15,TRMB,25.985,25.985,25.245,25.405,1087400,0,0.0
2012-02-16,TRMB,25.48,25.995,25.39,25.895,851600,0,0.0
2012-02-17,TRMB,25.945,26.0,25.6,25.835,884800,0,0.0
2012-02-21,TRMB,25.845,25.97,25.34,25.46,843000,0,0.0
2012-02-22,TRMB,25.47,25.86,25.36,25.565,1269000,0,0.0
2012-02-23,TRMB,25.53,25.82,25.425,25.75,821000,0,0.0
2012-02-24,TRMB,25.765,25.855,25.46,25.485,774400,0,0.0
2012-02-27,TRMB,25.215,25.62,24.95,25.535,830600,0,0.0
2012-02-28,TRMB,25.45,25.75,25.31,25.5,547200,0,0.0
2012-02-29,TRMB,25.5,25.5,25.13,25.145,723200,0,0.0
2012-03-01,TRMB,25.3,25.365,25.045,25.3,767200,0,0.0
2012-03-02,TRMB,25.195,25.3,24.63,24.735,792800,0,0.0
2012-03-05,TRMB,24.65,24.765,24.31,24.645,900000,0,0.0
2012-03-06,TRMB,24.305,24.59,23.94,24.125,762600,0,0.0
2012-03-07,TRMB,24.16,24.525,24.14,24.385,536800,0,0.0
2012-03-08,TRMB,24.61,25.22,24.505,25.15,1078400,0,0.0
2012-03-09,TRMB,25.16,25.55,25.07,25.43,963000,0,0.0
2012-03-12,TRMB,25.475,25.545,25.14,25.38,752800,0,0.0
2012-03-13,TRMB,25.52,26.515,25.52,26.515,2528000,0,0.0
2012-03-14,TRMB,26.415,26.49,26.075,26.335,1141200,0,0.0
2012-03-15,TRMB,26.345,27.3,26.165,27.265,2069200,0,0.0
2012-03-16,TRMB,27.255,27.375,27.01,27.195,1786400,0,0.0
2012-03-19,TRMB,27.06,27.5,26.95,27.245,1179400,0,0.0
2012-03-20,TRMB,26.965,27.16,26.72,27.065,1022600,0,0.0
2012-03-21,TRMB,27.065,27.425,26.87,27.22,842800,0,0.0
2012-03-22,TRMB,27.065,27.1,26.44,27.01,837600,0,0.0
2012-03-23,TRMB,26.945,27.125,26.61,27.02,783800,0,0.0
2012-03-26,TRMB,27.285,27.495,27.24,27.43,866400,0,0.0
2012-03-27,TRMB,27.4,27.785,27.315,27.715,1761800,0,0.0
2012-03-28,TRMB,27.775,27.775,26.895,27.165,1024400,0,0.0
2012-03-29,TRMB,26.92,27.305,26.85,27.225,852200,0,0.0
2012-03-30,TRMB,27.42,27.605,27.12,27.21,951000,0,0.0
2012-04-02,TRMB,27.075,27.41,26.63,27.215,1268000,0,0.0
2012-04-03,TRMB,27.155,27.47,26.99,27.395,1023600,0,0.0
2012-04-04,TRMB,27.07,27.165,26.665,27.04,1143000,0,0.0
2012-04-05,TRMB,26.88,27.15,26.615,26.625,1343800,0,0.0
2012-04-09,TRMB,26.22,26.445,25.985,26.35,1375400,0,0.0
2012-04-10,TRMB,26.365,26.555,25.535,25.535,1587000,0,0.0
2012-04-11,TRMB,25.87,26.54,25.83,26.44,1516400,0,0.0
2012-04-12,TRMB,26.515,26.95,26.4,26.76,670600,0,0.0
2012-04-13,TRMB,26.695,26.81,26.25,26.375,739800,0,0.0
2012-04-16,TRMB,26.61,26.855,26.37,26.585,834200,0,0.0
2012-04-17,TRMB,26.895,27.92,26.895,27.7,1738200,0,0.0
2012-04-18,TRMB,27.63,27.685,27.32,27.555,888200,0,0.0
2012-04-19,TRMB,27.475,27.975,27.095,27.41,943200,0,0.0
2012-04-20,TRMB,27.5,27.5,27.035,27.045,958200,0,0.0
2012-04-23,TRMB,26.625,26.625,25.915,26.15,1861200,0,0.0
2012-04-24,TRMB,26.205,26.605,26.015,26.2,889800,0,0.0
2012-04-25,TRMB,26.55,27.155,26.395,27.03,1690200,0,0.0
2012-04-26,TRMB,27.04,27.32,26.865,27.115,860400,0,0.0
2012-04-27,TRMB,27.115,27.81,26.905,27.67,997400,0,0.0
2012-04-30,TRMB,27.585,27.635,26.965,27.07,1442400,0,0.0
2012-05-01,TRMB,27.0,27.71,26.95,26.975,1827800,0,0.0
2012-05-02,TRMB,26.86,27.335,26.59,27.14,2702800,0,0.0
2012-05-03,TRMB,27.09,27.4,26.535,26.61,2139800,0,0.0
2012-05-04,TRMB,26.03,26.485,25.125,25.8,4139800,0,0.0
2012-05-07,TRMB,25.625,25.925,25.37,25.52,2306600,0,0.0
2012-05-08,TRMB,25.295,25.875,24.825,25.78,2893400,0,0.0
2012-05-09,TRMB,25.515,25.905,24.925,25.64,1976000,0,0.0
2012-05-10,TRMB,25.875,26.015,25.345,25.375,1750000,0,0.0
2012-05-11,TRMB,25.225,25.68,25.145,25.36,2052200,0,0.0
2012-05-14,TRMB,24.97,25.19,24.39,24.95,2651600,0,0.0
2012-05-15,TRMB,24.99,25.1,24.56,24.625,1967600,0,0.0
2012-05-16,TRMB,24.825,25.075,24.02,24.095,3834200,0,0.0
2012-05-17,TRMB,24.06,24.235,23.195,23.38,3804800,0,0.0
2012-05-18,TRMB,23.535,23.535,22.77,22.785,2809200,0,0.0
2012-05-21,TRMB,22.96,23.515,22.66,23.28,4136600,0,0.0
2012-05-22,TRMB,23.315,23.735,23.14,23.665,2589600,0,0.0
2012-05-23,TRMB,23.3,24.06,23.21,23.99,2324400,0,0.0
2012-05-24,TRMB,24.0,24.27,23.625,23.87,2365400,0,0.0
2012-05-25,TRMB,23.875,24.035,23.67,23.83,1681600,0,0.0
2012-05-29,TRMB,24.225,24.72,23.87,24.72,4403400,0,0.0
2012-05-30,TRMB,24.265,24.41,23.37,23.595,2734600,0,0.0
2012-05-31,TRMB,23.815,23.815,23.085,23.585,12436000,0,0.0
2012-06-01,TRMB,22.79,23.41,22.41,22.45,3137200,0,0.0
2012-06-04,TRMB,22.39,22.69,22.23,22.65,2129600,0,0.0
2012-06-05,TRMB,22.675,23.44,22.575,23.335,2074000,0,0.0
2012-06-06,TRMB,23.66,24.12,23.585,24.07,1775200,0,0.0
2012-06-07,TRMB,24.325,24.61,23.675,23.74,1844800,0,0.0
2012-06-08,TRMB,23.59,23.85,23.435,23.8,1277200,0,0.0
2012-06-11,TRMB,24.13,24.13,22.805,22.85,2909200,0,0.0
2012-06-12,TRMB,23.015,23.225,22.715,23.17,1850200,0,0.0
2012-06-13,TRMB,23.145,23.245,22.5,22.63,2000600,0,0.0
2012-06-14,TRMB,22.765,23.17,22.515,22.72,1409800,0,0.0
2012-06-15,TRMB,22.89,23.5,22.64,23.41,2325400,0,0.0
2012-06-18,TRMB,23.18,23.79,23.04,23.745,1100000,0,0.0
2012-06-19,TRMB,23.84,24.89,23.81,24.795,2537200,0,0.0
2012-06-20,TRMB,24.81,24.855,24.42,24.635,1251800,0,0.0
2012-06-21,TRMB,24.585,24.665,23.525,23.565,1030000,0,0.0
2012-06-22,TRMB,23.63,23.725,23.1,23.235,2355200,0,0.0
2012-06-25,TRMB,22.835,22.985,22.475,22.63,2234600,0,0.0
2012-06-26,TRMB,22.72,23.105,22.53,22.995,1463400,0,0.0
2012-06-27,TRMB,23.01,23.16,22.515,22.685,1235200,0,0.0
2012-06-28,TRMB,22.505,22.7,22.12,22.38,1753600,0,0.0
2012-06-29,TRMB,22.98,23.26,22.82,23.005,1754400,0,0.0
2012-07-02,TRMB,23.155,23.46,23.01,23.46,943600,0,0.0
2012-07-03,TRMB,23.48,23.75,23.405,23.64,395600,0,0.0
2012-07-05,TRMB,23.56,24.275,23.53,24.005,1394600,0,0.0
2012-07-06,TRMB,23.74,23.825,22.9,23.325,1488600,0,0.0
2012-07-09,TRMB,23.245,23.37,22.815,23.01,820600,0,0.0
2012-07-10,TRMB,23.165,23.305,22.285,22.435,1040200,0,0.0
2012-07-11,TRMB,22.455,22.535,21.945,22.175,1133000,0,0.0
2012-07-12,TRMB,21.9,22.025,21.41,21.805,1771600,0,0.0
2012-07-13,TRMB,21.915,22.155,21.8,22.095,1042200,0,0.0
2012-07-16,TRMB,22.0,22.07,21.485,21.5,1282800,0,0.0
2012-07-17,TRMB,21.47,21.765,20.87,20.97,3961200,0,0.0
2012-07-18,TRMB,20.955,21.68,20.7,21.37,2027600,0,0.0
2012-07-19,TRMB,21.39,21.845,21.39,21.705,1558800,0,0.0
2012-07-20,TRMB,21.55,21.575,21.1,21.145,1325600,0,0.0
