date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,TYL,24.23,24.82,24.18,24.33,270800,0,0
2011-09-09,TYL,24.18,24.73,23.96,24.21,334900,0,0
2011-09-12,TYL,23.9,24.59,23.7,24.58,254400,0,0
2011-09-13,TYL,24.76,24.93,24.52,24.76,230400,0,0
2011-09-14,TYL,24.99,25.39,24.56,25.1,176900,0,0
2011-09-15,TYL,25.27,25.45,24.9,25.39,123700,0,0
2011-09-16,TYL,25.55,25.55,25.18,25.5,253700,0,0
2011-09-19,TYL,25.01,25.52,24.85,25.23,104000,0,0
2011-09-20,TYL,25.37,25.61,25.07,25.09,187900,0,0
2011-09-21,TYL,25.14,25.52,24.45,24.5,130700,0,0
2011-09-22,TYL,23.87,24.3,23.56,23.86,317800,0,0
2011-09-23,TYL,23.84,24.21,23.5,24.15,294300,0,0
2011-09-26,TYL,24.35,24.8,24.03,24.77,175300,0,0
2011-09-27,TYL,25.25,25.78,25.25,25.58,207400,0,0
2011-09-28,TYL,25.55,25.78,25.14,25.16,162800,0,0
2011-09-29,TYL,25.6,25.82,25.39,25.81,252600,0,0
2011-09-30,TYL,25.45,25.93,25.23,25.28,193800,0,0
2011-10-03,TYL,25.16,25.62,24.31,24.31,283900,0,0
2011-10-04,TYL,24.07,26.36,24.0,26.24,335800,0,0
2011-10-05,TYL,26.27,27.33,26.06,26.75,318600,0,0
2011-10-06,TYL,26.84,26.99,26.44,26.61,269000,0,0
2011-10-07,TYL,26.7,26.7,25.92,26.08,246100,0,0
2011-10-10,TYL,26.5,26.76,26.23,26.75,268200,0,0
2011-10-11,TYL,26.63,27.37,26.52,27.27,170600,0,0
2011-10-12,TYL,27.49,27.91,27.34,27.7,453700,0,0
2011-10-13,TYL,27.72,27.88,27.6,27.77,411500,0,0
2011-10-14,TYL,28.1,28.34,27.55,28.33,256200,0,0
2011-10-17,TYL,28.1,28.3,27.8,27.93,183300,0,0
2011-10-18,TYL,28.02,28.95,27.6,28.71,227500,0,0
2011-10-19,TYL,28.58,28.99,27.96,28.09,140200,0,0
2011-10-20,TYL,28.1,28.15,27.37,27.96,136400,0,0
2011-10-21,TYL,28.32,28.59,28.07,28.59,140500,0,0
2011-10-24,TYL,28.64,29.42,28.5,29.12,209500,0,0
2011-10-25,TYL,28.82,29.12,28.31,28.35,155200,0,0
2011-10-26,TYL,28.73,28.73,27.79,28.48,240300,0,0
2011-10-27,TYL,29.51,32.8,29.33,32.06,808200,0,0
2011-10-28,TYL,32.05,32.94,32.05,32.21,485300,0,0
2011-10-31,TYL,31.31,32.0,30.99,31.57,328900,0,0
2011-11-01,TYL,30.37,31.44,30.37,31.01,340200,0,0
2011-11-02,TYL,31.28,31.86,31.1,31.84,195200,0,0
2011-11-03,TYL,32.0,32.93,31.37,32.65,397400,0,0
2011-11-04,TYL,32.39,32.53,31.71,31.85,218600,0,0
2011-11-07,TYL,31.83,31.99,30.93,31.53,232000,0,0
2011-11-08,TYL,31.82,32.06,31.29,32.0,219000,0,0
2011-11-09,TYL,31.25,31.87,30.75,30.83,415300,0,0
2011-11-10,TYL,31.23,31.96,30.85,31.7,154900,0,0
2011-11-11,TYL,31.93,32.66,31.93,32.51,174400,0,0
2011-11-14,TYL,32.51,32.76,32.28,32.38,245400,0,0
2011-11-15,TYL,32.12,32.58,31.77,32.44,283200,0,0
2011-11-16,TYL,32.14,32.41,31.42,31.56,174600,0,0
2011-11-17,TYL,31.52,31.99,30.99,31.24,143400,0,0
2011-11-18,TYL,31.25,31.51,30.87,31.19,125800,0,0
2011-11-21,TYL,30.73,30.97,30.38,30.4,125900,0,0
2011-11-22,TYL,30.5,30.74,29.92,30.26,131100,0,0
2011-11-23,TYL,29.92,30.2,29.11,29.17,135100,0,0
2011-11-25,TYL,29.1,29.37,28.74,28.75,99300,0,0
