date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,UAL,18.39,18.61,17.8,17.94,5227200,0,0
2011-09-09,UAL,17.88,18.88,17.52,17.73,7791200,0,0
2011-09-12,UAL,17.77,18.07,17.39,17.96,7661500,0,0
2011-09-13,UAL,18.13,19.48,17.59,19.28,11773300,0,0
2011-09-14,UAL,19.5,20.39,19.34,20.13,11287800,0,0
2011-09-15,UAL,20.22,20.47,19.96,20.33,7333200,0,0
2011-09-16,UAL,20.47,20.66,20.27,20.46,4960800,0,0
2011-09-19,UAL,20.2,20.97,20.05,20.76,5547300,0,0
2011-09-20,UAL,20.81,21.06,20.46,20.77,5536200,0,0
2011-09-21,UAL,20.67,21.49,19.8,19.83,7973600,0,0
2011-09-22,UAL,19.57,19.91,18.92,19.24,9345600,0,0
2011-09-23,UAL,19.02,20.74,19.01,20.46,6641600,0,0
2011-09-26,UAL,20.61,21.5,20.43,21.43,5469000,0,0
2011-09-27,UAL,21.79,21.89,20.29,20.43,4909400,0,0
2011-09-28,UAL,20.65,21.15,20.32,20.76,4422900,0,0
2011-09-29,UAL,21.15,21.15,20.02,20.52,3205800,0,0
2011-09-30,UAL,20.34,20.34,19.26,19.38,8082100,0,0
2011-10-03,UAL,19.16,19.28,17.09,17.11,19182100,0,0
2011-10-04,UAL,17.37,17.97,16.83,17.94,9700000,0,0
2011-10-05,UAL,17.97,19.12,17.75,19.01,6360900,0,0
2011-10-06,UAL,18.75,19.59,18.62,19.52,3817000,0,0
2011-10-07,UAL,19.8,20.05,18.79,18.88,5637100,0,0
2011-10-10,UAL,19.22,19.48,19.0,19.32,3356200,0,0
2011-10-11,UAL,19.15,19.99,19.15,19.77,3323000,0,0
2011-10-12,UAL,19.87,20.56,19.82,20.2,5697600,0,0
2011-10-13,UAL,20.3,21.44,19.68,20.93,5847000,0,0
2011-10-14,UAL,21.01,21.2,20.3,20.78,3551900,0,0
2011-10-17,UAL,20.57,21.06,20.0,20.28,4514200,0,0
2011-10-18,UAL,20.22,20.86,20.1,20.52,3252200,0,0
2011-10-19,UAL,20.29,20.51,19.67,20.08,3395900,0,0
2011-10-20,UAL,20.01,20.72,19.84,20.72,4094700,0,0
2011-10-21,UAL,20.76,20.87,20.05,20.43,3814200,0,0
2011-10-24,UAL,20.5,21.25,20.31,21.08,3740100,0,0
2011-10-25,UAL,20.77,20.77,19.84,20.01,5795100,0,0
2011-10-26,UAL,20.42,20.6,19.75,20.34,3682600,0,0
2011-10-27,UAL,20.55,20.83,19.47,20.11,7296300,0,0
2011-10-28,UAL,19.97,20.01,19.3,19.4,4639400,0,0
2011-10-31,UAL,19.27,19.81,19.1,19.32,3825800,0,0
