date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,UHS,38.527626,39.341053,36.977337,37.1783,1968000,0.0,0
2011-09-09,UHS,36.900776,37.599365,35.953377,36.211758,1334400,0.0,0
2011-09-12,UHS,35.57058,35.89595,34.776295,35.761974,1445800,0.0,0
2011-09-13,UHS,35.991657,36.125633,34.594482,35.54188,2039100,0.0,0
2011-09-14,UHS,35.293053,35.95336,34.316944,35.417458,2242700,0.0,0
2011-09-15,UHS,35.86725,36.355305,35.47489,36.116062,1516300,0.0,0
2011-09-16,UHS,36.527557,37.168728,35.80983,37.15916,1670800,0.0,0
2011-09-19,UHS,36.29788,36.29788,35.37919,35.63757,923700,0.0,0
2011-09-20,UHS,35.561024,35.96295,35.05383,35.130386,1403800,0.0,0
2011-09-21,UHS,35.063393,35.4079,33.89589,33.95331,1038900,0.0,0
2011-09-22,UHS,32.785805,33.293,32.04894,32.5657,1763000,0.0,0
2011-09-23,UHS,32.489136,33.867172,32.144627,33.857605,1077900,0.0,0
2011-09-26,UHS,34.058575,34.259537,33.025043,34.115993,699300,0.0,0
2011-09-27,UHS,34.881577,35.33135,34.154274,34.42223,817800,0.0,0
2011-09-28,UHS,34.364803,34.66147,32.804943,32.814514,780200,0.0,0
2011-09-29,UHS,33.560947,33.618366,32.46043,33.369553,940400,0.0,0
2011-09-30,UHS,32.7571,34.04901,32.393448,32.536995,1849300,0.0,0
2011-10-03,UHS,32.278606,32.51785,30.517782,30.536922,1401100,0.0,0
2011-10-04,UHS,30.268967,31.627863,30.001015,31.187658,1500000,0.0,0
2011-10-05,UHS,31.254652,31.3982,30.154137,30.699612,2018900,0.0,0
2011-10-06,UHS,30.68047,32.28818,30.68047,31.436474,2257600,0.0,0
2011-10-07,UHS,31.761848,32.651833,31.292934,32.048943,1850400,0.0,0
2011-10-10,UHS,32.75709,33.42697,32.450863,33.4174,1057300,0.0,0
2011-10-11,UHS,32.977196,33.359985,32.795376,33.101604,641800,0.0,0
2011-10-12,UHS,33.44612,34.986847,33.340855,34.766743,1655700,0.0,0
2011-10-13,UHS,34.412655,35.72371,33.91503,35.54188,2436900,0.0,0
2011-10-14,UHS,36.144768,37.0826,36.07778,37.05389,1485700,0.0,0
2011-10-17,UHS,36.72852,37.025177,35.7237,35.828964,1209600,0.0,0
2011-10-18,UHS,35.8481,36.47013,35.56101,36.221317,1430700,0.0,0
2011-10-19,UHS,36.08734,36.690235,35.50359,35.63757,869300,0.0,0
2011-10-20,UHS,35.828957,35.886375,34.766724,35.599285,698300,0.0,0
2011-10-21,UHS,35.991642,36.65195,35.943794,36.45099,1190100,0.0,0
2011-10-24,UHS,36.680683,37.30271,36.460575,36.98691,971500,0.0,0
2011-10-25,UHS,36.728516,37.073025,36.13519,36.17347,837800,0.0,0
2011-10-26,UHS,36.910347,37.034756,35.49403,36.47971,1143900,0.0,0
2011-10-27,UHS,36.967766,37.50367,35.20694,37.09217,2223900,0.0,0
2011-10-28,UHS,36.575394,40.240585,35.436596,39.274048,2367200,0.0,0
2011-10-31,UHS,38.93912,39.618576,38.030003,38.250107,1753000,0.0,0
2011-11-01,UHS,36.99648,37.982155,36.89121,37.54195,1881600,0.0,0
2011-11-02,UHS,38.049137,39.37933,37.79076,39.149654,1853800,0.0,0
2011-11-03,UHS,39.61857,39.93437,38.64246,39.790825,1261300,0.0,0
2011-11-04,UHS,39.321915,39.599438,38.728596,39.561157,663800,0.0,0
2011-11-07,UHS,39.38891,40.47985,39.00612,40.365017,958100,0.0,0
2011-11-08,UHS,40.604248,41.245415,40.001354,41.054024,1030600,0.0,0
2011-11-09,UHS,40.05879,40.61383,39.34106,39.68557,808800,0.0,0
2011-11-10,UHS,40.21189,40.326725,39.22621,39.97265,513100,0.0,0
2011-11-11,UHS,40.518124,41.082737,40.259743,40.891342,485300,0.0,0
2011-11-14,UHS,40.71908,41.0923,40.25974,40.652096,356300,0.0,0
2011-11-15,UHS,40.61382,40.72866,39.609,40.35544,770000,0.0,0
2011-11-16,UHS,39.934372,39.99179,38.62332,38.661602,909100,0.0,0
2011-11-17,UHS,38.73815,38.786,37.48452,37.628067,911800,0.0,0
2011-11-18,UHS,37.972572,38.642452,37.829025,38.297943,1153200,0.0,0
2011-11-21,UHS,38.03955,38.03955,36.948605,37.12086,1039300,0.0,0
2011-11-22,UHS,37.03476,37.32185,36.498856,36.69025,852600,0.0,0
2011-11-23,UHS,36.384007,36.479702,35.637573,35.64714,875400,0.0,0
2011-11-25,UHS,35.66628,36.19261,35.474884,35.61843,473100,0.0,0
2011-11-28,UHS,36.709385,36.96777,36.43186,36.939056,881500,0.0,0
