date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,ULTA,55.963795,59.53385,55.409992,59.098717,1895300,0.0,0
2011-09-09,ULTA,61.442497,67.93979,61.3436,67.69256,4659200,0.0,0
2011-09-12,ULTA,67.30688,70.471466,67.19809,70.14512,2083100,0.0,0
2011-09-13,ULTA,69.48254,70.61981,67.30688,69.18585,2050700,0.0,0
2011-09-14,ULTA,69.17596,69.848434,67.14864,69.17596,1391600,0.0,0
2011-09-15,ULTA,69.71988,69.71988,68.23647,69.423195,851700,0.0,0
2011-09-16,ULTA,69.077065,69.71987,68.80016,69.68031,1047200,0.0,0
2011-09-19,ULTA,69.00784,73.18115,68.365036,72.053764,1452400,0.0,0
2011-09-20,ULTA,72.80536,73.09215,69.0573,69.40342,1016100,0.0,0
2011-09-21,ULTA,69.61109,71.05493,67.22776,67.30687,690400,0.0,0
2011-09-22,ULTA,65.556465,66.861855,63.865387,66.13993,777500,0.0,0
2011-09-23,ULTA,65.82347,67.24754,64.90376,66.21905,589700,0.0,0
2011-09-26,ULTA,66.51573,68.473816,64.893875,68.35515,408900,0.0,0
2011-09-27,ULTA,69.49242,71.07472,68.92873,69.245186,771200,0.0,0
2011-09-28,ULTA,69.40342,70.402245,66.49595,66.59484,455900,0.0,0
2011-09-29,ULTA,67.910126,68.22658,62.609436,65.38834,932400,0.0,0
2011-09-30,ULTA,64.55763,64.85432,61.521606,61.541386,1139300,0.0,0
2011-10-03,ULTA,60.57223,63.34125,59.612965,60.641457,821100,0.0,0
2011-10-04,ULTA,59.603077,62.322647,58.060337,62.233643,1484300,0.0,0
2011-10-05,ULTA,62.194084,66.95086,61.699615,65.94215,2290800,0.0,0
2011-10-06,ULTA,65.635574,67.247536,65.081764,65.87292,985800,0.0,0
2011-10-07,ULTA,66.3476,67.14864,63.044563,64.85432,885800,0.0,0
2011-10-10,ULTA,66.01137,68.92873,65.872925,68.473816,873900,0.0,0
2011-10-11,ULTA,67.85079,68.61227,66.55529,67.593666,732100,0.0,0
2011-10-12,ULTA,68.23647,69.89788,66.55529,67.02008,1001400,0.0,0
2011-10-13,ULTA,66.98053,68.77049,66.32783,67.20798,628700,0.0,0
2011-10-14,ULTA,69.18585,69.18585,66.79263,68.13758,435300,0.0,0
2011-10-17,ULTA,68.12769,68.83973,65.8927,66.7333,344100,0.0,0
2011-10-18,ULTA,66.65418,68.543045,65.556465,67.98924,763300,0.0,0
2011-10-19,ULTA,67.97935,72.08343,67.39588,67.93979,1308700,0.0,0
2011-10-20,ULTA,68.414474,69.24518,65.961914,67.12886,661400,0.0,0
2011-10-21,ULTA,67.138756,69.6012,66.85196,67.247536,889200,0.0,0
2011-10-24,ULTA,67.90024,70.94615,67.25743,70.14512,1110300,0.0,0
2011-10-25,ULTA,70.21434,70.412125,67.82112,67.8409,557400,0.0,0
2011-10-26,ULTA,67.9398,69.41331,65.64546,66.85197,867200,0.0,0
2011-10-27,ULTA,69.185844,69.29463,64.91365,67.66289,1034700,0.0,0
2011-10-28,ULTA,67.41566,68.23647,65.72458,66.78274,473100,0.0,0
2011-10-31,ULTA,66.01137,68.02879,63.32147,66.545395,733200,0.0,0
2011-11-01,ULTA,64.93343,70.90659,64.28074,69.55176,1940100,0.0,0
2011-11-02,ULTA,71.25273,71.68785,69.798996,70.24401,1080100,0.0,0
2011-11-03,ULTA,71.31206,71.32195,69.2353,70.471466,928500,0.0,0
2011-11-04,ULTA,70.12534,74.17008,69.3243,73.41849,1552800,0.0,0
2011-11-07,ULTA,74.13052,74.85245,72.31088,73.181145,1234100,0.0,0
2011-11-08,ULTA,74.07118,74.6151,70.73847,72.58778,699800,0.0,0
2011-11-09,ULTA,70.89671,72.192215,69.72977,70.3429,723500,0.0,0
2011-11-10,ULTA,71.3615,72.64712,70.619804,71.351616,890100,0.0,0
2011-11-11,ULTA,72.093315,72.67679,70.85715,71.5494,759800,0.0,0
2011-11-14,ULTA,71.96475,72.58778,70.42202,70.98571,699400,0.0,0
2011-11-15,ULTA,70.758255,72.17243,69.86822,71.707634,438300,0.0,0
2011-11-16,ULTA,71.737305,73.55694,70.224236,70.75826,926200,0.0,0
2011-11-17,ULTA,70.75826,70.91648,67.02997,68.25625,1053800,0.0,0
2011-11-18,ULTA,70.18468,70.19457,66.149826,66.79263,1213500,0.0,0
2011-11-21,ULTA,65.45757,66.13993,63.618153,65.526794,849300,0.0,0
2011-11-22,ULTA,65.56636,66.65418,64.21152,65.75425,765000,0.0,0
2011-11-23,ULTA,65.18067,66.120155,64.191734,65.240005,588000,0.0,0
2011-11-25,ULTA,64.814766,65.24989,63.69727,63.885162,263100,0.0,0
2011-11-28,ULTA,66.45639,68.61227,66.33772,67.69256,864600,0.0,0
2011-11-29,ULTA,66.94097,69.15618,66.94097,67.61345,833300,0.0,0
2011-11-30,ULTA,70.31323,70.45168,67.742004,68.8595,2476400,0.0,0
2011-12-01,ULTA,68.97818,69.709984,67.24754,67.73212,1990400,0.0,0
2011-12-02,ULTA,69.7001,73.96241,69.3243,73.36905,3010300,0.0,0
2011-12-05,ULTA,74.45687,74.86233,71.69775,73.08225,1325300,0.0,0
2011-12-06,ULTA,72.77568,73.27015,71.282394,72.122986,742000,0.0,0
2011-12-07,ULTA,71.69775,73.36905,70.471466,72.32077,898700,0.0,0
2011-12-08,ULTA,71.87575,72.44933,70.70881,71.33183,633200,0.0,0
2011-12-09,ULTA,72.05376,73.51738,70.90659,73.24048,769400,0.0,0
2011-12-12,ULTA,72.51856,72.72624,70.95605,71.95487,714200,0.0,0
2011-12-13,ULTA,72.14276,72.93391,68.938614,69.83855,775700,0.0,0
2011-12-14,ULTA,69.20563,69.36385,66.15971,66.46628,1321900,0.0,0
2011-12-15,ULTA,67.05964,67.67278,65.43779,65.981705,811400,0.0,0
2011-12-16,ULTA,66.05093,67.44532,65.37845,66.26849,877100,0.0,0
2011-12-19,ULTA,66.88163,67.247536,63.98405,64.191734,966600,0.0,0
2011-12-20,ULTA,64.93343,66.723404,64.39941,66.228935,653500,0.0,0
2011-12-21,ULTA,65.97182,66.891525,64.3203,65.14111,412200,0.0,0
2011-12-22,ULTA,65.15099,65.65536,63.301693,63.450035,918700,0.0,0
2011-12-23,ULTA,63.262135,65.6059,62.24353,65.526794,642300,0.0,0
2011-12-27,ULTA,64.607086,65.58613,63.64782,64.785095,757000,0.0,0
2011-12-28,ULTA,64.56753,64.76531,63.212685,63.380802,407100,0.0,0
2011-12-29,ULTA,63.40058,64.340065,63.341248,63.954384,353400,0.0,0
2011-12-30,ULTA,63.469814,64.547745,63.35114,64.20162,756100,0.0,0
2012-01-03,ULTA,65.17078,66.60473,62.738,63.390694,1224700,0.0,0
2012-01-04,ULTA,63.143463,66.72341,62.88634,65.63558,1686200,0.0,0
2012-01-05,ULTA,69.215515,70.63959,68.25625,68.790276,2247000,0.0,0
2012-01-06,ULTA,68.968285,70.13522,68.48371,68.75072,616200,0.0,0
2012-01-09,ULTA,68.790276,69.86822,68.34525,69.15618,631100,0.0,0
2012-01-10,ULTA,69.917656,69.9671,67.76178,69.68031,830100,0.0,0
2012-01-11,ULTA,69.19574,72.96358,69.19574,70.98571,1057200,0.0,0
2012-01-12,ULTA,71.16371,71.20327,69.68031,71.13405,846500,0.0,0
2012-01-13,ULTA,70.69892,72.8548,69.96711,72.32077,1051200,0.0,0
2012-01-17,ULTA,73.636055,74.120636,72.80536,73.30971,785000,0.0,0
2012-01-18,ULTA,73.54706,74.9909,73.11192,74.91178,816400,0.0,0
2012-01-19,ULTA,75.15901,76.968765,74.96123,76.53363,891000,0.0,0
2012-01-20,ULTA,76.39518,76.899536,75.06012,75.41614,601800,0.0,0
2012-01-23,ULTA,75.989716,76.88965,74.93156,76.04906,694100,0.0,0
2012-01-24,ULTA,75.604034,76.592964,75.46558,76.52374,454400,0.0,0
2012-01-25,ULTA,76.592964,78.26427,76.21717,77.92803,627800,0.0,0
2012-01-26,ULTA,78.6104,78.758736,75.12935,75.841385,593400,0.0,0
2012-01-27,ULTA,75.70293,76.82042,74.170074,76.45451,442200,0.0,0
2012-01-30,ULTA,76.138054,76.7413,75.22823,76.414955,599500,0.0,0
2012-01-31,ULTA,76.652306,76.998436,75.0799,75.30736,570600,0.0,0
2012-02-01,ULTA,75.69304,76.20728,74.793106,75.96994,642600,0.0,0
2012-02-02,ULTA,77.107216,77.44345,75.34692,75.76227,423900,0.0,0
2012-02-03,ULTA,76.29629,77.63135,75.69304,77.24567,557400,0.0,0
2012-02-06,ULTA,77.0281,78.00714,76.87975,77.80936,492300,0.0,0
2012-02-07,ULTA,77.66101,79.20375,77.60168,78.76862,684900,0.0,0
2012-02-08,ULTA,79.14442,80.35092,78.21482,79.718,919000,0.0,0
2012-02-09,ULTA,79.86634,80.59815,78.92685,80.519035,1191300,0.0,0
2012-02-10,ULTA,79.72789,80.28169,78.867516,79.94545,867900,0.0,0
2012-02-13,ULTA,80.805824,81.44863,79.994896,81.14207,618100,0.0,0
2012-02-14,ULTA,81.09262,82.08156,80.756386,81.88377,549000,0.0,0
2012-02-15,ULTA,82.08156,83.54518,81.73543,82.60569,955600,0.0,0
2012-02-16,ULTA,82.91226,83.5254,81.99255,83.23861,702800,0.0,0
2012-02-17,ULTA,83.179276,83.5254,81.596985,81.64642,341100,0.0,0
2012-02-21,ULTA,81.854095,82.63535,80.380585,81.151955,396200,0.0,0
2012-02-22,ULTA,80.14324,81.98266,79.609215,81.65631,815400,0.0,0
2012-02-23,ULTA,81.43874,83.09026,81.43874,82.47713,502900,0.0,0
2012-02-24,ULTA,82.35845,82.516685,80.70694,81.03329,408800,0.0,0
2012-02-27,ULTA,80.78606,83.179276,80.60805,82.88259,460100,0.0,0
2012-02-28,ULTA,82.833145,83.22872,81.41897,82.95181,561200,0.0,0
2012-02-29,ULTA,82.971596,82.971596,81.62664,82.31889,370300,0.0,0
2012-03-01,ULTA,82.269455,84.95936,82.091446,84.36599,972700,0.0,0
2012-03-02,ULTA,84.47477,84.67256,83.12982,84.20776,463500,0.0,0
2012-03-05,ULTA,85.16703,86.957,84.88024,86.17574,1005500,0.0,0
2012-03-06,ULTA,85.44393,85.9384,83.851746,84.90002,761300,0.0,0
2012-03-07,ULTA,85.04836,87.69871,85.04836,86.94711,909600,0.0,0
2012-03-08,ULTA,87.99539,89.360115,86.591095,88.28217,1556100,0.0,0
2012-03-09,ULTA,89.43923,90.981964,86.65044,88.29206,1585600,0.0,0
2012-03-12,ULTA,88.460175,88.89531,87.21413,87.48113,741000,0.0,0
2012-03-13,ULTA,87.75803,89.0041,87.30313,89.0041,790600,0.0,0
2012-03-14,ULTA,89.20188,89.281,88.07449,88.47007,543800,0.0,0
2012-03-15,ULTA,88.93487,89.894135,87.62948,89.37,767800,0.0,0
2012-03-16,ULTA,89.65,90.0,88.37,88.58,753000,1.0,0
2012-03-19,ULTA,88.41,89.63,88.01,89.6,820100,0.0,0
2012-03-20,ULTA,89.26,91.01,89.05,90.61,684500,0.0,0
2012-03-21,ULTA,90.76,92.33,90.39,92.07,713100,0.0,0
2012-03-22,ULTA,91.55,93.88,90.81,93.59,843900,0.0,0
2012-03-23,ULTA,93.49,93.78,92.0,93.55,738800,0.0,0
2012-03-26,ULTA,94.28,94.73,93.41,94.51,538100,0.0,0
2012-03-27,ULTA,94.55,94.73,93.69,93.97,338600,0.0,0
2012-03-28,ULTA,93.58,93.93,92.13,93.59,901400,0.0,0
2012-03-29,ULTA,92.61,93.17,91.61,92.83,572700,0.0,0
2012-03-30,ULTA,93.13,93.58,92.36,92.89,449300,0.0,0
2012-04-02,ULTA,92.58,94.42,92.26,93.92,440400,0.0,0
2012-04-03,ULTA,93.93,95.62,93.75,95.01,808100,0.0,0
2012-04-04,ULTA,94.18,95.24,93.36,94.93,551800,0.0,0
2012-04-05,ULTA,94.33,95.44,94.23,95.04,339300,0.0,0
2012-04-09,ULTA,93.59,94.48,92.51,94.37,374500,0.0,0
2012-04-10,ULTA,94.0,94.37,91.61,91.86,1223600,0.0,0
2012-04-11,ULTA,92.56,94.17,92.56,93.7,338100,0.0,0
2012-04-12,ULTA,93.45,94.8,93.11,94.73,322000,0.0,0
2012-04-13,ULTA,94.1,95.0,93.42,94.93,321500,0.0,0
2012-04-16,ULTA,95.44,95.85,92.25,93.15,559200,0.0,0
2012-04-17,ULTA,93.26,94.85,93.01,94.46,481400,0.0,0
2012-04-18,ULTA,93.81,96.33,93.81,95.56,521500,0.0,0
2012-04-19,ULTA,95.73,96.65,93.54,94.49,351100,0.0,0
2012-04-20,ULTA,94.75,96.04,94.4,95.35,376300,0.0,0
2012-04-23,ULTA,94.36,94.56,93.21,93.53,396500,0.0,0
2012-04-24,ULTA,93.71,93.71,85.78,87.15,2535600,0.0,0
2012-04-25,ULTA,87.67,89.81,87.47,89.13,1092600,0.0,0
2012-04-26,ULTA,89.0,90.53,88.12,89.53,591300,0.0,0
2012-04-27,ULTA,90.02,91.54,88.9,89.62,742500,0.0,0
2012-04-30,ULTA,89.19,89.91,87.5,88.18,436200,0.0,0
2012-05-01,ULTA,87.95,90.65,87.71,89.08,418400,0.0,0
2012-05-02,ULTA,88.72,91.49,88.5,91.33,572200,0.0,0
2012-05-03,ULTA,91.35,92.14,90.11,90.85,432000,0.0,0
2012-05-04,ULTA,90.23,90.53,87.49,87.49,689000,0.0,0
2012-05-07,ULTA,86.95,87.55,85.81,86.06,802300,0.0,0
2012-05-08,ULTA,85.28,86.09,78.87,85.0,2578500,0.0,0
2012-05-09,ULTA,83.34,84.9,82.87,84.27,1216400,0.0,0
2012-05-10,ULTA,85.66,86.87,84.8,86.06,4365200,0.0,0
2012-05-11,ULTA,85.37,88.55,85.13,87.96,1138000,0.0,0
2012-05-14,ULTA,87.23,88.68,86.33,87.34,881100,0.0,0
2012-05-15,ULTA,87.36,89.91,86.7,87.51,932300,0.0,0
2012-05-16,ULTA,87.9,90.85,87.63,90.31,1273800,0.0,0
2012-05-17,ULTA,90.53,90.72,85.32,85.87,1276600,0.0,0
2012-05-18,ULTA,86.17,87.12,84.28,85.32,1100000,0.0,0
2012-05-21,ULTA,85.14,87.95,83.52,87.84,1155200,0.0,0
2012-05-22,ULTA,87.93,90.72,87.55,90.5,899100,0.0,0
2012-05-23,ULTA,90.12,91.68,89.01,91.2,1365500,0.0,0
2012-05-24,ULTA,91.93,92.09,90.03,90.93,887600,0.0,0
2012-05-25,ULTA,91.33,91.88,89.92,90.95,591000,0.0,0
2012-05-29,ULTA,91.72,91.95,89.45,91.24,1644900,0.0,0
2012-05-30,ULTA,91.15,91.15,88.43,89.6,892300,0.0,0
2012-05-31,ULTA,90.13,90.13,86.89,89.37,3247700,0.0,0
2012-06-01,ULTA,88.5,88.56,85.63,86.55,1026400,0.0,0
2012-06-04,ULTA,86.44,86.65,84.2,86.29,798000,0.0,0
2012-06-05,ULTA,86.48,87.49,85.01,87.38,1234300,0.0,0
2012-06-06,ULTA,91.6,97.89,90.84,94.74,3538100,0.0,0
2012-06-07,ULTA,96.07,97.0,92.88,93.33,1246600,0.0,0
2012-06-08,ULTA,92.97,94.5,92.23,94.0,914100,0.0,0
2012-06-11,ULTA,95.0,95.08,91.99,92.25,1136000,0.0,0
2012-06-12,ULTA,92.44,94.54,91.62,94.26,826000,0.0,0
2012-06-13,ULTA,93.82,94.53,91.31,91.65,1087700,0.0,0
2012-06-14,ULTA,92.14,93.74,91.64,92.98,1027500,0.0,0
2012-06-15,ULTA,93.07,96.0,92.66,95.84,1279000,0.0,0
2012-06-18,ULTA,95.75,97.88,94.87,97.01,1408300,0.0,0
2012-06-19,ULTA,97.24,97.7,96.15,96.76,1003600,0.0,0
2012-06-20,ULTA,95.87,98.42,95.28,97.7,1009700,0.0,0
