date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,UNP,35.936264,36.19039,35.53693,35.573235,5444400,0.0,0.0
2011-09-09,UNP,35.08112,35.327175,34.10093,34.32278,8902000,0.0,0.0
2011-09-12,UNP,33.85891,34.270344,33.136875,34.000088,9590000,0.0,0.0
2011-09-13,UNP,34.173534,35.395744,34.060593,35.282803,7973600,0.0,0.0
2011-09-14,UNP,35.407845,36.31543,34.395386,35.80315,6378800,0.0,0.0
2011-09-15,UNP,36.460648,36.84385,36.109715,36.803513,6727200,0.0,0.0
2011-09-16,UNP,37.017292,37.214947,36.64619,36.964855,5869400,0.0,0.0
2011-09-19,UNP,36.456604,36.456604,35.532887,36.154076,5596200,0.0,0.0
2011-09-20,UNP,36.303333,36.52922,35.621635,35.64987,3778200,0.0,0.0
2011-09-21,UNP,35.528854,35.528854,33.48377,33.50797,12300200,0.0,0.0
2011-09-22,UNP,32.62863,33.633022,32.100216,33.253857,10823400,0.0,0.0
2011-09-23,UNP,33.177204,33.76612,32.999718,33.5241,9221000,0.0,0.0
2011-09-26,UNP,33.834705,33.887146,33.060234,33.77017,7218800,0.0,0.0
2011-09-27,UNP,34.439766,35.21827,34.00816,34.55271,5603200,0.0,0.0
2011-09-28,UNP,34.564804,34.81489,33.479736,33.588646,5157600,0.0,0.0
2011-09-29,UNP,34.173534,34.488163,33.69756,34.37522,5296600,0.0,0.0
2011-09-30,UNP,33.72176,33.99605,32.939224,32.943256,7567000,0.0,0.0
2011-10-03,UNP,32.882748,33.495872,32.188953,32.201054,7648200,0.0,0.0
2011-10-04,UNP,31.817858,33.790337,31.353983,33.677395,9600000,0.0,0.0
2011-10-05,UNP,33.7621,35.028683,33.326466,34.863304,9601400,0.0,0.0
2011-10-06,UNP,34.78666,36.43241,34.60514,36.113747,10150800,0.0,0.0
2011-10-07,UNP,36.279125,36.323494,35.44415,35.819283,6381000,0.0,0.0
2011-10-10,UNP,36.33559,37.11006,36.22668,37.11006,4887600,0.0,0.0
2011-10-11,UNP,36.87611,37.715122,36.72283,37.23511,5470800,0.0,0.0
2011-10-12,UNP,37.37227,38.086235,36.997135,37.02537,7081200,0.0,0.0
2011-10-13,UNP,36.7793,36.787365,36.041134,36.347694,6857600,0.0,0.0
