date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,VRSK,33.487453,34.028366,33.33993,33.634975,381700,0.0,0
2011-09-09,VRSK,33.477615,33.52679,32.671165,32.887527,589700,0.0,0
2011-09-12,VRSK,32.46464,32.71051,32.002407,32.71051,477800,0.0,0
2011-09-13,VRSK,32.789185,33.15307,32.602325,33.103897,370100,0.0,0
2011-09-14,VRSK,33.30059,34.441425,33.143234,34.166054,845500,0.0,0
2011-09-15,VRSK,34.50044,34.50044,34.048035,34.21523,771200,0.0,0
2011-09-16,VRSK,34.234894,34.687294,34.12671,34.205387,648700,0.0,0
2011-09-19,VRSK,33.684147,34.008698,33.497288,33.79233,391300,0.0,0
2011-09-20,VRSK,33.92018,34.687294,33.703815,34.2939,771000,0.0,0
2011-09-21,VRSK,34.323414,34.579117,34.126717,34.42176,712100,0.0,0
2011-09-22,VRSK,33.67431,33.772655,32.966206,33.36943,655500,0.0,0
2011-09-23,VRSK,33.103897,33.389107,32.326946,32.582653,681700,0.0,0
2011-09-26,VRSK,32.730175,33.064556,32.0024,33.064556,756800,0.0,0
2011-09-27,VRSK,34.20539,34.284073,33.3596,33.920185,519900,0.0,0
2011-09-28,VRSK,34.048027,34.36274,33.55629,33.60546,692300,0.0,0
2011-09-29,VRSK,34.01853,34.01853,33.044888,33.920185,797700,0.0,0
2011-09-30,VRSK,33.48745,34.30374,33.26125,34.195557,960800,0.0,0
2011-10-03,VRSK,34.008698,34.559444,32.24827,32.51381,1153000,0.0,0
2011-10-04,VRSK,32.120415,34.116875,32.120415,34.067703,1177200,0.0,0
2011-10-05,VRSK,34.087368,34.34307,33.467777,33.684143,806200,0.0,0
2011-10-06,VRSK,33.615307,33.939854,33.3596,33.74316,478900,0.0,0
2011-10-07,VRSK,33.752987,34.421753,33.48745,34.04803,852000,0.0,0
2011-10-10,VRSK,34.274235,34.40209,33.782497,34.372585,412700,0.0,0
2011-10-11,VRSK,34.09721,34.539776,33.96936,34.42176,666000,0.0,0
2011-10-12,VRSK,34.579113,34.628284,34.22506,34.500435,609800,0.0,0
2011-10-13,VRSK,34.470932,34.549614,34.038204,34.15622,603400,0.0,0
2011-10-14,VRSK,34.41192,34.50043,34.077538,34.323406,450800,0.0,0
2011-10-17,VRSK,34.097206,34.40209,33.33993,33.33993,542700,0.0,0
2011-10-18,VRSK,33.408775,33.52679,33.084225,33.33993,853600,0.0,0
2011-10-19,VRSK,33.162907,33.841503,33.113728,33.46778,753600,0.0,0
2011-10-20,VRSK,33.408775,33.910347,33.123566,33.861176,703300,0.0,0
2011-10-21,VRSK,33.89068,34.18572,33.77266,34.008698,471000,0.0,0
2011-10-24,VRSK,34.0382,34.32341,33.910347,34.195557,497400,0.0,0
2011-10-25,VRSK,33.959515,34.185715,33.369427,33.408768,456800,0.0,0
2011-10-26,VRSK,33.723484,33.93985,33.162903,33.575962,576900,0.0,0
2011-10-27,VRSK,34.0382,34.421757,33.861176,34.195557,547900,0.0,0
2011-10-28,VRSK,34.1267,34.45125,33.9005,34.382404,650100,0.0,0
