date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,WHR,43.278465,43.61754,41.413544,41.621613,3091100,0.0,0
2011-09-09,WHR,41.31336,41.62932,40.003292,40.48879,2770100,0.0,0
2011-09-12,WHR,39.87228,40.79703,39.240364,40.34236,1912800,0.0,0
2011-09-13,WHR,40.473385,41.613914,40.30385,41.051357,1584300,0.0,0
2011-09-14,WHR,41.097584,42.307472,40.36549,41.70638,1666500,0.0,0
2011-09-15,WHR,42.299763,42.299763,41.12841,42.03775,1424600,0.0,0
2011-09-16,WHR,42.230408,43.039566,41.074467,41.305653,2279400,0.0,0
2011-09-19,WHR,40.434853,41.128414,40.17284,40.83558,1800500,0.0,0
2011-09-20,WHR,40.99741,41.660152,39.641106,39.679638,1514800,0.0,0
2011-09-21,WHR,39.725872,40.342377,38.539104,38.546814,1719300,0.0,0
2011-09-22,WHR,37.313816,37.853256,36.489246,36.99786,3024200,0.0,0
2011-09-23,WHR,36.620243,39.18643,36.620243,38.5314,2217900,0.0,0
2011-09-26,WHR,38.878174,40.39631,38.539097,40.311543,1832100,0.0,0
2011-09-27,WHR,41.2363,42.299767,40.55044,41.028233,1815400,0.0,0
2011-09-28,WHR,41.220886,41.321064,38.70093,38.84735,1877100,0.0,0
2011-09-29,WHR,39.741283,40.627506,38.17691,39.371384,2271400,0.0,0
2011-09-30,WHR,38.600758,39.687344,38.1615,38.462044,1537100,0.0,0
2011-10-03,WHR,38.11525,38.88588,37.360035,37.367744,3009900,0.0,0
2011-10-04,WHR,36.71272,40.103485,36.58942,40.041832,2600000,0.0,0
2011-10-05,WHR,40.211376,41.806576,39.856888,41.69098,1837300,0.0,0
2011-10-06,WHR,41.714108,42.86234,41.55998,42.546383,1654600,0.0,0
2011-10-07,WHR,42.93168,43.64066,40.650623,41.25942,1712300,0.0,0
2011-10-10,WHR,42.19188,42.9548,41.92216,42.862324,911400,0.0,0
2011-10-11,WHR,42.615734,43.340126,42.39225,43.14747,869700,0.0,0
2011-10-12,WHR,43.424885,45.914017,42.90086,44.457527,2933800,0.0,0
2011-10-13,WHR,44.234047,44.49606,42.846912,43.802494,1442900,0.0,0
2011-10-14,WHR,44.43441,44.842842,43.679195,44.627068,1056300,0.0,0
2011-10-17,WHR,44.35735,44.35735,42.24583,42.36913,1489600,0.0,0
2011-10-18,WHR,41.375027,42.78528,39.702766,42.546383,3094400,0.0,0
2011-10-19,WHR,42.4539,43.23223,42.32289,42.66197,1400700,0.0,0
2011-10-20,WHR,42.73902,43.039566,41.529137,42.446186,1467300,0.0,0
2011-10-21,WHR,43.062702,44.241764,43.04729,44.23406,1493000,0.0,0
2011-10-24,WHR,44.472927,45.852352,44.32651,45.559513,1881600,0.0,0
2011-10-25,WHR,45.29751,45.29751,44.01056,44.09533,1538100,0.0,0
2011-10-26,WHR,44.681,45.698227,43.87184,45.112553,1556200,0.0,0
2011-10-27,WHR,46.368683,47.77893,46.176025,46.599873,2631500,0.0,0
2011-10-28,WHR,41.143837,42.076294,39.89542,39.918537,8701800,0.0,0
2011-10-31,WHR,39.564045,40.01101,38.939835,39.155613,3179500,0.0,0
2011-11-01,WHR,38.022793,39.078552,37.568123,38.431225,3370000,0.0,0
2011-11-02,WHR,38.932137,39.641113,38.45435,39.178738,1728900,0.0,0
2011-11-03,WHR,39.710464,39.833763,38.08444,39.70276,1704900,0.0,0
2011-11-04,WHR,39.371395,39.88001,38.770306,39.79524,1292800,0.0,0
2011-11-07,WHR,39.64111,40.43486,39.12479,40.380917,1397600,0.0,0
2011-11-08,WHR,40.60439,41.197773,39.910828,41.074474,1472500,0.0,0
2011-11-09,WHR,40.288437,40.88182,40.111195,40.565865,2028000,0.0,0
2011-11-10,WHR,41.105305,41.70639,40.211376,41.04365,2284100,0.0,0
2011-11-11,WHR,41.336494,42.199596,41.174664,42.068592,1495800,0.0,0
2011-11-14,WHR,41.845104,42.268948,41.128418,41.452084,1544300,0.0,0
2011-11-15,WHR,41.43667,41.444374,40.681454,41.190067,1653200,0.0,0
2011-11-16,WHR,40.79334,41.400105,40.178795,40.334373,1140200,0.5,0
2011-11-17,WHR,40.32659,40.49773,38.87969,39.1364,1623700,0.0,0
2011-11-18,WHR,39.424217,39.65759,38.84079,39.424217,1630800,0.0,0
2011-11-21,WHR,38.739666,38.81746,37.207195,37.72061,1920500,0.0,0
2011-11-22,WHR,37.572803,37.86841,36.71711,37.253864,1472500,0.0,0
2011-11-23,WHR,36.69377,37.06717,36.00144,36.06367,1363600,0.0,0
2011-11-25,WHR,36.024788,36.647114,35.7992,35.822533,561500,0.0,0
2011-11-28,WHR,37.028282,37.572815,36.709343,37.284992,1645000,0.0,0
2011-11-29,WHR,36.70156,36.8727,35.690285,36.359283,2706600,0.0,0
2011-11-30,WHR,37.603924,38.366272,37.37833,38.164017,2151900,0.0,0
2011-12-01,WHR,38.195145,38.778572,37.689507,38.117355,1906500,0.0,0
2011-12-02,WHR,38.638535,39.52535,38.389603,38.467396,2335400,0.0,0
2011-12-05,WHR,39.167515,39.424225,38.45962,38.70077,1803200,0.0,0
2011-12-06,WHR,38.66188,38.903027,38.10957,38.1718,1605400,0.0,0
2011-12-07,WHR,37.953987,39.12862,37.440567,38.615204,1569900,0.0,0
2011-12-08,WHR,38.26514,38.646313,37.743946,37.992874,1354600,0.0,0
2011-12-09,WHR,38.171795,38.87969,38.14068,38.731888,1201400,0.0,0
2011-12-12,WHR,38.28848,38.475174,37.54947,38.43628,2480000,0.0,0
2011-12-13,WHR,38.66965,39.214188,36.96604,37.23053,2240000,0.0,0
2011-12-14,WHR,36.96605,37.30055,36.273716,36.37484,1666700,0.0,0
2011-12-15,WHR,36.989384,37.137188,35.97033,36.273712,1966600,0.0,0
2011-12-16,WHR,36.51486,36.75601,35.791405,36.281487,2087300,0.0,0
2011-12-19,WHR,36.41373,36.701553,35.17686,35.293545,1764800,0.0,0
2011-12-20,WHR,35.95476,37.541683,35.95476,37.463894,1505100,0.0,0
2011-12-21,WHR,37.448338,38.41294,37.059383,38.226242,1522700,0.0,0
2011-12-22,WHR,38.35071,39.509792,38.234028,39.330875,1599100,0.0,0
2011-12-23,WHR,39.509792,40.20213,39.486454,39.820953,1119800,0.0,0
2011-12-27,WHR,39.15973,39.15973,36.21925,36.265923,4245300,0.0,0
2011-12-28,WHR,36.483738,37.33943,35.830296,36.071445,2669700,0.0,0
2011-12-29,WHR,36.164795,36.888245,36.094784,36.810455,2094300,0.0,0
2011-12-30,WHR,37.02049,37.246082,36.756,36.911583,1682900,0.0,0
2012-01-03,WHR,37.603916,38.630753,37.557243,37.73616,1954500,0.0,0
2012-01-04,WHR,37.70506,38.34294,37.12163,38.094013,1779000,0.0,0
2012-01-05,WHR,37.743954,39.198635,37.44835,39.14418,2053700,0.0,0
2012-01-06,WHR,39.105278,39.144173,38.1329,38.490734,1839200,0.0,0
2012-01-09,WHR,38.66187,39.61869,38.66187,39.276413,1297000,0.0,0
2012-01-10,WHR,39.696484,40.723316,39.673145,40.31881,1882700,0.0,0
2012-01-11,WHR,40.100994,40.824448,39.906517,40.31881,1794200,0.0,0
2012-01-12,WHR,39.65759,40.55996,38.77078,40.45883,3091000,0.0,0
2012-01-13,WHR,40.178795,40.489956,39.315323,39.595367,2478300,0.0,0
2012-01-17,WHR,40.241013,40.70776,38.786335,38.80967,2413600,0.0,0
