date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,CE,36.23408,36.898693,35.544228,36.048996,1845300,0.0,0
2011-09-09,CE,35.38439,35.712494,33.98786,34.2739,2385500,0.0,0
2011-09-12,CE,33.57563,34.896442,33.533566,34.425323,1510100,0.0,0
2011-09-13,CE,34.450554,36.284554,34.450554,36.015343,1852400,0.0,0
2011-09-14,CE,36.301388,36.94076,35.249783,36.444405,1818300,0.0,0
2011-09-15,CE,36.932346,37.504417,36.21725,37.27727,1468000,0.0,0
2011-09-16,CE,37.285694,37.42871,36.722034,37.083786,1338400,0.0,0
2011-09-19,CE,36.133144,36.92395,35.653614,36.553787,1343200,0.0,0
2011-09-20,CE,36.696793,36.92394,35.79662,36.33504,1894700,0.0,0
2011-09-21,CE,36.208847,36.208847,32.650215,32.70069,2852400,0.0,0
2011-09-22,CE,31.152733,31.43877,28.830791,29.949697,5121000,0.0,0
2011-09-23,CE,29.899225,31.270515,29.67208,30.387169,2347300,0.0,0
2011-09-26,CE,30.673203,32.036083,29.98335,31.96878,1943200,0.0,0
2011-09-27,CE,33.112926,34.62724,32.87737,33.15499,2560800,0.0,0
2011-09-28,CE,33.154984,33.398956,30.44605,30.614307,2724500,0.0,0
2011-09-29,CE,31.859411,32.34736,29.974937,30.185259,3984100,0.0,0
2011-09-30,CE,29.436518,29.44493,27.333307,27.366957,6062900,0.0,0
2011-10-03,CE,26.963133,28.140932,26.550905,26.59297,2698000,0.0,0
2011-10-04,CE,26.172335,26.778059,24.758978,26.492022,4680600,0.0,0
2011-10-05,CE,26.576147,28.569988,26.222809,28.368082,2710400,0.0,0
2011-10-06,CE,28.368082,31.085426,28.19141,30.976059,3765300,0.0,0
2011-10-07,CE,31.312578,32.044495,29.831917,30.3451,3215800,0.0,0
2011-10-10,CE,31.16114,32.40624,31.16114,32.08655,1686100,0.0,0
2011-10-11,CE,32.187504,32.608147,31.691149,32.094967,1280400,0.0,0
2011-10-12,CE,32.557682,34.013103,32.36419,33.356903,2187800,0.0,0
2011-10-13,CE,33.17153,33.28949,31.722332,32.53961,1898800,0.06,0
2011-10-14,CE,33.33162,34.730267,33.188385,34.418518,2418600,0.0,0
2011-10-17,CE,34.17417,34.191025,32.430077,32.522755,1499900,0.0,0
2011-10-18,CE,32.640717,33.719193,31.671774,33.179955,2926900,0.0,0
2011-10-19,CE,32.91876,33.003014,31.317898,31.402155,2206900,0.0,0
2011-10-20,CE,31.545382,31.70547,30.332098,31.461126,3532400,0.0,0
2011-10-21,CE,32.168888,33.65179,32.168888,33.59281,2404600,0.0,0
2011-10-24,CE,33.91298,35.6655,33.752895,35.53069,3665900,0.0,0
2011-10-25,CE,35.26951,36.62603,33.483288,34.83138,4299000,0.0,0
2011-10-26,CE,35.808746,35.960407,34.05622,35.60653,3023500,0.0,0
