date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,DXCM,11.96,12.32,11.92,12.0,417600,0,0
2011-09-09,DXCM,11.82,12.0,11.53,11.64,465700,0,0
2011-09-12,DXCM,11.41,11.78,11.31,11.58,224700,0,0
2011-09-13,DXCM,11.65,12.09,11.33,12.05,256800,0,0
2011-09-14,DXCM,12.14,12.6,12.01,12.36,472300,0,0
2011-09-15,DXCM,12.5,12.8,12.21,12.71,599800,0,0
2011-09-16,DXCM,12.75,12.79,12.54,12.79,477800,0,0
2011-09-19,DXCM,12.52,12.95,12.5,12.77,424300,0,0
2011-09-20,DXCM,13.04,13.69,12.68,13.09,777300,0,0
2011-09-21,DXCM,13.11,13.35,12.56,12.6,616300,0,0
2011-09-22,DXCM,12.15,12.65,11.65,11.89,885900,0,0
2011-09-23,DXCM,11.89,12.3,11.61,11.89,678600,0,0
2011-09-26,DXCM,12.0,12.42,11.55,12.0,576700,0,0
2011-09-27,DXCM,12.35,13.04,12.05,12.85,690400,0,0
2011-09-28,DXCM,12.81,13.03,12.21,12.22,348900,0,0
2011-09-29,DXCM,12.61,12.74,12.18,12.55,300000,0,0
2011-09-30,DXCM,12.3,12.52,11.98,12.0,510100,0,0
2011-10-03,DXCM,11.82,12.12,11.21,11.36,634400,0,0
2011-10-04,DXCM,11.29,12.24,11.22,12.2,645400,0,0
2011-10-05,DXCM,12.26,12.43,12.05,12.22,300500,0,0
2011-10-06,DXCM,12.22,12.29,11.93,12.09,448400,0,0
2011-10-07,DXCM,12.11,12.29,11.07,11.1,773600,0,0
2011-10-10,DXCM,11.38,11.54,11.19,11.49,479700,0,0
2011-10-11,DXCM,11.38,11.68,11.34,11.47,266000,0,0
2011-10-12,DXCM,11.58,11.79,11.22,11.29,499300,0,0
2011-10-13,DXCM,11.19,11.31,11.1,11.25,388900,0,0
2011-10-14,DXCM,11.45,11.49,11.03,11.23,335800,0,0
2011-10-17,DXCM,11.05,11.59,10.57,10.62,328900,0,0
2011-10-18,DXCM,10.65,10.85,10.45,10.74,485200,0,0
2011-10-19,DXCM,10.75,10.91,10.26,10.32,566500,0,0
2011-10-20,DXCM,10.38,10.68,9.9,10.26,519200,0,0
2011-10-21,DXCM,10.52,10.64,10.12,10.26,850500,0,0
2011-10-24,DXCM,10.33,11.05,10.32,11.03,822800,0,0
2011-10-25,DXCM,10.95,11.02,10.44,10.48,338900,0,0
2011-10-26,DXCM,10.68,10.68,10.13,10.18,1190500,0,0
2011-10-27,DXCM,10.61,10.61,9.13,9.4,1910800,0,0
2011-10-28,DXCM,9.13,10.12,9.13,10.04,1080700,0,0
2011-10-31,DXCM,9.8,9.98,9.7,9.79,805400,0,0
2011-11-01,DXCM,9.42,9.61,9.34,9.4,1118700,0,0
2011-11-02,DXCM,9.4,10.1,9.15,9.8,1042700,0,0
2011-11-03,DXCM,7.45,8.57,7.33,7.87,3909100,0,0
2011-11-04,DXCM,7.86,8.0,7.54,7.63,2235100,0,0
2011-11-07,DXCM,7.61,7.72,7.33,7.41,1210300,0,0
2011-11-08,DXCM,7.44,7.45,7.11,7.38,986700,0,0
2011-11-09,DXCM,7.13,7.32,7.07,7.11,620600,0,0
2011-11-10,DXCM,7.21,7.35,7.02,7.08,424300,0,0
2011-11-11,DXCM,7.18,7.36,7.08,7.34,771800,0,0
2011-11-14,DXCM,7.3,7.3,6.98,7.0,754300,0,0
2011-11-15,DXCM,6.99,7.24,6.9,7.21,724800,0,0
2011-11-16,DXCM,7.12,7.21,7.03,7.04,428300,0,0
2011-11-17,DXCM,7.02,7.1,6.95,7.0,341900,0,0
2011-11-18,DXCM,7.25,7.35,7.06,7.1,1420400,0,0
2011-11-21,DXCM,6.97,7.0,6.87,6.94,580900,0,0
2011-11-22,DXCM,6.96,7.03,6.86,6.91,309100,0,0
