date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,KMX,27.18,27.56,26.81,26.95,3074900,0,0
2011-09-09,KMX,26.67,27.08,25.98,26.32,3356400,0,0
2011-09-12,KMX,26.03,26.78,25.88,26.75,3548900,0,0
2011-09-13,KMX,26.75,27.18,26.43,26.95,3137700,0,0
2011-09-14,KMX,27.13,27.99,26.52,27.71,3333000,0,0
2011-09-15,KMX,27.99,28.77,27.69,28.54,3392400,0,0
2011-09-16,KMX,28.92,29.79,28.89,29.38,4573800,0,0
2011-09-19,KMX,28.71,28.9,28.25,28.72,3696700,0,0
2011-09-20,KMX,28.75,29.18,28.06,28.08,3020400,0,0
2011-09-21,KMX,28.15,28.39,27.31,27.43,3150200,0,0
2011-09-22,KMX,25.1,25.99,23.85,24.41,12819800,0,0
2011-09-23,KMX,24.03,24.58,24.0,24.12,4011500,0,0
2011-09-26,KMX,24.4,25.08,24.03,25.04,3255200,0,0
2011-09-27,KMX,25.84,26.05,25.32,25.56,3674000,0,0
2011-09-28,KMX,25.51,25.6,23.91,24.01,3682200,0,0
2011-09-29,KMX,24.57,24.69,23.24,24.0,4265200,0,0
2011-09-30,KMX,23.7,24.54,23.63,23.85,3977100,0,0
2011-10-03,KMX,23.64,23.94,23.18,23.41,5520500,0,0
2011-10-04,KMX,22.86,24.3,22.77,24.28,3709700,0,0
2011-10-05,KMX,23.97,24.12,23.37,24.04,3465700,0,0
2011-10-06,KMX,23.87,25.08,23.87,25.07,3211900,0,0
2011-10-07,KMX,25.27,26.03,25.27,25.58,3135500,0,0
2011-10-10,KMX,26.02,26.89,26.02,26.86,2917200,0,0
2011-10-11,KMX,26.73,28.01,26.47,27.86,3413600,0,0
2011-10-12,KMX,28.04,28.65,27.33,28.16,3356100,0,0
2011-10-13,KMX,28.08,28.28,27.24,27.67,2120200,0,0
2011-10-14,KMX,28.2,28.32,27.76,28.19,1798000,0,0
2011-10-17,KMX,28.11,28.26,27.2,27.27,1977400,0,0
2011-10-18,KMX,27.8,28.29,26.97,28.07,2789000,0,0
2011-10-19,KMX,28.04,28.38,27.72,27.89,1895300,0,0
2011-10-20,KMX,27.97,28.3,27.38,27.95,1929900,0,0
2011-10-21,KMX,28.4,29.62,28.4,29.56,2796600,0,0
2011-10-24,KMX,30.23,31.5,29.87,31.44,4063500,0,0
2011-10-25,KMX,31.0,31.26,30.67,30.73,3313400,0,0
2011-10-26,KMX,31.21,31.34,30.08,30.28,3410600,0,0
2011-10-27,KMX,31.39,31.73,30.93,31.32,4176000,0,0
2011-10-28,KMX,31.28,31.4,30.55,30.81,1645000,0,0
2011-10-31,KMX,30.38,30.55,30.02,30.06,1838200,0,0
2011-11-01,KMX,29.0,29.99,29.0,29.57,1936900,0,0
2011-11-02,KMX,30.25,30.59,29.77,30.22,1193000,0,0
2011-11-03,KMX,31.18,31.22,29.93,30.74,1711300,0,0
2011-11-04,KMX,30.39,30.39,29.14,29.86,2933400,0,0
2011-11-07,KMX,29.97,30.14,29.19,29.87,2774100,0,0
2011-11-08,KMX,30.1,30.21,28.95,29.57,2212500,0,0
2011-11-09,KMX,28.88,29.16,28.25,28.47,2232600,0,0
2011-11-10,KMX,29.04,29.28,28.12,28.38,2022000,0,0
2011-11-11,KMX,28.75,28.9,28.26,28.4,2641300,0,0
2011-11-14,KMX,28.26,28.54,27.83,28.01,2334400,0,0
2011-11-15,KMX,27.97,28.62,27.93,28.38,2378100,0,0
2011-11-16,KMX,28.26,28.76,28.02,28.18,2190000,0,0
2011-11-17,KMX,28.01,28.28,27.61,27.87,2669700,0,0
