date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-12,NKTR,4.99,5.23,4.94,5.06,652900,0,0
2011-09-13,NKTR,5.08,5.21,5.03,5.14,717100,0,0
2011-09-14,NKTR,5.18,5.28,5.03,5.17,715800,0,0
2011-09-15,NKTR,5.23,5.33,5.08,5.31,607600,0,0
2011-09-16,NKTR,5.38,5.38,5.17,5.21,1717000,0,0
2011-09-19,NKTR,5.09,5.21,4.97,4.98,950800,0,0
2011-09-20,NKTR,5.01,5.22,4.95,5.08,2273200,0,0
2011-09-21,NKTR,5.21,5.52,5.06,5.07,1724500,0,0
2011-09-22,NKTR,4.93,5.22,4.93,5.01,1314100,0,0
2011-09-23,NKTR,5.01,5.13,4.94,5.12,1047600,0,0
2011-09-26,NKTR,5.18,5.24,4.94,5.08,799300,0,0
2011-09-27,NKTR,5.22,5.45,5.08,5.31,1020500,0,0
2011-09-28,NKTR,5.33,5.33,5.02,5.02,1075200,0,0
2011-09-29,NKTR,5.14,5.18,4.82,4.98,818200,0,0
2011-09-30,NKTR,4.89,5.02,4.82,4.85,980000,0,0
2011-10-03,NKTR,4.8,4.88,4.35,4.37,2828000,0,0
2011-10-04,NKTR,4.32,4.72,4.31,4.71,1570700,0,0
2011-10-05,NKTR,4.72,4.9,4.62,4.62,1480800,0,0
2011-10-06,NKTR,4.61,4.8,4.53,4.79,1131000,0,0
2011-10-07,NKTR,4.79,4.8,4.61,4.66,1193100,0,0
2011-10-10,NKTR,4.76,4.86,4.68,4.84,631000,0,0
2011-10-11,NKTR,4.77,4.92,4.73,4.9,790300,0,0
2011-10-12,NKTR,4.94,5.22,4.89,5.18,1368200,0,0
2011-10-13,NKTR,5.12,5.15,4.93,5.02,692200,0,0
2011-10-14,NKTR,5.06,5.19,4.92,4.99,666300,0,0
2011-10-17,NKTR,4.94,5.02,4.7,4.74,970800,0,0
2011-10-18,NKTR,4.77,4.86,4.61,4.66,1496900,0,0
2011-10-19,NKTR,4.68,4.77,4.51,4.63,1477800,0,0
2011-10-20,NKTR,4.63,4.67,4.39,4.5,796100,0,0
2011-10-21,NKTR,4.57,5.01,4.57,5.0,2810500,0,0
2011-10-24,NKTR,5.03,5.23,5.0,5.19,1850800,0,0
2011-10-25,NKTR,5.16,5.25,4.96,4.99,1568900,0,0
2011-10-26,NKTR,5.09,5.26,4.98,5.04,1121200,0,0
2011-10-27,NKTR,5.24,5.55,5.2,5.53,2282000,0,0
2011-10-28,NKTR,5.51,5.7,5.51,5.62,814400,0,0
2011-10-31,NKTR,5.54,5.64,5.42,5.42,1342800,0,0
2011-11-01,NKTR,5.26,5.42,5.23,5.3,1424300,0,0
2011-11-02,NKTR,5.4,5.5,4.79,4.96,2445400,0,0
2011-11-03,NKTR,5.0,5.16,4.57,4.68,2322700,0,0
2011-11-04,NKTR,4.62,4.81,4.58,4.74,1353300,0,0
2011-11-07,NKTR,4.75,4.86,4.51,4.61,990200,0,0
2011-11-08,NKTR,4.65,4.76,4.52,4.73,689600,0,0
2011-11-09,NKTR,4.6,4.66,4.54,4.57,977200,0,0
2011-11-10,NKTR,4.64,4.65,4.48,4.63,901400,0,0
2011-11-11,NKTR,4.67,4.68,4.6,4.66,553600,0,0
2011-11-14,NKTR,4.75,4.8,4.48,4.54,954700,0,0
2011-11-15,NKTR,4.5,4.55,4.3,4.44,925800,0,0
2011-11-16,NKTR,4.37,4.38,4.26,4.28,1204100,0,0
2011-11-17,NKTR,4.29,4.44,4.26,4.31,754700,0,0
2011-11-18,NKTR,4.31,4.43,4.18,4.32,763900,0,0
2011-11-21,NKTR,4.23,4.3,4.11,4.22,1368000,0,0
2011-11-22,NKTR,4.21,4.36,4.14,4.32,1611000,0,0
2011-11-23,NKTR,4.29,4.31,4.07,4.25,1491000,0,0
2011-11-25,NKTR,4.22,4.25,4.14,4.23,470400,0,0
2011-11-28,NKTR,4.39,4.66,4.38,4.66,1931500,0,0
2011-11-29,NKTR,4.68,4.83,4.55,4.83,2300800,0,0
2011-11-30,NKTR,4.96,5.14,4.87,5.0,1805800,0,0
2011-12-01,NKTR,4.97,5.04,4.83,4.92,767100,0,0
2011-12-02,NKTR,4.99,5.01,4.82,4.92,756300,0,0
2011-12-05,NKTR,5.0,5.19,4.9,5.19,1082700,0,0
