date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,XEL,17.306328,17.449001,17.21359,17.29206,4142400,0.0,0
2011-09-09,XEL,17.113718,17.163654,16.821238,16.956778,5084500,0.0,0
2011-09-12,XEL,16.84978,17.12086,16.79984,17.099457,10852800,0.0,0
2011-09-13,XEL,17.156523,17.513208,16.985315,17.456139,6231200,0.0,0
2011-09-14,XEL,17.556011,17.80569,17.391935,17.634481,3808800,0.0,0
2011-09-15,XEL,17.777155,17.848492,17.655882,17.848492,2406600,0.0,0
2011-09-16,XEL,17.9341,18.076775,17.869896,18.026838,3418000,0.0,0
2011-09-19,XEL,17.791418,18.041098,17.741484,17.96976,2335500,0.0,0
2011-09-20,XEL,17.984179,18.452703,17.984179,18.20042,4598400,0.26,0
2011-09-21,XEL,18.135557,18.265303,17.919315,17.919315,4084000,0.0,0
2011-09-22,XEL,17.558903,17.75352,17.479612,17.659815,5377900,0.0,0
2011-09-23,XEL,17.645407,17.818401,17.587742,17.796778,4410600,0.0,0
2011-09-26,XEL,17.90489,17.998594,17.724688,17.90489,2778400,0.0,0
2011-09-27,XEL,18.193222,18.20043,17.82561,17.89769,3486400,0.0,0
2011-09-28,XEL,17.969767,18.056263,17.710274,17.739107,2988800,0.0,0
2011-09-29,XEL,17.94093,18.070675,17.760727,17.955345,2922000,0.0,0
2011-09-30,XEL,17.847235,18.034645,17.782362,17.796778,2613600,0.0,0
2011-10-03,XEL,17.76073,17.976974,17.472408,17.515656,3808000,0.0,0
2011-10-04,XEL,17.321033,17.429155,16.924587,17.25616,5200000,0.0,0
2011-10-05,XEL,17.364286,17.407534,17.003881,17.400326,3525300,0.0,0
2011-10-06,XEL,17.378702,17.775146,17.378702,17.775146,3733800,0.0,0
2011-10-07,XEL,17.861645,17.91931,17.674234,17.739107,4069400,0.0,0
2011-10-10,XEL,17.948137,18.01301,17.86885,17.969763,2676700,0.0,0
2011-10-11,XEL,17.93372,17.948135,17.681437,17.753517,2511900,0.0,0
2011-10-12,XEL,17.847235,17.89769,17.681448,17.796778,2308200,0.0,0
