date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,^GSPC,1197.98,1204.4,1183.34,1185.9,4465170000,0,0
2011-09-09,^GSPC,1185.37,1185.37,1148.37,1154.23,4586370000,0,0
2011-09-12,^GSPC,1153.5,1162.52,1136.07,1162.27,5168550000,0,0
2011-09-13,^GSPC,1162.59,1176.41,1157.44,1172.87,4681370000,0,0
2011-09-14,^GSPC,1173.32,1202.38,1162.73,1188.68,4986740000,0,0
2011-09-15,^GSPC,1189.44,1209.11,1189.44,1209.11,4479730000,0,0
2011-09-16,^GSPC,1209.21,1220.06,1204.46,1216.01,5248890000,0,0
2011-09-19,^GSPC,1214.99,1214.99,1188.36,1204.09,4254190000,0,0
2011-09-20,^GSPC,1204.5,1220.39,1201.29,1202.09,4315610000,0,0
2011-09-21,^GSPC,1203.63,1206.3,1166.21,1166.76,4728550000,0,0
2011-09-22,^GSPC,1164.55,1164.55,1114.22,1129.56,6703140000,0,0
2011-09-23,^GSPC,1128.82,1141.72,1121.36,1136.43,5639930000,0,0
2011-09-26,^GSPC,1136.91,1164.19,1131.07,1162.95,4762830000,0,0
2011-09-27,^GSPC,1163.32,1195.86,1163.32,1175.38,5548130000,0,0
2011-09-28,^GSPC,1175.39,1184.71,1150.4,1151.06,4787920000,0,0
2011-09-29,^GSPC,1151.74,1175.87,1139.93,1160.4,5285740000,0,0
2011-09-30,^GSPC,1159.93,1159.93,1131.34,1131.42,4416790000,0,0
2011-10-03,^GSPC,1131.21,1138.99,1098.92,1099.23,5670340000,0,0
2011-10-04,^GSPC,1097.42,1125.12,1074.77,1123.95,3714670000,0,0
2011-10-05,^GSPC,1124.03,1146.07,1115.68,1144.03,2510620000,0,0
2011-10-06,^GSPC,1144.11,1165.55,1134.95,1164.97,5098330000,0,0
2011-10-07,^GSPC,1165.03,1171.4,1150.26,1155.46,5580380000,0,0
2011-10-10,^GSPC,1158.15,1194.91,1158.15,1194.89,4446800000,0,0
2011-10-11,^GSPC,1194.6,1199.24,1187.3,1195.54,4424500000,0,0
2011-10-12,^GSPC,1196.19,1220.25,1196.19,1207.25,5355360000,0,0
2011-10-13,^GSPC,1206.96,1207.46,1190.58,1203.66,4436270000,0,0
2011-10-14,^GSPC,1205.65,1224.61,1205.65,1224.58,4116690000,0,0
2011-10-17,^GSPC,1224.47,1224.47,1198.55,1200.86,4300700000,0,0
2011-10-18,^GSPC,1200.75,1233.1,1191.48,1225.38,4840170000,0,0
2011-10-19,^GSPC,1223.46,1229.64,1206.31,1209.88,4846390000,0,0
2011-10-20,^GSPC,1209.92,1219.53,1197.34,1215.39,4870290000,0,0
2011-10-21,^GSPC,1215.39,1239.03,1215.39,1238.25,4980770000,0,0
2011-10-24,^GSPC,1238.72,1256.55,1238.72,1254.19,4309380000,0,0
2011-10-25,^GSPC,1254.19,1254.19,1226.79,1229.05,4473970000,0,0
2011-10-26,^GSPC,1229.17,1246.28,1221.06,1242.0,4873530000,0,0
2011-10-27,^GSPC,1243.97,1292.66,1243.97,1284.59,6367610000,0,0
2011-10-28,^GSPC,1284.39,1287.08,1277.01,1285.09,4536690000,0,0
2011-10-31,^GSPC,1284.96,1284.96,1253.16,1253.3,4310210000,0,0
2011-11-01,^GSPC,1251.0,1251.0,1215.42,1218.28,5645540000,0,0
2011-11-02,^GSPC,1219.62,1242.48,1219.62,1237.9,4110530000,0,0
2011-11-03,^GSPC,1238.25,1263.21,1234.81,1261.15,4849140000,0,0
2011-11-04,^GSPC,1260.82,1260.82,1238.92,1253.23,3830650000,0,0
2011-11-07,^GSPC,1253.21,1261.7,1240.75,1261.12,3429740000,0,0
2011-11-08,^GSPC,1261.12,1277.55,1254.99,1275.92,3908490000,0,0
2011-11-09,^GSPC,1275.18,1275.18,1226.64,1229.1,4659740000,0,0
2011-11-10,^GSPC,1229.59,1246.22,1227.7,1239.7,4002760000,0,0
2011-11-11,^GSPC,1240.12,1266.98,1240.12,1263.85,3370180000,0,0
2011-11-14,^GSPC,1263.85,1263.85,1246.68,1251.78,3219680000,0,0
2011-11-15,^GSPC,1251.7,1264.25,1244.34,1257.81,3599300000,0,0
2011-11-16,^GSPC,1257.81,1259.61,1235.67,1236.91,4085010000,0,0
2011-11-17,^GSPC,1236.56,1237.73,1209.43,1216.13,4596450000,0,0
2011-11-18,^GSPC,1216.19,1223.51,1211.36,1215.65,3827610000,0,0
2011-11-21,^GSPC,1215.62,1215.62,1183.16,1192.98,4050070000,0,0
2011-11-22,^GSPC,1192.98,1196.81,1181.65,1188.04,3911710000,0,0
2011-11-23,^GSPC,1187.48,1187.48,1161.79,1161.79,3798940000,0,0
2011-11-25,^GSPC,1161.41,1172.66,1158.66,1158.67,1664200000,0,0
2011-11-28,^GSPC,1158.67,1197.35,1158.67,1192.55,3920750000,0,0
2011-11-29,^GSPC,1192.56,1203.67,1191.8,1195.19,3992650000,0,0
2011-11-30,^GSPC,1196.72,1247.11,1196.72,1246.96,5801910000,0,0
2011-12-01,^GSPC,1246.91,1251.09,1239.73,1244.58,3818680000,0,0
2011-12-02,^GSPC,1246.03,1260.08,1243.35,1244.28,4144310000,0,0
2011-12-05,^GSPC,1244.33,1266.73,1244.33,1257.08,4148060000,0,0
2011-12-06,^GSPC,1257.19,1266.03,1253.03,1258.47,3734230000,0,0
2011-12-07,^GSPC,1258.14,1267.06,1244.8,1261.01,4160540000,0,0
2011-12-08,^GSPC,1260.87,1260.87,1231.47,1234.35,4298370000,0,0
2011-12-09,^GSPC,1234.48,1258.25,1234.48,1255.19,3830610000,0,0
2011-12-12,^GSPC,1255.05,1255.05,1227.25,1236.47,3600570000,0,0
2011-12-13,^GSPC,1236.83,1249.86,1219.43,1225.73,4121570000,0,0
2011-12-14,^GSPC,1225.73,1225.73,1209.47,1211.82,4298290000,0,0
2011-12-15,^GSPC,1212.12,1225.6,1212.12,1215.75,3810340000,0,0
2011-12-16,^GSPC,1216.09,1231.04,1215.2,1219.66,5345800000,0,0
2011-12-19,^GSPC,1219.74,1224.57,1202.37,1205.35,3659820000,0,0
2011-12-20,^GSPC,1205.72,1242.82,1205.72,1241.3,4055590000,0,0
2011-12-21,^GSPC,1241.25,1245.09,1229.51,1243.72,2959020000,0,0
2011-12-22,^GSPC,1243.72,1255.22,1243.72,1254.0,3492250000,0,0
2011-12-23,^GSPC,1254.0,1265.42,1254.0,1265.33,2233830000,0,0
2011-12-27,^GSPC,1265.02,1269.37,1262.3,1265.43,2130590000,0,0
2011-12-28,^GSPC,1265.38,1265.85,1248.64,1249.64,2349980000,0,0
2011-12-29,^GSPC,1249.75,1263.54,1249.75,1263.02,2278130000,0,0
2011-12-30,^GSPC,1262.82,1264.12,1257.46,1257.6,2271850000,0,0
2012-01-03,^GSPC,1258.86,1284.62,1258.86,1277.06,3943710000,0,0
2012-01-04,^GSPC,1277.03,1278.73,1268.1,1277.3,3592580000,0,0
2012-01-05,^GSPC,1277.3,1283.05,1265.26,1281.06,4315950000,0,0
2012-01-06,^GSPC,1280.93,1281.84,1273.34,1277.81,3656830000,0,0
2012-01-09,^GSPC,1277.83,1281.99,1274.55,1280.7,3371600000,0,0
2012-01-10,^GSPC,1280.77,1296.46,1280.77,1292.08,4221960000,0,0
2012-01-11,^GSPC,1292.02,1293.8,1285.41,1292.48,3968120000,0,0
2012-01-12,^GSPC,1292.48,1296.82,1285.77,1295.5,4019890000,0,0
2012-01-13,^GSPC,1294.82,1294.82,1277.58,1289.09,3692370000,0,0
2012-01-17,^GSPC,1290.22,1303.0,1290.22,1293.67,4010490000,0,0
2012-01-18,^GSPC,1293.65,1308.11,1290.99,1308.04,4096160000,0,0
2012-01-19,^GSPC,1308.07,1315.49,1308.07,1314.5,4465890000,0,0
2012-01-20,^GSPC,1314.49,1315.38,1309.17,1315.38,3912620000,0,0
2012-01-23,^GSPC,1315.29,1322.28,1309.89,1316.0,3770910000,0,0
2012-01-24,^GSPC,1315.96,1315.96,1306.06,1314.65,3693560000,0,0
2012-01-25,^GSPC,1314.4,1328.3,1307.65,1326.06,4410910000,0,0
2012-01-26,^GSPC,1326.28,1333.47,1313.6,1318.43,4522070000,0,0
2012-01-27,^GSPC,1318.25,1320.06,1311.72,1316.33,4007380000,0,0
2012-01-30,^GSPC,1316.16,1316.16,1300.49,1313.01,3659010000,0,0
2012-01-31,^GSPC,1313.53,1321.41,1306.69,1312.41,4235550000,0,0
2012-02-01,^GSPC,1312.45,1330.52,1312.45,1324.09,4504360000,0,0
2012-02-02,^GSPC,1324.24,1329.19,1321.57,1325.54,4120920000,0,0
2012-02-03,^GSPC,1326.21,1345.34,1326.21,1344.9,4608550000,0,0
2012-02-06,^GSPC,1344.32,1344.36,1337.52,1344.33,3379700000,0,0
2012-02-07,^GSPC,1344.33,1349.24,1335.92,1347.05,3742460000,0,0
2012-02-08,^GSPC,1347.04,1351.0,1341.95,1349.96,4096730000,0,0
2012-02-09,^GSPC,1349.97,1354.32,1344.63,1351.95,4209890000,0,0
2012-02-10,^GSPC,1351.21,1351.21,1337.35,1342.64,3877580000,0,0
2012-02-13,^GSPC,1343.06,1353.35,1343.06,1351.77,3618040000,0,0
2012-02-14,^GSPC,1351.3,1351.3,1340.83,1350.5,3889520000,0,0
2012-02-15,^GSPC,1350.52,1355.87,1340.8,1343.23,4080340000,0,0
