date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,AMGN,43.27835,43.58412,43.152905,43.364594,4501000,0.0,0
2011-09-09,AMGN,41.85926,43.192112,41.85926,42.36888,7617300,0.0,0
2011-09-12,AMGN,41.780853,42.46296,41.75733,42.384556,5406700,0.0,0
2011-09-13,AMGN,42.627594,43.17641,42.321823,43.05097,4950400,0.0,0
2011-09-14,AMGN,43.066654,43.72524,42.65112,43.325382,6070400,0.0,0
2011-09-15,AMGN,43.72525,44.266228,43.55276,44.10942,5876100,0.0,0
2011-09-16,AMGN,44.219173,44.49358,43.58411,44.46222,7635100,0.0,0
2011-09-19,AMGN,43.999657,44.61904,43.835014,44.32111,4541400,0.0,0
2011-09-20,AMGN,44.587673,45.348183,44.462227,44.979687,5168900,0.0,0
2011-09-21,AMGN,44.83857,44.971855,43.90558,43.93694,5160000,0.0,0
2011-09-22,AMGN,43.074497,43.474354,42.557037,43.1529,8969100,0.0,0
2011-09-23,AMGN,42.81577,43.309708,42.227745,43.19994,5431200,0.0,0
2011-09-26,AMGN,43.309715,43.51356,42.854977,43.45868,5903800,0.0,0
2011-09-27,AMGN,43.882042,44.540623,43.61547,44.313255,5868700,0.0,0
2011-09-28,AMGN,44.55632,44.720963,43.615482,43.646843,5663600,0.0,0
2011-09-29,AMGN,44.172157,44.50929,43.11372,43.7331,5152700,0.0,0
2011-09-30,AMGN,43.26266,43.95261,43.066654,43.090176,6430000,0.0,0
2011-10-03,AMGN,42.854973,43.38811,42.23559,42.259113,7462900,0.0,0
2011-10-04,AMGN,41.84357,42.706005,41.43588,42.61192,8517100,0.0,0
2011-10-05,AMGN,42.815777,43.936935,42.298317,43.850693,7484200,0.0,0
2011-10-06,AMGN,43.842842,44.571987,43.325382,44.55631,4828000,0.0,0
2011-10-07,AMGN,44.57199,44.57199,43.866367,44.117256,4418200,0.0,0
2011-10-10,AMGN,44.673916,45.348183,44.556313,44.979687,3346200,0.0,0
2011-10-11,AMGN,44.901283,45.175694,44.650394,44.76016,4641500,0.0,0
2011-10-12,AMGN,45.01889,45.058094,44.289745,44.40735,4798100,0.0,0
2011-10-13,AMGN,44.281895,44.93264,44.219173,44.67391,5464400,0.0,0
2011-10-14,AMGN,44.971855,45.08946,44.54848,45.07378,3268400,0.0,0
2011-10-17,AMGN,44.89345,45.1365,44.070225,44.25055,3108200,0.0,0
2011-10-18,AMGN,44.29758,45.13649,43.92909,44.909122,6280800,0.0,0
2011-10-19,AMGN,45.003216,45.47363,44.799366,44.94049,4470600,0.0,0
2011-10-20,AMGN,45.073772,45.316822,44.242702,44.901287,4086000,0.0,0
2011-10-21,AMGN,45.23842,45.967564,45.08161,45.936203,6345100,0.0,0
2011-10-24,AMGN,45.842125,46.29686,45.669636,46.218456,4409900,0.0,0
2011-10-25,AMGN,45.834274,46.02244,44.179974,44.27406,7676700,0.0,0
2011-10-26,AMGN,44.572006,44.854256,43.897743,44.65041,6687800,0.0,0
2011-10-27,AMGN,45.08161,45.779396,44.948326,45.520668,5936600,0.0,0
2011-10-28,AMGN,45.277615,45.552025,44.681755,44.87776,6023500,0.0,0
2011-10-31,AMGN,44.626877,45.128654,44.39951,44.901287,8792500,0.0,0
2011-11-01,AMGN,44.234867,44.423035,43.41164,43.544926,7996600,0.0,0
2011-11-02,AMGN,43.568443,43.866375,42.83146,42.96474,6826900,0.0,0
2011-11-03,AMGN,43.058815,43.748764,43.058815,43.67036,4797000,0.0,0
2011-11-04,AMGN,43.61549,43.72525,42.964745,43.254833,3565100,0.0,0
2011-11-07,AMGN,45.35603,45.93621,45.073784,45.81077,20318400,0.0,0
2011-11-08,AMGN,45.88132,45.95188,45.12081,45.473625,8870200,0.0,0
2011-11-09,AMGN,45.238426,45.622597,44.979694,45.08946,9588100,0.0,0
2011-11-10,AMGN,45.136486,45.51282,44.95616,45.442257,7661900,0.0,0
2011-11-11,AMGN,45.669636,45.857803,45.316822,45.363865,5420700,0.0,0
2011-11-14,AMGN,45.097294,45.316822,44.854244,44.94833,6204900,0.0,0
2011-11-15,AMGN,44.877434,45.027134,44.562286,44.585922,8218000,0.28,0
2011-11-16,AMGN,44.14469,44.54651,43.947723,44.128933,20135000,0.0,0
2011-11-17,AMGN,44.04227,44.562267,43.86894,44.050148,9742700,0.0,0
2011-11-18,AMGN,43.900467,44.199856,43.719254,43.782284,5523200,0.0,0
2011-11-21,AMGN,43.569542,43.695602,43.262268,43.309544,7973800,0.0,0
2011-11-22,AMGN,43.17561,43.89258,43.04167,43.853184,9559000,0.0,0
2011-11-23,AMGN,43.805904,43.86894,43.27015,43.285908,6026500,0.0,0
2011-11-25,AMGN,43.010155,43.43561,43.010155,43.05743,2816700,0.0,0
2011-11-28,AMGN,43.79015,44.097424,43.356815,44.04227,6852600,0.0,0
2011-11-29,AMGN,44.02651,44.420444,43.6956,44.231354,8167700,0.0,0
2011-11-30,AMGN,44.514996,45.649536,44.499237,45.6259,10993600,0.0,0
2011-12-01,AMGN,45.46045,45.744087,45.231964,45.69681,10555600,0.0,0
2011-12-02,AMGN,45.93318,46.027725,45.476215,45.775604,7834400,0.0,0
2011-12-05,AMGN,45.996204,46.011963,45.074387,45.30287,12342100,0.0,0
2011-12-06,AMGN,45.444683,45.751957,45.208324,45.610138,15750000,0.0,0
2011-12-07,AMGN,45.578632,46.10651,45.484085,45.96469,18663500,0.0,0
2011-12-08,AMGN,46.16954,46.82348,44.121063,46.011967,41563500,0.0,0
2011-12-09,AMGN,46.074993,46.445293,45.83863,46.16166,7072800,0.0,0
2011-12-12,AMGN,45.93317,46.019836,45.027115,45.034992,10176200,0.0,0
2011-12-13,AMGN,45.46045,45.996204,45.15318,45.247723,6843600,0.0,0
2011-12-14,AMGN,45.019234,45.830746,45.019234,45.397415,6727200,0.0,0
2011-12-15,AMGN,45.696808,46.53196,45.547115,46.18529,8683700,0.0,0
2011-12-16,AMGN,47.075592,48.060436,46.996807,47.311954,21390500,0.0,0
2011-12-19,AMGN,47.52467,48.15497,47.248913,47.406487,8013000,0.0,0
2011-12-20,AMGN,47.902866,48.24953,47.80832,48.1865,7284900,0.0,0
2011-12-21,AMGN,48.060436,49.848915,48.060436,49.74649,10636700,0.0,0
2011-12-22,AMGN,49.32892,50.108913,49.321037,49.904068,5383300,0.0,0
2011-12-23,AMGN,49.651947,50.30588,49.63619,50.17982,4134500,0.0,0
2011-12-27,AMGN,49.93559,50.92831,49.927708,50.75498,4260500,0.0,0
2011-12-28,AMGN,50.57377,50.73134,50.274372,50.42407,3925800,0.0,0
2011-12-29,AMGN,50.58952,51.03861,50.298004,51.00709,3525300,0.0,0
2011-12-30,AMGN,50.69983,51.21195,50.589527,50.589527,5112100,0.0,0
2012-01-03,AMGN,51.172543,51.361637,49.990734,50.51073,10216800,0.0,0
2012-01-04,AMGN,50.502857,50.52649,49.951344,50.234978,7096400,0.0,0
2012-01-05,AMGN,50.282253,51.14892,50.093166,50.747105,6261500,0.0,0
2012-01-06,AMGN,50.61315,51.109516,50.42406,51.02285,4587900,0.0,0
2012-01-09,AMGN,50.912563,50.928318,49.872562,50.58165,7540500,0.0,0
2012-01-10,AMGN,50.857414,51.763466,50.58953,51.73983,6150500,0.0,0
2012-01-11,AMGN,51.41679,52.35436,51.330124,52.31497,4960000,0.0,0
2012-01-12,AMGN,52.220417,53.40223,52.220417,53.213142,7191000,0.0,0
2012-01-13,AMGN,52.890114,53.31557,52.60648,53.260418,5996400,0.0,0
2012-01-17,AMGN,53.496784,53.945873,53.37072,53.630722,6924800,0.0,0
2012-01-18,AMGN,53.37073,54.670727,53.28406,54.53679,7159000,0.0,0
2012-01-19,AMGN,54.473755,54.74951,54.127087,54.473755,5700100,0.0,0
2012-01-20,AMGN,54.44224,54.859818,54.237392,54.812546,6839100,0.0,0
2012-01-23,AMGN,54.21374,54.363438,53.228897,53.40223,7258900,0.0,0
2012-01-24,AMGN,53.031933,54.040417,52.929512,53.72527,5212600,0.0,0
2012-01-25,AMGN,53.228912,54.670727,53.142242,54.528908,6436400,0.0,0
2012-01-26,AMGN,54.513145,54.513145,53.2683,53.638603,7036800,0.0,0
2012-01-27,AMGN,52.811344,54.50528,52.559223,53.84346,10338100,0.0,0
2012-01-30,AMGN,53.56768,53.88283,52.9689,53.83556,6228100,0.0,0
2012-01-31,AMGN,53.914375,54.13498,53.39437,53.520435,10033800,0.0,0
2012-02-01,AMGN,53.937992,55.111923,53.646473,55.025257,7409700,0.0,0
2012-02-02,AMGN,54.907085,55.15132,54.5683,54.851933,5379600,0.0,0
2012-02-03,AMGN,54.844044,55.048893,54.37132,54.58404,6595400,0.0,0
