date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,COP,36.539738,36.81242,35.65624,35.928925,13725794,0.0,0.0
2011-09-09,COP,35.427193,35.858032,34.83274,35.02907,16024970,0.0,0.0
2011-09-12,COP,34.58733,35.045437,34.331005,35.03453,15501828,0.0,0.0
2011-09-13,COP,35.1545,35.601707,34.789104,35.31811,10263190,0.0,0.0
2011-09-14,COP,35.46537,36.474304,35.07816,35.97802,13171693,0.0,0.0
2011-09-15,COP,36.261612,36.561565,36.027103,36.49612,12154006,0.0,0.0
2011-09-16,COP,36.752445,36.812435,36.130722,36.697906,19606815,0.0,0.0
2011-09-19,COP,35.934383,36.659725,35.661697,36.414307,10983757,0.0,0.0
2011-09-20,COP,36.588837,37.205105,36.376144,36.545208,10752488,0.0,0.0
2011-09-21,COP,36.447044,36.648827,35.421745,35.421745,12438796,0.0,0.0
2011-09-22,COP,34.352818,34.532787,33.72019,34.287373,20736399,0.0,0.0
2011-09-23,COP,33.736546,34.48916,33.703827,34.091038,12031878,0.0,0.0
2011-09-26,COP,34.325546,35.01816,33.698368,34.974533,13408996,0.0,0.0
2011-09-27,COP,35.683517,35.96711,34.838196,35.045437,12306436,0.0,0.0
2011-09-28,COP,34.78367,35.738068,34.380096,34.483715,12599228,0.0,0.0
2011-09-29,COP,35.263584,35.26904,34.396446,35.105427,17746171,0.0,0.0
2011-09-30,COP,34.347366,35.25268,34.347366,34.53279,13489278,0.0,0.0
2011-10-03,COP,34.20011,34.30919,33.240265,33.262077,15364090,0.0,0.0
2011-10-04,COP,32.754887,34.00378,31.985914,33.96015,16659746,0.0,0.0
2011-10-05,COP,34.42373,34.909107,33.938347,34.86548,16448810,0.0,0.0
2011-10-06,COP,34.467342,35.13815,34.31464,35.09452,12444699,0.0,0.0
2011-10-07,COP,35.31812,35.492638,34.603687,34.9909,11888631,0.0,0.0
2011-10-10,COP,35.738056,36.594284,35.688976,36.51248,10621047,0.0,0.0
2011-10-11,COP,36.185246,36.74152,36.147068,36.55064,11552156,0.0,0.0
2011-10-12,COP,36.926968,37.368717,36.643375,37.00332,11075058,0.0,0.0
2011-10-13,COP,36.463608,37.069405,36.39752,36.920708,11066400,0.503129,0.0
2011-10-14,COP,37.44941,37.99463,37.350277,37.99463,9908089,0.0,0.0
2011-10-17,COP,37.84593,38.088245,37.33375,37.63665,8503685,0.0,0.0
2011-10-18,COP,37.504475,38.550854,37.38882,38.11578,13049828,0.0,0.0
2011-10-19,COP,38.192894,38.919853,38.033184,38.308548,11622468,0.0,0.0
2011-10-20,COP,38.264473,38.8923,38.000122,38.699547,11259233,0.0,0.0
2011-10-21,COP,39.107086,39.652306,39.035492,39.55868,11797986,0.0,0.0
2011-10-24,COP,39.55318,39.87811,39.29434,39.7184,9556922,0.0,0.0
2011-10-25,COP,39.756943,39.756943,38.79868,38.925346,14405302,0.0,0.0
2011-10-26,COP,39.723904,39.91115,38.638973,39.59173,11942152,0.0,0.0
2011-10-27,COP,40.32971,40.58855,39.900143,40.12043,15944033,0.0,0.0
2011-10-28,COP,40.076366,40.186512,39.38245,39.509117,19665321,0.0,0.0
2011-10-31,COP,38.919846,39.041008,38.358105,38.358105,13541750,0.0,0.0
2011-11-01,COP,37.39982,37.923008,37.03634,37.405327,15031682,0.0,0.0
2011-11-02,COP,38.121284,38.47375,37.779835,38.0552,10156017,0.0,0.0
2011-11-03,COP,38.429688,38.974907,37.972584,38.82621,12149546,0.0,0.0
2011-11-04,COP,38.457237,39.01347,38.314045,38.941875,8212599,0.0,0.0
2011-11-07,COP,39.00795,39.580708,38.79317,39.420998,7949978,0.0,0.0
2011-11-08,COP,39.63578,40.186504,39.200706,40.059837,10131093,0.0,0.0
