date,symbol,open,high,low,close,volume,dividends,stock_splits
2011-09-08,CRL,31.71,32.32,31.64,32.1,658100,0,0
2011-09-09,CRL,31.73,31.91,30.25,30.29,943900,0,0
2011-09-12,CRL,29.93,30.61,29.51,29.91,1171700,0,0
2011-09-13,CRL,29.92,31.21,29.89,31.14,1042200,0,0
2011-09-14,CRL,31.34,31.92,31.08,31.52,613400,0,0
2011-09-15,CRL,31.76,31.95,31.18,31.65,424700,0,0
2011-09-16,CRL,31.85,31.96,31.16,31.47,502900,0,0
2011-09-19,CRL,30.84,30.88,30.32,30.46,412600,0,0
2011-09-20,CRL,30.6,30.96,30.32,30.46,805400,0,0
2011-09-21,CRL,30.41,30.65,29.91,30.0,1609800,0,0
2011-09-22,CRL,29.04,29.69,27.76,28.54,1433200,0,0
2011-09-23,CRL,27.99,29.92,27.99,29.63,968500,0,0
2011-09-26,CRL,29.82,29.91,28.69,29.08,910700,0,0
2011-09-27,CRL,29.56,30.44,29.34,29.49,654200,0,0
2011-09-28,CRL,29.7,29.74,28.49,28.5,832800,0,0
2011-09-29,CRL,29.1,29.23,28.63,29.23,885500,0,0
2011-09-30,CRL,28.81,29.16,28.57,28.62,908900,0,0
2011-10-03,CRL,28.62,29.52,28.02,28.03,1225400,0,0
2011-10-04,CRL,27.68,27.97,26.85,27.77,1300000,0,0
2011-10-05,CRL,27.87,29.08,27.73,28.95,921100,0,0
2011-10-06,CRL,28.86,29.13,28.61,29.05,742200,0,0
2011-10-07,CRL,29.15,29.25,27.87,27.93,1014700,0,0
2011-10-10,CRL,28.39,29.24,28.39,29.01,595700,0,0
2011-10-11,CRL,28.78,29.32,28.66,28.83,496700,0,0
2011-10-12,CRL,29.05,30.0,28.89,29.35,810300,0,0
2011-10-13,CRL,29.16,29.38,28.7,29.19,478700,0,0
2011-10-14,CRL,29.51,29.55,28.98,29.55,590600,0,0
2011-10-17,CRL,29.4,29.7,28.21,28.32,809700,0,0
2011-10-18,CRL,28.28,29.13,27.98,29.0,818200,0,0
2011-10-19,CRL,29.0,29.33,28.62,28.71,513900,0,0
2011-10-20,CRL,28.66,29.11,28.19,29.07,397500,0,0
2011-10-21,CRL,29.37,29.87,29.23,29.64,368700,0,0
2011-10-24,CRL,29.67,31.54,29.62,31.49,818000,0,0
2011-10-25,CRL,31.15,31.54,30.82,31.36,754400,0,0
2011-10-26,CRL,31.49,31.69,30.32,30.78,857600,0,0
2011-10-27,CRL,31.7,33.15,31.37,32.82,903400,0,0
2011-10-28,CRL,32.83,33.65,32.72,33.57,917200,0,0
2011-10-31,CRL,33.21,33.37,32.27,32.28,551800,0,0
2011-11-01,CRL,31.48,31.92,30.76,31.03,759600,0,0
2011-11-02,CRL,29.6,30.53,28.32,29.92,2224200,0,0
2011-11-03,CRL,30.02,30.31,29.42,29.47,1184200,0,0
2011-11-04,CRL,29.18,29.64,28.8,28.99,1340300,0,0
2011-11-07,CRL,29.07,29.7,28.61,29.63,786900,0,0
2011-11-08,CRL,29.86,30.5,29.77,30.29,1346400,0,0
2011-11-09,CRL,29.6,29.8,28.81,29.06,612300,0,0
2011-11-10,CRL,29.41,29.51,28.86,29.25,602600,0,0
2011-11-11,CRL,29.69,30.08,29.58,29.86,602300,0,0
2011-11-14,CRL,29.7,29.83,29.31,29.53,418800,0,0
2011-11-15,CRL,29.56,29.82,28.9,29.03,733500,0,0
2011-11-16,CRL,28.77,29.48,28.56,29.02,711800,0,0
2011-11-17,CRL,29.01,29.08,28.58,28.92,972500,0,0
2011-11-18,CRL,29.14,29.14,28.27,28.31,620000,0,0
2011-11-21,CRL,27.84,28.16,27.75,28.03,517100,0,0
2011-11-22,CRL,28.0,28.36,27.85,28.02,937800,0,0
