date,symbol,open,high,low,close,volume,dividends,stock_splits
2014-07-31,CTLT,20.0,20.33,19.3,19.99,14208300,0,0
2014-08-01,CTLT,20.0,20.1,19.34,19.85,2125600,0,0
2014-08-04,CTLT,19.85,20.1,19.6,20.01,592800,0,0
2014-08-05,CTLT,19.94,20.48,19.77,20.21,1077600,0,0
2014-08-06,CTLT,20.2,20.33,20.05,20.33,900900,0,0
2014-08-07,CTLT,20.33,20.49,20.3,20.42,546000,0,0
2014-08-08,CTLT,20.49,20.68,20.4,20.53,402500,0,0
2014-08-11,CTLT,20.51,20.6,20.44,20.5,442500,0,0
2014-08-12,CTLT,20.45,20.55,20.45,20.5,240700,0,0
2014-08-13,CTLT,20.5,20.6,20.47,20.53,438500,0,0
2014-08-14,CTLT,20.5,20.59,20.45,20.5,200600,0,0
2014-08-15,CTLT,20.68,20.68,20.45,20.51,143300,0,0
2014-08-18,CTLT,21.2,21.2,20.41,20.66,186900,0,0
2014-08-19,CTLT,20.5,20.68,20.5,20.63,404000,0,0
2014-08-20,CTLT,20.51,20.75,20.5,20.58,291100,0,0
2014-08-21,CTLT,20.54,20.74,20.54,20.72,221900,0,0
2014-08-22,CTLT,20.75,20.91,20.665,20.85,259700,0,0
2014-08-25,CTLT,20.74,21.31,20.55,21.2,558900,0,0
2014-08-26,CTLT,21.15,21.45,21.15,21.32,691000,0,0
2014-08-27,CTLT,21.2,21.35,21.15,21.27,265100,0,0
2014-08-28,CTLT,21.1,21.7,21.023,21.5,3070200,0,0
2014-08-29,CTLT,21.5,21.74,21.33,21.5,1271800,0,0
2014-09-02,CTLT,21.35,21.79,21.325,21.7,665700,0,0
2014-09-03,CTLT,21.64,21.8,21.523,21.68,329700,0,0
2014-09-04,CTLT,21.59,21.95,21.21,21.5,445600,0,0
2014-09-05,CTLT,21.5,22.55,21.5,22.4,835300,0,0
2014-09-08,CTLT,22.35,22.8,22.26,22.5,654100,0,0
2014-09-09,CTLT,22.53,23.09,22.193,22.48,945800,0,0
2014-09-10,CTLT,22.48,23.185,22.4,22.99,976600,0,0
2014-09-11,CTLT,22.81,23.7,22.601,23.25,930000,0,0
2014-09-12,CTLT,23.0,23.9,23.0,23.49,691100,0,0
